campo	pass02	pass04	reconciliado	estado	jpg_paginas	contenido_pdf	au_estado	resolucion_disputa
chinese_roman	SCHI HO	SCHÏ HO	SCHI HO	disputed	406-409	Schï Ho	cerrado	coincide_pass04
ruler_note	Kernzeichen: Kan und\nGen\nDer\ner Herr des Zeichens ist die Sechs auf fünftem Platz, von der es im\nKommentar zur Entscheidung heißt: Das Weiche erhält den Ehren-\nplatz und geht nach oben.	Kan und\nGen\ner Herr des Zeichens ist die Sechs auf fünftem Platz, von der es im\nDer\nplatz und geht nach oben.	Kan und\nGen\ner Herr des Zeichens ist die Sechs auf fünftem Platz, von der es im\nDer\nplatz und geht nach oben.	disputed	406-409	Der Herr des Zeichens ist die Sechs auf fünftem Platz, von der es im\nKommentar zur Entscheidung heißt: Das Weiche erhält den Ehrenplatz und geht nach oben.	cerrado	coincide_ninguno
sequence	Wenn etwas da ist, das man betrachten kann, dann gibt es\nVerschet\nhultetwas, das Vereinigung schafft. Darum folgt darauf das\nZeichen: das Durchbeißen. Durchbeißen bedeutet Vereinigung.	Wenn etwas da ist, das man betrachten kann, dann gibt es\nཤི་དུས་ནི་རྣ་\netwas, das Vereinigung schafft. Darum folgt darauf das\nZeichen: das Durchbeißen. Durchbeißen bedeutet Vereinigung.	Wenn etwas da ist, das man betrachten kann, dann gibt es\nVerschet\nhultetwas, das Vereinigung schafft. Darum folgt darauf das\nZeichen: das Durchbeißen. Durchbeißen bedeutet Vereinigung.	disputed	406-409	Wenn etwas da ist, das man betrachten kann, dann gibt es\nཤི་དུས་ནི་རྣ་\netwas, das Vereinigung schafft. Darum folgt darauf das\nZeichen: das Durchbeißen. Durchbeißen bedeutet Vereinigung.	cerrado	coincide_pass04
misc_notes	Das Durchbeißen bedeutet Aufzehren.\nBeigefügte Urteile\nWenn die Sonne im Mittag stand, hielt der göttliche Landmann\nMarkt ab. Er ließ die Leute auf Erden herbeikommen und\nversammelte die Waren auf Erden. Sie tauschten sie gegen-\nseitig aus, dann kehrten sie zurück, und jedes kam an seinen\nPlatz. Das entnahm er wohl dem Zeichen: Das Durchbeißen.\nDas Zeichen wird hier von der Bedeutung der beiden Einzelfiguren aus er-\nklärt. Das Zeichen Li bedeutet die Sonne, die hoch oben steht, während\nunten das Gewühl des Marktes sich bewegt. Die innere Struktur des\nZeichens ist übrigens keineswegs so günstig, als die äußere Gestalt\nschließen lassen könnte. Wohl ist Klarheit und Bewegung vorhanden, aber\nals Widerstände stehen die Kernzeichen Gefahr und Stillstand dazwischen\nbeide durch den einen verhängnisvollen Strich auf viertem Platz\ngebildet.	Das Durchbeißen bedeutet Aufzehren.\nBeigefügte Urteile\nWenn die Sonne im Mittag stand, hielt der göttliche Landmann\nMarkt ab. Er ließ die Leute auf Erden herbeikommen und\nversammelte die Waren auf Erden. Sie tauschten sie gegen-\nseitig aus, dann kehrten sie zurück, und jedes kam an seinen\nPlatz. Das entnahm er wohl dem Zeichen: Das Durchbeißen.\nDas Zeichen wird hier von der Bedeutung der beiden Einzelfiguren aus er-\nklärt. Das Zeichen Li bedeutet die Sonne, die hoch oben steht, während\nunten das Gewühl des Marktes sich bewegt. Die innere Struktur des\nZeichens ist übrigens keineswegs so günstig, als die äußere Gestalt\nschließen lassen könnte. Wohl ist Klarheit und Bewegung vorhanden, aber\nals Widerstände stehen die Kernzeichen Gefahr und Stillstand dazwischen\nbeide durch den einen verhängnisvollen Strich auf viertem Platz\ngebildet.\n-	Das Durchbeißen bedeutet Aufzehren.\nBeigefügte Urteile\nWenn die Sonne im Mittag stand, hielt der göttliche Landmann\nMarkt ab. Er ließ die Leute auf Erden herbeikommen und\nversammelte die Waren auf Erden. Sie tauschten sie gegen-\nseitig aus, dann kehrten sie zurück, und jedes kam an seinen\nPlatz. Das entnahm er wohl dem Zeichen: Das Durchbeißen.\nDas Zeichen wird hier von der Bedeutung der beiden Einzelfiguren aus er-\nklärt. Das Zeichen Li bedeutet die Sonne, die hoch oben steht, während\nunten das Gewühl des Marktes sich bewegt. Die innere Struktur des\nZeichens ist übrigens keineswegs so günstig, als die äußere Gestalt\nschließen lassen könnte. Wohl ist Klarheit und Bewegung vorhanden, aber\nals Widerstände stehen die Kernzeichen Gefahr und Stillstand dazwischen\nbeide durch den einen verhängnisvollen Strich auf viertem Platz\ngebildet.\n-	disputed	406-409	Das Durchbeißen bedeutet Aufzehren.\nBeigefügte Urteile\nWenn die Sonne im Mittag stand, hielt der göttliche Landmann\nMarkt ab. Er ließ die Leute auf Erden herbeikommen und\nversammelte die Waren auf Erden. Sie tauschten sie gegenseitig aus, dann kehrten sie zurück, und jedes kam an seinen\nPlatz. Das entnahm er wohl dem Zeichen: Das Durchbeißen.\nDas Zeichen wird hier von der Bedeutung der beiden Einzelfiguren aus erklärt. Das Zeichen Li bedeutet die Sonne, die hoch oben steht, während\nunten das Gewühl des Marktes sich bewegt. Die innere Struktur des\nZeichens ist übrigens keineswegs so günstig, als die äußere Gestalt\nschließen lassen könnte. Wohl ist Klarheit und Bewegung vorhanden, aber\nals Widerstände stehen die Kernzeichen Gefahr und Stillstand dazwischen\nbeide durch den einen verhängnisvollen Strich auf viertem Platz\ngebildet.	cerrado	coincide_pass02
commentary_decision	Zwischen den Mundwinkeln ist ein Ding. Das heißt das\nDurchbeißen. "Das Durchbeißen, und zwar mit Gelingen."\nDenn fest und weich ist unterschieden. Bewegung und Klar-\nheit. Donner und Blitz sind vereint und bilden Linien. Das\nWeiche erhält den Ehrenplatz und geht nach oben. Obwohl\nes nicht auf gebührendem Platz ist, ist es fördernd, Gericht\nwalten zu lassen.\nEs wird hier aus der Gestalt des Zeichens der Name erklärt. Der obere\nund der untere Strich sind die beiden Kiefer. Zwischen beiden steht die\nNeun auf viertem Platz als Hindernis, das durch Zubeißen beseitigt werden\nmuß. Das deutet auf die Notwendigkeit der Anwendung von Gewalt. Die\nfesten Yangstriche und die weichen Yinstriche heben sich deutlich gezeich-\nnet voneinander ab, ohne auseinanderzufallen. Das ist das Material des\nZeichens. So scheiden sich Schuld und Unschuld deutlich vor dem Auge des\ngerechten Richters.\nBewegung ist die Eigenschaft von Dschen, Klarheit die von Li, beide gehen\nin ihrer Bewegungsrichtung nach oben, so vereinigen sie sich und geben\nsichtbar klare Linien. Die Bewegungen sind getrennt, das Zusammen-\nkommen geschieht am Himmel, worauf die Blitzlinie erscheint¹.\nDer Herr des Zeichens ist von Natur weich, das ist für Prozesse gut, denn\ner wirkt dann nicht grausam. Weil er andererseits nicht weich auf weichem\nPlatz, sondern weich auf festem Platz ist, wird diese Weichheit durch die\nFestigkeit des Platzes ausgeglichen, so daß sie nicht zur Schwäche wird.	Zwischen den Mundwinkeln ist ein Ding. Das heißt das\nDurchbeißen. "Das Durchbeißen, und zwar mit Gelingen."\nDenn fest und weich ist unterschieden. Bewegung und Klar-\nheit. Donner und Blitz sind vereint und bilden Linien. Das\nWeiche erhält den Ehrenplatz und geht nach oben. Obwohl\nes nicht auf gebührendem Platz ist, ist es fördernd, Gericht\nwalten zu lassen.\nEs wird hier aus der Gestalt des Zeichens der Name erklärt. Der obere\nund der untere Strich sind die beiden Kiefer. Zwischen beiden steht die\nNeun auf viertem Platz als Hindernis, das durch Zubeißen beseitigt werden\nmuß. Das deutet auf die Notwendigkeit der Anwendung von Gewalt. Die\nfesten Yangstriche und die weichen Yinstriche heben sich deutlich gezeich-\nnet voneinander ab, ohne auseinanderzufallen. Das ist das Material des\nZeichens. So scheiden sich Schuld und Unschuld deutlich vor dem Auge des\ngerechten Richters.\nt\n曰​"\nK\na\nDie\nBewegung ist die Eigenschaft von Dschen, Klarheit die von Li, beide gehen\nin ihrer Bewegungsrichtung nach oben, so vereinigen sie sich und geben\nsichtbar klare Linien. Die Bewegungen sind getrennt, das Zusammen-\nkommen geschieht am Himmel, worauf die Blitzlinie erscheint¹.\nDer Herr des Zeichens ist von Natur weich, das ist für Prozesse gut, denn\ner wirkt dann nicht grausam. Weil er andererseits nicht weich auf weichem\nPlatz, sondern weich auf festem Platz ist, wird diese Weichheit durch die\nFestigkeit des Platzes ausgeglichen, so daß sie nicht zur Schwäche wird.	Zwischen den Mundwinkeln ist ein Ding. Das heißt das\nDurchbeißen. "Das Durchbeißen, und zwar mit Gelingen."\nDenn fest und weich ist unterschieden. Bewegung und Klar-\nheit. Donner und Blitz sind vereint und bilden Linien. Das\nWeiche erhält den Ehrenplatz und geht nach oben. Obwohl\nes nicht auf gebührendem Platz ist, ist es fördernd, Gericht\nwalten zu lassen.\nEs wird hier aus der Gestalt des Zeichens der Name erklärt. Der obere\nund der untere Strich sind die beiden Kiefer. Zwischen beiden steht die\nNeun auf viertem Platz als Hindernis, das durch Zubeißen beseitigt werden\nmuß. Das deutet auf die Notwendigkeit der Anwendung von Gewalt. Die\nfesten Yangstriche und die weichen Yinstriche heben sich deutlich gezeich-\nnet voneinander ab, ohne auseinanderzufallen. Das ist das Material des\nZeichens. So scheiden sich Schuld und Unschuld deutlich vor dem Auge des\ngerechten Richters.\nt\n曰​"\nK\na\nDie\nBewegung ist die Eigenschaft von Dschen, Klarheit die von Li, beide gehen\nin ihrer Bewegungsrichtung nach oben, so vereinigen sie sich und geben\nsichtbar klare Linien. Die Bewegungen sind getrennt, das Zusammen-\nkommen geschieht am Himmel, worauf die Blitzlinie erscheint¹.\nDer Herr des Zeichens ist von Natur weich, das ist für Prozesse gut, denn\ner wirkt dann nicht grausam. Weil er andererseits nicht weich auf weichem\nPlatz, sondern weich auf festem Platz ist, wird diese Weichheit durch die\nFestigkeit des Platzes ausgeglichen, so daß sie nicht zur Schwäche wird.	disputed	406-409	Zwischen den Mundwinkeln ist ein Ding. Das heißt das\nDurchbeißen. "Das Durchbeißen, und zwar mit Gelingen."\nDenn fest und weich ist unterschieden. Bewegung und Klarheit. Donner und Blitz sind vereint und bilden Linien. Das\nWeiche erhält den Ehrenplatz und geht nach oben. Obwohl\nes nicht auf gebührendem Platz ist, ist es fördernd, Gericht\nwalten zu lassen.\nEs wird hier aus der Gestalt des Zeichens der Name erklärt. Der obere\nund der untere Strich sind die beiden Kiefer. Zwischen beiden steht die\nNeun auf viertem Platz als Hindernis, das durch Zubeißen beseitigt werden\nmuß. Das deutet auf die Notwendigkeit der Anwendung von Gewalt. Die\nfesten Yangstriche und die weichen Yinstriche heben sich deutlich gezeichnet voneinander ab, ohne auseinanderzufallen. Das ist das Material des\nZeichens. So scheiden sich Schuld und Unschuld deutlich vor dem Auge des\ngerechten Richters.\nt\n曰​"\nK\na\nDie\nBewegung ist die Eigenschaft von Dschen, Klarheit die von Li, beide gehen\nin ihrer Bewegungsrichtung nach oben, so vereinigen sie sich und geben\nsichtbar klare Linien. Die Bewegungen sind getrennt, das Zusammenkommen geschieht am Himmel, worauf die Blitzlinie erscheint¹.\nDer Herr des Zeichens ist von Natur weich, das ist für Prozesse gut, denn\ner wirkt dann nicht grausam. Weil er andererseits nicht weich auf weichem\nPlatz, sondern weich auf festem Platz ist, wird diese Weichheit durch die\nFestigkeit des Platzes ausgeglichen, so daß sie nicht zur Schwäche wird.	cerrado	coincide_pass04
image_oraculo	Donner und Blitz: das Bild des Durchbeißens.\nSo festigten die früheren Könige die Gesetze durch klarbe-\nstimmte Strafen.\nDonner und Blitz folgen unfehlbar aufeinander. Es heißt Donner und Blitz,\nnicht Blitz und Donner, weil die Bewegung von unten aus geht. - Übrigens\nheißt der Text nach Hiang An Schï auf einer alten Steinschrift: Blitz und\nDonner. Die klare Bestimmung der Schwere der Strafen, die dazu dient,\ndaß die Menschen die Übertretungen zu vermeiden imstande sind, soll dem\nBlitz gleichen. Die Strafe entspricht dem oberen Kernzeichen Gefahr. Die\nFestigung der Gesetze, um die Lässigen einzuschüchtern, soll mit der Ent-\nschiedenheit des Donners erfolgen. Die Gesetze sind fest und ruhen wie\ndas untere Kernzeichen Berg.\nAnfangs Neun:	Donner und Blitz: das Bild des Durchbeißens.\nSo festigten die früheren Könige die Gesetze durch klarbe-\nstimmte Strafen.\n-\nDonner und Blitz folgen unfehlbar aufeinander. Es heißt Donner und Blitz,\nnicht Blitz und Donner, weil die Bewegung von unten aus geht. — Übrigens\nheißt der Text nach Hiang An Schï auf einer alten Steinschrift: Blitz und\nDonner. Die klare Bestimmung der Schwere der Strafen, die dazu dient,\ndaß die Menschen die Übertretungen zu vermeiden imstande sind, soll dem\nBlitz gleichen. Die Strafe entspricht dem oberen Kernzeichen Gefahr. Die\nFestigung der Gesetze, um die Lässigen einzuschüchtern, soll mit der Ent-\nschiedenheit des Donners erfolgen. Die Gesetze sind fest und ruhen wie\ndas untere Kernzeichen Berg.	Donner und Blitz: das Bild des Durchbeißens.\nSo festigten die früheren Könige die Gesetze durch klarbe-\nstimmte Strafen.\n-\nDonner und Blitz folgen unfehlbar aufeinander. Es heißt Donner und Blitz,\nnicht Blitz und Donner, weil die Bewegung von unten aus geht. — Übrigens\nheißt der Text nach Hiang An Schï auf einer alten Steinschrift: Blitz und\nDonner. Die klare Bestimmung der Schwere der Strafen, die dazu dient,\ndaß die Menschen die Übertretungen zu vermeiden imstande sind, soll dem\nBlitz gleichen. Die Strafe entspricht dem oberen Kernzeichen Gefahr. Die\nFestigung der Gesetze, um die Lässigen einzuschüchtern, soll mit der Ent-\nschiedenheit des Donners erfolgen. Die Gesetze sind fest und ruhen wie\ndas untere Kernzeichen Berg.	disputed	406-409	Donner und Blitz: das Bild des Durchbeißens.\nSo festigten die früheren Könige\ndie Gesetze durch klarbestimmte Strafen.	cerrado	coincide_ninguno
commentary_image	Donner und Blitz: das Bild des Durchbeißens.\nSo festigten die früheren Könige die Gesetze durch klarbe-\nstimmte Strafen.\nDonner und Blitz folgen unfehlbar aufeinander. Es heißt Donner und Blitz,\nnicht Blitz und Donner, weil die Bewegung von unten aus geht. - Übrigens\nheißt der Text nach Hiang An Schï auf einer alten Steinschrift: Blitz und\nDonner. Die klare Bestimmung der Schwere der Strafen, die dazu dient,\ndaß die Menschen die Übertretungen zu vermeiden imstande sind, soll dem\nBlitz gleichen. Die Strafe entspricht dem oberen Kernzeichen Gefahr. Die\nFestigung der Gesetze, um die Lässigen einzuschüchtern, soll mit der Ent-\nschiedenheit des Donners erfolgen. Die Gesetze sind fest und ruhen wie\ndas untere Kernzeichen Berg.\nAnfangs Neun:	Donner und Blitz: das Bild des Durchbeißens.\nSo festigten die früheren Könige die Gesetze durch klarbe-\nstimmte Strafen.\n-\nDonner und Blitz folgen unfehlbar aufeinander. Es heißt Donner und Blitz,\nnicht Blitz und Donner, weil die Bewegung von unten aus geht. — Übrigens\nheißt der Text nach Hiang An Schï auf einer alten Steinschrift: Blitz und\nDonner. Die klare Bestimmung der Schwere der Strafen, die dazu dient,\ndaß die Menschen die Übertretungen zu vermeiden imstande sind, soll dem\nBlitz gleichen. Die Strafe entspricht dem oberen Kernzeichen Gefahr. Die\nFestigung der Gesetze, um die Lässigen einzuschüchtern, soll mit der Ent-\nschiedenheit des Donners erfolgen. Die Gesetze sind fest und ruhen wie\ndas untere Kernzeichen Berg.	Donner und Blitz: das Bild des Durchbeißens.\nSo festigten die früheren Könige die Gesetze durch klarbe-\nstimmte Strafen.\n-\nDonner und Blitz folgen unfehlbar aufeinander. Es heißt Donner und Blitz,\nnicht Blitz und Donner, weil die Bewegung von unten aus geht. — Übrigens\nheißt der Text nach Hiang An Schï auf einer alten Steinschrift: Blitz und\nDonner. Die klare Bestimmung der Schwere der Strafen, die dazu dient,\ndaß die Menschen die Übertretungen zu vermeiden imstande sind, soll dem\nBlitz gleichen. Die Strafe entspricht dem oberen Kernzeichen Gefahr. Die\nFestigung der Gesetze, um die Lässigen einzuschüchtern, soll mit der Ent-\nschiedenheit des Donners erfolgen. Die Gesetze sind fest und ruhen wie\ndas untere Kernzeichen Berg.	disputed	406-409	Donner und Blitz folgen unfehlbar aufeinander. Es heißt Donner und Blitz,\nnicht Blitz und Donner, weil die Bewegung von unten aus geht. — Übrigens\nheißt der Text nach Hiang An Schï auf einer alten Steinschrift: Blitz und\nDonner. Die klare Bestimmung der Schwere der Strafen, die dazu dient,\ndaß die Menschen die Übertretungen zu vermeiden imstande sind, soll dem\nBlitz gleichen. Die Strafe entspricht dem oberen Kernzeichen Gefahr. Die\nFestigung der Gesetze, um die Lässigen einzuschüchtern, soll mit der Entschiedenheit des Donners erfolgen. Die Gesetze sind fest und ruhen wie\ndas untere Kernzeichen Berg.	cerrado	coincide_ninguno
L2_b_comentario	Beißt durch weiches Fleisch, daß die Nase verschwindet."\nEr beruht auf einem Harten.\n1 Wir würden hier von dem Ausgleich der positiven und negativen Elektrizität reden,\nderen Entladung zum Blitz führt.\nDas Kernzeichen Gen bedeutet die Nase. Sechs auf zweitem Platz ist weich\nauf weichem Platz und ruht auf der harten Anfangsneun, daher geht sie im\nStrafen etwas zu weit.	Beißt durch weiches Fleisch, daß die Nase verschwindet."\nEr beruht auf einem Harten.\n1 Wir würden hier von dem Ausgleich der positiven und negativen Elektrizität reden,\nderen Entladung zum Blitz führt.\nW\nDas Kernzeichen Gen bedeutet die Nase. Sechs auf zweitem Platz ist weich\nauf weichem Platz und ruht auf der harten Anfangsneun, daher geht sie im\nStrafen etwas zu weit.	Beißt durch weiches Fleisch, daß die Nase verschwindet."\nEr beruht auf einem Harten.\n1 Wir würden hier von dem Ausgleich der positiven und negativen Elektrizität reden,\nderen Entladung zum Blitz führt.\nW\nDas Kernzeichen Gen bedeutet die Nase. Sechs auf zweitem Platz ist weich\nauf weichem Platz und ruht auf der harten Anfangsneun, daher geht sie im\nStrafen etwas zu weit.	disputed	406-409	Beißt durch weiches Fleisch, daß die Nase verschwindet."\nEr beruht auf einem Harten.\n1 Wir würden hier von dem Ausgleich der positiven und negativen Elektrizität reden,\nderen Entladung zum Blitz führt.\nW\nDas Kernzeichen Gen bedeutet die Nase. Sechs auf zweitem Platz ist weich\nauf weichem Platz und ruht auf der harten Anfangsneun, daher geht sie im\nStrafen etwas zu weit.	cerrado	coincide_pass04
hex_fin	21				406-409			

