campo	pass02	pass04	reconciliado	estado	jpg_paginas	contenido_pdf	au_estado	resolucion_disputa
ruler_note	Dschen und\nDui\nie Herren des Zeichens sind die Sechs auf fünftem Platz und die obere\nheißt: Das Feste steigt empor und ehrt den Würdigen.	Dschen und\nDui\nie Herren des Zeichens sind die Sechs auf fünftem Platz und die obere\nes im Kommentar zur Entscheidung\n•\nheißt: Das Feste steigt empor und ehrt den Würdigen.\n=\nI\nB\n$3\nDe\n2.\nto\nDi	Dschen und\nDui\nie Herren des Zeichens sind die Sechs auf fünftem Platz und die obere\nheißt: Das Feste steigt empor und ehrt den Würdigen.	disputed	425-428	Die Herren des Zeichens sind die Sechs auf fünftem Platz und die obere Neun. Auf sie bezieht es sich, wenn es im Kommentar zur Entscheidung\nheißt: Das Feste steigt empor und ehrt den Würdigen.	cerrado	coincide_ninguno
misc_notes	Des Großen Zähmungskraft beruht auf der Zeit.\nDie Bewegungen der beiden Figuren gehen aufeinander zu. Das Schöpfe-\nrische unter dringt stark nach oben, das Stillehalten oben hält es fest. Die\nKernzeichen Dschen und Dui haben ebenfalls steigende Tendenz und zwar\ndas obere mehr als das untere. Das sind die latenten Kräfte, die durch das\nFesthalten gesteigert werden. Die beiden schwachen Linien auf dem Platz\ndes Herrschers und des Ministers zähmen die unteren starken Linien, wäh-\nrend sie der oberen gegenüber sich anerkennend, spendend verhalten. Das\nZeichen ist die Umkehr des vorigen.	Des Großen Zähmungskraft beruht auf der Zeit.\nDie Bewegungen der beiden Figuren gehen aufeinander zu. Das Schöpfe-\nrische unten dringt stark nach oben, das Stillehalten oben hält es fest. Die\nKernzeichen Dschen und Dui haben ebenfalls steigende Tendenz und zwar\ndas obere mehr als das untere. Das sind die latenten Kräfte, die durch das\nFesthalten gesteigert werden. Die beiden schwachen Linien auf dem Platz\ndes Herrschers und des Ministers zähmen die unteren starken Linien, wäh-\nrend sie der oberen gegenüber sich anerkennend, spendend verhalten. Das\nZeichen ist die Umkehr des vorigen.	Des Großen Zähmungskraft beruht auf der Zeit.\nDie Bewegungen der beiden Figuren gehen aufeinander zu. Das Schöpfe-\nrische unten dringt stark nach oben, das Stillehalten oben hält es fest. Die\nKernzeichen Dschen und Dui haben ebenfalls steigende Tendenz und zwar\ndas obere mehr als das untere. Das sind die latenten Kräfte, die durch das\nFesthalten gesteigert werden. Die beiden schwachen Linien auf dem Platz\ndes Herrschers und des Ministers zähmen die unteren starken Linien, wäh-\nrend sie der oberen gegenüber sich anerkennend, spendend verhalten. Das\nZeichen ist die Umkehr des vorigen.	disputed	425-428	Des Großen Zähmungskraft beruht auf der Zeit.\nDie Bewegungen der beiden Figuren gehen aufeinander zu. Das Schöpferische unten dringt stark nach oben, das Stillehalten oben hält es fest. Die\nKernzeichen Dschen und Dui haben ebenfalls steigende Tendenz und zwar\ndas obere mehr als das untere. Das sind die latenten Kräfte, die durch das\nFesthalten gesteigert werden. Die beiden schwachen Linien auf dem Platz\ndes Herrschers und des Ministers zähmen die unteren starken Linien, während sie der oberen gegenüber sich anerkennend, spendend verhalten. Das\nZeichen ist die Umkehr des vorigen.	cerrado	coincide_pass04
commentary_decision	Des Großen Zähmungskraft. Festigkeit und Stärke. Echtheit\nund Wahrheit. Glanz und Licht. Täglich erneuert er seine\nTugend.\nDer Feste steigt empor, und er ehrt den Würdigen. Er vermag\ndie Stärke stillezuhalten, das ist ",große Korrektheit".\n,,Nicht zu Hause essen bringt Heil",\nweil die Würdigen ernährt werden.\n"Fördernd ist es, das große Wasser zu durchqueren",\nweil man Entsprechung findet im Himmel.\nDas obere Zeichen, Gen, ist fest, das untere, Kiän, ist stark, das obere ist echt,\ndas untere ist wahr, das obere glänzend, das untere licht. So ergänzen sich\ndie beiden Zeichen. Durch das stillehaltende Element oben werden die\nKräfte des Charakters so gestärkt, daß eine tägliche Erneuerung stattfindet.\nDies bezieht sich auf die innere, persönliche Wirkung. Hier ist die erste Be-\ndeutung des Zeichens: Stillehalten und Sammeln gegeben.\nDer Feste, der emporsteigt, ist die obere Neun. Sie steigt empor über die\nSechs auf fünftem Platz, die auf dem Platz des Herrschers ist, und dieser\nHerrscher ehrt den Emporsteigenden, weil er würdig ist. Das obere Zeichen,\nGen, Stillehalten, vermag das untere, Kiän, das Starke, festzuhalten, das ist\ndie Erklärung für die Worte des Urteils: Fördernd ist Beharrlichkeit. Hier\nist die zweite Bedeutung: Festhalten und Stillehalten gegeben.\nNicht zu Hause essen, d. h. in öffentliche Dienste treten, bringt Heil: weil in\nSechs auf fünftem Platz ein Herrscher da ist, der die Würdigen ernährt. Hier\nist die dritte Bedeutung: Festhalten und Nähren gegeben.\n,,Fördernd ist es, das große Wasser zu durchqueren." Der Gedanke wird\nnahegelegt durch die beiden Kernzeichen: Dschen, das auch Holz bedeutet,\nüber Dui, See. Diese gefährliche Aktion ist möglich, weil der Herr des\nZeichens, Sechs auf fünftem Platz, im Verhältnis des Entsprechens zum Zen-\ntralstrich des unteren Zeichens Himmel, Neun auf zweitem Platz, steht.	Des Großen Zähmungskraft. Festigkeit und Stärke. Echtheit\nund Wahrheit. Glanz und Licht. Täglich erneuert er seine\nTugend.\nDer Feste steigt empor, und er ehrt den Würdigen. Er vermag\ndie Stärke stillezuhalten, das ist ",große Korrektheit".\n,,Nicht zu Hause essen bringt Heil",\nweil die Würdigen ernährt werden.\n"Fördernd ist es, das große Wasser zu durchqueren",\nweil man Entsprechung findet im Himmel.\nDas obere Zeichen, Gen, ist fest, das untere, Kiän, ist stark, das obere ist echt,\ndas untere ist wahr, das obere glänzend, das untere licht. So ergänzen sich\ndie beiden Zeichen. Durch das stillehaltende Element oben werden die\nKräfte des Charakters so gestärkt, daß eine tägliche Erneuerung stattfindet.\nDies bezieht sich auf die innere, persönliche Wirkung. Hier ist die erste Be-\ndeutung des Zeichens: Stillehalten und Sammeln gegeben.\nDer Feste, der emporsteigt, ist die obere Neun. Sie steigt empor über die\nSechs auf fünftem Platz, die auf dem Platz des Herrschers ist, und dieser\nHerrscher ehrt den Emporsteigenden, weil er würdig ist. Das obere Zeichen,\nGen, Stillehalten, vermag das untere, Kiän, das Starke, festzuhalten, das ist\ndie Erklärung für die Worte des Urteils: Fördernd ist Beharrlichkeit. Hier\nist die zweite Bedeutung: Festhalten und Stillehalten gegeben.\nNicht zu Hause essen, d. h. in öffentliche Dienste treten, bringt Heil: weil in\nSechs auf fünftem Platz ein Herrscher da ist, der die Würdigen ernährt. Hier\nist die dritte Bedeutung: Festhalten und Nähren gegeben.\n"Fördernd ist es, das große Wasser zu durchqueren." Der Gedanke wird\nnahegelegt durch die beiden Kernzeichen: Dschen, das auch Holz bedeutet,\nüber Dui, See. Diese gefährliche Aktion ist möglich, weil der Herr des\nZeichens, Sechs auf fünftem Platz, im Verhältnis des Entsprediens zum Zen-\ntralstrich des unteren Zeichens Himmel, Neun auf zweitem Platz, steht.	Des Großen Zähmungskraft. Festigkeit und Stärke. Echtheit\nund Wahrheit. Glanz und Licht. Täglich erneuert er seine\nTugend.\nDer Feste steigt empor, und er ehrt den Würdigen. Er vermag\ndie Stärke stillezuhalten, das ist ",große Korrektheit".\n,,Nicht zu Hause essen bringt Heil",\nweil die Würdigen ernährt werden.\n"Fördernd ist es, das große Wasser zu durchqueren",\nweil man Entsprechung findet im Himmel.\nDas obere Zeichen, Gen, ist fest, das untere, Kiän, ist stark, das obere ist echt,\ndas untere ist wahr, das obere glänzend, das untere licht. So ergänzen sich\ndie beiden Zeichen. Durch das stillehaltende Element oben werden die\nKräfte des Charakters so gestärkt, daß eine tägliche Erneuerung stattfindet.\nDies bezieht sich auf die innere, persönliche Wirkung. Hier ist die erste Be-\ndeutung des Zeichens: Stillehalten und Sammeln gegeben.\nDer Feste, der emporsteigt, ist die obere Neun. Sie steigt empor über die\nSechs auf fünftem Platz, die auf dem Platz des Herrschers ist, und dieser\nHerrscher ehrt den Emporsteigenden, weil er würdig ist. Das obere Zeichen,\nGen, Stillehalten, vermag das untere, Kiän, das Starke, festzuhalten, das ist\ndie Erklärung für die Worte des Urteils: Fördernd ist Beharrlichkeit. Hier\nist die zweite Bedeutung: Festhalten und Stillehalten gegeben.\nNicht zu Hause essen, d. h. in öffentliche Dienste treten, bringt Heil: weil in\nSechs auf fünftem Platz ein Herrscher da ist, der die Würdigen ernährt. Hier\nist die dritte Bedeutung: Festhalten und Nähren gegeben.\n"Fördernd ist es, das große Wasser zu durchqueren." Der Gedanke wird\nnahegelegt durch die beiden Kernzeichen: Dschen, das auch Holz bedeutet,\nüber Dui, See. Diese gefährliche Aktion ist möglich, weil der Herr des\nZeichens, Sechs auf fünftem Platz, im Verhältnis des Entsprediens zum Zen-\ntralstrich des unteren Zeichens Himmel, Neun auf zweitem Platz, steht.	disputed	425-428	Des Großen Zähmungskraft. Festigkeit und Stärke. Echtheit\nund Wahrheit. Glanz und Licht. Täglich erneuert er seine\nTugend.\nDer Feste steigt empor, und er ehrt den Würdigen. Er vermag\ndie Stärke stillezuhalten, das ist „große Korrektheit".\n„Nicht zu Hause essen bringt Heil",\nweil die Würdigen ernährt werden.\n„Fördernd ist es, das große Wasser zu durchqueren",\nweil man Entsprechen findet im Himmel.\nDas obere Zeichen, Gen, ist fest, das untere, Kiän, ist stark, das obere ist echt,\ndas untere ist wahr, das obere glänzend, das untere licht. So ergänzen sich\ndie beiden Zeichen. Durch das stillehaltende Element oben werden die\nKräfte des Charakters so gestärkt, daß eine tägliche Erneuerung stattfindet.\nDies bezieht sich auf die innere, persönliche Wirkung. Hier ist die erste Bedeutung des Zeichens: Stillehalten und Sammeln gegeben.\nDer Feste, der emporsteigt, ist die obere Neun. Sie steigt empor über die\nSechs auf fünftem Platz, die auf dem Platz des Herrschers ist, und dieser\nHerrscher ehrt den Emporsteigenden, weil er würdig ist. Das obere Zeichen,\nGen, Stillehalten, vermag das untere, Kiän, das Starke, festzuhalten, das ist\ndie Erklärung für die Worte des Urteils: Fördernd ist Beharrlichkeit. Hier\nist die zweite Bedeutung: Festhalten und Stillehalten gegeben.\nNicht zu Hause essen, d. h. in öffentliche Dienste treten, bringt Heil: weil in\nSechs auf fünftem Platz ein Herrscher da ist, der die Würdigen ernährt. Hier\nist die dritte Bedeutung: Festhalten und Nähren gegeben.\n„Fördernd ist es, das große Wasser zu durchqueren." Der Gedanke wird\nnahegelegt durch die beiden Kernzeichen: Dschen, das auch Holz bedeutet,\nüber Dui, See. Diese gefährliche Aktion ist möglich, weil der Herr des\nZeichens, Sechs auf fünftem Platz, im Verhältnis des Entsprechens zum Zentralstrich des unteren Zeichens Himmel, Neun auf zweitem Platz, steht.	cerrado	coincide_ninguno
image_oraculo	Der Himmel inmitten des Berges: Das Bild von des Großen\nZähmungskraft. So lernt der Edle viele Worte der Vorzeit\nund Taten der Vergangenheit kennen, um dadurch seinen Cha-\nrakter zu festigen.\nDer Himmel deutet auf den Charakter, die Tugend. Die Festigung wird an-\ngedeutet durch den Berg. Die Mittel hierzu sind in dem Kernzeichen ver-\nborgen: das untere, Dui, Mund, deutet auf Worte; das obere, Dschen, Be-\nwegung, deutet auf Taten.\nAnfangs Neun:	Der Himmel inmitten des Berges: Das Bild von des Großen\nZähmungskraft. So lernt der Edle viele Worte der Vorzeit\nund Taten der Vergangenheit kennen, um dadurch seinen Cha-\nrakter zu festigen.\nDer Himmel deutet auf den Charakter, die Tugend. Die Festigung wird an-\ngedeutet durch den Berg. Die Mittel hierzu sind in dem Kernzeichen ver-\nborgen: das untere, Dui, Mund, deutet auf Worte; das obere, Dschen, Be-\nwegung, deutet auf Taten.	Der Himmel inmitten des Berges: Das Bild von des Großen\nZähmungskraft. So lernt der Edle viele Worte der Vorzeit\nund Taten der Vergangenheit kennen, um dadurch seinen Cha-\nrakter zu festigen.\nDer Himmel deutet auf den Charakter, die Tugend. Die Festigung wird an-\ngedeutet durch den Berg. Die Mittel hierzu sind in dem Kernzeichen ver-\nborgen: das untere, Dui, Mund, deutet auf Worte; das obere, Dschen, Be-\nwegung, deutet auf Taten.	disputed	425-428	Der Himmel inmitten des Berges: Das Bild von des Großen\nZähmungskraft.\nSo lernt der Edle viele Worte der Vorzeit und Taten der Vergangenheit kennen, um dadurch seinen Charakter zu festigen.	cerrado	coincide_ninguno
commentary_image	Der Himmel inmitten des Berges: Das Bild von des Großen\nZähmungskraft. So lernt der Edle viele Worte der Vorzeit\nund Taten der Vergangenheit kennen, um dadurch seinen Cha-\nrakter zu festigen.\nDer Himmel deutet auf den Charakter, die Tugend. Die Festigung wird an-\ngedeutet durch den Berg. Die Mittel hierzu sind in dem Kernzeichen ver-\nborgen: das untere, Dui, Mund, deutet auf Worte; das obere, Dschen, Be-\nwegung, deutet auf Taten.\nAnfangs Neun:	Der Himmel inmitten des Berges: Das Bild von des Großen\nZähmungskraft. So lernt der Edle viele Worte der Vorzeit\nund Taten der Vergangenheit kennen, um dadurch seinen Cha-\nrakter zu festigen.\nDer Himmel deutet auf den Charakter, die Tugend. Die Festigung wird an-\ngedeutet durch den Berg. Die Mittel hierzu sind in dem Kernzeichen ver-\nborgen: das untere, Dui, Mund, deutet auf Worte; das obere, Dschen, Be-\nwegung, deutet auf Taten.	Der Himmel inmitten des Berges: Das Bild von des Großen\nZähmungskraft. So lernt der Edle viele Worte der Vorzeit\nund Taten der Vergangenheit kennen, um dadurch seinen Cha-\nrakter zu festigen.\nDer Himmel deutet auf den Charakter, die Tugend. Die Festigung wird an-\ngedeutet durch den Berg. Die Mittel hierzu sind in dem Kernzeichen ver-\nborgen: das untere, Dui, Mund, deutet auf Worte; das obere, Dschen, Be-\nwegung, deutet auf Taten.	disputed	425-428	Der Himmel deutet auf den Charakter, die Tugend. Die Festigung wird angedeutet durch den Berg. Die Mittel hierzu sind in dem Kernzeichen verborgen: das untere, Dui, Mund, deutet auf Worte; das obere, Dschen, Bewegung, deutet auf Taten.	cerrado	coincide_ninguno
L1_b_comentario	"Es ist Gefahr da. Fördernd ist es, abzustehen."\nSo setzt man sich der Gefahr nicht aus.\nDer starke Strich auf rechtem Platz möchte voran. Doch steht er in der Be-\nziehung des Entsprechens zu der Sechs auf viertem Platz, die eine der beiden\nhemmenden Linien ist. Sie bedeutet für die Anfangsneun, falls sie voran\nwollte, eine hemmende Gefahr. Da der Strich noch ganz im Anfang ist, läßt\ner sich hemmen und entgeht der Gefahr.	Es ist Gefahr da. Fördernd ist es, abzustehen."\nSo setzt man sich der Gefahr nicht aus.\nDer starke Strich auf rechtem Platz möchte voran. Doch steht er in der Be-\nziehung des Entsprechens zu der Sechs auf viertem Platz, die eine der beiden\nhemmenden Linien ist. Sie bedeutet für die Anfangsneun, falls sie voran\nwollte, eine hemmende Gefahr. Da der Strich noch ganz im Anfang ist, läßt\ner sich hemmen und entgeht der Gefahr.	Es ist Gefahr da. Fördernd ist es, abzustehen."\nSo setzt man sich der Gefahr nicht aus.\nDer starke Strich auf rechtem Platz möchte voran. Doch steht er in der Be-\nziehung des Entsprechens zu der Sechs auf viertem Platz, die eine der beiden\nhemmenden Linien ist. Sie bedeutet für die Anfangsneun, falls sie voran\nwollte, eine hemmende Gefahr. Da der Strich noch ganz im Anfang ist, läßt\ner sich hemmen und entgeht der Gefahr.	disputed	425-428	Es ist Gefahr da. Fördernd ist es, abzustehen."\nSo setzt man sich der Gefahr nicht aus.\nDer starke Strich auf rechtem Platz möchte voran. Doch steht er in der Beziehung des Entsprechens zu der Sechs auf viertem Platz, die eine der beiden\nhemmenden Linien ist. Sie bedeutet für die Anfangsneun, falls sie voran\nwollte, eine hemmende Gefahr. Da der Strich noch ganz im Anfang ist, läßt\ner sich hemmen und entgeht der Gefahr.	cerrado	coincide_pass04
L2_b_comentario	Dem Wagen werden die Achsenlager abgenommen."\nIn der Mitte ist kein Makel.\nKiän ist rund, daher das Bild des Rades. Dui, das Kernzeichen, deutet auf\nZerbrechen.\nDie Neun auf zweitem Platz ist auf zentralem Platz, daher kann sie sich be-\nherrschen. Sie wird gehemmt von der Neun auf fünftem Platz, zu der sie in\nBeziehung steht.	Dem Wagen werden die Achsenlager abgenommen."\nIn der Mitte ist kein Makel.\nds\n¿\nKiän ist rund, daher das Bild des Rades. Dui, das Kernzeichen, deutet auf\nZerbrechen.\nDie Neun auf zweitem Platz ist auf zentralem Platz, daher kann sie sich be-\nherrschen. Sie wird gehemmt von der Neun auf fünftem Platz, zu der sie in\nBeziehung steht.	Dem Wagen werden die Achsenlager abgenommen."\nIn der Mitte ist kein Makel.\nKiän ist rund, daher das Bild des Rades. Dui, das Kernzeichen, deutet auf\nZerbrechen.\nDie Neun auf zweitem Platz ist auf zentralem Platz, daher kann sie sich be-\nherrschen. Sie wird gehemmt von der Neun auf fünftem Platz, zu der sie in\nBeziehung steht.	disputed	425-428	Dem Wagen werden die Achsenlager abgenommen."\nIn der Mitte ist kein Makel.\nKiän ist rund, daher das Bild des Rades. Dui, das Kernzeichen, deutet auf\nZerbrechen.\nDie Neun auf zweitem Platz ist auf zentralem Platz, daher kann sie sich beherrschen. Sie wird gehemmt von der Neun auf fünftem Platz, zu der sie in Beziehung steht.	cerrado	coincide_pass04
L4_b_comentario	Das große Heil der Sechs auf viertem Platz besteht darin, daß\nsie Freude hat.\nDer Strich ist am Platz der Hörner des Kernzeichens Dui, das allerdings\nSchaf, nicht Rind bedeutet.\nDer Strich zähmt die Anfangsneun ohne Schwierigkeit, noch ehesie begonnen\nhat, gefährlich zu werden, daher die Freude.	Das große Heil der Sechs auf viertem Platz besteht darin, daß\nsie Freude hat.\nDer Strich ist am Platz der Hörner des Kernzeichens Dui, das allerdings\nSchaf, nicht Rind bedeutet.\nDer Strich zähmt die Anfangsneun ohne Schwierigkeit, noch ehe sie begonnen\nhat, gefährlich zu werden, daher die Freude.	Das große Heil der Sechs auf viertem Platz besteht darin, daß\nsie Freude hat.\nDer Strich ist am Platz der Hörner des Kernzeichens Dui, das allerdings\nSchaf, nicht Rind bedeutet.\nDer Strich zähmt die Anfangsneun ohne Schwierigkeit, noch ehe sie begonnen\nhat, gefährlich zu werden, daher die Freude.	disputed	425-428	Das große Heil der Sechs auf viertem Platz besteht darin, daß\nsie Freude hat.\nDer Strich ist am Platz der Hörner des Kernzeichens Dui, das allerdings\nSchaf, nicht Rind bedeutet.\nDer Strich zähmt die Anfangsneun ohne Schwierigkeit, noch ehe sie begonnen\nhat, gefährlich zu werden, daher die Freude.	cerrado	coincide_pass04
L5_b_comentario	Das Heil der Sechs auf fünftem Platz besteht darin, daß sie\nSegen hat.\nNach einer andern Deutung heißt es: eines jungen Schweines Anbindepfosten.\nDer Sinn ist jedenfalls die indirekte Hemmung, ehe die Gefahr groß ist.\nEin alter Kommentar bezieht sowohl das Schwein dieses Striches als das\nRind des vorigen auf Opfer, daher das Glück und der Segen.\nDer Segen kommt auf alle Fälle von der Beziehung, in der dieser Strich zu\ndem mittleren Strich des unteren Zeichens Himmel steht.\n8 Das Buch der Wandlungen II	Das Heil der Sechs auf fünftem Platz besteht darin, daß sie\nSegen hat.\nNach einer andern Deutung heißt es: eines jungen Schweines Anbindepfosten.\nDer Sinn ist jedenfalls die indirekte Hemmung, ehe die Gefahr groß ist.\nEin alter Kommentar bezieht sowohl das Schwein dieses Striches als das\nRind des vorigen auf Opfer, daher das Glück und der Segen.\nDer Segen kommt auf alle Fälle von der Beziehung, in der dieser Strich zu\ndem mittleren Strich des unteren Zeichens Himmel steht.\n8 Das Buch der Wandlungen II\nwww	Das Heil der Sechs auf fünftem Platz besteht darin, daß sie\nSegen hat.\nNach einer andern Deutung heißt es: eines jungen Schweines Anbindepfosten.\nDer Sinn ist jedenfalls die indirekte Hemmung, ehe die Gefahr groß ist.\nEin alter Kommentar bezieht sowohl das Schwein dieses Striches als das\nRind des vorigen auf Opfer, daher das Glück und der Segen.\nDer Segen kommt auf alle Fälle von der Beziehung, in der dieser Strich zu\ndem mittleren Strich des unteren Zeichens Himmel steht.\n8 Das Buch der Wandlungen II\nwww	disputed	425-428	Das Heil der Sechs auf fünftem Platz besteht darin, daß sie\nSegen hat.\nNach einer andern Deutung heißt es: eines jungen Schweines Anbindepfosten.\nDer Sinn ist jedenfalls die indirekte Hemmung, ehe die Gefahr groß ist.\nEin alter Kommentar bezieht sowohl das Schwein dieses Striches als das\nRind des vorigen auf Opfer, daher das Glück und der Segen.\nDer Segen kommt auf alle Fälle von der Beziehung, in der dieser Strich zu\ndem mittleren Strich des unteren Zeichens Himmel steht.	cerrado	coincide_ninguno
L6_b_comentario	Man erlangt den Himmelsweg":\nDie Wahrheit wirkt im Großen.\nDer obere Strich wird von Sechs auf fünftem Platz als Weiser geehrt. Er\nsteht zur Neun auf drittem Platz in Beziehung der Gleichartigkeit. Neun auf\ndrittem Platz aber ist der höchste Strich des Zeichens Himmel. Das obere\nZeichen Gen bedeutet einen Weg.\nBemerkung: Die Beziehungen von Yin- und Yangstrichen sind hier nicht die\ndes Entsprechens und Förderns, sondern dem Charakter des Zeichens ent-\nsprechend die des Hemmens. Die Striche des unteren Zeichens werden ge-\nhemmt, die des oberen Zeichens sind die Hemmenden. Nur der dritte und\nder oberste Strich, die beide als Yangstriche übereinstimmen, sind von dem\nGedanken der Hemmung frei.\nDie beiden ersten Striche essen noch zu Hause und haben noch Hemmnisse,\ndas große Wasser zu durchqueren. Der vierte und fünfte wirken durch\nHemmung der ungeratenen, der eine hat es leichter, der andre schwieriger.\nDer dritte kommt voran, wenn auch noch unter Vorsicht und Schwierig-\nkeiten. Der oberste erst hat die Bahn frei und die Hemmnisse schwinden.\nEr ist der Würdige, der Großes vollbringen kann, und genährt wird.	Man erlangt den Himmelsweg":\nDie Wahrheit wirkt im Großen.\nDer obere Strich wird von Sechs auf fünftem Platz als Weiser geehrt. Er\nsteht zur Neun auf drittem Platz in Beziehung der Gleichartigkeit. Neun auf\ndrittem Platz aber ist der höchste Strich des Zeichens Himmel. Das obere\nZeichen Gen bedeutet einen Weg:\nBemerkung: Die Beziehungen von Yin- und Yangstrichen sind hier nicht die\ndes Entsprechens und Förderns, sondern dem Charakter des Zeichens ent-\nsprechend die des Hemmens. Die Striche des unteren Zeichens werden ge-\nhemmt, die des oberen Zeichens sind die Hemmenden. Nur der dritte und\nder oberste Strich, die beide als Yangstriche übereinstimmen, sind von dem\nGedanken der Hemmung frei.\nDie beiden ersten Striche essen noch zu Hause und haben noch Hemmnisse,\ndas große Wasser zu durchqueren. Der vierte und fünfte wirken durch\nHemmung der ungeratenen, der eine hat es leichter, der andre schwieriger.\nDer dritte kommt voran, wenn auch noch unter Vorsicht und Schwierig-\nkeiten. Der oberste erst hat die Bahn frei und die Hemmnisse schwinden.\nEr ist der Würdige, der Großes vollbringen kann, und genährt wird.	Man erlangt den Himmelsweg":\nDie Wahrheit wirkt im Großen.\nDer obere Strich wird von Sechs auf fünftem Platz als Weiser geehrt. Er\nsteht zur Neun auf drittem Platz in Beziehung der Gleichartigkeit. Neun auf\ndrittem Platz aber ist der höchste Strich des Zeichens Himmel. Das obere\nZeichen Gen bedeutet einen Weg:\nBemerkung: Die Beziehungen von Yin- und Yangstrichen sind hier nicht die\ndes Entsprechens und Förderns, sondern dem Charakter des Zeichens ent-\nsprechend die des Hemmens. Die Striche des unteren Zeichens werden ge-\nhemmt, die des oberen Zeichens sind die Hemmenden. Nur der dritte und\nder oberste Strich, die beide als Yangstriche übereinstimmen, sind von dem\nGedanken der Hemmung frei.\nDie beiden ersten Striche essen noch zu Hause und haben noch Hemmnisse,\ndas große Wasser zu durchqueren. Der vierte und fünfte wirken durch\nHemmung der ungeratenen, der eine hat es leichter, der andre schwieriger.\nDer dritte kommt voran, wenn auch noch unter Vorsicht und Schwierig-\nkeiten. Der oberste erst hat die Bahn frei und die Hemmnisse schwinden.\nEr ist der Würdige, der Großes vollbringen kann, und genährt wird.	disputed	425-428	Man erlangt den Himmelsweg":\nDie Wahrheit wirkt im Großen.\nDer obere Strich wird von Sechs auf fünftem Platz als Weiser geehrt. Er\nsteht zur Neun auf drittem Platz in Beziehung der Gleichartigkeit. Neun auf\ndrittem Platz aber ist der höchste Strich des Zeichens Himmel. Das obere\nZeichen Gen bedeutet einen Weg:\nBemerkung: Die Beziehungen von Yin- und Yangstrichen sind hier nicht die\ndes Entsprechens und Förderns, sondern dem Charakter des Zeichens entsprechend die des Hemmens. Die Striche des unteren Zeichens werden gehemmt, die des oberen Zeichens sind die Hemmenden. Nur der dritte und\nder oberste Strich, die beide als Yangstriche übereinstimmen, sind von dem\nGedanken der Hemmung frei.\nDie beiden ersten Striche essen noch zu Hause und haben noch Hemmnisse,\ndas große Wasser zu durchqueren. Der vierte und fünfte wirken durch\nHemmung der ungeratenen, der eine hat es leichter, der andre schwieriger.\nDer dritte kommt voran, wenn auch noch unter Vorsicht und Schwierigkeiten. Der oberste erst hat die Bahn frei und die Hemmnisse schwinden.\nEr ist der Würdige, der Großes vollbringen kann, und genährt wird.	cerrado	coincide_pass04
