campo	pass02	pass04	reconciliado	estado	jpg_paginas	contenido_pdf	au_estado	resolucion_disputa
ruler_note	Kun und\nKun\nDie H\nie Herren des Zeichens sind die Sechs auf fünftem Platz und die obere\nNeun. Auf sie bezieht es sich, wenn es im Kommentar zur Entschei-\ndung heißt: "Er ernährt den Würdigen und erreicht so das ganze Volk."	ie Herren des Zeichens sind die Sechs auf fünftem Platz und die obere\nside, wenn es im Kommentar zur Entschei\ndung heißt: "Er ernährt den Würdigen und erreicht so das ganze Volk."	ie Herren des Zeichens sind die Sechs auf fünftem Platz und die obere\nside, wenn es im Kommentar zur Entschei\ndung heißt: "Er ernährt den Würdigen und erreicht so das ganze Volk."	disputed	429-432	Kun und\nKun\nDie Herren des Zeichens sind die Sechs auf fünftem Platz und die obere\nNeun. Auf sie bezieht es sich, wenn es im Kommentar zur Entscheidung heißt: "Er ernährt den Würdigen und erreicht so das ganze Volk."	cerrado	coincide_ninguno
misc_notes	Mundwinkel bedeutet Ernährung des Rechten.\nDie Bewegung der beiden Zeichen ist gegeneinander gerichtet. Gen, das\nobere, bleibt stehen, Dschen, das untere, bewegt sich nach oben. Das deutet\nauf die beiden Kiefer mit ihren Zähnen. Der Oberkiefer ist unbeweglich,\nder Unterkiefer beweglich, daher die Bezeichnung des Zeichens als Mund-\nwinkel. Im Unterschied zum Zeichen Sü, Warten, Nr. 5, das auch die Er-\nnährung behandelt, aber mehr die Abhängigkeit von der Nahrung zeigt,\nhat das Zeichen I mehr die menschlich aktive Seite der Ernährung zum\nGegenstand, mit der Nebenbedeutung der Ernährung der Würdigen in\nerster Linie, um dadurch die Ernährung auch dem Volk zukommen zu\nlassen. So zeigen die beiden Zeichen die Ernährung als Naturvorgang (Sü,\ndas Warten) und als gesellschaftliches Problem (I, die Mundwinkel). Ein\nähnlicher Gegensatz besteht zwischen den beiden Zeichen, die die Nahrung\nbezeichnen: Nr. 48, Dsing, der Brunnen, das zur Nahrung nötige Wasser,\nund Nr. 50, Ding, der Tiegel, die zur Nahrung nötige Speise.	Kun und\nKun\nMundwinkel bedeutet Ernährung des Rechten.\nDie Bewegung der beiden Zeichen ist gegeneinander gerichtet. Gen, das\nobere, bleibt stehen, Dschen, das untere, bewegt sich nach oben. Das deutet\nauf die beiden Kiefer mit ihren Zähnen. Der Oberkiefer ist unbeweglich,\nder Unterkiefer beweglich, daher die Bezeichnung des Zeichens als Mund-\n感\n​BE AP\nO\nI\nwinkel. Im Unterschied zum Zeichen Sü, Warten, Nr. 5, das auch die Er-\nnährung behandelt, aber mehr die Abhängigkeit von der Nahrung zeigt,\nhat das Zeichen I mehr die menschlich aktive Seite der Ernährung zum\nGegenstand, mit der Nebenbedeutung der Ernährung der Würdigen in\nerster Linie, um dadurch die Ernährung auch dem Volk zukommen zu\nlassen. So zeigen die beiden Zeichen die Ernährung als Naturvorgang (Sü,\ndas Warten) und als gesellschaftliches Problem (I, die Mundwinkel). Ein\nähnlicher Gegensatz besteht zwischen den beiden Zeichen, die die Nahrung\nbezeichnen: Nr. 48, Dsing, der Brunnen, das zur Nahrung nötige Wasser,\nund Nr. 50, Ding, der Tiegel, die zur Nahrung nötige Speise.	Mundwinkel bedeutet Ernährung des Rechten.\nDie Bewegung der beiden Zeichen ist gegeneinander gerichtet. Gen, das\nobere, bleibt stehen, Dschen, das untere, bewegt sich nach oben. Das deutet\nauf die beiden Kiefer mit ihren Zähnen. Der Oberkiefer ist unbeweglich,\nder Unterkiefer beweglich, daher die Bezeichnung des Zeichens als Mund-\nwinkel. Im Unterschied zum Zeichen Sü, Warten, Nr. 5, das auch die Er-\nnährung behandelt, aber mehr die Abhängigkeit von der Nahrung zeigt,\nhat das Zeichen I mehr die menschlich aktive Seite der Ernährung zum\nGegenstand, mit der Nebenbedeutung der Ernährung der Würdigen in\nerster Linie, um dadurch die Ernährung auch dem Volk zukommen zu\nlassen. So zeigen die beiden Zeichen die Ernährung als Naturvorgang (Sü,\ndas Warten) und als gesellschaftliches Problem (I, die Mundwinkel). Ein\nähnlicher Gegensatz besteht zwischen den beiden Zeichen, die die Nahrung\nbezeichnen: Nr. 48, Dsing, der Brunnen, das zur Nahrung nötige Wasser,\nund Nr. 50, Ding, der Tiegel, die zur Nahrung nötige Speise.	disputed	429-432	Kun und\nKun\nMundwinkel bedeutet Ernährung des Rechten.\nDie Bewegung der beiden Zeichen ist gegeneinander gerichtet. Gen, das\nobere, bleibt stehen, Dschen, das untere, bewegt sich nach oben. Das deutet\nauf die beiden Kiefer mit ihren Zähnen. Der Oberkiefer ist unbeweglich,\nder Unterkiefer beweglich, daher die Bezeichnung des Zeichens als Mund-\n感\n​BE AP\nO\nI\nwinkel. Im Unterschied zum Zeichen Sü, Warten, Nr. 5, das auch die Ernährung behandelt, aber mehr die Abhängigkeit von der Nahrung zeigt,\nhat das Zeichen I mehr die menschlich aktive Seite der Ernährung zum\nGegenstand, mit der Nebenbedeutung der Ernährung der Würdigen in\nerster Linie, um dadurch die Ernährung auch dem Volk zukommen zu\nlassen. So zeigen die beiden Zeichen die Ernährung als Naturvorgang (Sü,\ndas Warten) und als gesellschaftliches Problem (I, die Mundwinkel). Ein\nähnlicher Gegensatz besteht zwischen den beiden Zeichen, die die Nahrung\nbezeichnen: Nr. 48, Dsing, der Brunnen, das zur Nahrung nötige Wasser,\nund Nr. 50, Ding, der Tiegel, die zur Nahrung nötige Speise.	cerrado	coincide_pass04
commentary_decision	"Die Mundwinkel. Beharrlichkeit bringt Heil."\nWenn man das Rechte ernährt, so bringt das Heil.\n,,Sieh auf die Ernährung", d. h. sieh zu, was einer ernährt.\n,,Womit er selbst sucht, seinen Mund zu füllen",\nd. h. sieh zu, womit sich einer selbst ernährt.\nHimmel und Erde ernähren alle Wesen. Der Heilige ernährt\ndie Würdigen und erreicht so das ganze Volk. Wahrlich groß\nist die Zeit der Ernährung.\nDas Zeichen wird als Bild im Ganzen aufgefaßt: das Bild eines geöffneten\nMundes, daher bedarf es keiner Erläuterung, woher die Bedeutung der Er-\nnährung stammt. Es wird nur betont, daß für die Art der Ernährung alles\ndarauf ankommt, daß sie im Einklang mit dem Rechten ist. Entsprechend\ndem Charakter der beiden Halbzeichen Bewegung und Stillehalten\nfindet die Beziehung des Entsprechens zwischen den in Betracht kommen-\nden Linien des unteren und oberen Zeichens nicht statt. Das untere Zeichen\nsucht Nahrung für sich, das obere gewährt Nahrung für andre.\n-	"Die Mundwinkel. Beharrlichkeit bringt Heil."\nWenn man das Rechte ernährt, so bringt das Heil.\n,,Sieh auf die Ernährung", d. h. sieh zu, was einer ernährt.\n,,Womit er selbst sucht, seinen Mund zu füllen",\nd. h. sieh zu, womit sich einer selbst ernährt.\nHimmel und Erde ernähren alle Wesen. Der Heilige ernährt\ndie Würdigen und erreicht so das ganze Volk. Wahrlich groß\nist die Zeit der Ernährung.\nDas Zeichen wird als Bild im Ganzen aufgefaßt: das Bild eines geöffneten\nMundes, daher bedarf es keiner Erläuterung, woher die Bedeutung der Er-\nnährung stammt. Es wird nur betont, daß für die Art der Ernährung alles\ndarauf ankommt, daß sie im Einklang mit dem Rechten ist. Entsprechend\ndem Charakter der beiden Halbzeichen Bewegung und Stillehalten\nfindet die Beziehung des Entsprechens zwischen den in Betracht kommen-\nden Linien des unteren und oberen Zeidiens nicht statt. Das untere Zeichen\nsucht Nahrung für sich, das obere gewährt Nahrung für andre.	"Die Mundwinkel. Beharrlichkeit bringt Heil."\nWenn man das Rechte ernährt, so bringt das Heil.\n,,Sieh auf die Ernährung", d. h. sieh zu, was einer ernährt.\n,,Womit er selbst sucht, seinen Mund zu füllen",\nd. h. sieh zu, womit sich einer selbst ernährt.\nHimmel und Erde ernähren alle Wesen. Der Heilige ernährt\ndie Würdigen und erreicht so das ganze Volk. Wahrlich groß\nist die Zeit der Ernährung.\nDas Zeichen wird als Bild im Ganzen aufgefaßt: das Bild eines geöffneten\nMundes, daher bedarf es keiner Erläuterung, woher die Bedeutung der Er-\nnährung stammt. Es wird nur betont, daß für die Art der Ernährung alles\ndarauf ankommt, daß sie im Einklang mit dem Rechten ist. Entsprechend\ndem Charakter der beiden Halbzeichen Bewegung und Stillehalten\nfindet die Beziehung des Entsprechens zwischen den in Betracht kommen-\nden Linien des unteren und oberen Zeidiens nicht statt. Das untere Zeichen\nsucht Nahrung für sich, das obere gewährt Nahrung für andre.	disputed	429-432	"Die Mundwinkel. Beharrlichkeit bringt Heil."\nWenn man das Rechte ernährt, so bringt das Heil.\n„Sieh auf die Ernährung", d. h. sieh zu, was einer ernährt.\n„Womit er selbst sucht, seinen Mund zu füllen",\nd. h. sieh zu, womit sich einer selbst ernährt.\nHimmel und Erde ernähren alle Wesen. Der Heilige ernährt\ndie Würdigen und erreicht so das ganze Volk. Wahrlich groß\nist die Zeit der Ernährung.\nDas Zeichen wird als Bild im Ganzen aufgefaßt: das Bild eines geöffneten\nMundes, daher bedarf es keiner Erläuterung, woher die Bedeutung der Ernährung stammt. Es wird nur betont, daß für die Art der Ernährung alles\ndarauf ankommt, daß sie im Einklang mit dem Rechten ist. Entsprechend\ndem Charakter der beiden Halbzeichen Bewegung und Stillehalten\nfindet die Beziehung des Entsprechens zwischen den in Betracht kommenden Linien des unteren und oberen Zeichens nicht statt. Das untere Zeichen\nsucht Nahrung für sich, das obere gewährt Nahrung für andre.	cerrado	coincide_ninguno
image_oraculo	Unten am Berg ist der Donner: das Bild der Ernährung.\n-\nSo hat der Edle acht auf seine Worte und ist mäßig im Essen\nund Trinken.\nDer Donner ist das Zeichen, in dem Gott hervortritt, der Berg ist das Zeichen,\nin dem alle Dinge vollendet werden. Das ist das Bild der Ernährung. Aus\ndem Gesamtzeichen, das einen offenen Mund darstellt, werden dessen Be-\nwegungen, Reden und Nahrungsaufnahme, entnommen. Diese Bewegung\nentspricht dem Charakter des Zeichens Dschen. Sie muß gemäßigt werden,\num korrekt zu sein. Das entspricht dem Charakter des Zeichens Gen.\nAnfangs Neun:	Unten am Berg ist der Donner: das Bild der Ernährung.\nSo hat der Edle acht auf seine Worte und ist mäßig im Essen\nund Trinken.\nDer Donner ist das Zeichen, in dem Gott hervortritt, der Berg ist das Zeichen,\nin dem alle Dinge vollendet werden. Das ist das Bild der Ernährung. Aus\ndem Gesamtzeichen, das einen offenen Mund darstellt, werden dessen Be-\nwegungen, Reden und Nahrungsaufnahme, entnommen. Diese Bewegung\nwww\nentspricht dem Charakter des Zeichens Dschen. Sie muß gemäßigt werden,\num korrekt zu sein. Das entspricht dem Charakter des Zeichens Gen.	Unten am Berg ist der Donner: das Bild der Ernährung.\nSo hat der Edle acht auf seine Worte und ist mäßig im Essen\nund Trinken.\nDer Donner ist das Zeichen, in dem Gott hervortritt, der Berg ist das Zeichen,\nin dem alle Dinge vollendet werden. Das ist das Bild der Ernährung. Aus\ndem Gesamtzeichen, das einen offenen Mund darstellt, werden dessen Be-\nwegungen, Reden und Nahrungsaufnahme, entnommen. Diese Bewegung\nwww\nentspricht dem Charakter des Zeichens Dschen. Sie muß gemäßigt werden,\num korrekt zu sein. Das entspricht dem Charakter des Zeichens Gen.	disputed	429-432	Unten am Berg ist der Donner: das Bild der Ernährung.\nSo hat der Edle acht auf seine Worte\nund ist mäßig im Essen und Trinken.	cerrado	coincide_ninguno
commentary_image	Unten am Berg ist der Donner: das Bild der Ernährung.\n-\nSo hat der Edle acht auf seine Worte und ist mäßig im Essen\nund Trinken.\nDer Donner ist das Zeichen, in dem Gott hervortritt, der Berg ist das Zeichen,\nin dem alle Dinge vollendet werden. Das ist das Bild der Ernährung. Aus\ndem Gesamtzeichen, das einen offenen Mund darstellt, werden dessen Be-\nwegungen, Reden und Nahrungsaufnahme, entnommen. Diese Bewegung\nentspricht dem Charakter des Zeichens Dschen. Sie muß gemäßigt werden,\num korrekt zu sein. Das entspricht dem Charakter des Zeichens Gen.\nAnfangs Neun:	Unten am Berg ist der Donner: das Bild der Ernährung.\nSo hat der Edle acht auf seine Worte und ist mäßig im Essen\nund Trinken.\nDer Donner ist das Zeichen, in dem Gott hervortritt, der Berg ist das Zeichen,\nin dem alle Dinge vollendet werden. Das ist das Bild der Ernährung. Aus\ndem Gesamtzeichen, das einen offenen Mund darstellt, werden dessen Be-\nwegungen, Reden und Nahrungsaufnahme, entnommen. Diese Bewegung\nwww\nentspricht dem Charakter des Zeichens Dschen. Sie muß gemäßigt werden,\num korrekt zu sein. Das entspricht dem Charakter des Zeichens Gen.	Unten am Berg ist der Donner: das Bild der Ernährung.\nSo hat der Edle acht auf seine Worte und ist mäßig im Essen\nund Trinken.\nDer Donner ist das Zeichen, in dem Gott hervortritt, der Berg ist das Zeichen,\nin dem alle Dinge vollendet werden. Das ist das Bild der Ernährung. Aus\ndem Gesamtzeichen, das einen offenen Mund darstellt, werden dessen Be-\nwegungen, Reden und Nahrungsaufnahme, entnommen. Diese Bewegung\nwww\nentspricht dem Charakter des Zeichens Dschen. Sie muß gemäßigt werden,\num korrekt zu sein. Das entspricht dem Charakter des Zeichens Gen.	disputed	429-432	Unten am Berg ist der Donner: das Bild der Ernährung.\nSo hat der Edle acht auf seine Worte und ist mäßig im Essen\nund Trinken.\nDer Donner ist das Zeichen, in dem Gott hervortritt, der Berg ist das Zeichen,\nin dem alle Dinge vollendet werden. Das ist das Bild der Ernährung. Aus\ndem Gesamtzeichen, das einen offenen Mund darstellt, werden dessen Bewegungen, Reden und Nahrungsaufnahme, entnommen. Diese Bewegung\nwww\nentspricht dem Charakter des Zeichens Dschen. Sie muß gemäßigt werden,\num korrekt zu sein. Das entspricht dem Charakter des Zeichens Gen.	cerrado	coincide_pass04
L1_b_comentario	Du blickst nach mir mit herabhängenden Mundwinkeln";\ndas ist wahrlich nicht ehrenwert.\nDas ganze Zeichen erinnert in seiner Struktur an das Zeichen Li, das Haf-\ntende, daher das Bild der Schildkröte.\nDas Zeichen hat drei Gedanken: sich selbst nähren, andre nähren, von andern\ngenährt werden. Der obere starke Strich, der Herr des Zeichens, ernährt\ndie andern. Die mittleren schwachen Linien sind auf das Ernährtwerden\ndurch andre angewiesen. Der untere starke Strich sollte eigentlich imstande\nsein, sich selbst zu ernähren (Zauberschildkröte: die Schildkröte bedarf nicht\nder irdischen Nahrung, sondern kann sich von Luft ernähren). Statt dessen\nbewegt er sich auch auf die allgemeine Nahrungsquelle zu und will mitge-\nfüttert werden. Das ist verächtlich und unheilvoll. Das ,,Du" ist die An-\nfangsneun; das,,ich" die obere Neun.	Du blickst nach mir mit herabhängenden Mundwinkeln";\ndas ist wahrlich nicht ehrenwert.\nDas ganze Zeichen erinnert in seiner Struktur an das Zeichen Li, das Haf-\ntende, daher das Bild der Schildkröte.\nDas Zeichen hat drei Gedanken: sich selbst nähren, andre nähren, von andern\ngenährt werden. Der obere starke Strich, der Herr des Zeichens, ernährt\ndie andern. Die mittleren schwachen Linien sind auf das Ernährtwerden\ndurch andre angewiesen. Der untere starke Strich sollte eigentlich imstande\nsein, sich selbst zu ernähren (Zauberschildkröte: die Schildkröte bedarf nidit\nder irdischen Nahrung, sondern kann sich von Luft ernähren). Statt dessen\nbewegt er sich auch auf die allgemeine Nahrungsquelle zu und will mitge-\nfüttert werden. Das ist verächtlich und unheilvoll. Das "Du" ist die An-\nfangsneun; das ",ich" die obere Neun.	Du blickst nach mir mit herabhängenden Mundwinkeln";\ndas ist wahrlich nicht ehrenwert.\nDas ganze Zeichen erinnert in seiner Struktur an das Zeichen Li, das Haf-\ntende, daher das Bild der Schildkröte.\nDas Zeichen hat drei Gedanken: sich selbst nähren, andre nähren, von andern\ngenährt werden. Der obere starke Strich, der Herr des Zeichens, ernährt\ndie andern. Die mittleren schwachen Linien sind auf das Ernährtwerden\ndurch andre angewiesen. Der untere starke Strich sollte eigentlich imstande\nsein, sich selbst zu ernähren (Zauberschildkröte: die Schildkröte bedarf nidit\nder irdischen Nahrung, sondern kann sich von Luft ernähren). Statt dessen\nbewegt er sich auch auf die allgemeine Nahrungsquelle zu und will mitge-\nfüttert werden. Das ist verächtlich und unheilvoll. Das "Du" ist die An-\nfangsneun; das ",ich" die obere Neun.	disputed	429-432	Du blickst nach mir mit herabhängenden Mundwinkeln";\ndas ist wahrlich nicht ehrenwert.\nDas ganze Zeichen erinnert in seiner Struktur an das Zeichen Li, das Haftende, daher das Bild der Schildkröte.\nDas Zeichen hat drei Gedanken: sich selbst nähren, andre nähren, von andern\ngenährt werden. Der obere starke Strich, der Herr des Zeichens, ernährt\ndie andern. Die mittleren schwachen Linien sind auf das Ernährtwerden\ndurch andre angewiesen. Der untere starke Strich sollte eigentlich imstande\nsein, sich selbst zu ernähren (Zauberschildkröte: die Schildkröte bedarf nidit\nder irdischen Nahrung, sondern kann sich von Luft ernähren). Statt dessen\nbewegt er sich auch auf die allgemeine Nahrungsquelle zu und will mitgefüttert werden. Das ist verächtlich und unheilvoll. Das "Du" ist die Anfangsneun; das ",ich" die obere Neun.	cerrado	coincide_pass04
L2_b_comentario	Wenn die Sechs auf zweitem Platz so fortmacht, bringt es\nUnheil; denn sie verliert beim Gehen ihre Art.\nDie Sechs auf zweitem Platz könnte von ihresgleichen, der Anfangsneun,\nErnährung suchen. Statt dessen weicht sie von diesem Weg ab und sucht\nErnährung auf dem Gipfel, d. h. bei dem oberen Herrn des Zeichens. (Das\nobere Zeichen ist Gen, der Berg.) Das ist unheilvoll.\nAndere Auffassung: ,,Umgekehrt Ernährung suchen (nämlich bei Anfangs-\nneun) oder vom Wege abweichend beim Hügel Ernährung suchen (nämlich\nbei der oberen Neun) ist unheilvoll."	Wenn die Sechs auf zweitem Platz so fortmacht, bringt es\nUnheil; denn sie verliert beim Gehen ihre Art.\nDie Sechs auf zweitem Platz könnte von ihresgleichen, der Anfangsneun,\nErnährung suchen. Statt dessen weicht sie von diesem Weg ab und sucht\nErnährung auf dem Gipfel, d. h. bei dem oberen Herrn des Zeichens. (Das\nobere Zeichen ist Gen, der Berg.) Das ist unheilvoll.\nAndere Auffassung: "Umgekehrt Ernährung suchen (nämlich bei Anfangs-\nneun) oder vom Wege abweichend beim Hügel Ernährung suchen (nämlich\nbei der oberen Neun) ist unheilvoll."	Wenn die Sechs auf zweitem Platz so fortmacht, bringt es\nUnheil; denn sie verliert beim Gehen ihre Art.\nDie Sechs auf zweitem Platz könnte von ihresgleichen, der Anfangsneun,\nErnährung suchen. Statt dessen weicht sie von diesem Weg ab und sucht\nErnährung auf dem Gipfel, d. h. bei dem oberen Herrn des Zeichens. (Das\nobere Zeichen ist Gen, der Berg.) Das ist unheilvoll.\nAndere Auffassung: "Umgekehrt Ernährung suchen (nämlich bei Anfangs-\nneun) oder vom Wege abweichend beim Hügel Ernährung suchen (nämlich\nbei der oberen Neun) ist unheilvoll."	disputed	429-432	Wenn die Sechs auf zweitem Platz so fortmacht, bringt es\nUnheil; denn sie verliert beim Gehen ihre Art.\nDie Sechs auf zweitem Platz könnte von ihresgleichen, der Anfangsneun,\nErnährung suchen. Statt dessen weicht sie von diesem Weg ab und sucht\nErnährung auf dem Gipfel, d. h. bei dem oberen Herrn des Zeichens. (Das\nobere Zeichen ist Gen, der Berg.) Das ist unheilvoll.\nAndere Auffassung: "Umgekehrt Ernährung suchen (nämlich bei Anfangsneun) oder vom Wege abweichend beim Hügel Ernährung suchen (nämlich\nbei der oberen Neun) ist unheilvoll."	cerrado	coincide_pass04
L3_b_comentario	Zehn Jahre handle nicht danach":\ndenn es widerspricht allzusehr dem rechten Weg.\nAuch dieser Strich, der auf dem Gipfel des Zeichens Bewegung steht, sucht\nseine Ernährung statt bei der unteren Neun bei der Neun oben. Die zehn\nJahre kommen davon, daß das Kernzeichen Kun ist, dessen Zahl zehn ist.\nDer Grund, warum dieses Betragen so scharf getadelt wird, ist, daß der\nStrich auf Grund seines Verhältnisses des Entsprechens (das in diesem\nZeichen nicht gilt) persönliche Vorteile sucht.	Zehn Jahre handle nicht danach":\ndenn es widerspricht allzusehr dem rechten Weg.\nE.\nØs\nAuch dieser Strich, der auf dem Gipfel des Zeichens Bewegung steht, sucht\nseine Ernährung statt bei der unteren Neun bei der Neun oben. Die zehn\nJahre kommen davon, daß das Kernzeichen Kun ist, dessen Zahl zehn ist.\nDer Grund, warum dieses Betragen so scharf getadelt wird, ist, daß der\nStrich auf Grund seines Verhältnisses des Entsprechens (das in diesem\nZeichen nicht gilt) persönliche Vorteile sucht.	Zehn Jahre handle nicht danach":\ndenn es widerspricht allzusehr dem rechten Weg.\nAuch dieser Strich, der auf dem Gipfel des Zeichens Bewegung steht, sucht\nseine Ernährung statt bei der unteren Neun bei der Neun oben. Die zehn\nJahre kommen davon, daß das Kernzeichen Kun ist, dessen Zahl zehn ist.\nDer Grund, warum dieses Betragen so scharf getadelt wird, ist, daß der\nStrich auf Grund seines Verhältnisses des Entsprechens (das in diesem\nZeichen nicht gilt) persönliche Vorteile sucht.	disputed	429-432	Zehn Jahre handle nicht danach":\ndenn es widerspricht allzusehr dem rechten Weg.\nE.\nØs\nAuch dieser Strich, der auf dem Gipfel des Zeichens Bewegung steht, sucht\nseine Ernährung statt bei der unteren Neun bei der Neun oben. Die zehn\nJahre kommen davon, daß das Kernzeichen Kun ist, dessen Zahl zehn ist.\nDer Grund, warum dieses Betragen so scharf getadelt wird, ist, daß der\nStrich auf Grund seines Verhältnisses des Entsprechens (das in diesem\nZeichen nicht gilt) persönliche Vorteile sucht.	cerrado	coincide_pass04
L4_b_comentario	Das Heil des sich nach dem Gipfel Wendens um Ernährung\nberuht darauf, daß der Obere Licht verbreitet.\nDer Strich wendet sich ebenfalls an die obere Neun um Ernährung; aber da\ner demselben Zeichen angehört, bringt das - anders als bei Sedis auf zwei-\ntem Platz Heil. Das Umherspähen mit scharfen Augen ergibt sich aus\nder an Li erinnernden Form des Gesamtzeichens. Li ist auch das Auge.	Das Heil des sich nach dem Gipfel Wendens um Ernährung\nberuht darauf, daß der Obere Licht verbreitet.\n-\nDer Strich wendet sich ebenfalls an die obere Neun um Ernährung; aber da\ner demselben Zeichen angehört, bringt das — anders als bei Sechs auf zwei-\ntem Platz Heil. Das Umherspähen mit scharfen Augen ergibt sich aus\nder an Li erinnernden Form des Gesamtzeichens. Li ist auch das Auge.\n-	Das Heil des sich nach dem Gipfel Wendens um Ernährung\nberuht darauf, daß der Obere Licht verbreitet.\n-\nDer Strich wendet sich ebenfalls an die obere Neun um Ernährung; aber da\ner demselben Zeichen angehört, bringt das — anders als bei Sechs auf zwei-\ntem Platz Heil. Das Umherspähen mit scharfen Augen ergibt sich aus\nder an Li erinnernden Form des Gesamtzeichens. Li ist auch das Auge.\n-	disputed	429-432	Das Heil des sich nach dem Gipfel Wendens um Ernährung\nberuht darauf, daß der Obere Licht verbreitet.\nDer Strich wendet sich ebenfalls an die obere Neun um Ernährung; aber da\ner demselben Zeichen angehört, bringt das — anders als bei Sechs auf zweitem Platz Heil. Das Umherspähen mit scharfen Augen ergibt sich aus\nder an Li erinnernden Form des Gesamtzeichens. Li ist auch das Auge.	cerrado	coincide_ninguno
L6_b_comentario	Die Quelle der Ernährung. Bewußtsein der Gefahr bringt\nHeil."\nEr hat großen Segen.\nDie Gefahr kommt von der verantwortungsvollen Stellung an der Spitze\ndes Zeichens und daher, daß der Strich noch dazuhin beauftragt und geehrt\nvon dem weichen Herrscher auf fünftem Platz ist. Aber in dieser Stellung\nspendet er großen Segen. Indem der Strich so der Gefahr bewußt ist, kann\ner große Werke wie das Durchqueren des Wassers unternehmen. (Beim\nÜbergang des Zeichens in das Folgende ist dieser Strich an der Oberfläche\ndes Zeichens Dui, daher nicht wie der vorhergehende in Gefahr des\nErtrinkens.)\n大​過​口	Die Quelle der Ernährung. Bewußtsein der Gefahr bringt\nHeil."\nEr hat großen Segen.\nDie Gefahr kommt von der verantwortungsvollen Stellung an der Spitze\ndes Zeichens und daher, daß der Strich noch dazuhin beauftragt und geehrt\nvon dem weichen Herrscher auf fünftem Platz ist. Aber in dieser Stellung\nspendet er großen Segen. Indem der Strich so der Gefahr bewußt ist, kann\ner große Werke wie das Durchqueren des Wassers unternehmen. (Beim\nÜbergang des Zeichens in das Folgende ist dieser Strich an der Oberfläche\ndes Zeichens Dui, daher nicht wie der vorhergehende in Gefahr des\nErtrinkens.)	Die Quelle der Ernährung. Bewußtsein der Gefahr bringt\nHeil."\nEr hat großen Segen.\nDie Gefahr kommt von der verantwortungsvollen Stellung an der Spitze\ndes Zeichens und daher, daß der Strich noch dazuhin beauftragt und geehrt\nvon dem weichen Herrscher auf fünftem Platz ist. Aber in dieser Stellung\nspendet er großen Segen. Indem der Strich so der Gefahr bewußt ist, kann\ner große Werke wie das Durchqueren des Wassers unternehmen. (Beim\nÜbergang des Zeichens in das Folgende ist dieser Strich an der Oberfläche\ndes Zeichens Dui, daher nicht wie der vorhergehende in Gefahr des\nErtrinkens.)	disputed	429-432	Die Quelle der Ernährung. Bewußtsein der Gefahr bringt\nHeil."\nEr hat großen Segen.\nDie Gefahr kommt von der verantwortungsvollen Stellung an der Spitze\ndes Zeichens und daher, daß der Strich noch dazuhin beauftragt und geehrt\nvon dem weichen Herrscher auf fünftem Platz ist. Aber in dieser Stellung\nspendet er großen Segen. Indem der Strich so der Gefahr bewußt ist, kann\ner große Werke wie das Durchqueren des Wassers unternehmen. (Beim\nÜbergang des Zeichens in das Folgende ist dieser Strich an der Oberfläche\ndes Zeichens Dui, daher nicht wie der vorhergehende in Gefahr des\nErtrinkens.)	cerrado	coincide_pass04
