campo	pass02	pass04	reconciliado	estado	jpg_paginas	contenido_pdf	au_estado	resolucion_disputa
ruler_note	Kiän und\nSun\nie Herren des Zeichens sind die Sechs auf zweitem und die Neun auf\nvermag als einzige inlinie\ndie Gemeinschaft mit sämtlichen Yanglinien aufrecht zu erhalten, und die\nNeun auf fünftem Platz entspricht ihr. Darum heißt es im Kommentar zur\nEntscheidung:,,Das Weiche findet seinen Platz, findet die Mitte, und es ent-\nspricht ihm das Schöpferische."	Kiän und\nSun\nD\nie Herren des Zeichens sind die Sechs auf zweitem und die Neun auf\nfünftem Platz. Die Sechs auf zweitem Platz vermag als einzige Yinlinie\ndie Gemeinschaft mit sämtlichen Yanglinien aufrecht zu erhalten, und die\nNeun auf fünftem Platz entspricht ihr. Darum heißt es im Kommentar zur\nEntscheidung: "Das Weiche findet seinen Platz, findet die Mitte, und es ent-\nspricht ihm das Schöpferische."	Kiän und\nSun\nD\nie Herren des Zeichens sind die Sechs auf zweitem und die Neun auf\nfünftem Platz. Die Sechs auf zweitem Platz vermag als einzige Yinlinie\ndie Gemeinschaft mit sämtlichen Yanglinien aufrecht zu erhalten, und die\nNeun auf fünftem Platz entspricht ihr. Darum heißt es im Kommentar zur\nEntscheidung: "Das Weiche findet seinen Platz, findet die Mitte, und es ent-\nspricht ihm das Schöpferische."	disputed	377-381	Die Herren des Zeichens sind die Sechs auf zweitem und die Neun auf\nfünftem Platz. Die Sechs auf zweitem Platz vermag als einzige Yinlinie\ndie Gemeinschaft mit sämtlichen Yanglinien aufrecht zu erhalten, und die\nNeun auf fünftem Platz entspricht ihr. Darum heißt es im Kommentar zur\nEntscheidung: "Das Weiche findet seinen Platz, findet die Mitte, und es entspricht ihm das Schöpferische."	cerrado	coincide_ninguno
sequence	Die Dinge können nicht immer stocken. Darum folgt darauf gemein\ndas Zeichen: Gemeinschaft mit Menschen.	Die Dinge können nicht immer stocken. Darum folgt darauf\ndas Zeichen: Gemeinschaft mit Menschen.	Die Dinge können nicht immer stocken. Darum folgt darauf\ndas Zeichen: Gemeinschaft mit Menschen.	disputed	377-381	Die Dinge können nicht immer stocken. Darum folgt darauf gemein\ndas Zeichen: Gemeinschaft mit Menschen.	cerrado	coincide_pass02
misc_notes	Gemeinschaft mit Menschen findet Liebe.\ni. Menschen\nDie Bewegung der beiden Halbzeichen geht nach oben, ist also gleichsinnig.\nAuch die beiden Kernzeichen Kiän und Sun, die zusammen das Zeichen\nEntgegenkommen (Nr. 44) bilden, deuten auf Gemeinschaft. Das untere\nZeichen ist Li, es bedeutet die Sonne und das Feuer. Der Himmel wird da-\ndurch, daß er das Feuer bekommt, noch besonders hell.	Gemeinschaft mit Menschen findet Liebe.\nDie Bewegung der beiden Halbzeichen geht nach oben, ist also gleichsinnig.\nAuch die beiden Kernzeichen Kiän und Sun, die zusammen das Zeichen\nEntgegenkommen (Nr. 44) bilden, deuten auf Gemeinschaft. Das untere\nZeichen ist Li, es bedeutet die Sonne und das Feuer. Der Himmel wird da-\ndurch, daß er das Feuer bekommt, noch besonders hell.	Gemeinschaft mit Menschen findet Liebe.\nDie Bewegung der beiden Halbzeichen geht nach oben, ist also gleichsinnig.\nAuch die beiden Kernzeichen Kiän und Sun, die zusammen das Zeichen\nEntgegenkommen (Nr. 44) bilden, deuten auf Gemeinschaft. Das untere\nZeichen ist Li, es bedeutet die Sonne und das Feuer. Der Himmel wird da-\ndurch, daß er das Feuer bekommt, noch besonders hell.	disputed	377-381	Gemeinschaft mit Menschen findet Liebe.\nDie Bewegung der beiden Halbzeichen geht nach oben, ist also gleichsinnig.\nAuch die beiden Kernzeichen Kiän und Sun, die zusammen das Zeichen\nEntgegenkommen (Nr. 44) bilden, deuten auf Gemeinschaft. Das untere\nZeichen ist Li, es bedeutet die Sonne und das Feuer. Der Himmel wird dadurch, daß er das Feuer bekommt, noch besonders hell.	cerrado	coincide_pass04
commentary_decision	Gemeinschaft mit Menschen. Das Weiche findet seinen Platz,\nfindet die Mitte, und es entspricht ihm das Schöpferische: das\nheißt Gemeinschaft mit Menschen.\nGemeinschaft mit Menschen heißt:,,Gemeinschaft mit Menschen\nim Freien: Gelingen. Fördernd ist es, das große Wasser zu\ndurchqueren."\nDas Schöpferische ist wirksam. Ordnung und Klarheit ver-\nbunden mit Kraft; zentral, korrekt und in der Beziehung des\nEntsprechens: das ist die Korrektheit des Edlen. Nur der\nEdle vermag die Willen aller unter dem Himmel zu vereinigen.\nDas Weiche, das seinen Platz findet in der Mitte und dem das Schöpferische\nentspricht, ist der zweite Strich. Er ist aufzufassen als Repräsentant des\nZeichens Kun, das auf dem zweiten Platz von Kiän sich niedergelassen hat.\nDarum entspricht dieser Strich der Art der Erde, des Beamten. Der Satz\nGemeinschaft mit Menschen im Freien" wird auch durch diese Linie dar-\ngestellt, die auf dem Platz des Feldes steht (vgl. Neun auf zweitem Platz im\nZeichen,,das Schöpferische", Nr. 1). Die Gemeinschaft wird hergestellt vom\nBeamten, nicht vom Herrscher, kraft seines Charakters, nicht kraft der\nAutorität der Stellung.\nDieser Charakter, der das zustande zu bringen vermag, wird aus den Eigen-\nschaften der beiden Zeichen gezeichnet. Ordnung und Klarheit sind Eigen-\nschaften von Li, Kraft von Kiän. Erst das Wissen, dann die Kraft: das ist\nder Weg zur Bildung.\nDer Edle nimmt, selbst in dienender Stellung, diese Stellung in korrekter,\nuneigennütziger Weise ein und findet den nötigen Rückhalt am Herrscher,\ndem Vertreter des himmlischen Prinzips. Der Wille der Menschen unter dem\nHimmel wird repräsentiert durch das Zeichen Li, das den erleuchteten Willen\nbedeutet, unterhalb Kiän, das den Himmel bedeutet.\nDas Durchqueren des großen Wassers wird durch das Kernzeichen Sun an-\ngedeutet, das Holz bedeutet und die Idee des Schiffes erzeugt.	Gemeinschaft mit Menschen. Das Weiche findet seinen Platz,\nfindet die Mitte, und es entspricht ihm das Schöpferische: das\nheißt Gemeinschaft mit Menschen.\nGemeinschaft mit Menschen heißt:,,Gemeinschaft mit Menschen\nim Freien: Gelingen. Fördernd ist es, das große Wasser zu\ndurchqueren."\nDas Schöpferische ist wirksam. Ordnung und Klarheit ver-\nbunden mit Kraft; zentral, korrekt und in der Beziehung des\nEntsprechens: das ist die Korrektheit des Edlen. Nur der\nEdle vermag die Willen aller unter dem Himmel zu vereinigen.\nDas Weiche, das seinen Platz findet in der Mitte und dem das Schöpferische\nentspricht, ist der zweite Strich. Er ist aufzufassen als Repräsentant des\nZeichens Kun, das auf dem zweiten Platz von Kiän sich niedergelassen hat.\nDarum entspricht dieser Strich der Art der Erde, des Beamten. Der Satz\nGemeinschaft mit Menschen im Freien" wird auch durch diese Linie dar-\ngestellt, die auf dem Platz des Feldes steht (vgl. Neun auf zweitem Platz im\nZeichen,,das Schöpferische", Nr. 1). Die Gemeinschaft wird hergestellt vom\nBeamten, nicht vom Herrscher, kraft seines Charakters, nicht kraft der\nAutorität der Stellung.\n4443~~AV\nDieser Charakter, der das zustande zu bringen vermag, wird aus den Eigen-\nschaften der beiden Zeichen gezeichnet. Ordnung und Klarheit sind Eigen-\nschaften von Li, Kraft von Kiän. Erst das Wissen, dann die Kraft: das ist\nder Weg zur Bildung.\nDer Edle nimmt, selbst in dienender Stellung, diese Stellung in korrekter,\nuneigennütziger Weise ein und findet den nötigen Rückhalt am Herrscher,\ndem Vertreter des himmlischen Prinzips. Der Wille der Menschen unter dem\nHimmel wird repräsentiert durch das Zeichen Li, das den erleuchteten Willen\nbedeutet, unterhalb Kiän, das den Himmel bedeutet.\nDas Durchqueren des großen Wassers wird durch das Kernzeichen Sun an-\ngedeutet, das Holz bedeutet und die Idee des Schiffes erzeugt.	Gemeinschaft mit Menschen. Das Weiche findet seinen Platz,\nfindet die Mitte, und es entspricht ihm das Schöpferische: das\nheißt Gemeinschaft mit Menschen.\nGemeinschaft mit Menschen heißt:,,Gemeinschaft mit Menschen\nim Freien: Gelingen. Fördernd ist es, das große Wasser zu\ndurchqueren."\nDas Schöpferische ist wirksam. Ordnung und Klarheit ver-\nbunden mit Kraft; zentral, korrekt und in der Beziehung des\nEntsprechens: das ist die Korrektheit des Edlen. Nur der\nEdle vermag die Willen aller unter dem Himmel zu vereinigen.\nDas Weiche, das seinen Platz findet in der Mitte und dem das Schöpferische\nentspricht, ist der zweite Strich. Er ist aufzufassen als Repräsentant des\nZeichens Kun, das auf dem zweiten Platz von Kiän sich niedergelassen hat.\nDarum entspricht dieser Strich der Art der Erde, des Beamten. Der Satz\nGemeinschaft mit Menschen im Freien" wird auch durch diese Linie dar-\ngestellt, die auf dem Platz des Feldes steht (vgl. Neun auf zweitem Platz im\nZeichen,,das Schöpferische", Nr. 1). Die Gemeinschaft wird hergestellt vom\nBeamten, nicht vom Herrscher, kraft seines Charakters, nicht kraft der\nAutorität der Stellung.\n4443~~AV\nDieser Charakter, der das zustande zu bringen vermag, wird aus den Eigen-\nschaften der beiden Zeichen gezeichnet. Ordnung und Klarheit sind Eigen-\nschaften von Li, Kraft von Kiän. Erst das Wissen, dann die Kraft: das ist\nder Weg zur Bildung.\nDer Edle nimmt, selbst in dienender Stellung, diese Stellung in korrekter,\nuneigennütziger Weise ein und findet den nötigen Rückhalt am Herrscher,\ndem Vertreter des himmlischen Prinzips. Der Wille der Menschen unter dem\nHimmel wird repräsentiert durch das Zeichen Li, das den erleuchteten Willen\nbedeutet, unterhalb Kiän, das den Himmel bedeutet.\nDas Durchqueren des großen Wassers wird durch das Kernzeichen Sun an-\ngedeutet, das Holz bedeutet und die Idee des Schiffes erzeugt.	disputed	377-381	Gemeinschaft mit Menschen. Das Weiche findet seinen Platz,\nfindet die Mitte, und es entspricht ihm das Schöpferische: das\nheißt Gemeinschaft mit Menschen.\nGemeinschaft mit Menschen heißt: „Gemeinschaft mit Menschen\nim Freien: Gelingen. Fördernd ist es, das große Wasser zu\ndurchqueren."\nDas Schöpferische ist wirksam. Ordnung und Klarheit verbunden mit Kraft; zentral, korrekt und in der Beziehung des\nEntsprechens: das ist die Korrektheit des Edlen. Nur der\nEdle vermag die Willen aller unter dem Himmel zu vereinigen.\nDas Weiche, das seinen Platz findet in der Mitte und dem das Schöpferische\nentspricht, ist der zweite Strich. Er ist aufzufassen als Repräsentant des\nZeichens Kun, das auf dem zweiten Platz von Kiän sich niedergelassen hat.\nDarum entspricht dieser Strich der Art der Erde, des Beamten. Der Satz\nGemeinschaft mit Menschen im Freien" wird auch durch diese Linie dargestellt, die auf dem Platz des Feldes steht (vgl. Neun auf zweitem Platz im\nZeichen,,das Schöpferische", Nr. 1). Die Gemeinschaft wird hergestellt vom\nBeamten, nicht vom Herrscher, kraft seines Charakters, nicht kraft der\nAutorität der Stellung.\nDieser Charakter, der das zustande zu bringen vermag, wird aus den Eigenschaften der beiden Zeichen gezeichnet. Ordnung und Klarheit sind Eigenschaften von Li, Kraft von Kiän. Erst das Wissen, dann die Kraft: das ist\nder Weg zur Bildung.\nDer Edle nimmt, selbst in dienender Stellung, diese Stellung in korrekter,\nuneigennütziger Weise ein und findet den nötigen Rückhalt am Herrscher,\ndem Vertreter des himmlischen Prinzips. Der Wille der Menschen unter dem\nHimmel wird repräsentiert durch das Zeichen Li, das den erleuchteten Willen\nbedeutet, unterhalb Kiän, das den Himmel bedeutet.\nDas Durchqueren des großen Wassers wird durch das Kernzeichen Sun angedeutet, das Holz bedeutet und die Idee des Schiffes erzeugt.	cerrado	coincide_ninguno
image_oraculo	Der Himmel zusammen mit Feuer: das Bild der Gemeinschaft\nmit Menschen. So gliedert der Edle die Stämme und unter-\nscheidet die Dinge.\nDas Feuer hat dieselbe Art wie der Himmel, zu dem es emporflammt. Es\nwird in dieser Richtung noch bestärkt durch das Kernzeichen Sun, das den\nWind bedeutet. Der Wind, der überall hinkommt, deutet auch auf Ver-\neinigung und Gemeinschaft. Ebenso wird der Gedanke durch die Sonne am\nHimmel, die alles gemeinsam bescheint, ausgedrückt.\nAber in dieser Gemeinschaft ist doch ein Punkt, den der Edle nicht über-\nsehen darf. Er darf sich nicht gemein machen. Daher die Notwendigkeit\nder Gliederung und Unterscheidung, die durch die Eigenschaft der Ordnung\ndes unteren Zeichens Li nahegelegt ist.\nAnfangs Neun:	Der Himmel zusammen mit Feuer: das Bild der Gemeinschaft\nmit Menschen. So gliedert der Edle die Stämme und unter-\nscheidet die Dinge.\nDas Feuer hat dieselbe Art wie der Himmel, zu dem es emporflammt. Es\nwird in dieser Richtung noch bestärkt durch das Kernzeichen Sun, das den\nWind bedeutet. Der Wind, der überall hinkommt, deutet auch auf Ver-\neinigung und Gemeinschaft. Ebenso wird der Gedanke durch die Sonne am\nHimmel, die alles gemeinsam bescheint, ausgedrückt.\nAber in dieser Gemeinschaft ist doch ein Punkt, den der Edle nicht über-\nsehen darf. Er darf sich nicht gemein machen. Daher die Notwendigkeit\nder Gliederung und Unterscheidung, die durch die Eigenschaft der Ordnung\ndes unteren Zeichens Li nahegelegt ist.	Der Himmel zusammen mit Feuer: das Bild der Gemeinschaft\nmit Menschen. So gliedert der Edle die Stämme und unter-\nscheidet die Dinge.\nDas Feuer hat dieselbe Art wie der Himmel, zu dem es emporflammt. Es\nwird in dieser Richtung noch bestärkt durch das Kernzeichen Sun, das den\nWind bedeutet. Der Wind, der überall hinkommt, deutet auch auf Ver-\neinigung und Gemeinschaft. Ebenso wird der Gedanke durch die Sonne am\nHimmel, die alles gemeinsam bescheint, ausgedrückt.\nAber in dieser Gemeinschaft ist doch ein Punkt, den der Edle nicht über-\nsehen darf. Er darf sich nicht gemein machen. Daher die Notwendigkeit\nder Gliederung und Unterscheidung, die durch die Eigenschaft der Ordnung\ndes unteren Zeichens Li nahegelegt ist.	disputed	377-381	Der Himmel zusammen mit Feuer:\ndas Bild der Gemeinschaft mit Menschen.\nSo gliedert der Edle die Stämme und unterscheidet die Dinge.	cerrado	coincide_ninguno
commentary_image	Der Himmel zusammen mit Feuer: das Bild der Gemeinschaft\nmit Menschen. So gliedert der Edle die Stämme und unter-\nscheidet die Dinge.\nDas Feuer hat dieselbe Art wie der Himmel, zu dem es emporflammt. Es\nwird in dieser Richtung noch bestärkt durch das Kernzeichen Sun, das den\nWind bedeutet. Der Wind, der überall hinkommt, deutet auch auf Ver-\neinigung und Gemeinschaft. Ebenso wird der Gedanke durch die Sonne am\nHimmel, die alles gemeinsam bescheint, ausgedrückt.\nAber in dieser Gemeinschaft ist doch ein Punkt, den der Edle nicht über-\nsehen darf. Er darf sich nicht gemein machen. Daher die Notwendigkeit\nder Gliederung und Unterscheidung, die durch die Eigenschaft der Ordnung\ndes unteren Zeichens Li nahegelegt ist.\nAnfangs Neun:	Der Himmel zusammen mit Feuer: das Bild der Gemeinschaft\nmit Menschen. So gliedert der Edle die Stämme und unter-\nscheidet die Dinge.\nDas Feuer hat dieselbe Art wie der Himmel, zu dem es emporflammt. Es\nwird in dieser Richtung noch bestärkt durch das Kernzeichen Sun, das den\nWind bedeutet. Der Wind, der überall hinkommt, deutet auch auf Ver-\neinigung und Gemeinschaft. Ebenso wird der Gedanke durch die Sonne am\nHimmel, die alles gemeinsam bescheint, ausgedrückt.\nAber in dieser Gemeinschaft ist doch ein Punkt, den der Edle nicht über-\nsehen darf. Er darf sich nicht gemein machen. Daher die Notwendigkeit\nder Gliederung und Unterscheidung, die durch die Eigenschaft der Ordnung\ndes unteren Zeichens Li nahegelegt ist.	Der Himmel zusammen mit Feuer: das Bild der Gemeinschaft\nmit Menschen. So gliedert der Edle die Stämme und unter-\nscheidet die Dinge.\nDas Feuer hat dieselbe Art wie der Himmel, zu dem es emporflammt. Es\nwird in dieser Richtung noch bestärkt durch das Kernzeichen Sun, das den\nWind bedeutet. Der Wind, der überall hinkommt, deutet auch auf Ver-\neinigung und Gemeinschaft. Ebenso wird der Gedanke durch die Sonne am\nHimmel, die alles gemeinsam bescheint, ausgedrückt.\nAber in dieser Gemeinschaft ist doch ein Punkt, den der Edle nicht über-\nsehen darf. Er darf sich nicht gemein machen. Daher die Notwendigkeit\nder Gliederung und Unterscheidung, die durch die Eigenschaft der Ordnung\ndes unteren Zeichens Li nahegelegt ist.	disputed	377-381	Das Feuer hat dieselbe Art wie der Himmel, zu dem es emporflammt. Es\nwird in dieser Richtung noch bestärkt durch das Kernzeichen Sun, das den\nWind bedeutet. Der Wind, der überall hinkommt, deutet auch auf Vereinigung und Gemeinschaft. Ebenso wird der Gedanke durch die Sonne am\nHimmel, die alles gemeinsam bescheint, ausgedrückt.\nAber in dieser Gemeinschaft ist doch ein Punkt, den der Edle nicht übersehen darf. Er darf sich nicht gemein machen. Daher die Notwendigkeit\nder Gliederung und Unterscheidung, die durch die Eigenschaft der Ordnung\ndes unteren Zeichens Li nahegelegt ist.	cerrado	coincide_ninguno
L2_b_comentario	Gemeinschaft mit Menschen im Klan"\nist der Weg zur Beschämung.\nKlan ist Partei, Gemeinschaft auf Grund von Gleichartigkeit. Li nimmt bei\nden Zeichen der innerweltlichen Reihenfolge den Süden ein, den unter den\nZeichen der vorweltlichen Reihenfolge Kiän innehat. Durch Bewegung\nwird die Sechs zur Neun und Li zu Kiän. Das sind Zusammenhänge intimer\nArt. Da aber der Sinn des Zeichens die Öffentlichkeit bevorzugt, so ist diese\nGemeinschaft zu beschränkt und daher beschämend.	"Gemeinschaft mit Menschen im Klan"\nist der Weg zur Beschämung.\nKlan ist Partei, Gemeinschaft auf Grund von Gleichartigkeit. Li nimmt bei\nden Zeichen der innerweltlichen Reihenfolge den Süden ein, den unter den\nZeichen der vorweltlichen Reihenfolge Kiän innehat. Durch Bewegung\nwird die Sechs zur Neun und Li zu Kiän. Das sind Zusammenhänge intimer\nArt. Da aber der Sinn des Zeichens die Öffentlichkeit bevorzugt, so ist diese\nGemeinschaft zu beschränkt und daher beschämend.	"Gemeinschaft mit Menschen im Klan"\nist der Weg zur Beschämung.\nKlan ist Partei, Gemeinschaft auf Grund von Gleichartigkeit. Li nimmt bei\nden Zeichen der innerweltlichen Reihenfolge den Süden ein, den unter den\nZeichen der vorweltlichen Reihenfolge Kiän innehat. Durch Bewegung\nwird die Sechs zur Neun und Li zu Kiän. Das sind Zusammenhänge intimer\nArt. Da aber der Sinn des Zeichens die Öffentlichkeit bevorzugt, so ist diese\nGemeinschaft zu beschränkt und daher beschämend.	disputed	377-381	"Gemeinschaft mit Menschen im Klan"\nist der Weg zur Beschämung.\nKlan ist Partei, Gemeinschaft auf Grund von Gleichartigkeit. Li nimmt bei\nden Zeichen der innerweltlichen Reihenfolge den Süden ein, den unter den\nZeichen der vorweltlichen Reihenfolge Kiän innehat. Durch Bewegung\nwird die Sechs zur Neun und Li zu Kiän. Das sind Zusammenhänge intimer\nArt. Da aber der Sinn des Zeichens die Öffentlichkeit bevorzugt, so ist diese\nGemeinschaft zu beschränkt und daher beschämend.	cerrado	coincide_pass04
L3_b_comentario	Versteckt Waffen im Dickicht",\ndenn er hatte einen Harten zum Gegner.\n,,Drei Jahre lang erhebt er sich nicht."\nWie sollte es denn gehen?\nDas Zeichen Li bedeutet,,Waffen", das Kernzeichen Sun bedeutet,,verstek-\nken" und außerdem,,Holz, Dickicht". Das veränderte Zeichen von Sun er-\ngibt Gen, Berg, daher der hohe Hügel davor. Neun auf drittem Platz ist hart\nund nicht zentral und bedeutet einen groben Menschen, der auf Grund des\nZusammenhaltens mit Sechs auf zweitem Platz Gemeinschaft sucht. Sechs\nauf zweitem Platz ist korrekt und pflegt die entsprechende Gemeinschaft\nmit Neun auf fünftem Platz. Da sucht es Neun auf drittem Platz zu verhin-\ndern. Da seine Kraft dem Gegner nicht gewachsen ist, gebraucht er List. Er\nlugt aus nach dem Gegner, aber er wagt sich nicht hervor. Drei Jahre werden\nwohl durch die drei Striche von Kiän nahegelegt. Der Platz ist der untere\ndes Kernzeichens Kiän.	Versteckt Waffen im Dickicht",\ndenn er hatte einen Harten zum Gegner.\n,,Drei Jahre lang erhebt er sich nicht."\nWie sollte es denn gehen?\nDas Zeichen Li bedeutet,,Waffen", das Kernzeichen Sun bedeutet,,verstek-\nken" und außerdem ",Holz, Dickicht". Das veränderte Zeichen von Sun er-\ngibt Gen, Berg, daher der hohe Hügel davor. Neun auf drittem Platz ist hart\nund nicht zentral und bedeutet einen groben Menschen, der auf Grund des\nZusammenhaltens mit Sechs auf zweitem Platz Gemeinschaft sucht. Sechs\nauf zweitem Platz ist korrekt und pflegt die entsprechende Gemeinschaft\nmit Neun auf fünftem Platz. Da sucht es Neun auf drittem Platz zu verhin-\ndern. Da seine Kraft dem Gegner nicht gewachsen ist, gebraucht er List. Er\nlugt aus nach dem Gegner, aber er wagt sich nicht hervor. Drei Jahre werden\nwohl durch die drei Striche von Kiän nahegelegt. Der Platz ist der untere\ndes Kernzeichens Kiän.	Versteckt Waffen im Dickicht",\ndenn er hatte einen Harten zum Gegner.\n,,Drei Jahre lang erhebt er sich nicht."\nWie sollte es denn gehen?\nDas Zeichen Li bedeutet,,Waffen", das Kernzeichen Sun bedeutet,,verstek-\nken" und außerdem ",Holz, Dickicht". Das veränderte Zeichen von Sun er-\ngibt Gen, Berg, daher der hohe Hügel davor. Neun auf drittem Platz ist hart\nund nicht zentral und bedeutet einen groben Menschen, der auf Grund des\nZusammenhaltens mit Sechs auf zweitem Platz Gemeinschaft sucht. Sechs\nauf zweitem Platz ist korrekt und pflegt die entsprechende Gemeinschaft\nmit Neun auf fünftem Platz. Da sucht es Neun auf drittem Platz zu verhin-\ndern. Da seine Kraft dem Gegner nicht gewachsen ist, gebraucht er List. Er\nlugt aus nach dem Gegner, aber er wagt sich nicht hervor. Drei Jahre werden\nwohl durch die drei Striche von Kiän nahegelegt. Der Platz ist der untere\ndes Kernzeichens Kiän.	disputed	377-381	Versteckt Waffen im Dickicht",\ndenn er hatte einen Harten zum Gegner.\n„Drei Jahre lang erhebt er sich nicht."\nWie sollte es denn gehen?\nDas Zeichen Li bedeutet„Waffen", das Kernzeichen Sun bedeutet,,verstekken" und außerdem ",Holz, Dickicht". Das veränderte Zeichen von Sun ergibt Gen, Berg, daher der hohe Hügel davor. Neun auf drittem Platz ist hart\nund nicht zentral und bedeutet einen groben Menschen, der auf Grund des\nZusammenhaltens mit Sechs auf zweitem Platz Gemeinschaft sucht. Sechs\nauf zweitem Platz ist korrekt und pflegt die entsprechende Gemeinschaft\nmit Neun auf fünftem Platz. Da sucht es Neun auf drittem Platz zu verhindern. Da seine Kraft dem Gegner nicht gewachsen ist, gebraucht er List. Er\nlugt aus nach dem Gegner, aber er wagt sich nicht hervor. Drei Jahre werden\nwohl durch die drei Striche von Kiän nahegelegt. Der Platz ist der untere\ndes Kernzeichens Kiän.	cerrado	coincide_ninguno
L4_b_comentario	Er steigt auf seine Mauer."\nEs liegt im Sinne der Lage, daß er nichts machen kann. Sein\nHeil besteht darin, daß er in Bedrängnis kommt und darum\nzum Gesetz zurückkehrt.\nDie Neun auf viertem Platz sucht ebenfalls Gemeinschaft mit Sechs auf\nzweitem Platz. Aber Sechs auf zweitem Platz ist innen, Neun auf viertem\nPlatz ist außen. Im Verhältnis des Entsprechens steht Sechs auf zweitem\nPlatz zu Neun auf fünftem Platz, in dem des Zusammenhaltens zu Neun auf\n5 Das Buch der Wandlungen II\ndrittem Platz. Gegenüber von Neun auf viertem Platz bildet daher Neun auf\ndrittem Platz die hohe Mauer, die Sechs auf zweitem Platz deckt. Will nun\nNeun auf viertem Platz mit Neun auf fünftem Platz kämpfen, so sieht er\nsich bei seinem schwachen und unkorrekten Platz nicht in der Lage dazu. Da\naber seine Härte durch die Weichheit des Platzes gemildert ist, läßt er sich\ndurch die Notlage zur Rückkehr zum rechten Weg und Verzicht bewegen.	Er steigt auf seine Mauer."\nEs liegt im Sinne der Lage, daß er nichts machen kann. Sein\nHeil besteht darin, daß er in Bedrängnis kommt und darum\nzum Gesetz zurückkehrt.\nDie Neun auf viertem Platz sucht ebenfalls Gemeinschaft mit Sechs auf\nzweitem Platz. Aber Sechs auf zweitem Platz ist innen, Neun auf viertem\nPlatz ist außen. Im Verhältnis des Entsprechens steht Sechs auf zweitem\nPlatz zu Neun auf fünftem Platz, in dem des Zusammenhaltens zu Neun auf\n5 Das Buch der Wandlungen П\ndrittem Platz. Gegenüber von Neun auf viertem Platz bildet daher Neun auf\ndrittem Platz die hohe Mauer, die Sechs auf zweitem Platz deckt. Will nun\nNeun auf viertem Platz mit Neun auf fünftem Platz kämpfen, so sieht er\nsich bei seinem schwachen und unkorrekten Platz nicht in der Lage dazu. Da\naber seine Härte durch die Weichheit des Platzes gemildert ist, läßt er sich\ndurch die Notlage zur Rückkehr zum rechten Weg und Verzicht bewegen.	Er steigt auf seine Mauer."\nEs liegt im Sinne der Lage, daß er nichts machen kann. Sein\nHeil besteht darin, daß er in Bedrängnis kommt und darum\nzum Gesetz zurückkehrt.\nDie Neun auf viertem Platz sucht ebenfalls Gemeinschaft mit Sechs auf\nzweitem Platz. Aber Sechs auf zweitem Platz ist innen, Neun auf viertem\nPlatz ist außen. Im Verhältnis des Entsprechens steht Sechs auf zweitem\nPlatz zu Neun auf fünftem Platz, in dem des Zusammenhaltens zu Neun auf\n5 Das Buch der Wandlungen II\ndrittem Platz. Gegenüber von Neun auf viertem Platz bildet daher Neun auf\ndrittem Platz die hohe Mauer, die Sechs auf zweitem Platz deckt. Will nun\nNeun auf viertem Platz mit Neun auf fünftem Platz kämpfen, so sieht er\nsich bei seinem schwachen und unkorrekten Platz nicht in der Lage dazu. Da\naber seine Härte durch die Weichheit des Platzes gemildert ist, läßt er sich\ndurch die Notlage zur Rückkehr zum rechten Weg und Verzicht bewegen.	disputed	377-381	Er steigt auf seine Mauer."\nEs liegt im Sinne der Lage, daß er nichts machen kann. Sein\nHeil besteht darin, daß er in Bedrängnis kommt und darum\nzum Gesetz zurückkehrt.\nDie Neun auf viertem Platz sucht ebenfalls Gemeinschaft mit Sechs auf\nzweitem Platz. Aber Sechs auf zweitem Platz ist innen, Neun auf viertem\nPlatz ist außen. Im Verhältnis des Entsprechens steht Sechs auf zweitem\nPlatz zu Neun auf fünftem Platz, in dem des Zusammenhaltens zu Neun auf\ndrittem Platz. Gegenüber von Neun auf viertem Platz bildet daher Neun auf\ndrittem Platz die hohe Mauer, die Sechs auf zweitem Platz deckt. Will nun\nNeun auf viertem Platz mit Neun auf fünftem Platz kämpfen, so sieht er\nsich bei seinem schwachen und unkorrekten Platz nicht in der Lage dazu. Da\naber seine Härte durch die Weichheit des Platzes gemildert ist, läßt er sich\ndurch die Notlage zur Rückkehr zum rechten Weg und Verzicht bewegen.	cerrado	coincide_ninguno
hex_fin	13				377-381			
