hex	field	classification	score_pct	opening_score_pct	verdict	label	de_preview	mt_en_preview	baynes_en_preview	notes
1	hex	pair			mt_failed	MT falló	1		1	Traducción automática vacía o no disponible en caché.
2	hex	pair			mt_failed	MT falló	2		2	Traducción automática vacía o no disponible en caché.
3	hex	pair			mt_failed	MT falló	3		3	Traducción automática vacía o no disponible en caché.
4	hex	pair			mt_failed	MT falló	4		4	Traducción automática vacía o no disponible en caché.
5	hex	pair			mt_failed	MT falló	5		5	Traducción automática vacía o no disponible en caché.
6	hex	pair			mt_failed	MT falló	6		6	Traducción automática vacía o no disponible en caché.
7	hex	pair			mt_failed	MT falló	7		7	Traducción automática vacía o no disponible en caché.
8	hex	pair			mt_failed	MT falló	8		8	Traducción automática vacía o no disponible en caché.
9	hex	pair			mt_failed	MT falló	9		9	Traducción automática vacía o no disponible en caché.
10	hex	pair			mt_failed	MT falló	10		10	Traducción automática vacía o no disponible en caché.
11	hex	pair			mt_failed	MT falló	11		11	Traducción automática vacía o no disponible en caché.
12	hex	pair			mt_failed	MT falló	12		12	Traducción automática vacía o no disponible en caché.
13	hex	pair			mt_failed	MT falló	13		13	Traducción automática vacía o no disponible en caché.
14	hex	pair			mt_failed	MT falló	14		14	Traducción automática vacía o no disponible en caché.
15	hex	pair			mt_failed	MT falló	15		15	Traducción automática vacía o no disponible en caché.
16	hex	pair			mt_failed	MT falló	16		16	Traducción automática vacía o no disponible en caché.
17	hex	pair			mt_failed	MT falló	17		17	Traducción automática vacía o no disponible en caché.
18	hex	pair			mt_failed	MT falló	18		18	Traducción automática vacía o no disponible en caché.
19	hex	pair			mt_failed	MT falló	19		19	Traducción automática vacía o no disponible en caché.
20	hex	pair			mt_failed	MT falló	20		20	Traducción automática vacía o no disponible en caché.
21	hex	pair			mt_failed	MT falló	21		21	Traducción automática vacía o no disponible en caché.
22	hex	pair			mt_failed	MT falló	22		22	Traducción automática vacía o no disponible en caché.
23	hex	pair			mt_failed	MT falló	23		23	Traducción automática vacía o no disponible en caché.
24	hex	pair			mt_failed	MT falló	24		24	Traducción automática vacía o no disponible en caché.
25	hex	pair			mt_failed	MT falló	25		25	Traducción automática vacía o no disponible en caché.
26	hex	pair			mt_failed	MT falló	26		26	Traducción automática vacía o no disponible en caché.
27	hex	pair			mt_failed	MT falló	27		27	Traducción automática vacía o no disponible en caché.
28	hex	pair			mt_failed	MT falló	28		28	Traducción automática vacía o no disponible en caché.
29	hex	pair			mt_failed	MT falló	29		29	Traducción automática vacía o no disponible en caché.
30	hex	pair			mt_failed	MT falló	30		30	Traducción automática vacía o no disponible en caché.
31	hex	pair			mt_failed	MT falló	31		31	Traducción automática vacía o no disponible en caché.
32	hex	pair			mt_failed	MT falló	32		32	Traducción automática vacía o no disponible en caché.
33	hex	pair			mt_failed	MT falló	33		33	Traducción automática vacía o no disponible en caché.
34	hex	pair			mt_failed	MT falló	34		34	Traducción automática vacía o no disponible en caché.
35	hex	pair			mt_failed	MT falló	35		35	Traducción automática vacía o no disponible en caché.
36	hex	pair			mt_failed	MT falló	36		36	Traducción automática vacía o no disponible en caché.
37	hex	pair			mt_failed	MT falló	37		37	Traducción automática vacía o no disponible en caché.
38	hex	pair			mt_failed	MT falló	38		38	Traducción automática vacía o no disponible en caché.
39	hex	pair			mt_failed	MT falló	39		39	Traducción automática vacía o no disponible en caché.
40	hex	pair			mt_failed	MT falló	40		40	Traducción automática vacía o no disponible en caché.
41	hex	pair			mt_failed	MT falló	41		41	Traducción automática vacía o no disponible en caché.
42	hex	pair			mt_failed	MT falló	42		42	Traducción automática vacía o no disponible en caché.
43	hex	pair			mt_failed	MT falló	43		43	Traducción automática vacía o no disponible en caché.
44	hex	pair			mt_failed	MT falló	44		44	Traducción automática vacía o no disponible en caché.
45	hex	pair			mt_failed	MT falló	45		45	Traducción automática vacía o no disponible en caché.
46	hex	pair			mt_failed	MT falló	46		46	Traducción automática vacía o no disponible en caché.
47	hex	pair			mt_failed	MT falló	47		47	Traducción automática vacía o no disponible en caché.
48	hex	pair			mt_failed	MT falló	48		48	Traducción automática vacía o no disponible en caché.
49	hex	pair			mt_failed	MT falló	49		49	Traducción automática vacía o no disponible en caché.
50	hex	pair			mt_failed	MT falló	50		50	Traducción automática vacía o no disponible en caché.
51	hex	pair			mt_failed	MT falló	51		51	Traducción automática vacía o no disponible en caché.
52	hex	pair			mt_failed	MT falló	52		52	Traducción automática vacía o no disponible en caché.
53	hex	pair			mt_failed	MT falló	53		53	Traducción automática vacía o no disponible en caché.
54	hex	pair			mt_failed	MT falló	54		54	Traducción automática vacía o no disponible en caché.
55	hex	pair			mt_failed	MT falló	55		55	Traducción automática vacía o no disponible en caché.
56	hex	pair			mt_failed	MT falló	56		56	Traducción automática vacía o no disponible en caché.
57	hex	pair			mt_failed	MT falló	57		57	Traducción automática vacía o no disponible en caché.
58	hex	pair			mt_failed	MT falló	58		58	Traducción automática vacía o no disponible en caché.
59	hex	pair			mt_failed	MT falló	59		59	Traducción automática vacía o no disponible en caché.
60	hex	pair			mt_failed	MT falló	60		60	Traducción automática vacía o no disponible en caché.
61	hex	pair			mt_failed	MT falló	61		61	Traducción automática vacía o no disponible en caché.
62	hex	pair			mt_failed	MT falló	62		62	Traducción automática vacía o no disponible en caché.
63	hex	pair			mt_failed	MT falló	63		63	Traducción automática vacía o no disponible en caché.
64	hex	pair			mt_failed	MT falló	64		64	Traducción automática vacía o no disponible en caché.
