campo	contenido_de	fuente_captura
hex	10	zeno.org:wilhelm-de-erstes-buch
nombre	DAS AUFTRETEN	zeno.org:wilhelm-de-erstes-buch
chinese	履	zeno.org:wilhelm-de-erstes-buch
chinese_roman	Lü	zeno.org:wilhelm-de-erstes-buch
hex_font	䷉	zeno.org:wilhelm-de-erstes-buch
trigrama_arriba	oben Kiën, das Schöpferische, der Himmel	zeno.org:wilhelm-de-erstes-buch
trigrama_abajo	unten Dui, das Heitere, der See	zeno.org:wilhelm-de-erstes-buch
intro	10. Lü / DAS AUFTRETEN\noben Kiën, das Schöpferische, der Himmel\nunten Dui, das Heitere, der See\nDas Auftreten bedeutet einerseits die richtige Art, sich zu benehmen. Oben ist der Himmel, der Vater, unten ist der See, die jüngste Tochter. Das zeigt den Unterschied von hoch und niedrig, wie er der Stille, dem richtigen Auftreten in der Gesellschaft zugrunde liegt. Auftreten heißt wörtlich: »treten auf etwas«. Das kleine »Heitere« tritt auf das große »Starke«. Die Bewegungsrichtung beider Urzeichen ist nach oben. Daß das Starke auf das Schwache tritt, ist etwas Selbstverständliches, das im Buch der Wandlungen nicht besonders erwähnt wird. Das Auftreten des Schwachen dem Starken gegenüber ist deshalb nicht gefährlich, weil es in Heiterkeit geschieht, ohne Anmaßung, so daß der Starke nicht gereizt wird und es sich gutmütig gefallen läßt.	zeno.org:wilhelm-de-erstes-buch
judgment_oraculo	Auftreten auf des Tigers Schwanz.\nEr beißt den Menschen nicht. Gelingen.	zeno.org:wilhelm-de-erstes-buch
judgment_comentario	Die Lage ist eigentlich schwierig. Stärkstes und Schwächstes ist unmittelbar beisammen. Das Schwache geht hinter dem Starken her und macht sich mit ihm zu schaffen. Aber das Starke läßt es sich gefallen und tut ihm nichts zuleide, denn die Berührung ist heiter und nicht verletzend.\n\nDie menschliche Lage ist, daß man es mit wilden, unzugänglichen Menschen zu tun hat. Man erreicht in diesem Falle seinen Zweck, wenn man sich in seinem Auftreten an die gute Sitte hält. Gute, angenehme Formen des Auftretens führen auch reizbaren Menschen gegenüber zum Gelingen.	zeno.org:wilhelm-de-erstes-buch
image_oraculo	Oben der Himmel, unten der See: das Bild des Auftretens.\nSo unterscheidet der Edle hoch und niedrig\nund festigt dadurch den Sinn des Volkes.	zeno.org:wilhelm-de-erstes-buch
image_comentario	Himmel und See zeigen einen Höhenunterschied, der durch ihr Wesen von selbst gekommen ist und daher durch keinerlei Neid getrübt wird. So muß es auch in der Menschheit Höhenunterschiede geben. Eine allgemeine Gleichheit ist unmöglich durchzuführen. Es handelt sich aber darum, daß die Rangunterschiede in der menschlichen Gesellschaft nicht willkürlich und ungerecht sind; denn dann ist Neid und Klassenkampf die unausbleibliche Folge. Wenn dagegen die äußeren Rangunterschiede einer inneren Berechtigung entsprechen und innere Würdigkeit der Maßstab für den äußeren Rang ist, dann beruhigen sich die Menschen dabei, und die Gesellschaft kommt in Ordnung.	zeno.org:wilhelm-de-erstes-buch
L1_etiqueta	Anfangs eine Neun bedeutet:	zeno.org:wilhelm-de-erstes-buch
L1_oraculo	Einfaches Auftreten. Fortschreiten ohne Makel.	zeno.org:wilhelm-de-erstes-buch
L1_comentario	Man befindet sich in einer Lage, in der man noch nicht gebunden ist durch die Verpflichtungen des Verkehrs. Wenn man einfach auftritt, bleibt man frei von gesellschaftlichen Verpflichtungen und kann ruhig den Neigungen des eigenen Herzens folgen, da man keine Anforderungen an die Menschen stellt, sondern zufrieden ist. Das Auftreten bedeutet nicht Stehenbleiben, sondern Fortschreiten. Man befindet sich in ganz geringer Anfangsstellung. Aber man besitzt die innere Stärke, die den Fortschritt verbürgt. Wenn man sich mit der Einfachheit zufrieden gibt, so kann man fortschreiten ohne Makel. Wenn jemand sich nicht in bescheidenen Verhältnissen beruhigen kann, so will er voran und ist streberisch und unruhig, weil er durch sein Auftreten der Niedrigkeit und Armut entgehen will, nicht weil er etwas leisten will. Hat er sein Ziel erreicht, so wird er sicher hochmütig und üppig. Darum ist sein Fortschreiten mit Makel behaftet. Der Tüchtige dagegen ist zufrieden bei einfachem Auftreten. Er will fortschreiten, um etwas zu leisten. Hat er dann sein Ziel erreicht, so leistet er etwas, und alles ist gut.	zeno.org:wilhelm-de-erstes-buch
L2_etiqueta	Neun auf zweitem Platz bedeutet:	zeno.org:wilhelm-de-erstes-buch
L2_oraculo	Auftreten auf schlichter, ebener Bahn.\nEines dunkeln Mannes Beharrlichkeit bringt Heil.	zeno.org:wilhelm-de-erstes-buch
L2_comentario	Es ist hier die Lage eines einsamen Weisen gezeichnet. Er hält sich von dem Weltgetriebe fern, sucht nichts, will von niemandem etwas und läßt sich nicht blenden von verlockenden Zielen. Er ist sich selbst treu und wandelt so auf ebener Straße unangefochten durchs Leben. Weil er genügsam ist und das Schicksal nicht herausfordert, bleibt er frei von Verwicklungen.	zeno.org:wilhelm-de-erstes-buch
L3_etiqueta	Sechs auf drittem Platz bedeutet:	zeno.org:wilhelm-de-erstes-buch
L3_oraculo	Ein Einäugiger kann sehen, ein Lahmer kann auftreten.\nEr tritt auf des Tigers Schwanz. Der beißt den Menschen. Unheil!\nEin Krieger handelt so für seinen großen Fürsten.	zeno.org:wilhelm-de-erstes-buch
L3_comentario	Ein Einäugiger kann wohl sehen, aber es reicht ihm nicht zum klaren Sehen. Ein Lahmer kann wohl auftreten, aber es reicht ihm nicht zum Vorankommen. Wenn jemand mit solchen Schwächen sich dennoch für stark hält und sich demgemäß in Gefahr begibt, so zieht er sich Unheil zu. Denn er begeht etwas, das über seine Kraft geht. Diese tollkühne Art, ohne Rücksicht auf die eigenen Kräfte voranzustürmen, mag höchstens für einen Krieger, der für seinen großen Fürsten kämpft, hingehen.	zeno.org:wilhelm-de-erstes-buch
