campo	contenido_de	fuente_captura
hex	23	zeno.org:wilhelm-de-erstes-buch
nombre	DIE ZERSPLITTERUNG	zeno.org:wilhelm-de-erstes-buch
chinese	剝	zeno.org:wilhelm-de-erstes-buch
chinese_roman	Bo	zeno.org:wilhelm-de-erstes-buch
hex_font	䷖	zeno.org:wilhelm-de-erstes-buch
trigrama_arriba	oben Gen, das Stillehalten, der Berg	zeno.org:wilhelm-de-erstes-buch
trigrama_abajo	unten Kun, das Empfangende, die Erde	zeno.org:wilhelm-de-erstes-buch
intro	23. Bo / DIE ZERSPLITTERUNG\noben Gen, das Stillehalten, der Berg\nunten Kun, das Empfangende, die Erde\nDie dunklen Linien sind im Begriff, nach oben zu steigen und auch den letzten festen und lichten Strich zu Fall zu bringen, indem sie ihn durch ihren Einfluß zersetzen. Das Gemeine, Dunkle bekämpft das Edle, Starke nicht direkt, sondern höhlt es durch unmerkliche Wirkung allmählich aus, so daß es schließlich zusammenbricht.\n\nDas Zeichen stellt das Bild eines Hauses dar. Der oberste Strich ist das Dach. Indem nun das Dach zerbrochen wird, zerfällt das Haus.\n\nDas Zeichen ist dem neunten Monat (Oktober-November) zugeordnet. Die Yinkraft dringt immer mächtiger heran und ist im Begriff, die Yangkraft völlig zu verdrängen.	zeno.org:wilhelm-de-erstes-buch
judgment_oraculo	Die Zersplitterung. Nicht fördernd ist es, wohin zu gehen.	zeno.org:wilhelm-de-erstes-buch
judgment_comentario	Es ist eine Zeit, da die Gemeinen im Vordringen sind und eben im Begriff stehen, die letzten Starken und Edlen zu verdrängen. Darum, weil das im Lauf der Zeit begründet ist, ist es für den Edlen unter solchen Umständen nicht förderlich, etwas zu unternehmen. Aus den Bildern und ihren Eigenschaften ist das rechte Verhalten in solchen widrigen Zeiten zu entnehmen. Das untere Zeichen bedeutet die Erde, deren Eigenschaft die Fügsamkeit und Hingebung ist, das obere Zeichen bedeutet den Berg, dessen Eigenschaft die Stille ist. Das legt den Rat nahe, sich in die böse Zeit zu fügen und stille zu sein. Es handelt sich hier nicht um menschliches Machen, sondern um Zeitverhältnisse, die nach himmlischen Gesetzen auch einen Wechsel von Zunahme und Abnahme, Fülle und Leere zeigen. Diesen Zeitverhältnissen läßt sich nicht entgegenwirken. Daher ist es nicht Feigheit, sondern Weisheit, wenn man sich fügt und vermeidet zu handeln.	zeno.org:wilhelm-de-erstes-buch
image_oraculo	Der Berg ruht auf der Erde: das Bild der Zersplitterung.\nSo können die Oberen nur durch reiches Spenden an die\nUnteren ihre Stellung sichern.	zeno.org:wilhelm-de-erstes-buch
image_comentario	Der Berg ruht auf der Erde. Wenn er steil und schmal ist und keine breite Grundlage hat, so muß er einstürzen. Nur dadurch, daß  er breit und groß sich aus der Erde erhebt, nicht stolz und steil, ist seine Stellung gesichert. So ruhen auch die Herrschenden auf der breiten Grundlage des Volks. Auch für sie gilt es, freigebig und großzügig zu sein, wie die Erde, die alles trägt; dann werden sie ihre Stellung in Sicherheit bringen wie die Ruhe eines Berges.	zeno.org:wilhelm-de-erstes-buch
L1_etiqueta	Anfangs eine Sechs bedeutet:	zeno.org:wilhelm-de-erstes-buch
L1_oraculo	Das Bett wird zersplittert am Bein.\nDie Beharrlichen werden vernichtet. Unheil.	zeno.org:wilhelm-de-erstes-buch
L1_comentario	Die Gemeinen kommen heran und fangen heimlich von unten an mit ihrer zerstörenden Wühlarbeit, um auf diese Weise den Platz, auf dem der Edle ruht, zu untergraben. Die Anhänger des Herrschers, die ihm treu bleiben, werden durch Verleumdung und alle möglichen Machenschaften vernichtet. Die Lage ist unheilvoll. Doch läßt sich nichts tun als warten.	zeno.org:wilhelm-de-erstes-buch
L2_etiqueta	Sechs auf zweitem Platz bedeutet:	zeno.org:wilhelm-de-erstes-buch
L2_oraculo	Das Bett wird zersplittert am Rand.\nDie Beharrlichen werden vernichtet. Unheil.	zeno.org:wilhelm-de-erstes-buch
L2_comentario	Die Macht der Gemeinen wächst. Schon naht sich die Gefahr der eigenen Person. Es kommen schon deutliche Anzeichen. Die Ruhe wird gestört. Während man sich in dieser gefährlichen Lage befindet, ist man zudem noch ohne Hilfe und Entgegenkommen von oben und unten. In dieser Isolierung ist äußerste Vorsicht nötig. Man muß sich nach der Zeit richten und rechtzeitig ausweichen. Wollte man unbeugsam und beharrlich seinen Standpunkt weiter vertreten, so würde das zum Untergang führen.	zeno.org:wilhelm-de-erstes-buch
L3_etiqueta	Sechs auf drittem Platz bedeutet:	zeno.org:wilhelm-de-erstes-buch
L3_oraculo	Er zersplittert sich mit ihnen. Kein Makel.	zeno.org:wilhelm-de-erstes-buch
L3_comentario	Man steht mitten drin in einer schlechten Umgebung, mit der man auch durch äußere Verbindungen zusammenhängt. Doch besteht eine innere Beziehung zu einem höheren Menschen. Dadurch gewinnt man den inneren Halt, daß man sich frei machen kann von dem Wesen der Menschen der Umgebung. Man kommt dadurch wohl in Gegensatz zu ihnen, aber das ist kein Fehler.	zeno.org:wilhelm-de-erstes-buch
L4_etiqueta	Sechs auf viertem Platz bedeutet:	zeno.org:wilhelm-de-erstes-buch
L4_oraculo	Das Bett wird zersplittert bis zur Haut. Unheil.	zeno.org:wilhelm-de-erstes-buch
L4_comentario	Das Unglück erreicht hier den eigenen Leib, nicht mehr nur den Ruheplatz. Eine Warnung oder sonstiger Zusatz ist nicht beigefügt. Das Unheil ist auf der Höhe: es läßt sich nicht mehr abwenden.	zeno.org:wilhelm-de-erstes-buch
L5_etiqueta	Sechs auf fünftem Platz bedeutet:	zeno.org:wilhelm-de-erstes-buch
L5_oraculo	Ein Zug Fische. Durch die Palastdamen kommt Gunst.\nAlles ist förderlich.	zeno.org:wilhelm-de-erstes-buch
L5_comentario	Hier in unmittelbarer Nähe des oberen starken und lichten Prinzips wandelt sich die Natur des Dunklen. Es widerstrebt nicht mehr ränkevoll dem starken Prinzip, sondern unterwirft sich seiner Leitung. Ja als Haupt der übrigen Schwachen führt es diese alle dem Starken zu, gleichwie eine Fürstin ihre Dienerinnen ihrem Gatten wie einen Zug Fische zuführt und dadurch seine Gunst erlangt. Indem das Niedere sich so freiwillig dem Höheren unterstellt, findet es sein Glück, und auch das Höhere kommt zu seinem Recht. Darum geht alles gut.	zeno.org:wilhelm-de-erstes-buch
L6_etiqueta	Oben eine Neun bedeutet:	zeno.org:wilhelm-de-erstes-buch
L6_oraculo	Eine große Frucht ist noch ungegessen da.\nDer Edle erhält einen Wagen.\nDem Gemeinen zersplittert sein Haus.	zeno.org:wilhelm-de-erstes-buch
L6_comentario	Hier ist das Ende der Zersplitterung erreicht. Wenn sich das Unheil ausgetobt hat, kommen wieder bessere Zeiten. Der Same des Guten ist noch übrig. Gerade wenn die Frucht zur Erde fällt, wächst aus ihrem Samen aufs neue das Gute hervor. Der Edle kommt wieder zu Einfluß und Wirksamkeit. Er wird getragen von der öffentlichen Meinung wie auf einem Wagen. Am Gemeinen aber rächt sich seine Bosheit. Sein Haus zersplittert. Darin liegt ein Naturgesetz. Das Böse ist nicht nur dem Guten verderblich, sondern es vernichtet in seinen letzten Konsequenzen sich selbst; denn das Böse, das nur von der Verneinung lebt, kann aus sich selbst nicht bestehen. Auch der Gemeine fährt am besten, wenn er von einem Edlen in Zucht gehalten wird.	zeno.org:wilhelm-de-erstes-buch
yong_etiqueta		zeno.org:wilhelm-de-erstes-buch
yong_oraculo		zeno.org:wilhelm-de-erstes-buch
yong_comentario		zeno.org:wilhelm-de-erstes-buch
hex_fin		
