campo	contenido_de	fuente_captura
hex	28	zeno.org:wilhelm-de-erstes-buch
nombre	DES GROSSEN ÜBERGEWICHT	zeno.org:wilhelm-de-erstes-buch
chinese	大過	zeno.org:wilhelm-de-erstes-buch
chinese_roman	Da Go	zeno.org:wilhelm-de-erstes-buch
hex_font	䷛	zeno.org:wilhelm-de-erstes-buch
trigrama_arriba	oben Dui, das Heitere, der See	zeno.org:wilhelm-de-erstes-buch
trigrama_abajo	unten Sun, das Sanfte, der Wind, das Holz	zeno.org:wilhelm-de-erstes-buch
intro	28. Da Go / DES GROSSEN ÜBERGEWICHT\noben Dui, das Heitere, der See\nunten Sun, das Sanfte, der Wind, das Holz\nDas Zeichen besteht aus vier starken Strichen im Innern und zwei schwachen Linien außen. Wenn die Starken außen und die Schwachen innen sind, so ist das gut und kein Übergewicht, nichts Außerordentliches liegt vor. Hier ist das Umgekehrte der Fall. Das Zeichen stellt einen Balken dar, der innen dick und schwer, aber an den Enden zu schwach ist. Das ist kein Dauerzustand. Er muß verändert werden, vorübergehen, sonst droht Unheil.	zeno.org:wilhelm-de-erstes-buch
judgment_oraculo	Des Großen Übergewicht. Der Firstbalken biegt sich durch.\nFördernd ist es, zu haben, wohin man gehe.\nGelingen.	zeno.org:wilhelm-de-erstes-buch
judgment_comentario	Das Große ist im Übergewicht. Die Belastung ist zu groß für die tragenden Kräfte. Der Firstbalken, auf dem das ganze Dach ruht, biegt sich durch, weil seine tragenden Enden zu schwach für die Last sind. Es ist eine Zeit und Lage, die außerordentlicher Maßregeln bedarf, um überwunden zu werden, weil sie selbst eine Ausnahmezeit ist. Darum muß man darauf bedacht sein, möglichst rasch einen Übergang zu finden, zu handeln: das verspricht Erfolg; denn obwohl das Starke im Übergewicht ist, ist es doch in der Mitte, d.h. im inneren Schwerpunkt, so daß keine Revolution zu befürchten ist. Mit Gewaltmaßregeln freilich wird nichts erreicht. Man muß den Knoten lösen durch sanftes Eindringen in den Sinn der Lage (wie das durch die Eigenschaft des inneren Zeichens Sun nahegelegt ist), dann wird der Übergang in andere Verhältnisse gelingen. Es bedarf großer Überlegenheit; darum ist die Zeit des Übergewichts des Großen eine große Zeit.	zeno.org:wilhelm-de-erstes-buch
image_oraculo	Der See geht über die Bäume weg:\ndas Bild des Übergewichts im Großen.\nSo ist der Edle, wenn er allein steht, unbesorgt,\nund wenn er auf die Welt verzichten muß, unverzagt.	zeno.org:wilhelm-de-erstes-buch
image_comentario	Außerordentliche Zeiten des Übergewichts des Großen sind wie eine Überschwemmung, da der See über die Bäume weggeht. Aber solche Zustände gehen vorüber. In den einzelnen Zeichen ist die rechte Haltung in solchen Ausnahmezeiten gegeben: Das Bild von Sun ist der Baum, der fest steht, auch wenn er einsam ist, und die Eigenschaft von Dui ist die Heiterkeit, die unverzagt bleibt, auch wenn sie auf die Welt verzichten muß.	zeno.org:wilhelm-de-erstes-buch
L1_etiqueta	Anfangs eine Sechs bedeutet:	zeno.org:wilhelm-de-erstes-buch
L1_oraculo	Unterlegen mit weißem Schilfgras. Kein Makel.	zeno.org:wilhelm-de-erstes-buch
L1_comentario	Wenn man in außerordentlichen Zeiten etwas beginnen will, so muß man außerordentliche Vorsicht walten lassen, wie man etwas Schweres, das auf den Boden gestellt werden soll, mit Schilfgras vorsichtig unterlegt, damit nichts zerbricht. Diese Vorsicht mag übertrieben scheinen, aber sie ist kein Fehler. Alle außerordentlichen Unternehmungen können nur gelingen bei äußerster Vorsicht in den Anfängen und Grundlagen.	zeno.org:wilhelm-de-erstes-buch
L2_etiqueta	Neun auf zweitem Platz bedeutet:	zeno.org:wilhelm-de-erstes-buch
L2_oraculo	Ein trockener Pappelbaum treibt einen Wurzelsproß.\nEin älterer Mann bekommt eine junge Frau.\nAlles ist fördernd.	zeno.org:wilhelm-de-erstes-buch
L2_comentario	Das Holz steht am Wasser, daher das Bild einer alten Pappel, die einen Wurzelsproß treibt. Das ist eine außerordentliche Wiederbelebung des Wachstumsprozesses. Dieselbe außerordentliche Lage ergibt sich, wenn ein älterer Mann ein junges Mädchen zur Frau bekommt, die zu ihm paßt. Trotz des Außergewöhnlichen der Lage geht alles gut.\n\nPolitisch betrachtet ist der Sinn der, daß es in außerordentlichen Zeiten günstig ist, sich zu den Niedrigen zu halten, denn hier ist die Möglichkeit einer Erneuerung gegeben.	zeno.org:wilhelm-de-erstes-buch
L3_etiqueta	Neun auf drittem Platz bedeutet:	zeno.org:wilhelm-de-erstes-buch
L3_oraculo	Der Firstbalken biegt sich durch. Unheil.	zeno.org:wilhelm-de-erstes-buch
L3_comentario	Es ist eine Persönlichkeit gezeichnet, die in Zeiten des Übergewichts des Großen heftig durchfahren will. Sie nimmt von den andern keinen Rat, darum sind die andern auch nicht zu ihrer Unterstützung bereit. Dadurch wächst die Last, und es kommt zum Biegen oder Brechen. In gefahrvollen Zeiten beschleunigt eigenwilliges Zufahren nur den Zusammenbruch.	zeno.org:wilhelm-de-erstes-buch
L4_etiqueta	Neun auf viertem Platz bedeutet:	zeno.org:wilhelm-de-erstes-buch
L4_oraculo	Der Firstbalken wird gestützt. Heil.\nSind Hintergedanken da, ist es beschämend.	zeno.org:wilhelm-de-erstes-buch
L4_comentario	Durch freundliche Beziehungen zu den Unteren gelingt es einem verantwortlichen Mann, der Lage Herr zu werden. Wenn er aber seine Beziehungen dazu mißbrauchen wollte, um für sich persönlich Macht und Erfolg zu erlangen, statt nur für die Rettung des Ganzen zu sorgen, so wäre das beschämend.	zeno.org:wilhelm-de-erstes-buch
L5_etiqueta	Neun auf fünftem Platz bedeutet:	zeno.org:wilhelm-de-erstes-buch
L5_oraculo	Eine dürre Pappel treibt Blüten.\nEin älteres Weib bekommt einen Mann.\nKein Makel. Kein Lob.	zeno.org:wilhelm-de-erstes-buch
L5_comentario	Eine dürre Pappel, die Blüten treibt, erschöpft dadurch ihre Kräfte und kommt dem Ende dadurch nur näher. Eine ältere Frau nimmt sich noch einmal einen Mann. Aber es findet keine Erneuerung statt. Es bleibt alles steril. So bleibt doch nur die Sonderlichkeit bestehen, wenn auch alles in Ehren zugeht.\n\nPolitisch ist angedeutet, daß, wenn man in unsicheren Zeiten den Zusammenhang nach unten hin aufgibt und sich nur an seine Beziehungen zu höheren Ständen hält, damit ein Zustand geschaffen wird, der nicht dauerhaft ist.	zeno.org:wilhelm-de-erstes-buch
L6_etiqueta	Oben eine Sechs bedeutet:	zeno.org:wilhelm-de-erstes-buch
L6_oraculo	Man muß durchs Wasser. Es geht über den Scheitel.\nUnheil. Kein Makel.	zeno.org:wilhelm-de-erstes-buch
L6_comentario	Hier ist die Lage gezeichnet, daß das Außerordentliche aufs höchste gestiegen ist. Man ist mutig und will unter allen Umständen seine Aufgabe bewältigen. Dadurch kommt man in Gefahr. Das Wasser geht über einen weg. Das ist das Unheil. Aber das Leben zu lassen um der Durchsetzung des Guten und Rechten willen, das gibt keinen Makel. Es gibt Wichtigeres als das Leben.	zeno.org:wilhelm-de-erstes-buch
yong_etiqueta		zeno.org:wilhelm-de-erstes-buch
yong_oraculo		zeno.org:wilhelm-de-erstes-buch
yong_comentario		zeno.org:wilhelm-de-erstes-buch
hex_fin		
