campo	contenido_de	fuente_captura
hex	22	zeno.org:wilhelm-de-erstes-buch
nombre	DIE ANMUT	zeno.org:wilhelm-de-erstes-buch
chinese	賁	zeno.org:wilhelm-de-erstes-buch
chinese_roman	Bi	zeno.org:wilhelm-de-erstes-buch
hex_font	䷕	zeno.org:wilhelm-de-erstes-buch
trigrama_arriba	oben Gen, das Stillehalten, der Berg	zeno.org:wilhelm-de-erstes-buch
trigrama_abajo	unten Li, das Haftende, das Feuer	zeno.org:wilhelm-de-erstes-buch
intro	22. Bi / DIE ANMUT\noben Gen, das Stillehalten, der Berg\nunten Li, das Haftende, das Feuer\nDas Zeichen zeigt ein Feuer, das aus den geheimen Tiefen der Erde hervorbricht und emporflackernd den Berg, die himmlische Höhe, erleuchtet und verschönt. Die Anmut, die schöne Form ist nötig bei jeder Vereinigung, damit sie geordnet und lieblich wird und nicht chaotisch und ungeordnet.	zeno.org:wilhelm-de-erstes-buch
judgment_oraculo	Anmut hat Gelingen.\nIm Kleinen ist es fördernd, etwas zu unternehmen.	zeno.org:wilhelm-de-erstes-buch
judgment_comentario	Die Anmut bringt Gelingen. Aber sie ist nicht das Wesentliche, die Grundlage, sondern nur die Verzierung. Daher darf sie nur sparsam, im Kleinen angewandt werden. In dem unteren Zeichen, Feuer, tritt eine weiche Linie zwischen zwei starke und macht sie schön; die starken aber sind das Wesen, die schwache Linie ist die verschönernde Form. Im oberen Zeichen, Berg, tritt die starke Linie bestimmend an die Spitze, so daß sie auch hier als ausschlaggebend in Betracht kommt. In der Natur sieht man am Himmel das starke Licht der Sonne. Auf ihr beruht das Leben der Welt. Aber dieses Starke, Wesentliche wird umgewandelt und findet anmutige Abwechslung durch Mond und Sterne. Im Menschenleben besteht die schöne Form darin, daß wie Berge feststehende, starke Ordnungen da sind, die durch die klare Schönheit gefällig gemacht werden. Die Betrachtung der Formen am Himmel verleiht die Fähigkeit, die Zeit und ihre wechselnden Anforderungen zu verstehen. Die Betrachtung der Formen im Menschenleben verleiht die Möglichkeit, die Welt zu gestalten.\n\nBemerkung: Das Zeichen zeigt die ruhende Schönheit: innen Klarheit und außen Stille. Das ist die Ruhe der reinen Betrachtung. Wenn das Begehren schweigt, der Wille zur Ruhe kommt, dann tritt die Welt als Vorstellung in die Erscheinung. Und als solche ist sie schön und dem Kampf des Daseins entnommen. Das ist die Welt der Kunst. Aber durch bloße Betrachtung wird der Wille nicht endgültig zur Ruhe gebracht. Er wird wieder erwachen, und alles Schöne war dann nur ein vorübergehender Moment der Erhebung. Darum ist dies noch nicht der eigentliche Weg zur Erlösung. Kungtse fühlte sich daher auch sehr unbehaglich,  als er bei Gelegenheit einer Befragung des Orakels das Zeichen »Anmut« bekam.	zeno.org:wilhelm-de-erstes-buch
image_oraculo	Unten am Berg ist das Feuer: das Bild der Anmut.\nSo verfährt der Edle bei der Klarstellung\nder laufenden Angelegenheiten,\naber er wagt es nicht, danach Streitfragen zu entscheiden.	zeno.org:wilhelm-de-erstes-buch
image_comentario	Das Feuer, dessen Schein den Berg erleuchtet und anmutig macht, leuchtet nicht auf große Entfernung. So genügt anmutige Form zwar, um kleinere Angelegenheiten zu erheitern und zu erhellen, aber wichtige Fragen können in dieser Weise nicht entschieden werden. Sie bedürfen größeren Ernstes.	zeno.org:wilhelm-de-erstes-buch
L1_etiqueta	Anfangs eine Neun bedeutet:	zeno.org:wilhelm-de-erstes-buch
L1_oraculo	Macht seine Zehen anmutig, verläßt den Wagen und geht.	zeno.org:wilhelm-de-erstes-buch
L1_comentario	Die Stellung zu Beginn und an untergeordnetem Platze bringt es mit sich, daß man die Mühe des Vorankommens selbst auf sich nehmen muß. Man hätte Gelegenheit, sich unter der Hand eine Erleichterung – dargestellt unter dem Bild des Wagens – zu verschaffen. Aber ein in sich geschlossener Mensch verschmäht solche auf zweifelhafte Weise erlangte Erleichterungen. Er findet es anmutiger, zu Fuß zu gehen, als unrechtmäßigerweise im Wagen zu fahren.	zeno.org:wilhelm-de-erstes-buch
L2_etiqueta	Sechs auf zweitem Platz bedeutet:	zeno.org:wilhelm-de-erstes-buch
L2_oraculo	Macht seinen Kinnbart anmutig.	zeno.org:wilhelm-de-erstes-buch
