campo	contenido_de	fuente_captura
hex	8	libro-fisico-300dpi:jpg-pages:48-50+pass03-v2
nombre	DAS ZUSAMMENHALTEN	libro-fisico-300dpi:jpg-pages:48-50+pass03-v2
chinese	比	libro-fisico-300dpi:jpg-pages:48-50+pass03-v2
chinese_roman	BI	libro-fisico-300dpi:jpg-pages:48-50+pass03-v2
hex_font	䷇	libro-fisico-300dpi:jpg-pages:48-50+pass03-v2
trigrama_arriba	oben Kan, das Abgründige, das Wasser	libro-fisico-300dpi:jpg-pages:48-50+pass03-v2
trigrama_abajo	unten Kun, das Empfangende, die Erde	libro-fisico-300dpi:jpg-pages:48-50+pass03-v2
intro	8. BI / DAS ZUSAMMENHALTEN\noben Kan, das Abgründige, das Wasser\nunten Kun, das Empfangende, die Erde\nas Wasser über der Erde fließt zusammen, wie es immer kann, z. B. im\nDas es\nZusammenhalten und auf seine Gesetze deutet. Derselbe Gedanke wird da-\ndurch nahegelegt, daß alle Linien weich sind, bis auf den festen Strich an\nfünfter Stelle auf dem Platz des Herrschers. Die Weichen halten zusammen,\nindem sie von dem festen Willen an leitender Stelle beeinflußt werden, der\nihr Vereinigungsmittelpunkt ist. Aber auch diese starke, leitende Persön-\nlichkeit hält mit den andern zusammen, durch die sie eine Ergänzung zu\nihrem eigenen Wesen findet.	libro-fisico-300dpi:jpg-pages:48-50+pass03-v2
judgment_oraculo	Das Zusammenhalten bringt Heil.\nErgründe das Orakel nochmals,\nOb du Erhabenheit, Dauer und Beharrlichkeit hast;\nDann ist kein Makel da.\nDie Unsicheren kommen allmählich herbei.\nWer zu spät kommt, hat Unheil.	libro-fisico-300dpi:jpg-pages:48-50+pass03-v2
judgment_comentario	Es handelt sich darum, daß man sich mit andern zusammentut, um durch den\nZusammenhalt sich gegenseitig zu ergänzen und zu fördern. Für einen solchen\nZusammenhalt muß ein Mittelpunkt da sein, um den sich die andern scharen.\nMittelpunkt für das Zusammenhalten von Menschen zu werden, ist eine\nschwere Sache mit großer Verantwortung. Es bedarf innerlicher Größe,\nKonsequenz und Kraft dazu. Darum prüfe sich selbst, wer andre um sich\nvereinigen will, ob er der Sache gewachsen ist; denn wer andre sammeln\nwill ohne das Siegel des Berufenen, der richtet mehr Verwirrung an, als\nwenn kein Zusammenschluß stattgefunden hätte.\nWo aber ein wirklicher Sammlungspunkt vorhanden ist, da kommen die\nUnsicheren, anfangs noch Zögernden allmählich von selbst herbei. Die, die\nzu spät kommen, haben selbst den Schaden davon. Denn es handelt sich\nauch beim Zusammenhalten um die richtige Zeit. Beziehungen knüpfen sich\nund festigen sich nach bestimmten inneren Gesetzen. Gemeinsame Erleb-\nnisse festigen sie, und wer zu spät kommt und nicht mehr teilnehmen kann\nan diesen grundlegenden gemeinsamen Erfahrungen, der hat darunter zu\nleiden, wenn er als Nachzügler die Tür verschlossen findet.\nWer aber die Notwendigkeit des Zusammenschlusses erkannt hat und nicht\ndie Kraft in sich fühlt, als Mittelpunkt des Zusammenhaltens zu wirken, der\nhat die Pflicht, sich einer andern organischen Gemeinschaft anzuschließen¹.	libro-fisico-300dpi:jpg-pages:48-50+pass03-v2
