campo	contenido_de	fuente_captura
hex	33	zeno.org:wilhelm-de-erstes-buch
nombre	DER RÜCKZUG	zeno.org:wilhelm-de-erstes-buch
chinese	遯	zeno.org:wilhelm-de-erstes-buch
chinese_roman	Dun	zeno.org:wilhelm-de-erstes-buch
hex_font	䷠	zeno.org:wilhelm-de-erstes-buch
trigrama_arriba	oben Kiën, das Schöpferische, der Himmel	zeno.org:wilhelm-de-erstes-buch
trigrama_abajo	unten Gen, das Stillehalten, der Berg	zeno.org:wilhelm-de-erstes-buch
intro	33. Dun / DER RÜCKZUG\noben Kiën, das Schöpferische, der Himmel\nunten Gen, das Stillehalten, der Berg\nDie Kraft des Schattigen ist im Aufsteigen begriffen. Das Lichte zieht sich vor ihr in Sicherheit zurück, so daß jene ihm nichts anhaben kann. Es handelt sich bei diesem Rückzug nicht um menschliche Willkür, sondern um Gesetze des Naturgeschehens. Darum ist in diesem Fall der Rückzug die richtige Art des Handelns, die die Kräfte nicht aufreibt.\n\nAls Monatszeichen ist das Hexagramm dem sechsten Monat (Juli-August) beigeordnet, in dem die Winterkräfte schon wieder anfangen, ihre Wirkung zu zeigen.	zeno.org:wilhelm-de-erstes-buch
judgment_oraculo	Der Rückzug. Gelingen.\nIm Kleinen ist fördernd Beharrlichkeit.	zeno.org:wilhelm-de-erstes-buch
judgment_comentario	Die Verhältnisse sind so, daß die feindlichen Kräfte, durch die Zeit begünstigt, im Vorrücken sind. In diesem Fall ist der Rückzug das richtige, und eben durch den Rückzug erlangt man Gelingen. Der Erfolg besteht darin, daß man den Rückzug richtig auszuführen vermag. Rückzug ist nicht zu verwechseln mit Flucht, die auf weiter nichts bedacht ist als Rettung unter allen Umständen. Rückzug ist ein Zeichen von Stärke. Man darf den rechten Moment nicht versäumen, solange man in vollem Besitz von Kraft und Stellung ist. Da versteht man rechtzeitig die Zeichen der Zeit zu deuten und bereitet einen zeitweiligen Rückzug vor, statt sich in einen verzweifelten Kampf auf Leben und Tod einzulassen. So räumt man auch dem Gegner nicht ohne weiteres das Feld, sondern erschwert ihm das Vorrücken, indem man im einzelnen noch immer Beharrlichkeit zeigt. Auf diese Weise bereitet man im Rückzug schon den Umschwung vor. Die Gesetze eines solchen aktiven Rückzugs zu verstehen, ist nicht leicht. Der Sinn, der in solcher Zeit verborgen liegt, ist bedeutend.	zeno.org:wilhelm-de-erstes-buch
image_oraculo	Unter dem Himmel ist der Berg:\ndas Bild des Rückzugs.\nSo hält der Edle den Gemeinen fern,\nnicht zornig, sondern gemessen.	zeno.org:wilhelm-de-erstes-buch
