campo	contenido_de	fuente_captura
hex	40	zeno.org:wilhelm-de-erstes-buch
nombre	DIE BEFREIUNG	zeno.org:wilhelm-de-erstes-buch
chinese	解	zeno.org:wilhelm-de-erstes-buch
chinese_roman	Hië	zeno.org:wilhelm-de-erstes-buch
hex_font	䷧	zeno.org:wilhelm-de-erstes-buch
trigrama_arriba	oben Dschen, das Erregende, der Donner	zeno.org:wilhelm-de-erstes-buch
trigrama_abajo	unten Kan, das Abgründige, das Wasser	zeno.org:wilhelm-de-erstes-buch
intro	40. Hië / DIE BEFREIUNG\noben Dschen, das Erregende, der Donner\nunten Kan, das Abgründige, das Wasser\nDie Bewegung geht hier aus der Gefahr heraus. Das Hemmnis ist beseitigt, die Schwierigkeiten sind in der Lösung begriffen. Die Befreiung ist noch nicht vorüber, sondern setzt eben erst ein, und ihre verschiedenen Stadien kommen in dem Zeichen zur Darstellung.	zeno.org:wilhelm-de-erstes-buch
judgment_oraculo	Die Befreiung. Fördernd ist der Südwesten.\nWenn nichts mehr da ist, wohin man zu gehen hätte,\nist das Wiederkommen von Heil.\nWenn es noch etwas gibt, wohin man gehen muß,\ndann ist Raschheit von Heil.	zeno.org:wilhelm-de-erstes-buch
judgment_comentario	Es handelt sich um eine Zeit, da Spannungen und Verwicklungen sich zu lösen beginnen. In solchen Zeiten gilt es, sobald wie möglich zu den gewöhnlichen Verhältnissen sich zurückzuziehen – dies die Bedeutung des Südwestens. Solche Zeiten des Umschlags sind sehr wichtig. Ähnlich wie ein befreiender Regen die Spannung der Atmosphäre löst und alle Knospen zum Springen bringt, wirkt eine Zeit der Befreiung von drückender Last erlösend und anregend auf das Leben. Aber eins ist wichtig: Man darf in solchen Zeiten den Triumph nicht übertreiben wollen. Es gilt, nicht weiter vorzudringen, als nötig ist. Sowie die Befreiung erreicht ist, zurückzukehren zur Ordnung des Lebens, das ist von Heil. Wenn noch Reste aufzuarbeiten bleiben, so gilt es, das so schnell wie möglich zu tun, damit reiner Tisch gemacht wird und keine Verzögerungen eintreten.	zeno.org:wilhelm-de-erstes-buch
image_oraculo	Donner und Regen erheben sich:\ndas Bild der Befreiung.\nSo verzeiht der Edle Fehler und vergibt die Schuld.	zeno.org:wilhelm-de-erstes-buch
image_comentario	Das Gewitter hat luftreinigende Wirkung. So macht es der Edle auch mit den Fehlern und Sünden der Menschen, die Spannungszustände hervorrufen. Durch Klarheit schafft er Befreiung. Aber wenn die Verfehlungen am Tage sind, dann bleibt er nicht dabei,  sondern geht über die Fehler, die unabsichtlichen Übertretungen, einfach weg, wie der Donner verklingt, und vergibt die Schuld, die absichtlichen Übertretungen, wie das Wasser alles vom Schmutz reinigt.	zeno.org:wilhelm-de-erstes-buch
L1_etiqueta	Anfangs eine Sechs bedeutet:	zeno.org:wilhelm-de-erstes-buch
L1_oraculo	Ohne Makel.	zeno.org:wilhelm-de-erstes-buch
L1_comentario	Es werden nicht viele Worte gemacht, entsprechend der Situation. Die Hemmung ist vorüber, die Befreiung ist da. Man erholt sich in Ruhe und hält sich still. Das ist in Zeiten nach überstandenen Schwierigkeiten ganz das richtige.	zeno.org:wilhelm-de-erstes-buch
L2_etiqueta	Neun auf zweitem Platz bedeutet:	zeno.org:wilhelm-de-erstes-buch
L2_oraculo	Auf dem Feld erlegt man drei Füchse\nund bekommt einen gelben Pfeil.\nBeharrlichkeit ist von Heil.	zeno.org:wilhelm-de-erstes-buch
L2_comentario	Das Bild ist von der Jagd genommen. Der Jäger fängt drei listige Füchse und erhält zur Belohnung einen gelben Pfeil. Die Hemmnisse des öffentlichen Lebens sind die falschen Füchse, die als Schmeichler den Herrscher zu beeinflussen suchen. Sie müssen beseitigt werden, ehe Befreiung eintreten kann. Aber der Kampf darf nicht mit falschen Waffen geführt werden. Die gelbe Farbe deutet auf Maß und Mitte beim Vorgehen gegen die Feinde, der Pfeil auf die gerade Richtung. Wenn man sich der Aufgabe der Befreiung mit ganzem Herzen widmet, bekommt man eine solche Kraft der inneren Geradheit, daß sie als Waffe wirkt gegen alles Falsche und Gemeine.	zeno.org:wilhelm-de-erstes-buch
L3_etiqueta	Sechs auf drittem Platz bedeutet:	zeno.org:wilhelm-de-erstes-buch
L3_oraculo	Wenn einer eine Last auf dem Rücken trägt\nund trotzdem auf dem Wagen fährt,\nveranlaßt er dadurch die Räuber, herbeizukommen.\nBeharrlichkeit führt zu Beschämung.	zeno.org:wilhelm-de-erstes-buch
