campo	contenido_de	fuente_captura
hex	39	zeno.org:wilhelm-de-erstes-buch
nombre	DAS HEMMNIS	zeno.org:wilhelm-de-erstes-buch
chinese	蹇	zeno.org:wilhelm-de-erstes-buch
chinese_roman	Giën	zeno.org:wilhelm-de-erstes-buch
hex_font	䷦	zeno.org:wilhelm-de-erstes-buch
trigrama_arriba	oben Kan, das Abgründige, das Wasser	zeno.org:wilhelm-de-erstes-buch
trigrama_abajo	unten Gen, das Stillehalten, der Berg	zeno.org:wilhelm-de-erstes-buch
intro	39. Giën / DAS HEMMNIS\noben Kan, das Abgründige, das Wasser\nunten Gen, das Stillehalten, der Berg\nDas Zeichen stellt einen gefährlichen Abgrund dar, der vor einem liegt; hinter sich hat man den steilen, unzugänglichen Berg. So ist man von Hemmnissen umgeben. Aber in der Eigenschaft des Berges, stillezuhalten, liegt auch gleichzeitig ein Fingerzeig, wie man aus den Hemmnissen herauskommen kann. Das Zeichen stellt Hemmnisse dar, die im Lauf der Zeit sich einstellen, die aber überwunden werden können und sollen. Daher ist die ganze Auskunft darauf gerichtet, die Hemmnisse zu überwinden.	zeno.org:wilhelm-de-erstes-buch
judgment_oraculo	Das Hemmnis. Fördernd ist der Südwesten.\nNicht fördernd ist der Nordosten.\nFördernd ist es, den großen Mann zu sehen.\nBeharrlichkeit ist von Heil.	zeno.org:wilhelm-de-erstes-buch
judgment_comentario	Südwesten ist die Gegend des Rückzugs, Nordosten die Gegend des Vordringens. Es handelt sich um eine Lage, da sich Hemmnisse einem gegenüberstellen, die nicht direkt überwunden werden können. In diesem Fall ist es Weisheit, angesichts der Gefahr stehenzubleiben und sich zurückzuziehen. Dieser Rückzug ist jedoch nur die Vorbereitung zur Überwindung der Hemmnisse. Es gilt, sich mit gleichgesinnten Freunden zusammenzutun und sich der Leitung eines Mannes zu unterstellen, der der Lage gewachsen ist; dann wird es gelingen, die Hemmnisse zu beseitigen. Dazu bedarf es der Gesinnung der Beharrlichkeit gerade dann, wenn man scheinbar etwas tun muß, das vom Ziel abführt. Diese unbeirrbare Richtung des Innern bringt schließlich Heil. Das Hemmnis, das nur eine Zeitlang dauert, ist von Wert für die Bildung der eigenen Persönlichkeit. Das ist der Wert der Not.	zeno.org:wilhelm-de-erstes-buch
image_oraculo	Auf dem Berg ist das Wasser: das Bild des Hemmnisses.\nSo wendet sich der Edle seiner eigenen Person zu\nund bildet seinen Charakter.	zeno.org:wilhelm-de-erstes-buch
image_comentario	Schwierigkeiten und Hemmnisse werfen den Menschen auf sich selbst zurück. Während aber der Gemeine die Schuld draußen  bei andern Menschen sucht und das Schicksal anklagt, sucht der Edle den Fehler in sich selbst, und durch dieses Insichgehen wird die äußere Hemmung für ihn ein Anlaß innerer Bereicherung und Bildung.	zeno.org:wilhelm-de-erstes-buch
L1_etiqueta	Anfangs eine Sechs bedeutet:	zeno.org:wilhelm-de-erstes-buch
L1_oraculo	Gehen führt in Hemmnis, Kommen findet Lob.	zeno.org:wilhelm-de-erstes-buch
L1_comentario	Wenn man sich einem Hemmnis gegenüber sieht, so handelt es sich darum, zu überlegen, wie man damit am besten fertig wird. Wenn eine Gefahr uns droht, dürfen wir nicht blindlings nach vorwärts streben, das führte nur in Verwicklungen. Sondern es ist richtig, sich zunächst zurückzuziehen, nicht um den Kampf aufzugeben, sondern um den richtigen Augenblick für das Handeln abzuwarten.	zeno.org:wilhelm-de-erstes-buch
L2_etiqueta	Sechs auf zweitem Platz bedeutet:	zeno.org:wilhelm-de-erstes-buch
L2_oraculo	Des Königs Diener ist in Hemmnis über Hemmnis.\nAber es ist nicht seine eigene Schuld.	zeno.org:wilhelm-de-erstes-buch
L2_comentario	Während man normalerweise das Hemmnis am besten umgeht und auf der Linie des geringsten Widerstands zu überwinden sucht, gibt es doch einen Fall, da man der Schwierigkeit entgegengehen muß, auch wenn sich Schwierigkeit auf Schwierigkeit türmt: wenn nämlich der Weg der Pflicht dahin führt, daß man nicht aus freier Entschließung handeln kann, sondern die Pflicht hat, im Dienste einer höheren Sache die Gefahr aufzusuchen. Dann mag man es tun und dabei innerlich vollkommen beruhigt sein, weil man nicht durch eigene Schuld sich in diese schwierige Situation begeben hat.	zeno.org:wilhelm-de-erstes-buch
L3_etiqueta	Neun auf drittem Platz bedeutet:	zeno.org:wilhelm-de-erstes-buch
L3_oraculo	Gehen führt in Hemmnisse; da kommt er zurück.	zeno.org:wilhelm-de-erstes-buch
L3_comentario	Während die vorige Linie den Beamten zeigt, der um der Pflicht willen den Weg der Gefahr gehen muß, ist hier der Mann gezeigt, der als Familienvater oder Haupt der Seinen zu handeln hat. Wollte er sich leichtsinnig in Gefahr stürzen, so würde es doch nutzlos sein, weil die seiner Hut Anvertrauten allein nicht weiterkommen. Zieht er sich dagegen zurück und wendet sich den Seinen wieder zu, so begrüßen ihn diese mit großer Freude.	zeno.org:wilhelm-de-erstes-buch
L4_etiqueta	Sechs auf viertem Platz bedeutet:	zeno.org:wilhelm-de-erstes-buch
L4_oraculo	Gehen führt in Hemmnisse,\nKommen führt zur Vereinigung.	zeno.org:wilhelm-de-erstes-buch
L4_comentario	Auch hier ist eine Lage gezeichnet, der man allein nicht gewachsen ist. In solchem Fall ist der gerade Weg nicht der kürzeste. Wollte man aus eigner Kraft vorwärtsstreben, ohne die nötigen Vorbereitungen, so fände man nicht den nötigen Beistand und würde zu spät erkennen, daß die Berechnungen täuschen, indem die Umstände, mit denen man rechnen zu können hoffte, sich als zu schwach erweisen. Darum ist es in diesem Fall richtiger, zunächst sich zurückzuhalten und zuverlässige Gefährten um sich zu sammeln, auf die man sich stützen kann, um die Hemmnisse zu überwinden.	zeno.org:wilhelm-de-erstes-buch
L5_etiqueta	Neun auf fünftem Platz bedeutet:	zeno.org:wilhelm-de-erstes-buch
L5_oraculo	Inmitten der größten Hemmnisse kommen Freunde.	zeno.org:wilhelm-de-erstes-buch
L5_comentario	Hier sehen wir den Mann, der berufen ist, der Not zu steuern. Er darf den Hemmnissen nicht ausweichen wollen, auch wenn sie sich noch so gefährlich vor ihm auftürmen. Aber da er wirklich einen höheren Beruf hat, so ist die Macht seines Geistes stark genug, die Menschen an sich zu ziehen, daß sie kommen und ihm helfen, und er ist imstande, sie wirklich zu organisieren, damit durch die planvoll verteilte Zusammenarbeit aller Beteiligten das Hemmnis überwunden wird.	zeno.org:wilhelm-de-erstes-buch
L6_etiqueta	Oben eine Sechs bedeutet:	zeno.org:wilhelm-de-erstes-buch
L6_oraculo	Gehen führt in Hemmnisse, Kommen führt zu großem\nHeil.\nFördernd ist es, den großen Mann zu sehen.	zeno.org:wilhelm-de-erstes-buch
L6_comentario	Es ist hier jemand gezeichnet, der die Welt und ihr Getriebe schon hinter sich hat. Wenn nun die Zeit der Hemmnisse für die Welt kommt, so könnte es scheinen, als wäre es das einfachste für ihn, einfach die Welt hinter sich zu lassen und sich hinaus ins Jenseits zu flüchten. Aber dieser Weg ist ihm versperrt. Er darf nicht allein selig werden und die Welt ihrer Not überlassen. Sondern seine Pflicht ruft ihn noch einmal zurück ins Weltgetriebe. Gerade seine Erfahrung und innere Freiheit ermöglichen ihm dann, etwas Großes und Reifes zu schaffen, das Heil bringt. Und es ist fördernd, den großen Mann zu sehen, mit dem zusammen man das Werk der Rettung vollbringen kann.	zeno.org:wilhelm-de-erstes-buch
yong_etiqueta		zeno.org:wilhelm-de-erstes-buch
yong_oraculo		zeno.org:wilhelm-de-erstes-buch
yong_comentario		zeno.org:wilhelm-de-erstes-buch
hex_fin		
