campo	contenido_de	fuente_captura
hex	60	zeno.org:wilhelm-de-erstes-buch
nombre	DIE BESCHRÄNKUNG	zeno.org:wilhelm-de-erstes-buch
chinese	節	zeno.org:wilhelm-de-erstes-buch
chinese_roman	Dsië	zeno.org:wilhelm-de-erstes-buch
hex_font	䷻	zeno.org:wilhelm-de-erstes-buch
trigrama_arriba	oben Kan, das Abgründige, das Wasser	zeno.org:wilhelm-de-erstes-buch
trigrama_abajo	unten Dui, das Heitere, der See	zeno.org:wilhelm-de-erstes-buch
intro	60. Dsië / DIE BESCHRÄNKUNG\noben Kan, das Abgründige, das Wasser\nunten Dui, das Heitere, der See\nDer See hat einen beschränkten Raum. Wenn mehr Wasser hineinkommt, so fließt er über. Darum muß man ihm Schranken setzen. Es sind im Bild die Wasser unten und die Wasser oben, zwischen denen die Feste des Himmels als Schranke ist.\n\nDas chinesische Wort für Beschränkung bedeutet eigentlich die festen Glieder, durch die die Bambusstengel eingeteilt sind. Im gewöhnlichen Leben ist damit gemeint die Sparsamkeit, die feste Schranken für ihre Ausgaben hat. Im moralischen Leben sind es die festen Schranken, die sich der Edle steckt für seine Handlungen, die Schranken der Treue und der Uneigennützigkeit.	zeno.org:wilhelm-de-erstes-buch
judgment_oraculo	Beschränkung. Gelingen.\nBittere Beschränkung darf man nicht beharrlich üben.	zeno.org:wilhelm-de-erstes-buch
judgment_comentario	Schranken sind bemühend. Aber sie richten etwas aus. Durch Sparsamkeit im gewöhnlichen Leben ist man gerüstet auf Zeiten der Not. Durch Zurückhalten erspart man sich Beschämung. Aber ebenso sind Schranken in der Ordnung der Weltverhältnisse unentbehrlich. Die Natur hat feste Schranken für Sommer und Winter, Tag und Nacht, und durch diese Schranken erhält das Jahr seine Bedeutung. So dient die Sparsamkeit dazu, daß durch feste Schranken in den Ausgaben die Güter erhalten bleiben und die Menschen nicht geschädigt werden.\n\nNur ist auch in der Beschränkung Maßhalten nötig. Wollte man seiner eigenen Natur allzu bittere Schranken auferlegen, so würde sie darunter leiden. Wollte man die Beschränkung der andern zu weit treiben, so würden sie sich empören. Darum sind auch in der Beschränkung Schranken nötig.	zeno.org:wilhelm-de-erstes-buch
image_oraculo	Oberhalb des Sees ist Wasser:\ndas Bild der Beschränkung.\nSo schafft der Edle Zahl und Maß und untersucht,\nwas Tugend und rechter Wandel ist.	zeno.org:wilhelm-de-erstes-buch
