campo	contenido_de	fuente_captura
hex	63	zeno.org:wilhelm-de-erstes-buch
nombre	NACH DER VOLLENDUNG	zeno.org:wilhelm-de-erstes-buch
chinese	既濟	zeno.org:wilhelm-de-erstes-buch
chinese_roman	Gi Dsi	zeno.org:wilhelm-de-erstes-buch
hex_font	䷾	zeno.org:wilhelm-de-erstes-buch
trigrama_arriba	oben Kan, das Abgründige, das Wasser	zeno.org:wilhelm-de-erstes-buch
trigrama_abajo	unten Li, das Haftende, das Feuer	zeno.org:wilhelm-de-erstes-buch
intro	63. Gi Dsi / NACH DER VOLLENDUNG\noben Kan, das Abgründige, das Wasser\nunten Li, das Haftende, das Feuer\nDas Zeichen ist die Ausgestaltung des Zeichens Tai, der Friede (Nr. 11). Der Übergang aus der Verwirrung zur Ordnung ist vollzogen, und nun ist auch im einzelnen alles auf seinem Platz. Die starken Linien sind auf den starken, die schwachen Linien sind auf den schwachen Plätzen. Das ist ein sehr günstiger Aspekt. Allein er gibt doch zu denken. Gerade wenn das vollkommene Gleichgewicht erreicht ist, kann jede Bewegung dazu führen, daß aus dem Zustand der Ordnung wieder der Zerfall entsteht. Dem einen starken Strich, der nach oben gegangen ist und so die Ordnung im einzelnen vollkommen gemacht hat, folgen die anderen ihrer Natur entsprechend nach, und so entsteht dann plötzlich wieder das Zeichen Pi, die Stockung (Nr. 12). So deutet das Zeichen auf die Verhältnisse eines Höhepunktes, die äußerste Vorsicht nötig machen.	zeno.org:wilhelm-de-erstes-buch
judgment_oraculo	Gelingen im Kleinen. Fördernd ist Beharrlichkeit.\nIm Anfang Heil, am Ende Wirren.	zeno.org:wilhelm-de-erstes-buch
judgment_comentario	Der Übergang von der alten in die neue Zeit ist schon vollzogen. Prinzipiell ist alles schon geregelt. Nur noch im einzelnen läßt sich Erfolg erzielen. Dabei kommt es jedoch darauf an, daß man stets die rechte Gesinnung wahrt. Es geht alles seinen Gang wie von selbst. Das verführt zu leicht dazu, daß man in seiner Anspannung erlahmt und die Dinge laufen läßt, ohne sich im einzelnen darum zu kümmern. Diese Gleichgültigkeit ist aber die  Wurzel allen Übels. Aus ihr entspringen mit Notwendigkeit Verfallserscheinungen. Hier ist die Regel aufgestellt, wie es in der Geschichte zu gehen pflegt. Aber diese Regel ist kein unausweichliches Gesetz. Wer sie versteht, der vermag durch unausgesetzte Beständigkeit und Vorsicht ihre Wirkungen zu vermeiden.	zeno.org:wilhelm-de-erstes-buch
image_oraculo	Das Wasser ist oberhalb des Feuers:\ndas Bild des Zustands nach der Vollendung.\nSo bedenkt der Edle das Unglück\nund rüstet sich im voraus dagegen.	zeno.org:wilhelm-de-erstes-buch
image_comentario	Wenn das Wasser im Kessel über dem Feuer hängt, so stehen beide Elemente in Beziehung, und es wird dadurch Kraft erzeugt. (Vgl. die Entstehung des Dampfes.) Allein die dadurch entstehende Spannung gebietet Vorsicht. Läuft das Wasser über, so wird das Feuer ausgelöscht, und seine Kraftwirkung geht verloren. Ist die Hitze zu groß, so verdampft das Wasser und geht in die Luft. Die Elemente, die hier in Beziehung zueinander stehen und so Kraft wirken, sind an sich einander feindlich. Nur die äußerste Vorsicht kann Schaden verhüten. So gibt es auch im Leben Verhältnisse, da alle Kräfte ausgeglichen sind und zusammenwirken und daher scheinbar alles in bester Ordnung ist. Der Weise allein erkennt in solchen Zeiten die Momente der Gefahr und weiß durch rechtzeitige Vorkehrungen sie zu bannen.	zeno.org:wilhelm-de-erstes-buch
L1_etiqueta	Anfangs eine Neun bedeutet:	zeno.org:wilhelm-de-erstes-buch
L1_oraculo	Er hemmt seine Räder.\nEr kommt mit dem Schwanz ins Wasser.\nKein Makel.	zeno.org:wilhelm-de-erstes-buch
L1_comentario	In Zeiten nach einem großen Übergang ist alles auf Fortschritt und Entwicklung aus und drängt voran. Aber dieses Vorwärtsdrängen zu Beginn ist nicht gut und führt sicher zu Verlust und Sturz, indem man über das Ziel hinausschießt. Ein starker Charakter läßt sich daher durch den allgemeinen Schwindel nicht anstecken, sondern hemmt rechtzeitig seinen Lauf. So wird er wohl nicht ganz unberührt bleiben von den unheilvollen Folgen des allgemeinen Drängens, aber es trifft ihn nur von hinten wie einen Fuchs, der das Wasser schon überschritten hat und nur noch mit dem Schwanz ins Wasser kommt, und kann ihm  nicht wesentlich schaden, da sein Verhalten das Richtige getroffen hat.	zeno.org:wilhelm-de-erstes-buch
L2_etiqueta	Sechs auf zweitem Platz bedeutet:	zeno.org:wilhelm-de-erstes-buch
L2_oraculo	Die Frau verliert ihren Wagenvorhang.\nLauf ihm nicht nach, am siebten Tage bekommst du es.	zeno.org:wilhelm-de-erstes-buch
L2_comentario	Wenn eine Frau im Wagen fuhr, hatte sie einen Vorhang, der sie den Blicken der Neugierigen verbarg. Kam dieser Vorhang abhanden, so wäre es gegen die gute Sitte gewe sen, weiterzufahren. Auf das öffentliche Leben übertragen bedeutet es, daß einem, wenn man etwas leisten will, von maßgebender Seite nicht das Vertrauen entgegengebracht wird, dessen man sozusagen zu seinem persönlichen Schutz bedarf. Gerade in Zeiten nach der Vollendung kann man finden, daß die Herrschenden stolz und selbstbewußt werden und sich nicht mehr darum kümmern, unbekannten Talenten mit Aufmerksamkeit entgegenzukommen.\n\nHieraus entsteht nun in der Regel die Streberei. Wenn einem von oben her kein Vertrauen entgegengebracht wird, so sucht man Mittel und Wege, um es zu finden und sich ans Licht zu bringen. Von einem solchen unwürdigen Verfahren wird jedoch abgeraten. »Such nicht danach.« Wirf dich nicht an die Außenwelt weg, sondern warte ruhig und bilde selbständig deinen persönlichen Wert aus. Die Zeiten ändern sich. Sind die sechs Stufen des Zeichens vorüber, so kommt die neue Ära. Was einem gehört, kann man nicht auf die Dauer verlieren. Es kommt ganz von selbst zu einem. Man muß nur warten können.	zeno.org:wilhelm-de-erstes-buch
L3_etiqueta	Neun auf drittem Platz bedeutet:	zeno.org:wilhelm-de-erstes-buch
L3_oraculo	Der hohe Ahn züchtigt das Teufelsland.\nNach drei Jahren überwindet er es.\nGemeine darf man nicht verwenden.	zeno.org:wilhelm-de-erstes-buch
L3_comentario	Der »hohe Ahn« ist der dynastische Titel des Herrschers Wu Ding aus der Yin-Dynastie. Nachdem er mit starker Hand die Zustände im Reich geordnet hatte, führte er langwierige Kolonialkriege zur Unterwerfung der von Hunnen bewohnten nördlichen Grenzgebiete, aus denen dauernd Einfälle drohten. Die Situation, die gezeichnet ist, ist die, daß nach Zeiten der Vollendung, wenn eine neue Macht aufgekommen und im Innern alles in Ordnung ist, mit einer gewissen Notwendigkeit die koloniale Expansion beginnt. Hierbei ist in der Regel mit langwierigen Kämpfen zu rechnen. Aber dabei ist eine richtige Kolonialpolitik besonders wichtig. Man darf die sauer erworbenen  Gebiete nicht als eine Versorgungsanstalt betrachten für Menschen, die sich in der Heimat irgendwie unmöglich gemacht haben, aber für die Kolonien noch gerade gut genug sind. Dadurch verdirbt man von vornherein jeden Erfolg. Das gilt im Großen wie im Kleinen; denn nicht nur aufsteigende Staaten treiben Kolonialpolitik. Jeder aufstrebenden Unternehmung liegen der Trieb nach Expansion und die damit verbundenen Gefahren nahe.	zeno.org:wilhelm-de-erstes-buch
L4_etiqueta	Sechs auf viertem Platz bedeutet:	zeno.org:wilhelm-de-erstes-buch
L4_oraculo	Die schönsten Kleider geben Lumpen.\nDen ganzen Tag sei vorsichtig.	zeno.org:wilhelm-de-erstes-buch
L4_comentario	In Zeiten der Kulturblüte kommen immer zuweilen Erschütterungen vor, die einen inneren Schaden der Gesellschaft aufdecken und dann zunächst allgemeines Aufsehen erregen. Da jedoch die allgemeine Lage günstig ist, lassen sich solche Schäden unschwer flicken und vor der Öffentlichkeit verheimlichen. Dann verschwindet wieder alles aus dem Gedächtnis, und es sieht so aus, als herrschte eitel Friede. Dem Denkenden jedoch sind solche Vorfälle ernste Winke, die er nicht vernachlässigt. Nur dadurch kann man die üblen Folgen abwenden.	zeno.org:wilhelm-de-erstes-buch
L5_etiqueta	Neun auf fünftem Platz bedeutet:	zeno.org:wilhelm-de-erstes-buch
L5_oraculo	Der Nachbar im Osten, der einen Ochsen schlachtet,\nbekommt nicht soviel wirkliches Glück	zeno.org:wilhelm-de-erstes-buch
L5_comentario	wie der Nachbar im Westen mit seinem kleinen Opfer.\n\nAuch die religiöse Haltung wird durch die seelische Stimmung in Zeiten nach der Vollendung beeinflußt. An Stelle der einfachen alten Formen tritt bei den Gottesdiensten immer reichere Ausgestaltung und immer größerer äußerer Prunk. Aber dieser Prachtentfaltung fehlt der innere Ernst. Menschliche Willkür tritt an die Stelle des gewissenhaften Innehaltens des göttlichen Willens. Aber während der Mensch sieht, was vor Augen ist, sieht Gott das Herz an. Darum ruht nicht soviel Segen auf dem mächtigen, aber kalten Gottesdienste, wie auf einem einfachen, frommen Opfer ruht.	zeno.org:wilhelm-de-erstes-buch
L6_etiqueta	Oben eine Sechs bedeutet:	zeno.org:wilhelm-de-erstes-buch
L6_oraculo	Er kommt mit dem Haupt ins Wasser. Gefahr.	zeno.org:wilhelm-de-erstes-buch
L6_comentario	Hier ist zum Schluß nochmals eine Warnung beigefügt. Nach dem Übergang über ein Wasser kann man nur dann mit dem Kopf ins Wasser kommen, wenn man sich leichtsinnig wieder dem Wasser zuwendet. Solange man vorwärts schreitet und nicht  zurücksieht, entgeht man dieser Gefahr. Allein es liegt etwas Verlockendes darin, stehenzubleiben und auf die überwundene Gefahr zu rückzublicken. Solche eitle Selbstbespiegelung bringt aber kein Glück. Man gerät dadurch in Gefahr, und wenn man sich nicht noch entschließt, unaufhaltsam fortzuschreiten, so fällt man dieser Gefahr zum Opfer.	zeno.org:wilhelm-de-erstes-buch
yong_etiqueta		zeno.org:wilhelm-de-erstes-buch
yong_oraculo		zeno.org:wilhelm-de-erstes-buch
yong_comentario		zeno.org:wilhelm-de-erstes-buch
hex_fin		
