campo	contenido_de	fuente_captura
hex	4	zeno.org:wilhelm-de-erstes-buch
nombre	DIE JUGENDTORHEIT	zeno.org:wilhelm-de-erstes-buch
chinese	蒙	zeno.org:wilhelm-de-erstes-buch
chinese_roman	Mong	zeno.org:wilhelm-de-erstes-buch
hex_font	䷃	zeno.org:wilhelm-de-erstes-buch
trigrama_arriba	oben Gen, das Stillehalten, der Berg	zeno.org:wilhelm-de-erstes-buch
trigrama_abajo	unten Kan, das Abgründige, das Wasser	zeno.org:wilhelm-de-erstes-buch
intro	4. Mong / DIE JUGENDTORHEIT\noben Gen, das Stillehalten, der Berg\nunten Kan, das Abgründige, das Wasser\nAuf doppelte Weise ist das Gedenken der Jugend und Torheit in diesem Zeichen nahegelegt. Das obere Zeichen, Gen, hat als Bild einen Berg, das untere, Kan, hat als Bild das Wasser. Die Quelle, die unten am Berg hervorkommt, ist das Bild der unerfahrenen Jugend. Die Eigenschaft des oberen Zeichens ist das Stillehalten, die des unteren der Abgrund, die Gefahr. Das Stillehalten vor einem gefährlichen Abgrund ist ebenfalls ein Symbol der ratlosen Torheit der Jugend. In den beiden Zeichen liegt aber auch der Weg, wie die Jugendtorheiten überwunden werden können: Das Wasser ist etwas, das mit Notwendigkeit weiterfließt. Wenn die Quelle hervorbricht, so weiß sie zunächst freilich nicht, wohin. Aber sie füllt durch ihr stetiges Fließen die tiefe Stelle, die sie am Fortschritt hindert, aus, und dann ist der Erfolg da.	zeno.org:wilhelm-de-erstes-buch
judgment_oraculo	Jugendtorheit hat Gelingen.\nNicht ich suche den jungen Toren,\nder junge Tor sucht mich.\nBeim ersten Orakel gebe ich Auskunft.\nFragt er zwei-, dreimal, so ist das Belästigung.\nWenn er belästigt, so gebe ich keine Auskunft.\nFördernd ist Beharrlichkeit.	zeno.org:wilhelm-de-erstes-buch
judgment_comentario	In der Jugend ist Torheit nichts Schlimmes. Es kann ihr doch gelingen. Nur muß man einen erfahrenen Lehrer finden und ihm auf die rechte Weise gegenübertreten. Dazu gehört erstens, daß man die eigene Unerfahrenheit selbst empfindet und einen Lehrer aufsucht. Nur diese Bescheidenheit und dieses Interesse verbürgt die nötige Aufnahmebereitschaft, die sich in ehrfurchtsvoller Anerkennung des Lehrers äußern wird.\n\nDarum muß der Lehrer ruhig warten, bis er aufgesucht wird. Er soll sich nicht von sich aus anbieten: nur so kann die Belehrung zur rechten Zeit und auf die rechte Weise erfolgen.\n\nDie Antwort, die der Lehrer auf die Fragen des Schülers gibt, soll klar und bestimmt sein wie die Antwort, die ein Orakelsucher zu erhalten wünscht. Sie muß dann als Lösung des Zweifels und Entscheidung angenommen werden. Mißtrauisches oder gedankenloses Weiterfragen dient zur bloßen Belästigung des Lehrers und wird am besten mit Stillschweigen übergangen, ähnlich wie das Orakel auch nur eine Antwort gibt und versucherischen Zweifelsfragen gegenüber versagt.\n\nWenn dazu die Beharrlichkeit tritt, die nicht nachläßt, bis man Punkt für Punkt sich angeeignet hat, so wird ein schöner Erfolg sicher sein.\n\nDas Zeichen gibt somit Ratschläge sowohl für den Lehrenden als auch für den Lernenden.	zeno.org:wilhelm-de-erstes-buch
