campo	contenido_de	fuente_captura
hex	32	zeno.org:wilhelm-de-erstes-buch
nombre	DIE DAUER	zeno.org:wilhelm-de-erstes-buch
chinese	恆	zeno.org:wilhelm-de-erstes-buch
chinese_roman	Hong	zeno.org:wilhelm-de-erstes-buch
hex_font	䷟	zeno.org:wilhelm-de-erstes-buch
trigrama_arriba	oben Dschen, das Erregende, der Donner	zeno.org:wilhelm-de-erstes-buch
trigrama_abajo	unten Sun, das Sanfte, der Wind	zeno.org:wilhelm-de-erstes-buch
intro	32. Hong / DIE DAUER\noben Dschen, das Erregende, der Donner\nunten Sun, das Sanfte, der Wind\nDas starke Zeichen Dschen ist oben, das schwache Sun unten. Das Zeichen ist das Gegenstück zum vorigen: dort die Einwirkung, hier die Vereinigung als Dauerzustand. Die Bilder sind Donner und Wind, die ebenfalls dauernd verbundene Erscheinungen sind. Das untere Zeichen deutet auf Sanftheit im Innern, das obere auf Bewegung im Äußeren.\n\nAuf gesellschaftliche Verhältnisse übertragen, haben wir hier die Einrichtung der Ehe als dauernder Verbindung der Geschlechter. Während bei der Werbung der junge Mann sich unter das Mädchen stellt, ist bei der Ehe, die durch das Zusammensein des ältesten Sohnes und der ältesten Tochter repräsentiert wird, der Mann nach außen hin leitend und bewegend, die Frau im Innern sanft und gehorchend.	zeno.org:wilhelm-de-erstes-buch
judgment_oraculo	Gelingen. Kein Makel.\nFördernd ist Beharrlichkeit.\nFördernd ist, zu haben, wohin man gehe.	zeno.org:wilhelm-de-erstes-buch
judgment_comentario	Die Dauer ist ein Zustand, dessen Bewegung sich nicht durch Hemmungen aufreibt. Sie ist nicht ein Ruhezustand; denn bloßer Stillstand ist Rückgang. Dauer ist vielmehr eine in sich geschlossene und darum stets sich erneuernde, nach festen Gesetzen sich vollziehende Bewegung eines organisierten, in sich fest geschlossenen Ganzen, bei der auf jedes Ende ein neuer Anfang folgt. Das Ende wird erreicht durch die Bewegung nach innen, das Einatmen, die Systole, die Konzentration. Diese Bewegung  geht über in einen neuen Anfang, bei dem die Bewegung nach außen gerichtet ist, das Ausatmen, die Diastole, die Expansion.\n\nSo haben die Himmelskörper ihre Bahnen am Himmel und können daher dauernd leuchten. Die Jahreszeiten haben ein festes Gesetz des Wechsels und der Umbildung und können daher dauernd wirken.\n\nUnd so hat auch der Berufene einen dauernden Sinn in seinem Weg, und die Welt kommt dadurch zur fertigen Bildung. Aus dem, worin die Dinge ihre Dauer haben, kann man die Natur aller Wesen im Himmel und auf Erden erkennen.	zeno.org:wilhelm-de-erstes-buch
image_oraculo	Donner und Wind: das Bild der Dauer.\nSo steht der Edle fest und wandelt seine Richtung nicht.	zeno.org:wilhelm-de-erstes-buch
image_comentario	Der Donner rollt, und der Wind weht. Beides ist etwas äußerst Bewegliches, so daß es dem Anschein nach das Gegenteil von Dauer ist. Aber ihr Hervortreten und Zurücktreten, ihr Kommen und Gehen folgt dauernden Gesetzen. So beruht die Selbständigkeit des Edlen auch nicht darin, daß er starr und unbeweglich ist. Er geht immer mit der Zeit und wandelt sich mit ihr. Das Dauernde ist die feste Richtung, das innere Gesetz seines Wesens, das alle seine Handlungen bestimmt.	zeno.org:wilhelm-de-erstes-buch
L1_etiqueta	Anfangs eine Sechs bedeutet:	zeno.org:wilhelm-de-erstes-buch
L1_oraculo	Zu rasch Dauer wollen, bringt beharrlich Unheil.\nNichts, was fördernd wäre.	zeno.org:wilhelm-de-erstes-buch
L1_comentario	Etwas Dauerndes läßt sich nur allmählich durch lange Arbeit und sorgfältiges Nachdenken schaffen. »Wenn man etwas zusammendrücken will, muß man es erst sich ordentlich ausdehnen lassen«, sagt Laotse in diesem Sinn. Wer gleich auf einmal zu viel verlangt, der überstürzt sich. Und weil er zu viel will, gelingt ihm schließlich gar nichts.	zeno.org:wilhelm-de-erstes-buch
L2_etiqueta	O Neun auf zweitem Platz bedeutet:	zeno.org:wilhelm-de-erstes-buch
L2_oraculo	Reue schwindet.	zeno.org:wilhelm-de-erstes-buch
L2_comentario	Die Situation ist abnorm. Die Kraft des Charakters ist stärker als die zu Gebote stehende materielle Macht. Da könnte man vielleicht fürchten, daß man sich zu etwas hinreißen ließe, das über die Kraft geht. Allein da es die Zeit der Dauer ist, gelingt es, die innere Kraft zu beherrschen, so daß jedes Zuviel vermieden wird und so der Anlaß zur Reue schwindet.	zeno.org:wilhelm-de-erstes-buch
L3_etiqueta	Neun auf drittem Platz bedeutet:	zeno.org:wilhelm-de-erstes-buch
L3_oraculo	Wer seinem Charakter nicht Dauer gibt,\ndem bietet man Schande.\nBeharrliche Beschämung.	zeno.org:wilhelm-de-erstes-buch
L3_comentario	Wenn man in seinem Wesen umgetrieben wird von Stimmungen, die von der Außenwelt durch Furcht und Hoffnung erregt werden, so verliert man die innere Konsequenz des Charakters. Solche innere Inkonsequenz führt dauernd zu peinlichen Erlebnissen. Diese Beschämungen kommen häufig von einer Seite, an die man nicht gedacht hatte. Sie sind auch nicht sowohl Wirkungen der Außenwelt, als gesetzmäßige Zusammenhänge, die von dem eigenen Wesen ausgelöst werden.	zeno.org:wilhelm-de-erstes-buch
L4_etiqueta	Neun auf viertem Platz bedeutet:	zeno.org:wilhelm-de-erstes-buch
L4_oraculo	Im Feld ist kein Wild.	zeno.org:wilhelm-de-erstes-buch
L4_comentario	Wenn man auf der Jagd zu Schuß kommen will, so muß man es auf die rechte Weise anfangen. Wenn man dauernd dem Wild an einem Orte nachstellt, wo es keines gibt, so kann man noch so lange warten und findet keines. Dauer im Suchen genügt nicht. Was man nicht auf die rechte Weise sucht, findet man nicht.	zeno.org:wilhelm-de-erstes-buch
L5_etiqueta	Sechs auf fünftem Platz bedeutet:	zeno.org:wilhelm-de-erstes-buch
L5_oraculo	Seinem Charakter Dauer geben durch Beharrlichkeit,\ndas ist für eine Frau von Heil, für einen Mann von Unheil.	zeno.org:wilhelm-de-erstes-buch
L5_comentario	Eine Frau soll ihr ganzes Leben einem Manne folgen, der Mann aber soll sich an das halten, was jeweils seine Pflicht ist; wenn er sich dauernd nach der Frau richten wollte, so wäre das für ihn ein Fehler.\n\nDementsprechend ist für eine Frau konservatives Halten am Hergebrachten ganz gut. Dagegen der Mann muß beweglich und anpassungsfähig bleiben und darf sich nur durch das bestimmen lassen, was jeweils seine Pflicht verlangt.	zeno.org:wilhelm-de-erstes-buch
L6_etiqueta	Oben eine Sechs bedeutet:	zeno.org:wilhelm-de-erstes-buch
L6_oraculo	Rastlosigkeit als dauernder Zustand bringt Unheil.	zeno.org:wilhelm-de-erstes-buch
L6_comentario	Es gibt Menschen, die dauernd in hastiger Bewegung sind, ohne innerlich zur Ruhe zu kommen. Die Rastlosigkeit hindert nicht nur alle Gründlichkeit, sondern wird direkt zur Gefahr, wenn sie an maßgebender Stelle herrscht.	zeno.org:wilhelm-de-erstes-buch
yong_etiqueta		zeno.org:wilhelm-de-erstes-buch
yong_oraculo		zeno.org:wilhelm-de-erstes-buch
yong_comentario		zeno.org:wilhelm-de-erstes-buch
hex_fin		
