campo	contenido_de	fuente_captura
hex	7	zeno.org:wilhelm-de-erstes-buch
nombre	DAS HEER	zeno.org:wilhelm-de-erstes-buch
chinese	師	zeno.org:wilhelm-de-erstes-buch
chinese_roman	Schï	zeno.org:wilhelm-de-erstes-buch
hex_font	䷆	zeno.org:wilhelm-de-erstes-buch
trigrama_arriba	oben Kun, das Empfangende, die Erde	zeno.org:wilhelm-de-erstes-buch
trigrama_abajo	unten Kan, das Abgründige, das Wasser	zeno.org:wilhelm-de-erstes-buch
intro	7. Schï / DAS HEER\noben Kun, das Empfangende, die Erde\nunten Kan, das Abgründige, das Wasser\nDas Zeichen setzt sich zusammen aus dem Urzeichen Kan, das Wasser, und Kun, die Erde. Dadurch ist das Grundwasser symbolisiert, das sich innerhalb der Erde sammelt. Ebenso sammelt sich die Heerkraft innerhalb der Menge eines Volkes: im Frieden unsichtbar, aber jederzeit zur Verfügung als Quelle der Macht. Die Eigenschaften der Urzeichen sind: innerhalb Gefahr und außerhalb Gehorsam. Das deutet auf das Wesen des Heeres, das im Innersten etwas Gefährliches ist, während nach außen Zucht und Gehorsam herrschen muß.\n\nAuf die einzelnen Linien hin betrachtet, ist der Herr des Zeichens die starke Neun auf zweitem Platz, der die anderen weichen Linien sich unterordnen. Diese Linie bezeichnet den Gebieter, da sie im Zentrum eines der beiden Urzeichen steht. Da sie aber im unteren, nicht im oberen steht, ist sie nicht das Bild des Herrschers, sondern des tüchtigen Generals, der das Heer in Gehorsam hält durch seine Autorität.	zeno.org:wilhelm-de-erstes-buch
judgment_oraculo	Das Heer braucht Beharrlichkeit und einen starken Mann.\nHeil ohne Makel.	zeno.org:wilhelm-de-erstes-buch
judgment_comentario	Ein Heer ist eine Masse, die, um ein Heer zu werden, der Organisation bedarf. Ohne feste Disziplin läßt sich nichts erreichen. Diese Disziplin läßt sich aber nicht durch Gewaltmittel erzwingen, sondern es braucht einen starken Mann, dem die Herzen sich zuwenden, der Begeisterung erweckt. Damit er sich entfalten  kann, bedarf er des unbedingten Vertrauens seines Herrschers, der ihm, solange der Krieg dauert, die volle Verantwortung überlassen muß. Ein Krieg ist aber immer etwas Gefährliches und bringt Schaden und Verheerung mit sich. Darum darf man ihn nicht leichtfertig unternehmen, sondern nur wie eine giftige Arznei als letzte Auskunft. Der gerechte Grund und ein klares, verständliches Kriegsziel muß durch einen erfahrenen Führer dem Volk deutlich gemacht werden. Nur wenn ein ganz bestimmtes Kriegsziel da ist, für das das Volk sich mit Bewußtsein einsetzen kann, entsteht die Einheitlichkeit und Stärke der Überzeugung, die zum Sieg führt. Aber der Führer muß auch dafür sorgen, daß in der Kriegsleidenschaft und im Siegestaumel nichts Ungerechtes geschieht, das die allgemeine Anerkennung nicht findet. Gerechtigkeit und Beharrlichkeit sind die Grundbedingungen dafür, daß alles gut geht.	zeno.org:wilhelm-de-erstes-buch
image_oraculo	Inmitten der Erde ist Wasser, das Bild des Heeres.\nSo mehrt der Edle durch Weitherzigkeit gegen das Volk seine Massen.	zeno.org:wilhelm-de-erstes-buch
