campo	contenido_de	fuente_captura
hex	8	zeno.org:wilhelm-de-erstes-buch
nombre	DAS ZUSAMMENHALTEN	zeno.org:wilhelm-de-erstes-buch
chinese	比	zeno.org:wilhelm-de-erstes-buch
chinese_roman	Bi	zeno.org:wilhelm-de-erstes-buch
hex_font	䷇	zeno.org:wilhelm-de-erstes-buch
trigrama_arriba	oben Kan, das Abgründige, das Wasser	zeno.org:wilhelm-de-erstes-buch
trigrama_abajo	unten Kun, das Empfangende, die Erde	zeno.org:wilhelm-de-erstes-buch
intro	8. Bi / DAS ZUSAMMENHALTEN\noben Kan, das Abgründige, das Wasser\nunten Kun, das Empfangende, die Erde\nDas Wasser über der Erde fließt zusammen, wie es immer kann, z.B. im Meer, wo sich alle Flüsse sammeln. Dies ist ein Symbol, das auf das Zusammenhalten und auf seine Gesetze deutet. Derselbe Gedanke wird dadurch nahegelegt, daß alle Linien weich sind, bis auf den festen Strich an fünfter Stelle auf dem Platz des Herrschers. Die Weichen halten zusammen, indem sie von dem festen Willen an leitender Stelle beeinflußt werden, der ihr  Vereinigungsmittelpunkt ist. Aber auch diese starke, leitende Persönlichkeit hält mit den andern zusammen, durch die sie eine Ergänzung zu ihrem eigenen Wesen findet.	zeno.org:wilhelm-de-erstes-buch
judgment_oraculo	Das Zusammenhalten bringt Heil.\nErgründe das Orakel nochmals,\nob du Erhabenheit, Dauer und Beharrlichkeit hast;\ndann ist kein Makel da.\nDie Unsicheren kommen allmählich herbei.\nWer zu spät kommt, hat Unheil.	zeno.org:wilhelm-de-erstes-buch
judgment_comentario	Es handelt sich darum, daß man sich mit andern zusammentut, um durch den Zusammenhalt sich gegenseitig zu ergänzen und zu fördern. Für einen solchen Zusammenhalt muß ein Mittelpunkt da sein, um den sich die andern scharen. Mittelpunkt für das Zusammenhalten von Menschen zu werden, ist eine schwere Sache mit großer Verantwortung. Es bedarf innerlicher Größe, Konsequenz und Kraft dazu. Darum prüfe sich selbst, wer andre um sich vereinigen will, ob er der Sache gewachsen ist; denn wer andre sammeln will ohne das Siegel des Berufenen, der richtet mehr Verwirrung an, als wenn kein Zusammenschluß stattgefunden hätte.\n\nWo aber ein wirklicher Sammlungspunkt vorhanden ist, da kommen die Unsicheren, anfangs noch Zögernden allmählich von selbst herbei. Die, die zu spät kommen, haben selbst den Schaden davon. Denn es handelt sich auch beim Zusammenhalten um die richtige Zeit. Beziehungen knüpfen sich und festigen sich nach bestimmten inneren Gesetzen. Gemeinsame Erlebnisse festigen sie, und wer zu spät kommt und nicht mehr teilnehmen kann an diesen grundlegenden gemeinsamen Erfahrungen, der hat darunter zu leiden, wenn er als Nachzügler die Tür verschlossen findet.\n\nWer aber die Notwendigkeit des Zusammenschlusses erkannt hat und nicht die Kraft in sich fühlt, als Mittelpunkt des Zusammenhaltens zu wirken, der hat die Pflicht, sich einer andern organischen Gemeinschaft anzuschließen.	zeno.org:wilhelm-de-erstes-buch
image_oraculo	Auf der Erde ist Wasser: das Bild des Zusammenhaltens.\nSo haben die Könige der Vorzeit die einzelnen Staaten als\nLehen vergeben und mit den Lehensfürsten freundlichen Verkehr gepflegt.	zeno.org:wilhelm-de-erstes-buch
image_comentario	Das Wasser auf der Erde füllt alle Lücken aus und haftet fest an ihr. Die Gesellschaftsorganisation des Altertums war auf diesen Grundsatz des Zusammenhaltens zwischen Abhängigen und Herrscher gegründet. Das Wasser fließt von selbst zusammen, weil es in allen seinen Teilen unter denselben Gesetzen steht. So muß auch die menschliche Gesellschaft zusammenhalten durch eine Interessengemeinschaft, die jeden einzelnen sich als Glied eines Ganzen fühlen läßt. Die Zentralgewalt eines gesellschaftlichen Organismus muß dafür sorgen, daß jedes Glied sein wahres Interesse im Zusammenhalten findet, wie das in dem väterlichen Verhältnis von Großkönig und Lehnsträgern im chinesischen Altertum der Fall war.	zeno.org:wilhelm-de-erstes-buch
L1_etiqueta	Anfangs eine Sechs bedeutet:	zeno.org:wilhelm-de-erstes-buch
L1_oraculo	Halte wahr und treu zu ihm: das ist kein Makel.\nWahrheit wie eine volle Tonschüssel:\nSo kommt schließlich von außen her das Heil.	zeno.org:wilhelm-de-erstes-buch
L1_comentario	Wenn es sich um Anknüpfen von Beziehungen handelt, ist volle Wahrhaftigkeit die einzig richtige Grundlage. Diese Gesinnung, die unter dem Bild einer gefüllten irdenen Schüssel dargestellt wird, bei der alles Gehalt, nichts leere Form ist, äußert sich nicht in klugen Worten, sondern durch die Kraft des Innern, und diese Kraft ist so stark, daß sie mit Macht das Heil von außen an sich zieht.	zeno.org:wilhelm-de-erstes-buch
L2_etiqueta	Sechs auf zweitem Platz bedeutet:	zeno.org:wilhelm-de-erstes-buch
L2_oraculo	Halte zu ihm im Innern. Beharrlichkeit bringt Heil.	zeno.org:wilhelm-de-erstes-buch
L2_comentario	Wenn man auf rechte und beharrliche Weise den Bitten, die von oben her zum Wirken uns auffordern, entgegenkommt, so sind die Beziehungen zum andern in erster Linie innerliche, man verliert sich selbst nicht. Wer aber streberhaft klebend Zusammenhalt sucht, der folgt nicht dem Pfad des Edlen, der seine Würde wahrt, sondern wirft sich weg.	zeno.org:wilhelm-de-erstes-buch
L3_etiqueta	Sechs auf drittem Platz bedeutet:	zeno.org:wilhelm-de-erstes-buch
L3_oraculo	Du hältst zusammen mit Menschen,\ndie nicht die rechten sind.	zeno.org:wilhelm-de-erstes-buch
L3_comentario	Man ist oft unter lauter Menschen, die nicht zur eigenen Sphäre gehören. Da darf man sich nicht zu einer falschen Vertraulichkeit durch die Macht der Gewohnheit hinreißen lassen. Daß das vom  Übel wäre, bedarf nicht erst der Worte. Geselligkeit ohne Intimität ist solchen Leuten gegenüber das einzig Richtige; nur dadurch hält man sich frei für eine spätere Beziehung zu seinesgleichen.	zeno.org:wilhelm-de-erstes-buch
L4_etiqueta	Sechs auf viertem Platz bedeutet:	zeno.org:wilhelm-de-erstes-buch
L4_oraculo	Auch äußerlich halte zu ihm. Beharrlichkeit bringt Heil.	zeno.org:wilhelm-de-erstes-buch
L4_comentario	Die Beziehungen zu einem Mann, der Mittelpunkt des Zusammenhaltens ist, sind hier schon fest geregelt. Da darf und soll man seine Anhänglichkeit auch offen zeigen. Man muß nur fest bleiben und darf sich durch nichts irremachen lassen.	zeno.org:wilhelm-de-erstes-buch
L5_etiqueta	Neun auf fünftem Platz bedeutet:	zeno.org:wilhelm-de-erstes-buch
L5_oraculo	Offenbarung des Zusammenhaltens.\nDer König läßt bei der Jagd nur von drei Seiten treiben\nund verzichtet auf das Wild, das vorne abbiegt.\nDie Bürger bedürfen nicht der Warnung. Heil!	zeno.org:wilhelm-de-erstes-buch
L5_comentario	Bei den königlichen Treibjagden im alten China war es üblich, daß das Wild von drei Seiten her angetrieben wurde. Auf der vierten Seite konnte das angetriebene Wild abbiegen. Soweit die Tiere hier nicht abbogen, mußten sie in ein Tor hinein, hinter dem der König jagdbereit stand. Nur die Tiere wurden geschossen, die hier eindrangen. Die, welche vorne abbogen, ließ man laufen. Diese Sitte entsprach der königlichen Gesinnung, die aus der Jagd keine Schlächterei machen wollte, sondern nur das Wild zur Strecke brachte, das sich sozusagen freiwillig gestellt hatte.\n\nEs zeigt sich hier ein Herrscher bzw. ein einflußreicher Mann, dem die Menschen zufallen. Wer zu ihm kommt, den nimmt er auf, wer nicht kommt, den läßt er laufen. Er bittet keinen, schmeichelt keinem: sie kommen alle von selbst. Auf diese Weise bildet sich eine freie Abhängigkeit bei denen, die zu ihm halten. Die Leute brauchen sich nicht gewaltsam zusammenzunehmen, sondern können harmlos ihre Gesinnungen zeigen. Es bedarf keiner polizeilichen Veranstaltung. Sie sind ihrem Herrn von selber zugetan. Auch für das Leben im allgemeinen gilt diese Freiheit. Man soll nicht um die Gunst der Menschen werben. Wenn man in sich die Reinheit und Kraft ausbildet, die nötig ist für einen Mittelpunkt der Sammlung, so kommen die Menschen von selbst, die einem bestimmt sind.	zeno.org:wilhelm-de-erstes-buch
L6_etiqueta	Oben eine Sechs bedeutet:	zeno.org:wilhelm-de-erstes-buch
L6_oraculo	Er findet zum Zusammenhalten kein Haupt. Unheil.	zeno.org:wilhelm-de-erstes-buch
L6_comentario	Das Haupt ist der Anfang. Ohne einen rechten Anfang gibt es kein rechtes Ende. Wenn man den Anschluß verpaßt hat und nun immer zögert, vor voller, wahrer Hinga besich scheuend, so wird man zu spät seinen Fehler bereuen.	zeno.org:wilhelm-de-erstes-buch
yong_etiqueta		zeno.org:wilhelm-de-erstes-buch
yong_oraculo		zeno.org:wilhelm-de-erstes-buch
yong_comentario		zeno.org:wilhelm-de-erstes-buch
hex_fin		
