campo	contenido_de	fuente_captura
hex	14	zeno.org:wilhelm-de-erstes-buch
nombre	DER BESITZ VON GROSSEM	zeno.org:wilhelm-de-erstes-buch
chinese	大有	zeno.org:wilhelm-de-erstes-buch
chinese_roman	Da Yu	zeno.org:wilhelm-de-erstes-buch
hex_font	䷍	zeno.org:wilhelm-de-erstes-buch
trigrama_arriba	oben Li, das Haftende, die Flamme	zeno.org:wilhelm-de-erstes-buch
trigrama_abajo	unten Kiën, das Schöpferische, der Himmel	zeno.org:wilhelm-de-erstes-buch
intro	14. Da Yu / DER BESITZ VON GROSSEM\noben Li, das Haftende, die Flamme\nunten Kiën, das Schöpferische, der Himmel\nDas Feuer am Himmel oben strahlt weit, so daß alle Dinge ins Licht und in die Erscheinung treten. Die schwache fünfte Linie befindet sich auf geehrtem Platz, und alle die starken Striche entsprechen ihr. Wer auf hohem Platz bescheiden und mild ist, dem fällt alles zu.	zeno.org:wilhelm-de-erstes-buch
judgment_oraculo	Der Besitz von Großem: Erhabenes Gelingen.	zeno.org:wilhelm-de-erstes-buch
judgment_comentario	Die beiden Urzeichen zeigen an, daß Kraft und Klarheit sich vereinigen. Der Besitz von Großem ist vom Schicksal bestimmt und entspricht der Zeit. Wie ist es möglich, daß die schwache Linie die Kraft hat, die Starken festzuhalten und zu besitzen? Durch ihre uneigennützige Bescheidenheit. Es ist eine günstige Zeit. Stärke im Innern und Klarheit und Bildung im Äußern. Die Kraft äußert sich fein und beherrscht. Das gibt erhabenes Gelingen und Reichtum.	zeno.org:wilhelm-de-erstes-buch
image_oraculo	Das Feuer am Himmel oben:\ndas Bild des Besitzes von Großem.\nSo hemmt der Edle das Böse und fördert das Gute\nund gehorcht so des Himmels gutem Willen.	zeno.org:wilhelm-de-erstes-buch
image_comentario	Die Sonne droben am Himmel, die alles Irdische bescheint, ist das Bild des Besitzes im Großen. Aber ein solcher Besitz muß recht verwaltet werden. Die Sonne bringt das Böse und das Gute an den Tag. Vom Menschen muß das Böse bekämpft und gehemmt, das Gute gefördert und begünstigt werden. Nur auf diese Weise entspricht man dem guten Willen Gottes, der nur das Gute will und nicht das Böse.	zeno.org:wilhelm-de-erstes-buch
L1_etiqueta	Anfangs eine Neun bedeutet:	zeno.org:wilhelm-de-erstes-buch
L1_oraculo	Keine Beziehung zu Schädlichem, das ist nicht ein Makel.\nBleibt man der Schwierigkeit bewußt,\nso bleibt man ohne Makel.	zeno.org:wilhelm-de-erstes-buch
L1_comentario	Großer Besitz, der noch im Anfangsstadium ist und noch keine Anfechtung erfahren hat, ist ohne Makel; denn es ist noch gar keine Gelegenheit vorhanden, Fehler zu machen. Aber es sind noch viele Schwierigkeiten zu überwinden. Nur wenn man sich dieser Schwierigkeiten bewußt bleibt, wird man wirklich innerlich frei von der Möglichkeit des Hochmuts und der Verschwendung und hat jeden Makel im Prinzip überwunden.	zeno.org:wilhelm-de-erstes-buch
L2_etiqueta	Neun auf zweitem Platz bedeutet:	zeno.org:wilhelm-de-erstes-buch
L2_oraculo	Ein großer Wagen zum Beladen.\nMan mag etwas unternehmen. Kein Makel.	zeno.org:wilhelm-de-erstes-buch
