campo	contenido_de	fuente_captura
hex	50	zeno.org:wilhelm-de-erstes-buch
nombre	DER TIEGEL	zeno.org:wilhelm-de-erstes-buch
chinese	鼎	zeno.org:wilhelm-de-erstes-buch
chinese_roman	Ding	zeno.org:wilhelm-de-erstes-buch
hex_font	䷱	zeno.org:wilhelm-de-erstes-buch
trigrama_arriba	oben Li, das Haßende, das Feuer	zeno.org:wilhelm-de-erstes-buch
trigrama_abajo	unten Sun, das Sanfte, der Wind, das Holz	zeno.org:wilhelm-de-erstes-buch
intro	50. Ding / DER TIEGEL\noben Li, das Haßende, das Feuer\nunten Sun, das Sanfte, der Wind, das Holz\nDas ganze Zeichen ist das Bild des Tiegels, unten die Beine, dann der Bauch, dann die Ohren, bzw. Henkel, und oben die Ringe zum Tragen. Das Bild des Tiegels legt gleichzeitig den Gedanken der Ernährung nahe. Der Tiegel, aus Bronze gegossen, war das Gerät, das im Ahnentempel und bei Festmählern die gekochten Speisen enthielt. Aus ihm wurden sie vom Hausherrn in die Schüsseln der Gäste geschöpft.\n\nAuch der Brunnen hat den Nebengedanken der Nahrungsspende, aber mehr für das Volk. Der Tiegel als Gerät der verfeinerten Kultur legt Pflege und Ernährung der tüchtigen Männer nahe, deren Pflege der Staatsregierung zugute kam (vgl. die vier Zeichen der Ernährung, Nr. 5, 27, 48, 50).\n\nDieses Zeichen und das Zeichen »Brunnen« sind die beiden einzigen Zeichen im Buch der Wandlungen, die konkrete künstliche Gegenstände darstellen. Allein auch hier hat der Gedanke seine abstrakte Seite. Unten Sun ist Holz und Wind, oben Li ist die Flamme; es stellt also die durch Holz und Wind entfachte Flamme dar, die ebenfalls den Gedanken der Speisenbereitung nahelegt.	zeno.org:wilhelm-de-erstes-buch
judgment_oraculo	Der Tiegel. Erhabenes Heil. Gelingen.	zeno.org:wilhelm-de-erstes-buch
judgment_comentario	Während der Brunnen die soziale Grundlage der Gesellschaft behandelt, die wie das Wasser ist, das dem Holz zur Nahrung dient, so wird hier der kulturelle Überbau der Gesellschaft angedeutet. Hier ist es das Holz, das der Flamme, dem Geistigen, zur Nahrung dient. Alles Sichtbare muß sich steigern und fortsetzen ins Unsichtbare hinein. Dadurch bekommt es die rechte Weihe und rechte Klarheit und wurzelt in den Weltzusammenhängen fest.\n\nSo ist hier die Kultur gezeigt, wie sie ihren Gipfel in der Religion hat. Der Tiegel dient zum Opfern für Gott. Das höchste Irdische muß dem Göttlichen geopfert werden. Aber das wahrhaft Göttliche zeigt sich nicht abgesondert vom Menschlichen. Gottes höchste Offenbarung ist in Propheten und Heiligen. Ihre Verehrung ist die wahre Gottesverehrung. Der Wille Gottes, der durch sie geoffenbart wird, muß demütig entgegengenommen  werden, dann entsteht eine innere Erleuchtung und das wahre Weltverständnis, das zu großem Heil und Erfolg führt.	zeno.org:wilhelm-de-erstes-buch
