campo	contenido_de	fuente_captura
hex	15	zeno.org:wilhelm-de-erstes-buch
nombre	DIE BESCHEIDENHEIT	zeno.org:wilhelm-de-erstes-buch
chinese	謙	zeno.org:wilhelm-de-erstes-buch
chinese_roman	Kiën	zeno.org:wilhelm-de-erstes-buch
hex_font	䷎	zeno.org:wilhelm-de-erstes-buch
trigrama_arriba	oben Kun, das Empfangende, die Erde	zeno.org:wilhelm-de-erstes-buch
trigrama_abajo	unten Gen, das Stillehalten, der Berg	zeno.org:wilhelm-de-erstes-buch
intro	15. Kiën / DIE BESCHEIDENHEIT\noben Kun, das Empfangende, die Erde\nunten Gen, das Stillehalten, der Berg\nDas Zeichen setzt sich zusammen aus Gen, das Stillehalten, der Berg, und Kun. Der Berg ist der jüngste Sohn des Schöpferischen, der Repräsentant des Himmels auf Erden. Er spendet die Segnungen des Himmels, Wolken und Regen, die sich um seinen Gipfel sammeln, nach unten und leuchtet daraufhin verklärt in himmlischem Licht. Das zeigt die Bescheidenheit und ihre Wirkung bei hohen und starken Menschen. Oben steht Kun, die Erde. Die Eigenschaft der Erde ist die Niedrigkeit, aber eben darum wird sie in diesem Zeichen als erhöht dargestellt, indem sie oben über dem Berg ist. Das zeigt die Wirkung der Bescheidenheit bei niedrigen, einfachen Menschen: sie werden dadurch erhöht.	zeno.org:wilhelm-de-erstes-buch
judgment_oraculo	Bescheidenheit schafft Gelingen.\nDer Edle bringt zu Ende.	zeno.org:wilhelm-de-erstes-buch
judgment_comentario	Das Gesetz des Himmels macht das Volle leer und füllt das Bescheidene: wenn die Sonne am höchsten steht, muß sie nach himmlischem Gesetz dem Untergang zu, und wenn sie am tiefsten unter der Erde ist, geht sie einem neuen Aufstieg entgegen. Wenn der Mond voll ist, nimmt er nach demselben Gesetz ab, und wenn er leer ist, nimmt er wieder zu. Dieses himmlische Gesetz wirkt sich auch in den Schicksalen der Menschen aus. Das Gesetz der Erde ist, das Volle zu verändern und dem Bescheidenen zuzufließen: Die hohen Berge werden von den Wassern abgetragen und die Täler aufgefüllt. Das Gesetz der Schicksalsmächte ist, dem Vollen zu schaden und dem Bescheidenen Glück zu spenden. Und auch die Menschen hassen das Volle und lieben das Bescheidene.\n\nDie Schicksale folgen festen Gesetzen, die sich mit Notwendigkeit auswirken. Aber der Mensch hat es in der Hand, sein Schicksal zu gestalten, je nachdem er sich durch sein Benehmen dem Einfluß der segnenden oder zerstörenden Kräfte aussetzt. Wenn der Mensch hoch steht und sich bescheiden zeigt, so leuchtet er im Licht der Weisheit. Wenn er niedrig ist und sich bescheiden zeigt, so kann er nicht übergangen werden. So gelingt es dem Edlen, sein Werk zu Ende zu führen, ohne sich des Fertigen zu rühmen.	zeno.org:wilhelm-de-erstes-buch
image_oraculo	Inmitten der Erde ist ein Berg:\ndas Bild der Bescheidenheit.\nSo verringert der Edle, was zu viel ist,\nund vermehrt, was zu wenig ist.\nEr wägt die Dinge und macht sie gleich.	zeno.org:wilhelm-de-erstes-buch
