campo	contenido_reconciliado	jpg_paginas	contenido_pdf	au_estado	resolucion_disputa
hex	38	470-473		cerrado	na
nombre	DER GEGENSATZ	470-473	DER GEGENSATZ	cerrado	na
chinese	睽	470-473		cerrado	na
chinese_roman	KUI	470-473		cerrado	na
hex_font	䷥	470-473	䷥	cerrado	na
trigrama_arriba	above LI das Haftende, DIE FLAMME	470-473	above LI das Haftende, DIE FLAMME	cerrado	na
trigrama_abajo	below DUI das Heitere, DER SEE	470-473	below DUI das Heitere, DER SEE	cerrado	na
ruler_note	Kan und\nLi\nDi\nie Herren des Zeichens sind die Sechs auf fünftem Platz und die Neun\nauf zweitem Platz. Darum heißt es im Kommentar zur Entscheidung:\n"Das Weiche schreitet fort und geht nach oben, erhält die Mitte und findet\nEntsprechung beim Festen."	470-473	Die Herren des Zeichens sind die Sechs auf fünftem Platz und die Neun\nzur Entscheidung:\n"Das Weiche schreitet fort und geht nach oben, erhält die Mitte und findet\nEntsprechung beim Festen."	cerrado	coincide_ninguno
sequence	Wenn der Weg der Sippe zu Ende ist, so kommen Mißver-\nständnisse. Darum folgt darauf das Zeichen: der Gegensatz.\nGegensatz bedeutet Mißverständnisse.	470-473	Wenn der Weg der Sippe zu Ende ist, so kommen Mißverständnisse. Darum folgt darauf das Zeichen: der Gegensatz.\nGegensatz bedeutet Mißverständnisse.	cerrado	na
misc_notes	Gegensatz bedeutet Entfremdung.\nBeigefügte Urteile\nDie Männer der Vorzeit bespannten ein Holz als Bogen und\nhärteten ein Holz im Feuer als Pfeil. Der Nutzen von Bogen\nund Pfeil besteht darin, die Welt in Furcht zu halten. Das ent-\nnahmen sie wohl dem Zeichen: der Gegensatz.\nDas obere Zeichen Li bedeutet Waffen, das untere Dui hat den Westen,\ndas Metall, das Töten beigeordnet; daher der Gedanke von Bogen und Pfeil,\num die Welt in Furcht und Schrecken zu halten ¹.\nIn dem Zeichen kommt sehr viel auf die Entsprechung der einzelnen Linien\nan. Die Situation in allen einzelnen Linien ist die des Gegensatzes, aber die\nTendenz geht überall auf Ausgleichung der Mißverständnisse. So bezieht\nsich hierauf das Nichtsuchen des Pferdes beim Anfangsstrich, das von selber\nwiederkommt; beim vierten Strich, daß man einen Gleichgesinnten trifft;\nbeim zweiten Platz heißt es: Man begegnet seinem Herrn, dementsprechend\nbeim fünften Platz: "Der Gefährte beißt sich durch die Hülle." So steht\nbeim dritten Platz das "Kein guter Anfang, aber ein gutes Ende" in Be-\nziehung zu dem "Beim Hingehen fällt Regen" des oberen Platzes.\nDas Zeichen ist die Umkehrung des vorigen.\n1 Man vergleiche die Pfeile des Helios.	470-473	Gegensatz bedeutet Entfremdung.\nBeigefügte Urteile\nDie Männer der Vorzeit bespannten ein Holz als Bogen und\nhärteten ein Holz im Feuer als Pfeil. Der Nutzen von Bogen\nund Pfeil besteht darin, die Welt in Furcht zu halten. Das entnahmen sie wohl dem Zeichen: der Gegensatz.\nDas obere Zeichen Li bedeutet Waffen, das untere Dui hat den Westen,\ndas Metall, das Töten beigeordnet; daher der Gedanke von Bogen und Pfeil,\num die Welt in Furcht und Schrecken zu halten ¹.\nIn dem Zeichen kommt sehr viel auf die Entsprechung der einzelnen Linien\nan. Die Situation in allen einzelnen Linien ist die des Gegensatzes, aber die\nTendenz geht überall auf Ausgleichung der Mißverständnisse. So bezieht\nsich hierauf das Nichtsuchen des Pferdes beim Anfangsstrich, das von selber\nwiederkommt; beim vierten Stridı, daß man einen Gleichgesinnten trifft;\nbeim zweiten Platz heißt es: Man begegnet seinem Herrn, dementsprechend\nbeim fünften Platz: "Der Gefährte beißt sich durch die Hülle." So steht\nbeim dritten Platz das "Kein guter Anfang, aber ein gutes Ende" in Beziehung zu dem "Beim Hingehen fällt Regen" des oberen Platzes.\nDas Zeichen ist die Umkehrung des vorigen.\n1 Man vergleiche die Pfeile des Helios.	cerrado	coincide_pass04
judgment_oraculo		470-473	Der Gegensatz. In kleinen Sachen Heil.	cerrado	na
