campo	contenido_reconciliado	jpg_paginas	contenido_pdf	au_estado	resolucion_disputa
hex	14	382-384		cerrado	na
nombre	DER BESITZ VON GROSSEM	382-384	DER BESITZ VON GROSSEM	cerrado	na
chinese	大有	382-384		cerrado	na
chinese_roman	DA YU	382-384	Da Yu	cerrado	na
hex_font	䷍	382-384	䷍	cerrado	na
trigrama_arriba	above LI das Haftende, DIE FLAMME	382-384	above LI das Haftende, DIE FLAMME	cerrado	na
trigrama_abajo	below KIËN das Schöpferische, DER HIMMEL	382-384	below KIËN das Schöpferische, DER HIMMEL	cerrado	na
ruler_note	Dui und\nKiän\ner Herr des Zeichens ist die Sechs auf fünftem Platz. Diese Linie ist\nDer\nlichen Yangstriche zu besitzen; darum heißt es im Kommentar zur Entschei-\ndung: "Das Weiche erhält den geehrten Platz in der großen Mitte, und\nObere und Untere entsprechen ihm."	382-384	Der Herr des Zeichens ist die Sechs auf fünftem Platz. Diese Linie ist leer und zentral und weilt auf geehrter Stelle und ist fähig, die sämtlichen Yangstriche zu besitzen; darum heißt es im Kommentar zur Entscheidung: „Das Weiche erhält den geehrten Platz in der großen Mitte, und Obere und Untere entsprechen ihm."	cerrado	coincide_ninguno
sequence	Les Death\nDurch Gemeinschaft mit Menschen fallen einem die Dinge\nsicher zu. Darum folgt darauf das Zeichen: Der Besitz von V\nGroßem.	382-384	Durch Gemeinschaft mit Menschen fallen einem die Dinge\nsicher zu. Darum folgt darauf das Zeichen: Der Besitz von\nGroßem.	cerrado	coincide_pass02
misc_notes	Der Besitz des Großen deutet auf die Menge.\nDie beiden Urzeichen Kiän und Li sind beide in aufsteigender Bewegung,\nebenso die beiden Kernzeichen Kiän und Dui. Alle diese Umstände sind\nvon durchaus günstiger Bedeutung. Das Zeichen ist noch günstiger als das\nvorige, dessen Umkehrung es ist, weil der Herr des Zeichens zugleich auf\ndem maßgebenden fünften Platz ist.	382-384	Der Besitz des Großen deutet auf die Menge.\nDie beiden Urzeichen Kiän und Li sind beide in aufsteigender Bewegung,\nebenso die beiden Kernzeichen Kiän und Dui. Alle diese Umstände sind\nvon durchaus günstiger Bedeutung. Das Zeichen ist noch günstiger als das\nvorige, dessen Umkehrung es ist, weil der Herr des Zeichens zugleich auf\ndem maßgebenden fünften Platz ist.	cerrado	na
judgment_oraculo		382-384	Der Besitz von Großem: Erhabenes Gelingen.	cerrado	na
commentary_decision	Der Besitz von Großem: Das Weiche erhält den geehrten\nPlatz in der großen Mitte, und Obere und Untere entsprechen\nihm. Das heißt: Besitz von Großem.\nSein Charakter ist fest und stark und geordnet-klar, findet\nEntsprechen im Himmel und geht mit der Zeit; darum heißt\nes:,,Erhabenes Gelingen!"\nDas Weiche, das den geehrten Platz bekommt, ist die Sechs auf fünftem\nPlatz. Sie hat die ",große" Mitte im Unterschied zu der Sechs auf zweitem\nPlatz im vorigen Zeichen. Von hier aus ist der Besitz der fünf starken Linien\nviel besser organisiert. Der Beamte kann zwar die Menschen einigen, aber\nnur der Fürst kann sie besitzen. Während dort die starken Linien zum Für-\nsten nur indirekt in Beziehung standen, stehen sie hier direkt in Beziehung.\nSo ergibt sich der Name aus der Gestalt des Zeichens.\nAus den Eigenschaften und der Gestalt werden die Worte des Urteils er-\nläutert. Im Innern wohnt die Festigkeit und Stärke von Kiän, nach außen\nhin zeigt sich die geordnet-klare Form von Li. Die Sechs auf fünftem Platz,\nder Herrscher, nach dem sich alles richtet, richtet sich seinerseits bescheiden\nnach der Neun auf zweitem Platz und findet hier im Zentrum des Himmels\nEntsprechung. Kiän in seiner Verdoppelung als unteres Halbzeichen und\nunteres Kernzeichen deutet auf die Zeit in ihrem Verlauf. Bei der Durch-\nführung der Maßregeln handelt es sich, damit sie gelingen, darum, daß fester\nEntschluß im Innern wohnt, während die Art der Durchführung geordnet\nund erleuchtet sein muß.	382-384	Der Besitz von Großem: Das Weiche erhält den geehrten\nPlatz in der großen Mitte, und Obere und Untere entsprechen\nihm. Das heißt: Besitz von Großem.\nSein Charakter ist fest und stark und geordnet-klar, findet\nEntsprechen im Himmel und geht mit der Zeit; darum heißt\nes:„Erhabenes Gelingen!"\nDas Weiche, das den geehrten Platz bekommt, ist die Sechs auf fünftem\nPlatz. Sie hat die ",große" Mitte im Unterschied zu der Sechs auf zweitem\nPlatz im vorigen Zeichen. Von hier aus ist der Besitz der fünf starken Linien\nviel besser organisiert. Der Beamte kann zwar die Menschen einigen, aber\nnur der Fürst kann sie besitzen. Während dort die starken Linien zum Fürsten nur indirekt in Beziehung standen, stehen sie hier direkt in Beziehung.\nSo ergibt sich der Name aus der Gestalt des Zeichens.\nAus den Eigenschaften und der Gestalt werden die Worte des Urteils erläutert. Im Innern wohnt die Festigkeit und Stärke von Kiän, nach außen\nhin zeigt sich die geordnet-klare Form von Li. Die Sechs auf fünftem Platz,\nder Herrscher, nach dem sich alles richtet, richtet sich seinerseits bescheiden\nnach der Neun auf zweitem Platz und findet hier im Zentrum des Himmels\nEntsprechung. Kiän in seiner Verdoppelung als unteres Halbzeichen und\nunteres Kernzeichen deutet auf die Zeit in ihrem Verlauf. Bei der Durchführung der Maßregeln handelt es sich, damit sie gelingen, darum, daß fester\nEntschluß im Innern wohnt, während die Art der Durchführung geordnet\nund erleuchtet sein muß.	cerrado	na
image_oraculo	Das Feuer am Himmel oben: Das Bild des Besitzes von Gro-\nBem. So hemmt der Edle das Böse und fördert das Gute und\ngehorcht so des Himmels gutem Willen.\nDie Sonne am Himmel, die alles Irdische bescheint, ist das Bild des großen\nBesitzes. Die Unterdrückung des Bösen wird angedeutet durch das Zeichen\nKiän, das Gerichtszeichen, das das Böse der Wesen bekämpft. Die Förde-\nrung des Guten wird angedeutet durch das Zeichen Li, das alles erhellt und\nordnet. Beides ist das Verhängnis des gütigen Himmels (Kiän), dem sich der\nEdle in Gehorsam hingibt (Li-Hingebung).\nAnfangs Neun:	382-384	Das Feuer am Himmel oben:\ndas Bild des Besitzes von Großem.\nSo hemmt der Edle das Böse und fördert das Gute\nund gehorcht so des Himmels gutem Willen.	cerrado	coincide_ninguno
