campo	contenido_reconciliado	jpg_paginas	contenido_pdf	au_estado	resolucion_disputa
hex	59	555-558		cerrado	na
nombre	DIE AUFLÖSUNG	555-558	DIE AUFLÖSUNG	cerrado	na
chinese	渙	555-558		cerrado	na
chinese_roman	HUAN	555-558	Huan	cerrado	na
hex_font	䷺	555-558	䷺	cerrado	na
trigrama_arriba	above SUN das Sanfte, DER WIND	555-558	above SUN das Sanfte, DER WIND	cerrado	na
trigrama_abajo	below KAN das Abgründige, DAS WASSER	555-558	below KAN das Abgründige, DAS WASSER	cerrado	na
ruler_note	Gen und\ner Herr des Zeichens ist die Neun auf fünftem Platz;\nDer\nDschen\ndenn die Auflösung\nsteht. Doch steht die Neun auf zweitem Platz im Innern, um die Grundlagen\nzu festigen, und die Sechs auf viertem Platz steht zur Neun auf fünftem\nPlatz in der Beziehung des Empfangens, um deren Werke zu vollenden. So\nhaben auch diese beiden wichtige Funktionen innerhalb des Zeichens. Da-\nrum heißt es im Kommentar zur Entscheidung:,,Das Feste kommt und er-\nschöpft sich nicht, das Weiche bekommt einen Platz im Außeren, und der\nObere ist in Übereinstimmung mit ihm."	555-558	Gen und\nDschen\nDer Herr des Zeichens ist die Neun auf fünftem Platz; denn die Auflösung\nsteht. Doch steht die Neun auf zweitem Platz im Innern, um die Grundlagen\nzu festigen, und die Sechs auf viertem Platz steht zur Neun auf fünftem\nPlatz in der Beziehung des Empfangens, um deren Werke zu vollenden. So\nhaben auch diese beiden wichtige Funktionen innerhalb des Zeichens. Darum heißt es im Kommentar zur Entscheidung: "Das Feste kommt und erschöpft sich nicht, das Weiche bekommt einen Platz im Äußeren, und der\nObere ist in Übereinstimmung mit ihm."	cerrado	coincide_ninguno
sequence	Auf die Freude folgt die Zerstreuung. Darum folgt darauf das\nZeichen: die Auflösung. Auflösung bedeutet Auseinander-\ngehen.	555-558	Auf die Freude folgt die Zerstreuung. Darum folgt darauf das\nZeichen: die Auflösung. Auflösung bedeutet Auseinandergehen.	cerrado	na
misc_notes	Auflösung bedeutet Auseinandergehen.\nBeigefügte Urteile\nSie schabten Stämme aus zu Schiffen und härteten Hölzer im\nFeuer zu Rudern. Der Nutzen der Schiffe und Ruder bestand\nin der Vermittlung des Verkehrs. Das entnahmen sie wohl\ndem Zeichen: die Auflösung.\nDas Zeichen hat einen doppelten Sinn: einmal den durch das Bild "Wind über\nWasser" nahegelegten, der die Auflösung des Eises und Erstarrten andeutet,\ndann aber auch den des Eindringens (Sun) in das Abgründige (Kan), der ein\nZerstreuen, Zerteilen andeutet. Diesem Zertrennenden gegenüber kommt\ndann die Wiedervereinigung als Aufgabe in Betracht, was ebenfalls in dem\nZeichen enthalten ist.\nAus dem Bild "Holz über Wasser" ergibt sich der Gedanke des Schiffs.	555-558	Auflösung bedeutet Auseinandergehen.\nBeigefügte Urteile\nSie schabten Stämme aus zu Schiffen und härteten Hölzer im\nFeuer zu Rudern. Der Nutzen der Schiffe und Ruder bestand\nin der Vermittlung des Verkehrs. Das entnahmen sie wohl\ndem Zeichen: die Auflösung.\nDas Zeichen hat einen doppelten Sinn: einmal den durch das Bild "Wind über\nWasser" nahegelegten, der die Auflösung des Eises und Erstarrten andeutet,\ndann aber auch den des Eindringens (Sun) in das Abgründige (Kan), der ein\nZerstreuen, Zerteilen andeutet. Diesem Zertrennenden gegenüber kommt\ndann die Wiedervereinigung als Aufgabe in Betracht, was ebenfalls in dem\nZeichen enthalten ist.\nAus dem Bild "Holz über Wasser" ergibt sich der Gedanke des Schiffs.	cerrado	na
