campo	contenido_reconciliado	jpg_paginas	contenido_pdf	au_estado	resolucion_disputa
hex	5	347-350		cerrado	na
nombre	DAS WARTEN (DIE ERNÄHRUNG)	347-350	DAS WARTEN (DIE ERNÄHRUNG)	cerrado	na
chinese	需	347-350		cerrado	na
chinese_roman	SU	347-350	Sü	cerrado	na
hex_font	䷄	347-350	䷄	cerrado	na
trigrama_arriba	above DAS ABGRÜNDIGE das Wasser,	347-350	above DAS ABGRÜNDIGE das Wasser,	cerrado	na
trigrama_abajo	below DAS SCHÖPFERISCHE der Himmel,	347-350	below DAS SCHÖPFERISCHE der Himmel,	cerrado	na
ruler_note	Li und Dui\nerr des Zeichens ist die Neun auf fünftem Platz. Alle Geschäfte bedürfen\nders darauf, daß durch dauernde Einwirkung die Pläne zustande kommen.\nDie Bemerkung im Kommentar zur Entscheidung: "Nimmt den Platz des\nHimmels ein und ist in seinem Benehmen korrekt und zentral" bezieht\nsich auf die Neun auf fünftem Platz.	347-350	Der Herr des Zeichens ist die Neun auf fünftem Platz. Alle Geschäfte bedürfen des geduldigen Wartens, und der Weg des Herrschers beruht ganz besonders darauf, daß durch dauernde Einwirkung die Pläne zustande kommen. Die Bemerkung im Kommentar zur Entscheidung: „Nimmt den Platz des Himmels ein und ist in seinem Benehmen korrekt und zentral" bezieht sich auf die Neun auf fünftem Platz.	cerrado	coincide_pass04
sequence	Wenn die Dinge noch klein sind, darf man sie nicht ohne Er-\nnährung lassen. Darum folgt darauf das Zeichen Sü. Sü be-\ndeutet den Weg zu Essen und Trinken.\nDie Beziehung der beiden Bedeutungen des Zeichens: "Ernährung" und\n"Warten" liegt darin, daß man auf das Essen warten muß. Es liegt nicht\nin der Macht des Menschen, sondern ist vom Himmel und Regen abhängig.\nW	347-350	Wenn die Dinge noch klein sind, darf man sie nicht ohne Ernährung lassen. Darum folgt darauf das Zeichen Sü. Sü bedeutet den Weg zu Essen und Trinken.\nDie Beziehung der beiden Bedeutungen des Zeichens: „Ernährung" und „Warten" liegt darin, daß man auf das Essen warten muß. Es liegt nicht in der Macht des Menschen, sondern ist vom Himmel und Regen abhängig.	cerrado	coincide_ninguno
misc_notes	Warten bedeutet nicht fortschreiten".	347-350	Warten bedeutet „nicht fortschreiten".	cerrado	coincide_pass02
