campo	contenido_reconciliado	jpg_paginas	contenido_pdf	au_estado	resolucion_disputa
hex	60	559-561		cerrado	na
nombre	DIE BESCHRANKUNG	559-561	DIE BESCHRANKUNG	cerrado	na
chinese	節	559-561		cerrado	na
chinese_roman	DSIA	559-561	DSIA	cerrado	na
hex_font	䷻	559-561	䷻	cerrado	na
trigrama_arriba	above KAN das Abgründige, DAS WASSER	559-561	above KAN das Abgründige, DAS WASSER	cerrado	na
trigrama_abajo	below DUI das Heitere, DER SEE	559-561	below DUI das Heitere, DER SEE	cerrado	na
ruler_note	Gen und\nDschen\ner Herr des Zeichens ist die Neun auf fünftem Platz; denn Maß und\nDer\nvermag nur jemand, der geehrt ist und die Geisteskraft dazu hat. Darum\nheißt es im Kommentar zur Entscheidung:,,Auf dem gebührenden Platz, um\nzu beschränken, zentral und korrekt, um zu vereinigen."	559-561	Der Herr des Zeichens ist die Neun auf fünftem Platz; denn Maß und\nvermag nur jemand, der geehrt ist und die Geisteskraft dazu hat. Darum\nheißt es im Kommentar zur Entscheidung:„Auf dem gebührenden Platz, um\nzu beschränken, zentral und korrekt, um zu vereinigen."	cerrado	coincide_ninguno
sequence	Die Dinge können nicht dauernd auseinander sein, darum folgt\ndarauf das Zeichen: die Beschränkung.	559-561	Die Dinge können nicht dauernd auseinander sein, darum folgt\ndarauf das Zeichen: die Beschränkung.	cerrado	na
misc_notes	Beschränkung bedeutet Festhalten.\nDas Zeichen ist die Umkehrung des vorigen. Die innere Struktur und das\nVerhältnis der Kernzeichen zueinander ist bei beiden gleich. Es ist hier nur\nder See, der das Wasser beisammenhält, während im vorigen Zeichen der\nWind das Wasser auflöste.	559-561	Beschränkung bedeutet Festhalten.\nDas Zeichen ist die Umkehrung des vorigen. Die innere Struktur und das\nVerhältnis der Kernzeichen zueinander ist bei beiden gleich. Es ist hier nur\nder See, der das Wasser beisammenhält, während im vorigen Zeidien der\nWind das Wasser auflöste.	cerrado	coincide_pass04
judgment_oraculo		559-561	Beschränkung. Gelingen.\nBittere Beschränkung darf man nicht beharrlich üben.	cerrado	na
commentary_decision	,,Beschränkung: Gelingen."\nDie Festen und Weichen sind gleich verteilt, und die Festen\nhaben die Mitte erlangt.\n,,Bittere Beschränkung darf man nicht beharrlich üben",\nDenn ihr Weg erschöpft sich.\nHeiter im Durchschreiten der Gefahr, auf dem gebührenden\nPlatz, um zu beschränken, zentral und korrekt, um zu ver-\neinigen.\nHimmel und Erde haben ihre Beschränkungen, und die vier\nJahreszeiten kommen zustande.\nBeschränkung beim Schaffen von Einrichtungen schafft, daß\ndie Güter nicht beeinträchtigt und die Menschen nicht ge-\nschädigt werden.\nYang- und Yinstriche bilden je die Hälfte und sind außerdem gleichmäßig\nverteilt: 2+2+1+1. Daher stehen starke Striche auf den beiden zentralen\nPlätzen 2 und 5.\nBittere Beschränkung, dauernd festgehalten, würde zu MiBerfolg führen.\nAber durch die zentrale und maßvolle Haltung des Herrn des Zeichens, Neun\nauf fünftem Platz, ist diese Gefahr überwunden. Heiterkeit ist die Eigen-\nschaft des unteren Zeichens Dui, Gefahr die des oberen Zeichens Kan. Die\nBeschränkung des Herrn des Zeichens wird durch die beiden Yinstriche,\nzwischen denen er steht, bewirkt. Aber durch seine zentrale und korrekte\nStellung wird die durchgehende Wirkung erreicht. Die Beschränkung - Ein-\nteilung in Abschnitte-ist das Mittel zur Zeitteilung. So ist das Jahr in China\nin 24 Dsiä Ki geteilt, die-im Einklang mit atmosphärischen Erscheinungen-\nes dem Menschen ermöglichen, mit seinen landwirtschaftlichen Tätigkeiten\nsich so einzurichten, daß sie mit dem Gang der Jahreszeiten in Einklang\nkommen. Die Beschränkung bezw. sachgemäße Verteilung von Arbeit und\nVerbrauch war eines der wichtigsten Probleme einer guten Regierung im\nalten China. Auch hierfür sind in diesem Zeichen Grundsätze angedeutet.	559-561	„Beschränkung: Gelingen."\nDie Festen und Weichen sind gleich verteilt, und die Festen\nhaben die Mitte erlangt.\n„Bittere Beschränkung darf man nicht beharrlich üben",\nDenn ihr Weg erschöpft sich.\nHeiter im Durchschreiten der Gefahr, auf dem gebührenden\nPlatz, um zu beschränken, zentral und korrekt, um zu vereinigen.\nHimmel und Erde haben ihre Beschränkungen, und die vier\nJahreszeiten kommen zustande.\nBeschränkung beim Schaffen von Einrichtungen schafft, daß\ndie Güter nicht beeinträchtigt und die Menschen nicht geschädigt werden.\nYang- und Yinstriche bilden je die Hälfte und sind außerdem gleichmäßig\nverteilt: 2+2 + 1 + 1. Daher stehen starke Striche auf den beiden zentralen\nPlätzen 2 und 5.\nBittere Beschränkung, dauernd festgehalten, würde zu Mißerfolg führen.\nAber durch die zentrale und maẞvolle Haltung des Herrn des Zeichens, Neun\nauf fünftem Platz, ist diese Gefahr überwunden. Heiterkeit ist die Eigenschaft des unteren Zeichens Dui, Gefahr die des oberen Zeichens Kan. Die\nBeschränkung des Herrn des Zeichens wird durch die beiden Yinstriche,\nzwischen denen er steht, bewirkt. Aber durch seine zentrale und korrekte\nStellung wird die durchgehende Wirkung erreicht. Die Beschränkung - Einteilung in Abschnitte-ist das Mittel zur Zeitteilung. So ist das Jahr in China\nin 24 Dsiä Ki geteilt, die im Einklang mit atmosphärischen Erscheinungenes dem Menschen ermöglichen, mit seinen landwirtschaftlichen Tätigkeiten\nsich so einzurichten, daß sie mit dem Gang der Jahreszeiten in Einklang\nkommen. Die Beschränkung bezw. sachgemäße Verteilung von Arbeit und\nVerbrauch war eines der wichtigsten Probleme einer guten Regierung im\nalten China. Auch hierfür sind in diesem Zeichen Grundsätze angedeutet.	cerrado	coincide_ninguno
image_oraculo	Oberhalb des Sees ist Wasser: das Bild der Beschränkung.\nSo schafft der Edle Zahl und Maß und untersucht, was Tugend\nund rechter Wandel ist.\nZahl und Maß ist angedeutet durch das gegenseitige Verhältnis von Wasser\nund See. Dem Zeichen Kan entspricht das Schaffen, dem Zeichen Dui, das\nMund bedeutet, das Untersuchen, wörtlich Besprechen. Zahl und Maß, das\nRuhende, Feste, entspricht dem oberen Kernzeichen Gen; Tugend und\nWandel, das Bewegliche, Handelnde, entspricht dem unteren Kernzeichen\nDschen.\nAnfangs Neun:	559-561	Oberhalb des Sees ist Wasser:\ndas Bild der Beschränkung.\nSo schafft der Edle Zahl und Maß und untersucht,\nwas Tugend und rechter Wandel ist.	cerrado	coincide_ninguno
commentary_image	Oberhalb des Sees ist Wasser: das Bild der Beschränkung.\nSo schafft der Edle Zahl und Maß und untersucht, was Tugend\nund rechter Wandel ist.\nZahl und Maß ist angedeutet durch das gegenseitige Verhältnis von Wasser\nund See. Dem Zeichen Kan entspricht das Schaffen, dem Zeichen Dui, das\nMund bedeutet, das Untersuchen, wörtlich Besprechen. Zahl und Maß, das\nRuhende, Feste, entspricht dem oberen Kernzeichen Gen; Tugend und\nWandel, das Bewegliche, Handelnde, entspricht dem unteren Kernzeichen\nDschen.\nAnfangs Neun:	559-561	und rechter Wandel ist.\nZahl und Maß ist angedeutet durch das gegenseitige Verhältnis von Wasser\nund See. Dem Zeichen Kan entspricht das Schaffen, dem Zeichen Dui, das\nMund bedeutet, das Untersuchen, wörtlich Besprechen. Zahl und Maß, das\nRuhende, Feste, entspricht dem oberen Kernzeichen Gen; Tugend und\nWandel, das Bewegliche, Handelnde, entspricht dem unteren Kernzeichen\nDschen.	cerrado	coincide_ninguno
L1_etiqueta	Anfangs Neun:	559-561	Anfangs Neun:	cerrado	na
L1_a_oraculo	Nicht zu Tür und Hof hinausgehen ist kein Makel.	559-561	Nicht zu Tür und Hof hinausgehen ist kein Makel.	cerrado	na
