campo	contenido_reconciliado	jpg_paginas	contenido_pdf	au_estado	resolucion_disputa
hex	17	393-395		cerrado	na
nombre	DIE NACHFOLGE	393-395	DIE NACHFOLGE	cerrado	na
chinese	隨	393-395		cerrado	na
chinese_roman	SUI	393-395		cerrado	na
hex_font	䷐	393-395	䷐	cerrado	na
trigrama_arriba	above DUI das Heitere, DER SEE	393-395	above DUI das Heitere, DER SEE	cerrado	na
trigrama_abajo	below DSCHEN das Erregende, DER DONNER	393-395	below DSCHEN das Erregende, DER DONNER	cerrado	na
ruler_note	Sun und\nGen\nDie\nie Herren des Zeichens sind die Anfangsneun und die Neun auf fünf-\ntem Platz. Der Grund, weshalb das Zeichen die Nachfolge bedeutet,\nist, daß der Starke es über sich bringt, sich unter das Schwache zu stellen.\nDer erste und der fünfte Strich sind beide stark und stehen unter schwachen\nStrichen, darum sind sie die Herren des Zeichens.\nNachfoge	393-395	Sun und\nie Herren des Zeichens sind die Anfangsneun und die Neun auf fünftem, daß der Starke es über sich bringt, sich unter das Schwache zu stellen.\nDer erste und der fünfte Strich sind beide stark und stehen unter schwachen\nStrichen, darum sind sie die Herren des Zeichens.	cerrado	coincide_ninguno
sequence	Wo Begeisterung ist, da gibt es sicher Nachfolge. Darum\nfolgt darauf das Zeichen: die Nachfolge.	393-395	Gen\nWo Begeisterung ist, da gibt es sicher Nachfolge. Darum\nfolgt darauf das Zeichen: die Nachfolge.	cerrado	coincide_pass04
misc_notes	Nachfolge duldet keine alten Vorurteile.\nBeigefügte Urteile\nDie Heroen zähmten das Rind und spannten das Pferd an.\nSo konnten schwere Lasten befördert und ferne Gegenden\nerreicht werden, was der Welt zum Nutzen gereichte. Das\nentnahmen sie wohl dem Zeichen: Die Nachfolge.\nDas Zeichen besteht aus Bewegung unten und Heiterkeit oben. Das Zeichen,\nwelches das Erregende unter dem Heiteren zeigt, legt den Gedanken der\nRuhe nahe, namentlich da auch die Kernzeichen Sun, das Sanfte, und Gen,\nder Stillstand, in diese Richtung weisen. So ist die Einrichtung der Zähmung\ndes Rindes und Pferdes als Mittel zur Arbeitsersparnis zu erklären. Der\nErfolg erklärt sich aus der inneren Struktur des Zeichens, - die Beförderung\nschwerer Lasten wird nahegelegt durch das untere Kernzeichen Gen, Berg.\nDas Rind, das diese Lasten trägt, entspricht der Erde (der Berg gehört zur\nErde). Die Erreichung ferner Gegenden wird nahegelegt durch das obere\nKernzeichen Sun, Wind, der überall hinkommt. Der Reisewagen wird ge-\nzogen durch das Pferd, das wie der Himmel beweglich ist (der Wind gehört\nzum Himmel).\nDui ist die jüngste Tochter, Dschen der älteste Sohn; auch im Zeichen als\nGanzem, ebenso wie in den beiden Herren, stellt sich das Starke unter das\nSchwache, um Nachfolge zu erzielen. Die Bewegung beider Zeichen ist\ngleichsinnig nach oben gerichtet.	393-395	Nachfolge duldet keine alten Vorurteile.\nBeigefügte Urteile\nDie Heroen zähmten das Rind und spannten das Pferd an.\nSo konnten schwere Lasten befördert und ferne Gegenden\nerreicht werden, was der Welt zum Nutzen gereichte. Das\nentnahmen sie wohl dem Zeichen: Die Nachfolge.\nDas Zeichen besteht aus Bewegung unten und Heiterkeit oben. Das Zeichen,\nwelches das Erregende unter dem Heiteren zeigt, legt den Gedanken der\nRuhe nahe, namentlich da auch die Kernzeichen Sun, das Sanfte, und Gen,\nder Stillstand, in diese Richtung weisen. So ist die Einrichtung der Zähmung\ndes Rindes und Pferdes als Mittel zur Arbeitsersparnis zu erklären. Der\nErfolg erklärt sich aus der inneren Struktur des Zeichens, die Beförderung\nschwerer Lasten wird nahegelegt durch das untere Kernzeichen Gen, Berg.\nDas Rind, das diese Lasten trägt, entspricht der Erde (der Berg gehört zur\nErde). Die Erreichung ferner Gegenden wird nahegelegt durch das obere\nKernzeichen Sun, Wind, der überall hinkommt. Der Reisewagen wird gezogen durch das Pferd, das wie der Himmel beweglich ist (der Wind gehört\nzum Himmel).\nDui ist die jüngste Tochter, Dschen der älteste Sohn; auch im Zeichen als\nGanzem, ebenso wie in den beiden Herren, stellt sich das Starke unter das\nSchwache, um Nachfolge zu erzielen. Die Bewegung beider Zeichen ist\ngleichsinnig nach oben gerichtet.	cerrado	coincide_ninguno
judgment_oraculo		393-395	Die Nachfolge hat erhabenes Gelingen.\nFördernd ist Beharrlichkeit. Kein Makel.	cerrado	na
