campo	contenido_reconciliado	jpg_paginas	contenido_pdf	au_estado	resolucion_disputa
hex	22	410-413		cerrado	na
nombre	DIE ANMUT	410-413	DIE ANMUT	cerrado	na
chinese	賁	410-413		cerrado	na
chinese_roman	BI	410-413		cerrado	na
hex_font	䷕	410-413	䷕	cerrado	na
trigrama_arriba	above GEN das Stillehalten, DER BERG	410-413	above GEN das Stillehalten, DER BERG	cerrado	na
trigrama_abajo	below LI das Haftende, DAS FEUER	410-413	below LI das Haftende, DAS FEUER	cerrado	na
ruler_note	Dschen und\nKan\nie Herren des Zeichens sind die Sechs auf zweitem Platz und die obere\nheißt: "Das Weiche kommt und formt das Feste, das Feste steigt empor und\nformt das Weiche."	410-413	Dschen und\nie Herren des Zeichens sind die Sechs auf zweitem Platz und die obere\nKan\nheißt: "Das Weiche kommt und formt das Feste, das Feste steigt empor und\nformt das Weiche."	cerrado	coincide_pass04
sequence	Die Dinge dürfen sich nicht ohne weiteres rücksichtslos ver-\neinigen, darum folgt darauf das Zeichen: die Anmut.\nAnmut ist soviel wie Zierde.	410-413	Die Dinge dürfen sich nicht ohne weiteres rücksichtslos vereinigen, darum folgt darauf das Zeichen: die Anmut.\nAnmut ist soviel wie Zierde.\nAnmut bedeutet Ungefärbtheit.\nDie höchste Anmut besteht nicht in äußerer Verzierung, sondern im Hervortreten des ursprünglichen Materials, das durch Gestaltung verschönert wird.\nDas obere Zeichen Gen, Berg, hat die Tendenz des Stillehaltens. Von unten\nflackert das Feuer empor und beleuchtet den Berg. Diese Bewegung wird\nverstärkt durch das Kernzeichen Dschen, dessen Bewegungsrichtung ebenfalls nach oben geht, während das ruhig Lastende des Berges durch das untere Kernzeichen Kan in eine fallende Bewegung übergeleitet wird. So zeigt\ndie innere Struktur des Zeichens zwar einen harmonischen Ausgleich der\nBewegung, ohne jedoch nach einer Seite hin einen Kräfteüberschuß zu ergeben. Das Zeichen ist die Umkehrung des vorigen.	cerrado	coincide_pass04
misc_notes	Anmut bedeutet Ungefärbtheit.\nDie höchste Anmut besteht nicht in äußerer Verzierung, sondern im Hervor-\ntreten des ursprünglichen Materials, das durch Gestaltung verschönert wird.\nDas obere Zeichen Gen, Berg, hat die Tendenz des Stillehaltens. Von unten\nflackert das Feuer empor und beleuchtet den Berg. Diese Bewegung wird\nverstärkt durch das Kernzeichen Dschen, dessen Bewegungsrichtung eben-\nfalls nach oben geht, während das ruhig Lastende des Berges durch das un-\ntere Kernzeichen Kan in eine fallende Bewegung übergeleitet wird. So zeigt\ndie innere Struktur des Zeichens zwar einen harmonischen Ausgleich der\nBewegung, ohne jedoch nach einer Seite hin einen Kräfteüberschuß zu er-\ngeben. Das Zeichen ist die Umkehrung des vorigen.	410-413	Anmut bedeutet Ungefärbtheit.\nDie höchste Anmut besteht nicht in äußerer Verzierung, sondern im Hervortreten des ursprünglichen Materials, das durch Gestaltung verschönert wird.\nDas obere Zeichen Gen, Berg, hat die Tendenz des Stillehaltens. Von unten\nflackert das Feuer empor und beleuchtet den Berg. Diese Bewegung wird\nverstärkt durch das Kernzeichen Dschen, dessen Bewegungsrichtung ebenfalls nach oben geht, während das ruhig Lastende des Berges durch das untere Kernzeichen Kan in eine fallende Bewegung übergeleitet wird. So zeigt\ndie innere Struktur des Zeichens zwar einen harmonischen Ausgleich der\nBewegung, ohne jedoch nach einer Seite hin einen Kräfteüberschuß zu ergeben. Das Zeichen ist die Umkehrung des vorigen.	cerrado	coincide_pass02
judgment_oraculo		410-413	Anmut hat Gelingen.\nIm Kleinen ist es fördernd, etwas zu unternehmen.	cerrado	na
