campo	contenido_reconciliado	jpg_paginas	contenido_pdf	au_estado	resolucion_disputa
hex	47	507-510		cerrado	na
nombre	DIE BEDRANGNIS	507-510	DIE BEDRANGNIS	cerrado	na
chinese	困	507-510		cerrado	na
chinese_roman	KUN	507-510	Kun	cerrado	na
hex_font	䷮	507-510	䷮	cerrado	na
trigrama_arriba	above DUI das Heitere, DER SEE	507-510	above DUI das Heitere, DER SEE	cerrado	na
trigrama_abajo	below KAN das Abgründige, DAS WASSER	507-510	below KAN das Abgründige, DAS WASSER	cerrado	na
ruler_note	Sun und\nLi\nie Herren des Zeichens sind die Neun auf zweitem und die Neun auf\nDi\nfünftem Platz. Der Gedanke des Zeichens beruht auf der Einschließung\ndes Festen. Der zweite und der fünfte Strich sind beide ihrem Wesen nach\nfest und zentral und eingeschlossen zwischen dunklen Linien. Darum sind\nbeide Striche sowohl konstituierende als beherrschende Herren des Zeichens.	507-510	Die Herren des Zeichens sind die Neun auf zweitem und die Neun auf\nDi\nfünftem Platz. Der Gedanke des Zeichens beruht auf der Einschließung\ndes Festen. Der zweite und der fünfte Strich sind beide ihrem Wesen nach\nfest und zentral und eingeschlossen zwischen dunklen Linien. Darum sind\nbeide Striche sowohl konstituierende als beherrschende Herren des Zeichens.	cerrado	coincide_ninguno
sequence	Wenn man empordringt, ohne aufzuhören, so gerät man\nsicher in Bedrängnis. Darum folgt darauf das Zeichen: die\nBedrängnis.	507-510	Wenn man empordringt, ohne aufzuhören, so gerät man\nsicher in Bedrängnis. Darum folgt darauf das Zeichen: die\nBedrängnis.\nBedrängnis bedeutet sich treffen.\nPRO E MED ALT, POMU\nĽ\nts\nJ\nf\nIT\nBedrängnis ist etwas, das sich zufällig trifft. Daß der See ohne Wasser ist,\nkommt von besonderen Ausnahmeverhältnissen her.\nBeigefügte Urteile\nBedrängnis ist die Prüfung des Charakters. Bedrängnis bringt\nin Ratlosigkeit und dadurch zu Erfolg. Durch Bedrängnis\nlernt man, seinen Groll verringern.\nDas Zeichen ist voll Gefahr in seinem Aufbau: ein See, unter dem sich ein\nAbgrund öffnet, durch den das Wasser nach unten abfließt. Als Kernzeichen sind Wind und Feuer tätig, die ebenfalls das Wasser von innen her\nbedrängen. Die Kraftrichtungen gehen auseinander. Kan, das untere Zeichhen, senkt sich nach unten, Dui, das obere, verdunstet nach oben; von den\nStrichen aus betrachtet, ist das Yangelement vom Yinelement bedrängt. Die\noberen beiden starken Striche sind eingeschlossen zwischen zwei schwache,\nebenso der Mittelstrich des unteren Zeichens.	cerrado	coincide_pass04
misc_notes	Bedrängnis bedeutet sich treffen.\nBedrängnis ist etwas, das sich zufällig trifft. Daß der See ohne Wasser ist,\nkommt von besonderen Ausnahmeverhältnissen her.\nBeigefügte Urteile\nBedrängnis ist die Prüfung des Charakters. Bedrängnis bringt\nin Ratlosigkeit und dadurch zu Erfolg. Durch Bedrängnis\nlernt man, seinen Groll verringern.\nDas Zeichen ist voll Gefahr in seinem Aufbau: ein See, unter dem sich ein\nAbgrund öffnet, durch den das Wasser nach unten abfließt. Als Kernzei-\nchen sind Wind und Feuer tätig, die ebenfalls das Wasser von innen her\nbedrängen. Die Kraftrichtungen gehen auseinander. Kan, das untere Zei-\nchen, senkt sich nach unten, Dui, das obere, verdunstet nach oben; von den\nStrichen aus betrachtet, ist das Yangelement vom Yinelement bedrängt. Die\noberen beiden starken Striche sind eingeschlossen zwischen zwei schwache,\nebenso der Mittelstrich des unteren Zeichens.	507-510	Bedrängnis bedeutet sich treffen.\nBedrängnis ist etwas, das sich zufällig trifft. Daß der See ohne Wasser ist,\nkommt von besonderen Ausnahmeverhältnissen her.\nBeigefügte Urteile\nBedrängnis ist die Prüfung des Charakters. Bedrängnis bringt\nin Ratlosigkeit und dadurch zu Erfolg. Durch Bedrängnis\nlernt man, seinen Groll verringern.\nDas Zeichen ist voll Gefahr in seinem Aufbau: ein See, unter dem sich ein\nAbgrund öffnet, durch den das Wasser nach unten abfließt. Als Kernzeichen sind Wind und Feuer tätig, die ebenfalls das Wasser von innen her\nbedrängen. Die Kraftrichtungen gehen auseinander. Kan, das untere Zeichen, senkt sich nach unten, Dui, das obere, verdunstet nach oben; von den\nStrichen aus betrachtet, ist das Yangelement vom Yinelement bedrängt. Die\noberen beiden starken Striche sind eingeschlossen zwischen zwei schwache,\nebenso der Mittelstrich des unteren Zeichens.	cerrado	coincide_pass02
judgment_oraculo		507-510	Die Bedrängnis. Gelingen. Beharrlichkeit.\nDer große Mann wirkt Heil. Kein Makel.\nWenn man etwas zu sagen hat, wird es nicht geglaubt.	cerrado	na
commentary_decision	Die Bedrängnis. Das Feste ist eingeschlossen. Gefahr und\nHeiterkeit. In Bedrängnis sein, ohne die Kraft des Gelingens\nzu verlieren, das vermag nur der Edle.\n"\nBeharrlichkeit. Der große Mann ist von Heil":\nweil er fest und zentral ist.\n"\nWenn man etwas zu sagen hat, wird es nicht geglaubt."\nWer den Mund wichtig nimmt, kommt in Ratlosigkeit.\nDer Name des Zeichens ist erklärt aus der Gestalt, indem auf verschiedene\nWeise die festen Striche zwischen dunklen Strichen eingeschlossen sind.\nDas Gelingen in der Zeit der Bedrängnis kommt daher, daß man in der Ge-\nfahr (das untere Zeichen Kan) nicht die Heiterkeit (das obere Zeichen Dui)\nverliert. Die festen und zentralen Striche, die den großen Mann andeuten,\nsind die Herren des Zeichens an zweiter und fünfter Stelle. Das Reden wird\nebenfalls durch das Zeichen Dui nahegelegt. Aber man findet kein Gehör.\nDas Zeichen Kan bedeutet Ohrenschmerz, also Abneigung zu hören.	507-510	Die Bedrängnis. Das Feste ist eingeschlossen. Gefahr und\nHeiterkeit. In Bedrängnis sein, ohne die Kraft des Gelingens\nzu verlieren, das vermag nur der Edle.\nBeharrlichkeit. Der große Mann ist von Heil":\nn\nweil er fest und zentral ist.\nWenn man etwas zu sagen hat, wird es nicht geglaubt."\nn\nWer den Mund wichtig nimmt, kommt in Ratlosigkeit.\nDer Name des Zeichens ist erklärt aus der Gestalt, indem auf verschiedene\nWeise die festen Striche zwischen dunklen Strichen eingeschlossen sind.\nDas Gelingen in der Zeit der Bedrängnis kommt daher, daß man in der Gefahr (das untere Zeichen Kan) nicht die Heiterkeit (das obere Zeichen Dui)\nverliert. Die festen und zentralen Striche, die den großen Mann andeuten,\nsind die Herren des Zeichens an zweiter und fünfter Stelle. Das Reden wird\nebenfalls durch das Zeichen Dui nahegelegt. Aber man findet kein Gehör.\nDas Zeichen Kan bedeutet Ohrenschmerz, also Abneigung zu hören.	cerrado	coincide_pass04
image_oraculo	Im See ist kein Wasser: das Bild der Erschöpfung. So setzt\nder Edle sein Leben daran, um seinem Willen zu folgen.\n13 Das Buch der Wandlungen II	507-510	Im See ist kein Wasser: das Bild der Erschöpfung.\nSo setzt der Edle sein Leben daran,\num seinem Willen zu folgen.	cerrado	na
commentary_image	Das Bild der Erschöpfung ergibt sich aus der Stellung der beiden Halbzei-\nchen zueinander: das Wasser ist unterhalb des Sees, also abgeflossen. Die\nEinzelzeichen ergeben dann den Ratschlag für das Benehmen in der Zeit\nder Erschöpfung: das Zeichen Kan, Abgrund, Gefahr, deutet auf Einsetzung\ndes Lebens, das Zeichen Dui, Heiterkeit, auf das dem eignen Willen Folgen.	507-510	[W]\nDas Bild der Erschöpfung ergibt sich aus der Stellung der beiden Halbzeichen zueinander: das Wasser ist unterhalb des Sees, also abgeflossen. Die\nEinzelzeichen ergeben dann den Ratschlag für das Benehmen in der Zeit\nder Erschöpfung: das Zeichen Kan, Abgrund, Gefahr, deutet auf Einsetzung\ndes Lebens, das Zeichen Dui, Heiterkeit, auf das dem eignen Willen Folgen.	cerrado	coincide_pass04
L1_etiqueta	Anfangs Sechs:	507-510	Anfangs Sechs:	cerrado	na
