campo	contenido_reconciliado	jpg_paginas	contenido_pdf	au_estado	resolucion_disputa
hex	1	316-327	1	cerrado	na
nombre	DAS SCHÖPFERISCHE	316-327	DAS SCHÖPFERISCHE	cerrado	na
chinese	乾	316-327	乾	cerrado	na
chinese_roman	KIAN	316-327	KIAN	cerrado	na
hex_font	䷀	316-327	䷀	cerrado	na
trigrama_arriba	above KIËN das Schöpferische, DER HIMMEL	316-327	above KIËN das Schöpferische, DER HIMMEL	cerrado	na
trigrama_abajo	below KIËN das Schöpferische, DER HIMMEL	316-327	below KIËN das Schöpferische, DER HIMMEL	cerrado	na
ruler_note	Kiän und\nKiän\nerr des Zeichens ist die Neun auf fünftem Platz. Das Schöpferische be-\nHimmels. Andererseits bezeichnet das Schöpferische den Weg des Edlen,\nund der fünfte Platz als Platz des Herrschers ist der dem Edlen gebührende\nPlatz. Die Neun auf fünftem Platz besitzt außerdem vollzählig die vier\nEigenschaften der Festigkeit, der Stärke, des Maßes (zentrale Stellung im\noberen Zeichen) und der Gerechtigkeit (Korrektheit, da als Yangelement\nauf dem Yangplatz befindlich). Insofern besitzt dieser Strich den Charakter\ndes Himmels in seiner Reinheit.\nDas Zeichen ist dem vierten Monat (April-Mai) zugeordnet, da die lichte\nKraft auf der Höhe ist.	316-327	Herr des Zeichens ist die Neun auf fünftem Platz. Das Schöpferische bezeichnet den Weg des Himmels, und der fünfte Platz ist das Bild des Himmels. Andererseits bezeichnet das Schöpferische den Weg des Edlen,\nund der fünfte Platz als Platz des Herrschers ist der dem Edlen gebührende\nPlatz. Die Neun auf fünftem Platz besitzt außerdem vollzählig die vier\nEigenschaften der Festigkeit, der Stärke, des Maßes (zentrale Stellung im\noberen Zeichen) und der Gerechtigkeit (Korrektheit, da als Yangelement\nauf dem Yangplatz befindlich). Insofern besitzt dieser Strich den Charakter\ndes Himmels in seiner Reinheit.\nDas Zeichen ist dem vierten Monat (April-Mai) zugeordnet, da die lichte\nKraft auf der Höhe ist.	cerrado	coincide_ninguno
sequence		316-327		vacio_en_libro	na
misc_notes	,,Das Schöpferische ist stark"\nDer Charakter des Zeichens ist die Kraft und Festigkeit.\nDas Bild des Zeichens ist der Himmel verdoppelt, d. h. zwei aufeinander-\nfolgende Drehungen oder Tage.\nDie Gestalt des Zeichens: Es ist aus lauter positiven Strichelementen zu-\nsammengesetzt.	316-327	„Das Schöpferische ist stark"\nDer Charakter des Zeichens ist die Kraft und Festigkeit.\nDas Bild des Zeichens ist der Himmel verdoppelt, d. h. zwei aufeinanderfolgende Drehungen oder Tage.\nDie Gestalt des Zeichens: Es ist aus lauter positiven Strichelementen zusammengesetzt.	cerrado	na
judgment_oraculo		316-327	Das Schöpferische wirkt erhabenes Gelingen, fördernd durch Beharrlichkeit.	cerrado	na
