campo	contenido_reconciliado	jpg_paginas	contenido_pdf	au_estado	resolucion_disputa
hex	35	459-462		cerrado	na
nombre	DER FORTSCHRITT	459-462	DER FORTSCHRITT	cerrado	na
chinese	晉	459-462		cerrado	na
chinese_roman	DSIN	459-462	Dsin	cerrado	na
hex_font	䷢	459-462	䷢	cerrado	na
trigrama_arriba	above LI das Haftende, DAS FEUER	459-462	above LI das Haftende, DAS FEUER	cerrado	na
trigrama_abajo	below KUN das Empfangende, DIE ERDE	459-462	below KUN das Empfangende, DIE ERDE	cerrado	na
ruler_note	Kan und\nGen\nas Zeichen hat als Charakteristikum das Licht, das aus der Erde auf-\nsteigt. Sechs auf fünftem Platz ist der Herr des Zeichens Li (Licht), in\nDa\ndem sie auf dem mittleren Platz des Himmels ist. Darum ist sie der Herr\ndes Zeichens, auf den sich der Satz des Kommentars zur Entscheidung be-\nzieht: "Das Schwache schreitet fort und geht nach oben."	459-462	Das Zeichen hat als Charakteristikum das Licht, das aus der Erde aufsteigt. Sechs auf fünftem Platz ist der Herr des Zeichens Li (Licht), in\ndem sie auf dem mittleren Platz des Himmels ist. Darum ist sie der Herr\ndes Zeichens, auf den sich der Satz des Kommentars zur Entscheidung bezieht: „Das Schwache schreitet fort und geht nach oben."	cerrado	coincide_ninguno
sequence	Die Wesen können nicht dauernd im Zustand der Macht ver-\nharren, darum folgt das Zeichen: Fortschritt. Fortschritt be-\ndeutet Expansion.	459-462	Die Wesen können nicht dauernd im Zustand der Macht verharren, darum folgt das Zeichen: Fortschritt. Fortschritt bedeutet Expansion.	cerrado	na
misc_notes	Fortschritt bedeutet den Tag.\nDie Zeichen Dsin, Schong, Dsiän haben alle die Bedeutung des Fortschreitens.\nDas Zeichen Dsin, Fortschritt, hat als Bild die Sonne, die über die Erde\nemporsteigt. Es ist das Schönste unter diesen drei Zeichen. Schong, der\nAufstieg (No. 46) ist symbolisiert durch das Holz, das über die Erde aufsteigt.\nDsiän, die Entwicklung (No. 53), zeigt einen Baum auf dem Berg, der sich\nnoch langsamer weiter entwickelt. Allerdings hat die allzu rasche Expansion\nauch ihre Gefahren, wie sich beim nächsten Zeichen zeigt. In der mensch-\nlichen Gesellschaft deutet das Zeichen auf einen weisen Herrscher, dem folg-\nsame Diener zur Seite stehen.	459-462	Fortschritt bedeutet den Tag.\nDie Zeichen Dsin, Schong, Dsiän haben alle die Bedeutung des Fortschreitens.\nDas Zeichen Dsin, Fortschritt, hat als Bild die Sonne, die über die Erde\nemporsteigt. Es ist das Schönste unter diesen drei Zeichen. Schong, der\nAufstieg (No. 46) ist symbolisiert durch das Holz, das über die Erde aufsteigt.\nDsiän, die Entwicklung (No. 53), zeigt einen Baum auf dem Berg, der sich\nnoch langsamer weiter entwickelt. Allerdings hat die allzu rasche Expansion\nauch ihre Gefahren, wie sich beim nächsten Zeichen zeigt. In der menschlichen Gesellschaft deutet das Zeichen auf einen weisen Herrscher, dem folgsame Diener zur Seite stehen.	cerrado	na
judgment_oraculo		459-462	Der Fortschritt:\nDer starke Fürst wird geehrt durch Pferde in großer Menge.\nAn einem Tage wird er dreimal empfangen.	cerrado	na
commentary_decision	Fortschritt bedeutet Vorankommen. Die Klarheit steigt über\ndie Erde empor. Hingebend und haftend an der großen Klar-\nheit, schreitet das Schwache fort und geht nach oben; darum\nheißt es:,,Der starke Fürst wird geehrt durch Pferde in großer\nMenge. An einem Tag wird er dreimal empfangen."\nDie Gestalt des Zeichens deutet auf Fortschritt und zwar auf allseitigen,\nauf Expansion. Das Hingebende ist das untere Zeichen Kun, das hier den\nDiener bedeutet. Die große Klarheit ist das obere Zeichen Li, das hier den\nHerrscher bedeutet. Das Schwache, das fortschreitet, ist der mittlere Strich\nvon Kun, der den Mittelplatz des oberen Zeichens, das ursprünglich als\nVater Kiän war, einnimmt, daher der Herr des Zeichens, der weise Fürst,\nist. Der Herrscher bedarf der Treue seiner Diener, die er in großer Weisheit\nentsprechend zu belohnen weiß. Damit werden die Worte des Urteils erklärt.	459-462	Fortschritt bedeutet Vorankommen. Die Klarheit steigt über\ndie Erde empor. Hingebend und haftend an der großen Klarheit, schreitet das Schwache fort und geht nach oben; darum\nheißt es:„Der starke Fürst wird geehrt durch Pferde in großer\nMenge. An einem Tag wird er dreimal empfangen."\nDie Gestalt des Zeichens deutet auf Fortschritt und zwar auf allseitigen,\nauf Expansion. Das Hingebende ist das untere Zeichen Kun, das hier den\nDiener bedeutet. Die große Klarheit ist das obere Zeichen Li, das hier den\nHerrscher bedeutet. Das Schwache, das fortschreitet, ist der mittlere Strich\nvon Kun, der den Mittelplatz des oberen Zeichens, das ursprünglich als\nVater Kiän war, einnimmt, daher der Herr des Zeichens, der weise Fürst,\nist. Der Herrscher bedarf der Treue seiner Diener, die er in großer Weisheit\nentsprechend zu belohnen weiß. Damit werden die Worte des Urteils erklärt.	cerrado	na
image_oraculo	Die Sonne steigt über die Erde empor: das Bild des Fort-\nschritts. So macht der Edle selbst seine klaren Anlagen hell.\n10 Das Buch der Wandlungen II	459-462	Die Sonne steigt über die Erde empor:\ndas Bild des Fortschritts.\nSo macht der Edle selbst seine klaren Anlagen hell.	cerrado	na
