campo	contenido_reconciliado	jpg_paginas	contenido_pdf	au_estado	resolucion_disputa
hex	46	504-506		cerrado	na
nombre	DAS EMPORDRINGEN	504-506	DAS EMPORDRINGEN	cerrado	na
chinese	升	504-506		cerrado	na
chinese_roman	SCHONG	504-506	SCHONG	cerrado	na
hex_font	䷭	504-506	䷭	cerrado	na
trigrama_arriba	above KUN das Empfangende, DIE ERDE	504-506	above KUN das Empfangende, DIE ERDE	cerrado	na
trigrama_abajo	below SUN das Sanfte, DER WIND, DAS HOLZ	504-506	below SUN das Sanfte, DER WIND, DAS HOLZ	cerrado	na
ruler_note	Dschen und\nDui\ner Herr des Zeichens ist die Sechs auf fünftem Platz. Auf sie bezieht\nDer zur Entscheidung eine\nde\ndringt mit der Zeit empor." Die Sechs auf fünftem Platz ist die geehrteste\nLinie unter den empordringenden. Aber das Empordringen beginnt sicher\nunten. Das Zeichen hat als Bild das Holz, das inmitten der Erde wächst.\nNun ist aber die Anfangssechs der Herr des Halbzeichens Sun und die Wur-\nzel des Holzes, darum ist die Anfangssechs wenigstens ein konstituierender\nHerr des Zeichens.	504-506	Dschen und\nDui\nDer Herr des Zeichens ist die Sechs auf fünftem Platz. Auf sie bezieht\nes sich, wenn es im Kommentar zur Entscheidung heißt: "Das Weiche\ndringt mit der Zeit empor." Die Sechs auf fünftem Platz ist die geehrteste\nLinie unter den empordringenden. Aber das Empordringen beginnt sicher\nunten. Das Zeichen hat als Bild das Holz, das inmitten der Erde wächst.\nNun ist aber die Anfangssechs der Herr des Halbzeichens Sun und die Wurzel des Holzes, darum ist die Anfangssechs wenigstens ein konstituierender\nHerr des Zeichens.	cerrado	coincide_ninguno
sequence	Das Sichanhäufen nach oben heißt Empordringen. Darum\nfolgt das Zeichen: das Empordringen.	504-506	Das Sichanhäufen nach oben heißt Empordringen. Darum\nfolgt das Zeichen: das Empordringen.	cerrado	na
misc_notes	Das Empordringende kommt nicht zurück.\nDas Zeichen ist an sich sehr günstig organisiert. Das obere Zeichen, Kun,\nhat die Bewegungsrichtung nach unten, das untere Zeichen, Sun, das Ein-\ndringen bedeutet und als Bild das Holz hat, dringt darum ungehemmt nach\noben. Immerhin ist das Empordringen nicht so leicht und expansiv wie der\nSonnenaufgang des Zeichens Fortschritt. Die Richtung der Bewegung nach\noben wird noch verstärkt durch die Kernzeichen Dschen und Dui, die beide\nnach oben gerichtet sind. Das Zeichen ist die Umkehrung des vorigen.	504-506	Das Empordringende kommt nicht zurück.\nDas Zeichen ist an sich sehr günstig organisiert. Das obere Zeichen, Kun,\nhat die Bewegungsrichtung nach unten, das untere Zeichen, Sun, das Eindringen bedeutet und als Bild das Holz hat, dringt darum ungehemmt nach\noben. Immerhin ist das Empordringen nicht so leicht und expansiv wie der\nSonnenaufgang des Zeichens Fortschritt. Die Richtung der Bewegung nach\noben wird noch verstärkt durch die Kernzeichen Dschen und Dui, die beide\nnach oben gerichtet sind. Das Zeichen ist die Umkehrung des vorigen.	cerrado	na
judgment_oraculo		504-506	Das Empordringen hat erhabenes Gelingen.\nMan muß den großen Mann sehen.\nFürchte dich nicht!\nAufbruch nach Süden bringt Heil.	cerrado	na
commentary_decision	Das Weiche dringt mit der Zeit empor. Sanft und hingebend.\nDas Feste ist in der Mitte und findet Entsprechung, darum\nerlangt es großes Gelingen.\nn\nMan muß den großen Mann sehen. Fürchte dich nicht",\ndenn es bringt Segen.\n"Aufbruch nach Süden bringt Heil."\nDer Wille geschieht.\nDas Weiche, das von der Zeit getragen empordringt, ist die weiche Anfangs-\nlinie, die die Wurzel des unteren Zeichens Holz bedeutet. Sanft ist das untere\nZeichen, hingebend das obere. Das sind die Vorbedingungen in der Zeit,\ndie dem starken Strich auf zweitem Platz, der bei dem schwachen Strich auf\ndem Platz des Herrschers Entsprechung findet, es ermöglichen, großen Er-\nfolg zu erringen. Es heißt: "Man muß den großen Mann sehen" und nicht:\n"Fördernd ist es, den großen Mann zu sehen", wie das sonst gewöhnlich\nist; denn der Herr des Zeichens ist nicht der große Mann, er ist vielmehr\nweich. Die Ursache des Gelingens ist nicht eine soziale, sondern eine tran-\nszendente. Darum heißt es auch: "Fürchte dich nicht" und "es bringt Segen".\nDiese aus dem Unsichtbaren stammende Gunst der Verhältnisse muß man\naber durch Arbeit ausnützen. Der Aufbruch nach Süden bedeutet Arbeit.\nDer Süden ist die Himmelsrichtung zwischen Sun und Kun, den beiden Be-\nstandteilen, aus denen sich das Gesamtzeichen zusammensetzt.	504-506	Das Weiche dringt mit der Zeit empor. Sanft und hingebend.\nDas Feste ist in der Mitte und findet Entsprechung, darum\nerlangt es großes Gelingen.\n,Man muß den großen Mann sehen. Fürchte dich nicht",\nn\ndenn es bringt Segen.\n"Aufbruch nach Süden bringt Heil."\nDer Wille geschieht.\nDas Weiche, das von der Zeit getragen empordringt, ist die weiche Anfangslinie, die die Wurzel des unteren Zeichens Holz bedeutet. Sanft ist das untere\nZeichen, hingebend das obere. Das sind die Vorbedingungen in der Zeit,\ndie dem starken Strich auf zweitem Platz, der bei dem schwachen Strich auf\ndem Platz des Herrschers Entsprechung findet, es ermöglichen, großen Erfolg zu erringen. Es heißt: "Man muß den großen Mann sehen" und nicht:\n"Fördernd ist es, den großen Mann zu sehen", wie das sonst gewöhnlich\nist; denn der Herr des Zeichens ist nicht der große Mann, er ist vielmehr\nweich. Die Ursache des Gelingens ist nicht eine soziale, sondern eine transzendente. Darum heißt es auch: "Fürchte dich nicht" und "es bringt Segen".\nDiese aus dem Unsichtbaren stammende Gunst der Verhältnisse muß man\naber durch Arbeit ausnutzen. Der Aufbruch nach Süden bedeutet Arbeit.\nDer Süden ist die Himmelsrichtung zwischen Sun und Kun, den beiden Bestandteilen, aus denen sich das Gesamtzeichen zusammensetzt.	cerrado	coincide_pass04
image_oraculo	Inmitten der Erde wächst das Holz: das Bild des Empor-\ndringens. So häuft der Edle hingebenden Wesens Kleines,\num es zu Hohem und Großem zu bringen.\nDie Anhäufung des Kleinen, der stetige, unmerkliche Fortschritt, wird ange-\ndeutet durch die Art, wie das Holz unter der Erde allmählich und unsicht-\nbar wächst. Das hingebende Wesen entspricht dem Zeichen Kun, die Höhe\nund Größe dem Zeichen Sun, dessen Bild der Baum ist.\nAnfangs Sechs:	504-506	Inmitten der Erde wächst das Holz:\ndas Bild des Empordringens.\nSo häuft der Edle hingebenden Wesens Kleines,\num es zu Hohem und Großem zu bringen.	cerrado	coincide_ninguno
