campo	contenido_reconciliado	jpg_paginas	contenido_pdf	au_estado	resolucion_disputa
hex	40	478-481		cerrado	na
nombre	DIE BEFREIUNG	478-481	DIE BEFREIUNG	cerrado	na
chinese	解	478-481		cerrado	na
chinese_roman	HIA	478-481	Hië	cerrado	na
hex_font	䷧	478-481	䷧	cerrado	na
trigrama_arriba	above DSCHEN das Erregende, DER DONNER	478-481	above DSCHEN das Erregende, DER DONNER	cerrado	na
trigrama_abajo	below KAN das Abgründige, DAS WASSER	478-481	below KAN das Abgründige, DAS WASSER	cerrado	na
ruler_note	Kernzeichen: Kan und\nLi\nie Herren des Zeichens sind die Neun auf zweitem und die Sechs auf\nzur Entscheidung!\n"Durch Hingehen bekommt er die Menge": das bezieht sich auf den fünften\nPlatz, und weiter: "Er bekommt die zentrale Stellung": das bezieht sich auf\nden zweiten Platz.	478-481	―\nDie Herren des Zeichens sind die Neun auf zweitem und die Sechs auf\nfünftem Platz. Darum heißt es im Kommentar zur Entscheidung:\nDurch Hingehen bekommt er die Menge": das bezieht sich auf den fünften\nPlatz, und weiter: "Er bekommt die zentrale Stellung": das bezieht sich auf\nden zweiten Platz.\nKan und	cerrado	coincide_ninguno
sequence	Die Dinge können nicht dauernd in Hemmnissen sein. Darum\nfolgt darauf das Zeichen: Die Befreiung. Befreiung bedeutet\nEntspannung.	478-481	Die Dinge können nicht dauernd in Hemmnissen sein. Darum\nfolgt darauf das Zeichen: Die Befreiung. Befreiung bedeutet\nEntspannung.\nBefreiung bedeutet Entspannung.\nDer Gedanke der Lösung und Befreiung kommt dadurch zur Darstellung,\ndaß oben bzw. außen das Zeichen Dschen, Bewegung, steht, das sich aus\ndem unteren bzw. inneren Zeichen Kan, Gefahr, herausbewegt. Es ist\neinerseits die Weiterentwicklung des Zustandes, der in Nr. 3, Dschun, An~\nfangsschwierigkeit, gezeichnet ist: Dort die Bewegung innerhalb der Gefahr,\nhier die Befreiung. Andererseits ist das Zeichen die Umkehrung des vorigen.\nDas Hemmnis ist umgestürzt, die Befreiung ist da.\nVom Bild aus betrachtet ist der Donner, die Elektrizität, durch die Regenwolken hindurchgedrungen. Die Spannung ist ausgeglichen. Das Gewitter\nbricht los, die ganze Natur atmet befreit auf.	cerrado	coincide_pass04
misc_notes	Befreiung bedeutet Entspannung.\nDer Gedanke der Lösung und Befreiung kommt dadurch zur Darstellung,\ndab oben bzw. außen das Zeichen Dschen, Bewegung, steht, das sich aus\ndem unteren bzw. inneren Zeichen Kan, Gefahr, herausbewegt. Es ist\neinerseits die Weiterentwicklung des Zustandes, der in Nr. 3, Dschun, An-\nfangsschwierigkeit, gezeichnet ist: Dort die Bewegung innerhalb der Gefahr,\nhier die Befreiung. Andererseits ist das Zeichen die Umkehrung des vorigen.\nDas Hemmnis ist umgestürzt, die Befreiung ist da.\nVom Bild aus betrachtet ist der Donner, die Elektrizität, durch die Regen-\nwolken hindurchgedrungen. Die Spannung ist ausgeglichen. Das Gewitter\nbricht los, die ganze Natur atmet befreit auf.	478-481	Befreiung bedeutet Entspannung.\nDer Gedanke der Lösung und Befreiung kommt dadurch zur Darstellung,\ndab oben bzw. außen das Zeichen Dschen, Bewegung, steht, das sich aus\ndem unteren bzw. inneren Zeichen Kan, Gefahr, herausbewegt. Es ist\neinerseits die Weiterentwicklung des Zustandes, der in Nr. 3, Dschun, Anfangsschwierigkeit, gezeichnet ist: Dort die Bewegung innerhalb der Gefahr,\nhier die Befreiung. Andererseits ist das Zeichen die Umkehrung des vorigen.\nDas Hemmnis ist umgestürzt, die Befreiung ist da.\nVom Bild aus betrachtet ist der Donner, die Elektrizität, durch die Regenwolken hindurchgedrungen. Die Spannung ist ausgeglichen. Das Gewitter\nbricht los, die ganze Natur atmet befreit auf.	cerrado	coincide_pass02
