campo	contenido_reconciliado	jpg_paginas	contenido_pdf	au_estado	resolucion_disputa
hex	19	400-402		cerrado	na
nombre	DIE ANNAHERUNG	400-402	DIE ANNAHERUNG	cerrado	na
chinese	臨	400-402		cerrado	na
chinese_roman	LIN	400-402		cerrado	na
hex_font	䷒	400-402	䷒	cerrado	na
trigrama_arriba	above KUN das Empfangende, DIE ERDE	400-402	above KUN das Empfangende, DIE ERDE	cerrado	na
trigrama_abajo	below DUI das Heitere, DER SEE	400-402	below DUI das Heitere, DER SEE	cerrado	na
ruler_note	Kun und\nDschen\nie Herren des Zeichens sind die Anfangsneun und die Neun auf zwei-\nFeste dringt ein und wächst.\nqu\n也​看	400-402	Die Herren des Zeichens sind die Anfangsneun und die Neun auf zweitem Platz, von denen es im Kommentar zur Entscheidung heißt: das\nFeste dringt ein und wächst.\nDie\nDschen	cerrado	coincide_ninguno
sequence	Wenn es Geschäfte gibt, dann kann man groß werden. Dar-\num folgt darauf das Zeichen: die Annäherung. Annäherung\nbedeutet groß werden.	400-402	Wenn es Geschäfte gibt, dann kann man groß werden. Darum folgt darauf das Zeichen: die Annäherung. Annäherung\nbedeutet groß werden.	cerrado	na
misc_notes	Die Bedeutung der Zeichen Annäherung und Betrachtung ist,\ndaß sie teils geben, teils nehmen.\nDie Organisation des Zeichens ist durchaus günstig: Die zwei Striche, die\nvon unten eintreten und nach oben dringen, geben der Gestalt des Gesamt-\nzeichens ihren Charakter. Unten Dui steigt nach oben, die obere Figur, Kun,\nsinkt nach unten, so kommen die Bewegungen einander entgegen. Dasselbe\nfindet in noch erhöhtem Maße bei den Kernzeichen statt. Das untere, Dschen,\nist der Donner, der nach oben steigt, während Kun, das obere, sich nach\nunten bewegt.	400-402	Die Bedeutung der Zeichen Annäherung und Betrachtung ist,\ndaß sie teils geben, teils nehmen.\nDie Organisation des Zeichens ist durchaus günstig: Die zwei Striche, die\nvon unten eintreten und nach oben dringen, geben der Gestalt des Gesamtzeichens ihren Charakter. Unten Dui steigt nach oben, die obere Figur, Kun,\nsinkt nach unten, so kommen die Bewegungen einander entgegen. Dasselbe\nfindet in noch erhöhtem Maße bei den Kernzeichen statt. Das untere, Dschen,\nist der Donner, der nach oben steigt, während Kun, das obere, sich nach\nunten bewegt.	cerrado	na
judgment_oraculo		400-402	Die Annäherung hat erhabenes Gelingen.\nFördernd ist Beharrlichkeit.\nKommt der achte Monat, so gibt's Unheil.	cerrado	na
commentary_decision	Die Annäherung. Das Feste dringt ein und wächst.\nHeiter und hingebend, das Feste ist in der Mitte und findet\nEntsprechung: "Großes Gelingen durch Korrektheit"; das ist\nder Lauf des Himmels.\n"Kommt der achte Monat, so gibt's Unheil."\nDie Abnahme läßt nicht lange auf sich warten.\nDer Name des Zeichens wird aus der Gestalt erklärt. Das Feste, das ein-\ndringt und wächst, sind die beiden Yangstriche. Heiterkeit und Hingebung\nsind die Eigenschaften der beiden Teilfiguren. Das Feste in der Mitte, das\nEntsprechung findet, ist die Neun auf zweitem Platz. Von ihr aus werden\ndie Worte des Zeichens erklärt. Der achte Monat wird dadurch nahegelegt,\ndaß das nächstfolgende Zeichen Guan (der Anblick, die Betrachtung), bei\ndem die Starken ebenso im Rückzug begriffen sind wie hier im Vordringen,\ngenau acht Monate auf dieses Zeichen im Lauf des Jahres folgt.	400-402	Die Annäherung. Das Feste dringt ein und wächst.\nHeiter und hingebend, das Feste ist in der Mitte und findet\nEntsprechung: "Großes Gelingen durch Korrektheit"; das ist\nder Lauf des Himmels.\n„Kommt der achte Monat, so gibt's Unheil."\nDie Abnahme läßt nicht lange auf sich warten.\nDer Name des Zeichens wird aus der Gestalt erklärt. Das Feste, das eindringt und wächst, sind die beiden Yangstriche. Heiterkeit und Hingebung\nsind die Eigenschaften der beiden Teilfiguren. Das Feste in der Mitte, das\nEntsprechung findet, ist die Neun auf zweitem Platz. Von ihr aus werden\ndie Worte des Zeichens erklärt. Der achte Monat wird dadurch nahegelegt,\ndaß das nächstfolgende Zeichen Guan (der Anblick, die Betrachtung), bei\ndem die Starken ebenso im Rückzug begriffen sind wie hier im Vordringen,\ngenau acht Monate auf dieses Zeichen im Lauf des Jahres folgt.	cerrado	coincide_pass02
image_oraculo	Oberhalb des Sees ist die Erde: Das Bild der Annäherung.\nSo ist der Edle in seiner Absicht zu lehren unerschöpflich und\nim Ertragen und Schützen des Volkes ohne Grenzen.	400-402	Oberhalb des Sees ist die Erde: das Bild der Annäherung.\nSo ist der Edle in seiner Absicht zu lehren unerschöpflich\nund im Ertragen und Schützen des Volkes ohne Grenzen.	cerrado	na
commentary_image	Der See, der durch seine unerschöpfliche Feuchtigkeit die Erde befruchtet,\nlegt das Lehren, das die Menschen innerlich befruchtet, nahe. Die Erde be-\ndeutet die Massen, daher das Tragen und Schützen des Volkes.\nO Anfangs Neun:	400-402	Der See, der durch seine unerschöpfliche Feuchtigkeit die Erde befruchtet,\nlegt das Lehren, das die Menschen innerlich befruchtet, nahe. Die Erde bedeutet die Massen, daher das Tragen und Schützen des Volkes.\nO Anfangs Neun:	cerrado	coincide_pass02
L1_etiqueta	Anfangs Neun:	400-402	Anfangs Neun:	cerrado	na
L1_a_oraculo	Gemeinsame Annäherung. Beharrlichkeit bringt Heil.	400-402	Gemeinsame Annäherung. Beharrlichkeit bringt Heil.	cerrado	na
L1_b_comentario	Gemeinsame Annäherung. Beharrlichkeit bringt Heil."\nSein Wille ist es, korrekt zu handeln.\nDer Strich geht mit dem zweiten gemeinsam vor, daher gemeinsame An-\nnäherung. In dem Wort gemeinsam liegt gleichzeitig der Begriff der An-\nregung, Beeinflussung. Er sucht, herbeigerufen, den schwachen Strich auf\nzweitem Platz zu beeinflussen. Aber sein Wille ist es, korrekt zu handeln,\ndenn er ist stark auf starkem Platz.	400-402	Gemeinsame Annäherung. Beharrlichkeit bringt Heil."\nSein Wille ist es, korrekt zu handeln.\nDer Strich geht mit dem zweiten gemeinsam vor, daher gemeinsame Annäherung. In dem Wort gemeinsam liegt gleichzeitig der Begriff der Anregung, Beeinflussung. Er sucht, herbeigerufen, den schwachen Strich auf\nzweitem Platz zu beeinflussen. Aber sein Wille ist es, korrekt zu handeln,\ndenn er ist stark auf starkem Platz.	cerrado	na
L2_etiqueta	Neun auf zweitem Platz:	400-402	Neun auf zweitem Platz:	cerrado	na
L2_a_oraculo	Gemeinsame Annäherung. Heil! Alles ist fördernd.	400-402	Gemeinsame Annäherung. Heil! Alles ist fördernd.	cerrado	na
L2_b_comentario	Gemeinsame Annäherung. Heil! Alles ist fördernd."\nMan braucht sich dem Schicksal nicht hinzugeben.\n―\nHier beim oberen Herrn des Zeichens ist daran erinnert, daß, wie der ge-\nmeinsame Aufstieg der beiden Starken im Schicksal begründet ist, so auch\nseinerzeit das Schicksal den Rückgang mit sich bringe. Aber indem - dem\nKernzeichen Dschen entsprechend rechtzeitig eine Bewegung angeregt\nwird, die nach oben geht, ist diese Bewegung stark genug, auch dem Schick-\nsal entgegenzuwirken, wenn seine Folgen ohne diese Vorkehrungen ein-\nzutreten begännen.	400-402	Gemeinsame Annäherung. Heil! Alles ist fördernd."\nMan braucht sich dem Schicksal nicht hinzugeben.\nHier beim oberen Herrn des Zeichens ist daran erinnert, daß, wie der gemeinsame Aufstieg der beiden Starken im Schicksal begründet ist, so auch\nseinerzeit das Schicksal den Rückgang mit sich bringe. Aber indem dem\nKernzeichen Dschen entsprechend rechtzeitig eine Bewegung angeregt\nwird, die nach oben geht, ist diese Bewegung stark genug, auch dem Schicksal entgegenzuwirken, wenn seine Folgen ohne diese Vorkehrungen einzutreten begännen.	cerrado	coincide_pass04
L3_etiqueta	Sechs auf drittem Platz:	400-402	Sechs auf drittem Platz:	cerrado	na
L3_a_oraculo	Behagliche Annäherung. Nichts, das fördernd wäre. Erreicht\nman Trauer darüber, so wird man ohne Makel.	400-402	Behagliche Annäherung. Nichts, das fördernd wäre. Erreicht\nman Trauer darüber, so wird man ohne Makel.	cerrado	na
L3_b_comentario	Behagliche Annäherung."\nDer Platz ist nicht der gebührende.\nEin Makel, worüber Trauer erreicht ist, dauert nicht länger.\nDer dritte Strich steht auf der Spitze der Heiterkeit, daher behagliche An-\nnäherung. Sein Platz ist nicht der rechte. Er ist schwach auf starkem Platz,\ndaher ist nichts fördernd.\nDer Strich steht aber auch inmitten des Kernzeichens Dschen, das Erschütte-\nrung und Schrecken bedeutet, daher die Möglichkeit der Reue. Indem da-\ndurch Bewegung eintritt, ebenfalls Charakter von Dschen wird der\nFehler überwunden.\n-\n-	400-402	Behagliche Annäherung."\nDer Platz ist nicht der gebührende.\nEin Makel, worüber Trauer erreicht ist, dauert nicht länger.\nDer dritte Strich steht auf der Spitze der Heiterkeit, daher behagliche Annäherung. Sein Platz ist nicht der rechte. Er ist schwach auf starkem Platz,\ndaher ist nichts fördernd.\nDer Strich steht aber auch inmitten des Kernzeichens Dschen, das Erschütterung und Schrecken bedeutet, daher die Möglichkeit der Reue. Indem dadurch wird der\nebenfalls Charakter von Dschen\ndurch Bewegung eintritt,\nFehler überwunden.	cerrado	coincide_ninguno
L4_etiqueta	Sechs auf viertem Platz:	400-402	Sechs auf viertem Platz:	cerrado	na
L4_a_oraculo	Vollkommene Annäherung. Kein Makel.	400-402	Vollkommene Annäherung. Kein Makel.	cerrado	na
L4_b_comentario	Vollkommene Annäherung. Kein Makel",\ndenn der Platz ist der gebührende.\nHier ist die innigste Annäherung des oberen und unteren Zeichens anein-\nander. Der Platz ist gebührend: weiche Linie auf weichem Platz. Er steht\nin Entsprechung zur Anfangsneun.	400-402	Vollkommene Annäherung. Kein Makel",\ndenn der Platz ist der gebührende.\nHier ist die innigste Annäherung des oberen und unteren Zeichens aneinander. Der Platz ist gebührend: weiche Linie auf weichem Platz. Er steht\nin Entsprechung zur Anfangsneun.	cerrado	na
L5_etiqueta	Sechs auf fünftem Platz:	400-402	Sechs auf fünftem Platz:	cerrado	na
L5_a_oraculo	Weise Annäherung. Das ist recht für einen großen Fürsten.\nHeil.	400-402	Weise Annäherung. Das ist recht für einen großen Fürsten.\nHeil.	cerrado	na
L5_b_comentario	Was für einen großen Fürsten recht ist, damit ist gemeint,\ndaß er in der Mitte wandeln soll.\nDie Weisheit besteht darin, daß die schwache Linie auf dem zentralen Platz\ndes Herrschers den starken, tüchtigen Mann auf zweitem Platz, zu dem Ent-\nsprechung vorhanden ist, kennt und würdigt. Der gemeinsame zentrale\nWandel ist das Band, das beide verbindet.	400-402	Was für einen großen Fürsten recht ist, damit ist gemeint,\ndaß er in der Mitte wandeln soll.\nDie Weisheit besteht darin, daß die schwache Linie auf dem zentralen Platz\ndes Herrschers den starken, tüchtigen Mann auf zweitem Platz, zu dem Entsprechung vorhanden ist, kennt und würdigt. Der gemeinsame zentrale\nWandel ist das Band, das beide verbindet.	cerrado	na
L6_etiqueta	Obere Sechs:	400-402	Obere Sechs:	cerrado	na
L6_a_oraculo	Großherzige Annäherung. Heil. Kein Makel.	400-402	Großherzige Annäherung. Heil. Kein Makel.	cerrado	na
L6_b_comentario	Großherzige Annäherung."\nDer Wille ist nach innen gerichtet.\nAn sich sollte man denken, daß die Sechs an oberster Stelle, die keine Ent-\nsprechung hat, sich von den übrigen zurückzieht. Aber in der Zeit der An-\nnäherung ist sie nach innen, d. h. nach unten gerichtet, so daß sie in Be-\nziehung mit den übrigen Strichen des Zeichens bleibt.	400-402	Großherzige Annäherung."\nDer Wille ist nach innen gerichtet.\nAn sich sollte man denken, daß die Sechs an oberster Stelle, die keine Entsprechung hat, sich von den übrigen zurückzieht. Aber in der Zeit der Annäherung ist sie nach innen, d. h. nach unten gerichtet, so daß sie in Beziehung mit den übrigen Strichen des Zeichens bleibt.	cerrado	na
yong_etiqueta		400-402		vacio_en_libro	na
yong_a_oraculo		400-402		vacio_en_libro	na
yong_b_comentario		400-402		vacio_en_libro	na
wen_yen		400-402		vacio_en_libro	na
wen_yen_note		400-402		vacio_en_libro	na
hex_fin	19				
