campo	contenido_reconciliado	jpg_paginas	contenido_pdf	au_estado	resolucion_disputa
hex	64	574-585		cerrado	na
nombre	VOR DER VOLLENDUNG	574-585	VOR DER VOLLENDUNG	cerrado	na
chinese	未濟	574-585		cerrado	na
chinese_roman	WE DSI	574-585	WE DSI	cerrado	na
hex_font	䷿	574-585	䷿	cerrado	na
trigrama_arriba	above LI das Haftende, DIE FLAMME	574-585	above LI das Haftende, DIE FLAMME	cerrado	na
trigrama_abajo	below KAN das Abgründige, DAS WASSER	574-585	below KAN das Abgründige, DAS WASSER	cerrado	na
ruler_note	Kan und\nLi\ner Herr des Zeichens ist die Sechs auf fünftem Platz; denn die Zeit vor\nDer\nnung herrschen. Die Sechs auf fünftem Platz ist im äußeren Zeichen und\neröffnet gerade die Zeit der Ordnung. Darum heißt es im Kommentar zur\nEntscheidung:,,Vor der Vollendung. Gelingen. Denn das Weiche erlangt\ndie Mitte."	574-585	Der Herr des Zeichens ist die Sechs auf fünftem Platz; denn die Zeit vor der Vollendung ist eine Zeit, da anfangs Wirren und am Ende Ordnung herrschen. Die Sechs auf fünftem Platz ist im äußeren Zeichen und eröffnet gerade die Zeit der Ordnung. Darum heißt es im Kommentar zur Entscheidung: „Vor der Vollendung. Gelingen. Denn das Weiche erlangt die Mitte."	cerrado	coincide_ninguno
sequence	Die Dinge können sich nicht erschöpfen, darum folgt darauf\ndas Zeichen: "Vor der Vollendung" zum Schluß.	574-585	Die Dinge können sich nicht erschöpfen, darum folgt darauf\ndas Zeichen: "Vor der Vollendung" zum Schluß.	cerrado	na
misc_notes	Vor der Vollendung ist die Erschöpfung des Männlichen.\nDas Zeichen ist gleichzeitig Umkehrung und Gegenstück zum vorigen. Eben-\nso sind die Kernzeichen Kan und Li vertauscht. Das Zeichen stellt den\nÜbergang von Pi, Stockung, zu Tai, Friede, dar. Außerlich betrachtet sind\nzwar alle Striche nicht auf ihrem Platz, aber sie stehen alle in Beziehung\nzueinander. Die Ordnung ist bei äußerer Erscheinung einer vollkommenen\nUnordnung innerlich schon präformiert. Der mittlere starke Strich ist von\noben nach unten gegangen und hat damit die Verbindung hergestellt. Zwar\nsteht noch nicht Kun oben und Kiän unten wie beim Zeichen Tai, aber ihre\nVertreter, die mit dem mittelsten Strich ihren Geist und ihre Wirkung in sich\nhaben: Li und Kan. Sie sind in der Welt der Sichtbarkeit (späterer Himmel)\ndie Vertreter von Kun und Kiän und stehen an deren Platz im Süden (Li)\nund im Norden (Kan).	574-585	Vor der Vollendung ist die Erschöpfung des Männlichen.\nDas Zeichen ist gleichzeitig Umkehrung und Gegenstück zum vorigen. Ebenso sind die Kernzeichen Kan und Li vertauscht. Das Zeichen stellt den\nÜbergang von Pi, Stockung, zu Tai, Friede, dar. Außerlich betrachtet sind\nzwar alle Striche nicht auf ihrem Platz, aber sie stehen alle in Beziehung\nzueinander. Die Ordnung ist bei äußerer Erscheinung einer vollkommenen\nUnordnung innerlich schon präformiert. Der mittlere starke Strich ist von\noben nach unten gegangen und hat damit die Verbindung hergestellt. Zwar\nsteht noch nicht Kun oben und Kiän unten wie beim Zeichen Tai, aber ihre\nVertreter, die mit dem mittelsten Strich ihren Geist und ihre Wirkung in sich\nhaben: Li und Kan. Sie sind in der Welt der Sichtbarkeit (späterer Himmel)\ndie Vertreter von Kun und Kiän und stehen an deren Platz im Süden (Li)\nund im Norden (Kan).	cerrado	na
