campo	contenido_reconciliado	jpg_paginas	contenido_pdf	au_estado	resolucion_disputa
hex	55	541-544		cerrado	na
nombre	DIE FÜLLE	541-544	DIE FÜLLE	cerrado	na
chinese	豐	541-544		cerrado	na
chinese_roman	FONG	541-544	Fong	cerrado	na
hex_font	䷶	541-544	䷶	cerrado	na
trigrama_arriba	above DSCHEN das Erregende, DER DONNER	541-544	above DSCHEN das Erregende, DER DONNER	cerrado	na
trigrama_abajo	below LI das Haftende, DIE FLAMME	541-544	below LI das Haftende, DIE FLAMME	cerrado	na
ruler_note	Dui und\nSun\ner Herr des Zeichens ist die Sechs auf fünftem Platz. Wenn es im Ur-\nDe\nteil heißt:,,Der König erreicht es. Sei nicht traurig. Du mußt sein wie\ndie Sonne am Mittag", so bezieht sich das auf die Sechs auf fünftem Platz;\ndenn das ist der Platz des Königs. Der Strich ist weich und weilt in der\nMitte: das ist der Charakter der Sonne am Mittag.	541-544	Der Herr des Zeichens ist die Sechs auf fünftem Platz. Wenn es im Urteil heißt:„Der König erreicht es. Sei nicht traurig. Du mußt sein wie\ndie Sonne am Mittag", so bezieht sich das auf die Sechs auf fünftem Platz;\ndenn das ist der Platz des Königs. Der Strich ist weich und weilt in der\nMitte: das ist der Charakter der Sonne am Mittag.	cerrado	coincide_ninguno
sequence	Was einen Platz bekommt, wo es daheim ist, das wird sicher\ngroß. Darum folgt darauf das Zeichen: die Fülle. Fülle be-\ndeutet Größe.	541-544	Was einen Platz bekommt, wo es daheim ist, das wird sicher\ngroß. Darum folgt darauf das Zeichen: die Fülle. Fülle bedeutet Größe.	cerrado	na
misc_notes	Die Fülle bedeutet viele Anlässe.\nDas Zeichen setzt sich zusammen aus dem nach oben strebenden Dschen und\ndem ebenfalls nach oben sich bewegenden Li. Die Kernzeichen sind das\nheitere Dui, der See, und das eindringende Sun, der Wind. Wind und Was-\nser, Donner und Blitz ist daher alles beisammen. Das alles deutet auf viel\nKraft. Ein gewisser Höhepunkt ist dadurch gegeben, daß das stärker sich\nbewegende Dschen oben ist; während es sich bei Schï Ho, das Durchbeißen,\nNr. 21, um die Überwindung eines Hindernisses handelt, ist hier das Hin-\ndernis schon überwunden. Der Gipfel der Größe legt aber auch die Gefahr\ndes Rückgangs nahe. Das Licht wird durch das innerhalb des Zeichens ste-\nhende Kernzeichen Sun, Holz, in verschiedenem Grade verdunkelt. Das\nZeichen ist eines von denen, die auf die Veränderlichkeit alles Irdischen Be-\nzug nehmen. Dies ist auch wohl der Sinn des Wortes: die Fülle bedeutet\nviele Anlässe, nämlich Anlässe zur Sorge und Trauer.	541-544	Die Fülle bedeutet viele Anlässe.\nDas Zeichen setzt sich zusammen aus dem nach oben strebenden Dschen und\ndem ebenfalls nach oben sich bewegenden Li. Die Kernzeichen sind das\nheitere Dui, der See, und das eindringende Sun, der Wind. Wind und Wasser, Donner und Blitz ist daher alles beisammen. Das alles deutet auf viel\nKraft. Ein gewisser Höhepunkt ist dadurch gegeben, daß das stärker sich\nbewegende Dschen oben ist; während es sich bei Schï Ho, das Durchbeißen,\nNr. 21, um die Überwindung eines Hindernisses handelt, ist hier das Hindernis schon überwunden. Der Gipfel der Größe legt aber auch die Gefahr\ndes Rückgangs nahe. Das Licht wird durch das innerhalb des Zeichens stehende Kernzeichen Sun, Holz, in verschiedenem Grade verdunkelt. Das\nZeichen ist eines von denen, die auf die Veränderlichkeit alles Irdischen Bezug nehmen. Dies ist auch wohl der Sinn des Wortes: die Fülle bedeutet\nviele Anlässe, nämlich Anlässe zur Sorge und Trauer.	cerrado	na
judgment_oraculo		541-544	Die Fülle hat Gelingen.\nDer König erreicht sie.\nSei nicht traurig; du mußt sein wie die Sonne am Mittag.	cerrado	na
commentary_decision	Die Fülle bedeutet Größe. Klarheit bei der Bewegung, darum\nFülle.\n,,Der König erreicht sie."\nDadurch wird die Größe betont.\n"Du mußt sein wie die Sonne am Mittag."\nMan soll den ganzen Erdkreis bestrahlen.\nWenn die Sonne am Mittag steht, so neigt sie sich; wenn\nder Mond voll ist, so nimmt er ab. Des Himmels und der Erde\nVollsein und Leersein nimmt in der Zeit ab und zu; wieviel\nmehr ist es so bei den Menschen oder den Geistern und\nGöttern!\nFong ist eine Zeit, da durch Klarheit und Fortschritt Größe und Blüte des\nöffentlichen Lebens erreicht wird. Dazu bedarf es einer starken leitenden\nPersönlichkeit, die die andern Gleichgesinnten an sich zieht. Darum kommt\nnicht die Beziehung des Entsprechens, sondern der Gleichartigkeit unter den\nStrichen in Betracht (vgl. Anf. Neun und Neụn auf viertem Platz; Sechs auf\nzweitem Platz und Sechs auf fünftem Platz). Eine solche Zeit höchster Kultur-\nblüte birgt aber auch Gefahren. Nämlich nach dem allgemeinen Weltgesetz\ndes Geschehens folgt auf jede Zunahme eine Abnahme, auf jede Fülle eine\nLeere. Es gibt nur ein Mittel, in Zeiten der Größe Festigkeit der Grund-\nlagen zu gewinnen: die geistige Expansion. Jede Beschränkung rächt sich\nbitter. Nur dadurch, daß immer weitere Kreise hineingezogen werden in die\nFülle, kann sie dauern, denn nur solange kann die Bewegung weitergehen,\nohne in ihr Gegenteil umzuschlagen.	541-544	Die Fülle bedeutet Größe. Klarheit bei der Bewegung, darum\nFülle.\n„Der König erreicht sie."\nDadurch wird die Größe betont.\n„Du mußt sein wie die Sonne am Mittag."\nMan soll den ganzen Erdkreis bestrahlen.\nWenn die Sonne am Mittag steht, so neigt sie sich; wenn\nder Mond voll ist, so nimmt er ab. Des Himmels und der Erde\nVollsein und Leersein nimmt in der Zeit ab und zu; wieviel\nmehr ist es so bei den Menschen oder den Geistern und\nGöttern!\nFong ist eine Zeit, da durch Klarheit und Fortschritt Größe und Blüte des\nöffentlichen Lebens erreicht wird. Dazu bedarf es einer starken leitenden\nPersönlichkeit, die die andern Gleichgesinnten an sich zieht. Darum kommt\nnicht die Beziehung des Entsprechens, sondern der Gleichartigkeit unter den\nStrichen in Betracht (vgl. Anf. Neun und Neun auf viertem Platz; Sechs auf\nzweitem Platz und Sechs auf fünftem Platz). Eine solche Zeit höchster Kulturblüte birgt aber auch Gefahren. Nämlich nach dem allgemeinen Weltgesetz\ndes Geschehens folgt auf jede Zunahme eine Abnahme, auf jede Fülle eine\nLeere. Es gibt nur ein Mittel, in Zeiten der Größe Festigkeit der Grundlagen zu gewinnen: die geistige Expansion. Jede Beschränkung rächt sich\nbitter. Nur dadurch, daß immer weitere Kreise hineingezogen werden in die\nFülle, kann sie dauern, denn nur solange kann die Bewegung weitergehen,\nohne in ihr Gegenteil umzuschlagen.	cerrado	coincide_ninguno
