campo	contenido_reconciliado	jpg_paginas	contenido_pdf	au_estado	resolucion_disputa
hex	41	482-485		cerrado	na
nombre	DIE MINDERUNG	482-485	DIE MINDERUNG	cerrado	coincide_pass02
chinese	損	482-485		cerrado	na
chinese_roman	SUN	482-485	Sun	cerrado	coincide_pass04
hex_font	䷨	482-485	䷨	cerrado	na
trigrama_arriba	above GEN das Stillehalten, DER BERG	482-485	above GEN das Stillehalten, DER BERG	cerrado	na
trigrama_abajo	below DUI das Heitere, DER SEE	482-485	below DUI das Heitere, DER SEE	cerrado	na
ruler_note	Kun und\nDschen\nem Zeichen Sun liegt der Gedanke zugrunde, daß der oberste Strich des\nZeichens zu vermehren; daher sind die Sechs auf drittem Platz und die obere\nNeun die Herren, die das Zeichen konstituieren. Da es aber der Herrscher\nist, der bereichert wird, wenn das Untere vermindert und das Obere ver-\nmehrt wird, darum ist die Sechs auf fünftem Platz der das Zeichen beherr-\nschende Herr.	482-485	em Zeichen Sun liegt der Gedanke zugrunde, daß der oberste Strich des\nZeichens zu vermehren; daher sind die Sechs auf drittem Platz und die obere\nNeun die Herren, die das Zeichen konstituieren. Da es aber der Herrscher\nist, der bereichert wird, wenn das Untere vermindert und das Obere vermehrt wird, darum ist die Sechs auf fünftem Platz der das Zeichen beherrschende Herr.\nDschen	cerrado	coincide_ninguno
sequence	Durch Entspannung geht sicher etwas verloren. Darum folgt\ndarauf das Zeichen: die Minderung.	482-485	Durch Entspannung geht sicher etwas verloren. Darum folgt\ndarauf das Zeichen: die Minderung.	cerrado	na
misc_notes	Die Zeichen Minderung und Mehrung sind der Anfang von\nBlüte und Untergang.\nDas Zeichen besteht aus Dui unten und Gen oben. Die Tiefe des Sees wird\nvermindert zugunsten der Höhe des Berges, die vermehrt wird. Der oberste\nStrich des unteren Zeichens wird vermindert zugunsten des obersten Strichs\ndes oberen Zeichens, der vermehrt wird. In beiden Fällen wird das Untere\nvermindert zugunsten des Oberen, und das bedeutet schlechthin Vermin-\nderung.\nWenn die Minderung ihr Ziel erreicht hat, tritt sicher Blüte ein. Daher ist\ndie Minderung der Beginn der Blüte, ebenso wie die Mehrung durch Fülle\nden Untergang einleitet.\nBeigefügte Urteile\nDas Zeichen Verminderung zeigt die Pflege des Charakters.\nEs zeigt erst die Schwierigkeiten und dann das Leichte. Es\nhält dadurch den Schaden fern.	482-485	Die Zeichen Minderung und Mehrung sind der Anfang von\nBlüte und Untergang.\nDas Zeichen besteht aus Dui unten und Gen oben. Die Tiefe des Sees wird\nvermindert zugunsten der Höhe des Berges, die vermehrt wird. Der oberste\nStrich des unteren Zeichens wird vermindert zugunsten des obersten Strichs\ndes oberen Zeichens, der vermehrt wird. In beiden Fällen wird das Untere\nvermindert zugunsten des Oberen, und das bedeutet schlechthin Verminderung.\nWenn die Minderung ihr Ziel erreicht hat, tritt sicher Blüte ein. Daher ist\ndie Minderung der Beginn der Blüte, ebenso wie die Mehrung durch Fülle\nden Untergang einleitet.\nBeigefügte Urteile\nDas Zeichen Verminderung zeigt die Pflege des Charakters.\nEs zeigt erst die Schwierigkeiten und dann das Leichte. Es\nhält dadurch den Schaden fern.	cerrado	na
judgment_oraculo		482-485	Minderung verbunden mit Wahrhaftigkeit\nwirkt erhabenes Heil ohne Makel.\nMan kann darin beharrlich sein.\nFördernd ist es, etwas zu unternehmen.\nWie übt man das aus?\nZwei kleine Schüsselchen mag man benützen zum Opfer.	cerrado	na
