campo	contenido_reconciliado	jpg_paginas	contenido_pdf	au_estado	resolucion_disputa
hex	45	500-503		cerrado	na
nombre	DIE SAMMLUNG	500-503	DIE SAMMLUNG	cerrado	na
chinese	萃	500-503		cerrado	na
chinese_roman	TSUI	500-503	TSui	cerrado	na
hex_font	䷬	500-503	䷬	cerrado	na
trigrama_arriba	above DUI das Heitere, DER SEE	500-503	above DUI das Heitere, DER SEE	cerrado	na
trigrama_abajo	below KUN das Empfangende, DIE ERDE	500-503	below KUN das Empfangende, DIE ERDE	cerrado	na
ruler_note	Sun und Gen\nie Herren des Zeichens sind die Neun auf fünftem Platz und in zweiter\nden Yangstriche auf hohem Platz, die sämtliche Yinstriche um sich sammeln.	500-503	Sun und Gen\nie Herren des Zeichens sind die Neun auf fünftem Platz und in zweiter\nden Yangstriche auf hohem Platz, die sämtliche Yinstriche um sich sammeln.	cerrado	coincide_pass02
sequence	Wenn die Wesen einander antreffen, dann häufen sie sich an.\nDarum folgt darauf das Zeichen: die Sammlung. Sammlung\nbedeutet Anhäufung.	500-503	Wenn die Wesen einander antreffen, dann häufen sie sich an.\nDarum folgt darauf das Zeichen: die Sammlung. Sammlung\nbedeutet Anhäufung.\nSammlung bedeutet Anhäufung.\nDas Zeichen hat in den beiden lichten Strichen, von denen der eine auf dem\nPlatz des Fürsten bzw. Vaters, der andere auf dem des Ministers bzw.\nSohnes steht, einen starken Mittelpunkt für die Sammlung der übrigen\nLinien, die alle dem schattigen Prinzip angehören. Während die beiden\nUrzeichen Kun und Dui Menge und Heiterkeit bedeuten und so auf die\nGrundlagen der Sammlung hinweisen, haben die beiden Kernzeichen die\nBedeutung von Stehenbleiben und Beeinflussung, was ebenfalls auf Sammlung deutet.	cerrado	coincide_ninguno
misc_notes	Sammlung bedeutet Anhäufung.\nDas Zeichen hat in den beiden lichten Strichen, von denen der eine auf dem\nPlatz des Fürsten bzw. Vaters, der andere auf dem des Ministers bzw.\nSohnes steht, einen starken Mittelpunkt für die Sammlung der übrigen\nLinien, die alle dem schattigen Prinzip angehören. Während die beiden\nUrzeichen Kun und Dui Menge und Heiterkeit bedeuten und so auf die\nGrundlagen der Sammlung hinweisen, haben die beiden Kernzeichen die\nBedeutung von Stehenbleiben und Beeinflussung, was ebenfalls auf Samm-\nlung deutet.	500-503	Gen\nie Herren des Zeichens sind die Neun auf fünftem Platz und in zweiter\nPlatz. In dem Zeichen sind nur diese beiden Yangstriche auf hohem Platz, die sämtliche Yinstriche um sich sammeln.	cerrado	coincide_pass04
judgment_oraculo		500-503	Die Sammlung. Gelingen.\nDer König naht sich seinem Tempel.\nFördernd ist es, den großen Mann zu sehen.\nDas bringt Gelingen. Fördernd ist Beharrlichkeit.\nGroße Opfer zu bringen schafft Heil.\nFördernd ist es, etwas zu unternehmen.	cerrado	na
commentary_decision	Sammlung bedeutet Anhäufung. Hingebend und dabei heiter.\nDer Starke steht in der Mitte und findet Entsprechung. Dar-\num häufen sich die andern um ihn an.\n,,Der König naht sich seinem Tempel."\nDas bewirkt Ehrfurcht und Gelingen.\n,,Fördernd ist es, den großen Mann zu sehen. Das bringt\nGelingen."\nDie Anhäufung findet auf rechter Grundlage statt.\n,,Große Opfer zu bringen schafft Heil. Fördernd ist es, etwas\nzu unternehmen";\ndenn das ist hingebend gegen des Himmels Gebot.\nWenn man darauf blickt, was sie sammeln, so kann man die\nVerhältnisse von Himmel und Erde und allen Wesen schauen.\nDer starke Strich auf fünftem Platz stellt den König dar, den großen Mann,\nden zu sehen günstig ist. Unter ihm ist das Kernzeichen Gen, das Berg\nund Haus bedeutet. Ihm zur Seite steht ferner der starke Strich auf viertem\nPlatz, dem Ort des Ministers. Der Berg deutet auf Beharrlichkeit. Berg\nund Tempel sind beides Orte, wo große Opfer gebracht werden. Der Wind,\ndas obere Kernzeichen (Sun), bedeutet den Einfluß des Oberen, infolge-\ndessen begonnene Werke gelingen werden.\nDer Name des Zeichens wird im Kommentar zur Entscheidung auf mannig-\nfache Weise erklärt: 1) Die Eigenschaften der beiden Halbzeichen sind Hin-\ngebung und Heiterkeit, auf Grund deren eine Sammlung stattfindet. 2) Eine\nSammlung bedarf aber auch des Hauptes, des Kristallisationsmittelpunktes.\nDer ist gegeben in der Neun auf fünftem Platz, um die sich die andern Linien\nsammeln. Der Herrscher oben bedarf zur Sammlung des Volkes der Hei-\nterkeit (Dui); das Volk unten zeigt sich hingebend (Kun).\nEs wird ferner auf die Religion als Grundlage sozialer Sammlung hinge-\nwiesen. Das einigende Band der Natur ist der Himmel, ebenso wie das\neinigende Band unter den Menschen die Ahnen sind. Wenn man diese\nKräfte kennt, so werden einem alle Verhältnisse klar.\nB	500-503	Sammlung bedeutet Anhäufung. Hingebend und dabei heiter.\nDer Starke steht in der Mitte und findet Entsprechung. Darum häufen sich die andern um ihn an.\n„Der König naht sich seinem Tempel."\nDas bewirkt Ehrfurcht und Gelingen.\n„Fördernd ist es, den großen Mann zu sehen. Das bringt\nGelingen."\nDie Anhäufung findet auf rechter Grundlage statt.\n„Große Opfer zu bringen schafft Heil. Fördernd ist es, etwas\nzu unternehmen";\ndenn das ist hingebend gegen des Himmels Gebot.\nWenn man darauf blickt, was sie sammeln, so kann man die\nVerhältnisse von Himmel und Erde und allen Wesen schauen.\nDer starke Strich auf fünftem Platz stellt den König dar, den großen Mann,\nden zu sehen günstig ist. Unter ihm ist das Kernzeichen Gen, das Berg\nund Haus bedeutet. Ihm zur Seite steht ferner der starke Strich auf viertem\nPlatz, dem Ort des Ministers. Der Berg deutet auf Beharrlichkeit. Berg\nund Tempel sind beides Orte, wo große Opfer gebracht werden. Der Wind,\ndas obere Kernzeichen (Sun), bedeutet den Einfluß des Oberen, infolgedessen begonnene Werke gelingen werden.\nDer Name des Zeichens wird im Kommentar zur Entscheidung auf mannigfache Weise erklärt: 1) Die Eigenschaften der beiden Halbzeichen sind Hingebung und Heiterkeit, auf Grund deren eine Sammlung stattfindet. 2) Eine\nSammlung bedarf aber auch des Hauptes, des Kristallisationsmittelpunktes.\nDer ist gegeben in der Neun auf fünftem Platz, um die sich die andern Linien\nsammeln. Der Herrscher oben bedarf zur Sammlung des Volkes der Heiterkeit (Dui); das Volk unten zeigt sich hingebend (Kun).\nEs wird ferner auf die Religion als Grundlage sozialer Sammlung hingewiesen. Das einigende Band der Natur ist der Himmel, ebenso wie das\neinigende Band unter den Menschen die Ahnen sind. Wenn man diese\nKräfte kennt, so werden einem alle Verhältnisse klar.	cerrado	coincide_ninguno
image_oraculo	Der See ist oberhalb der Erde: das Bild der Sammlung. So\nerneuert der Edle seine Waffen, um Unvorhergesehenem zu\nbegegnen.\nDie beiden Zeichen in ihrem Zusammensein geben das Bild der Sammlung.\nIndem der See oberhalb der Erde ist, also mit dem Überlaufen droht, ist\ndadurch zugleich die Gefahr der Sammlung angezeigt. Die Zeichen und\nKernzeichen, einzeln genommen, zeigen, wie diesen Gefahren zu begegnen\nist. Das Zeichen Dui bedeutet Metall, daher Waffen. Das Zeichen Kun be-\ndeutet Erneuern (die Erde erzeugt das Metall). Das Kernzeichen Sun\ndeutet auf das Eindringende, Unvorhergesehene, das Kernzeichen Gen be-\ndeutet Stillehalten, Hemmen.\nAnfangs Sechs:	500-503	Der See ist oberhalb der Erde:\ndas Bild der Sammlung.\nSo erneuert der Edle seine Waffen,\num Unvorhergesehenem zu begegnen.	cerrado	coincide_ninguno
