campo	contenido_reconciliado	jpg_paginas	contenido_pdf	au_estado	resolucion_disputa
hex	43	491-495		cerrado	na
nombre	DER DURCHBRUCH	491-495	DER DURCHBRUCH	cerrado	na
chinese	夬	491-495		cerrado	na
chinese_roman	GUAI	491-495	GUAI	cerrado	na
hex_font	䷪	491-495	䷪	cerrado	na
trigrama_arriba	above DUI das Heitere, DER SEE	491-495	above DUI das Heitere, DER SEE	cerrado	na
trigrama_abajo	below KIËN das Schöpferische, DER HIMMEL	491-495	below KIËN das Schöpferische, DER HIMMEL	cerrado	na
ruler_note	Kiän und\nKiän\ner Sinn des Zeichens geht daraus hervor, daß ein dunkler Strich am\nDer\nstituierende Herr des Zeichens. Aber die fünf lichten Striche wenden sich\nentschlossen gegen den dunklen. Der fünfte ist an ihrer Spitze und außer-\ndem an geehrtem Platz, darum ist die Neun auf fünftem Platz der beherr-\nschende Herr des Zeichens.	491-495	Der Sinn des Zeichens geht daraus hervor, daß ein dunkler Strich am äußersten Platz ganz oben steht, darum ist die obere Sechs der konstituierende Herr des Zeichens. Aber die fünf lichten Striche wenden sich entschlossen gegen den dunklen. Der fünfte ist an ihrer Spitze und außerdem an geehrtem Platz, darum ist die Neun auf fünftem Platz der beherrschende Herr des Zeichens.	cerrado	coincide_ninguno
sequence	Wenn die Mehrung unaufhörlich fortgeht, so gibt es sicher\neinen Durchbruch. Darum folgt darauf das Zeichen: der\nDurchbruch. Durchbruch bedeutet Entschlossenheit.	491-495	Wenn die Mehrung unaufhörlich fortgeht, so gibt es sicher\neinen Durchbruch. Darum folgt darauf das Zeichen: der\nDurchbruch. Durchbruch bedeutet Entschlossenheit.	cerrado	na
misc_notes	Durchbruch bedeutet Entschlossenheit. Das Starke wendet\nsich entschlossen gegen das Schwache.\nBeigefügte Urteile\nIn der Urzeit knotete man Stricke, um zu regieren. Die Hei-\nligen späterer Zeit führten statt dessen schriftliche Urkunden\nein, um die verschiedenen Beamten zu regieren und die\nUntertanenmenge zu beaufsichtigen. Das entnahmen sie wohl\ndem Zeichen: Der Durchbruch.\nDas Zeichen Guai bedeutet eigentlich den Durchbruch eines Flusses durch\nseine Dämme zu Überschwemmungszeiten. Die fünf starken Striche sind\nals von unten her aufsteigend gedacht, so daß sie die obere, schwache Linie\nmit Entschlossenheit hinausdrängen aus dem Zeichen. Dasselbe ergibt sich\naus den Bildern. Der See ist verdunstet und an den Himmel emporgestie-\ngen. Da wird er sich als Wolkenbruch entladen. Auch hier also der\nGedanke des Durchbruchs.\nDas Zeichen besteht aus Dui oben, das Worte bedeutet, und Kiän unten,\ndessen Eigenschaft die Stärke ist. Es deutet also darauf hin, die Worte\nstark und dauernd zu machen.	491-495	Durchbruch bedeutet Entschlossenheit. Das Starke wendet\nsich entschlossen gegen das Schwache.\nBeigefügte Urteile\nIn der Urzeit knotete man Stricke, um zu regieren. Die Heiligen späterer Zeit führten statt dessen schriftliche Urkunden\nein, um die verschiedenen Beamten zu regieren und die\nUntertanenmenge zu beaufsichtigen. Das entnahmen sie wohl\ndem Zeichen: Der Durchbruch.\nDas Zeichen Guai bedeutet eigentlich den Durchbruch eines Flusses durch\nseine Dämme zu Überschwemmungszeiten. Die fünf starken Striche sind\nals von unten her aufsteigend gedacht, so daß sie die obere, schwache Linie\nmit Entschlossenheit hinausdrängen aus dem Zeichen. Dasselbe ergibt sich\naus den Bildern. Der See ist verdunstet und an den Himmel emporgestiegen. Da wird er sich als Wolkenbruch entladen. Auch hier also der\nGedanke des Durchbruchs.\nDas Zeichen besteht aus Dui oben, das Worte bedeutet, und Kiän unten,\ndessen Eigenschaft die Stärke ist. Es deutet also darauf hin, die Worte\nstark und dauernd zu machen.	cerrado	na
