campo	contenido_reconciliado	jpg_paginas	contenido_pdf	au_estado	resolucion_disputa
hex	11	369-373		cerrado	na
nombre	DER FRIEDE	369-373	DER FRIEDE	cerrado	na
chinese	泰	369-373		cerrado	na
chinese_roman	TAI	369-373	Tai	cerrado	na
hex_font	䷊	369-373	䷊	cerrado	na
trigrama_arriba	above KUN das Empfangende, DIE ERDE	369-373	above KUN das Empfangende, DIE ERDE	cerrado	na
trigrama_abajo	below KIËN das Schöpferische, DER HIMMEL	369-373	below KIËN das Schöpferische, DER HIMMEL	cerrado	na
ruler_note	Dschen und\nDui\nDie\nie Herren des Zeichens sind die Neun auf zweitem Platz und die Sedis\nauf fünftem Platz. Der Sinn des Zeichens ist, daß Obere und Untere\nvereinigt sind und gemeinsamen Willen haben. Die Neun auf zweitem\nPlatz erfüllt vollkommen die Pflichten des Beamten in Beziehung zum\nHerrscher, und die Sechs auf fünftem Platz erfüllt vollkommen die Pflichten\ndes Herrschers in Beziehung zu den Untergebenen. Die beiden Linien sind\nsowohl die konstituierenden als auch die beherrschenden Herren des\nZeichens.	369-373	Die Herren des Zeichens sind die Neun auf zweitem Platz und die Sechs auf fünftem Platz. Der Sinn des Zeichens ist, daß Obere und Untere vereinigt sind und gemeinsamen Willen haben. Die Neun auf zweitem Platz erfüllt vollkommen die Pflichten des Beamten in Beziehung zum Herrscher, und die Sechs auf fünftem Platz erfüllt vollkommen die Pflichten des Herrschers in Beziehung zu den Untergebenen. Die beiden Linien sind sowohl die konstituierenden als auch die beherrschenden Herren des Zeichens.	cerrado	coincide_pass04
sequence	Sitte und Zufriedenheit, dann herrscht Ruhe, darum folgt friede\ndarauf das Zeichen "der Friede". Friede bedeutet Verbindung,\nZusammenhang.\nDas chinesische Wort Tai ist nicht leicht zu übersetzen. Es bedeutet Zu-\nfriedenheit, Ruhe, Friede und zwar im positiven Sinn, daß eine ungehinderte\ndurchgehende Verbindung da ist, die Blüte und Größe bewirkt. Die Be-\nwegungsrichtung des unteren Zeichens Kiän geht nach oben, die des oberen\nKun geht nach unten, so kommen sie einander entgegen.\nDas Zeichen ist dem ersten Monat (Januar-Februar) beigeordnet.	369-373	Sitte und Zufriedenheit, dann herrscht Ruhe, darum folgt\ndarauf das Zeichen "der Friede". Friede bedeutet Verbindung,\nZusammenhang.\nDas chinesische Wort Tai ist nicht leicht zu übersetzen. Es bedeutet Zufriedenheit, Ruhe, Friede und zwar im positiven Sinn, daß eine ungehinderte\ndurchgehende Verbindung da ist, die Blüte und Größe bewirkt. Die Bewegungsrichtung des unteren Zeichens Kiän geht nach oben, die des oberen\nKun geht nach unten, so kommen sie einander entgegen.\nDas Zeichen ist dem ersten Monat (Januar-Februar) beigeordnet.	cerrado	coincide_pass04
misc_notes	Die Zeichen "Stockung" und "Frieden" sind ihrer Art nach\nentgegengesetzt.	369-373	Die Zeichen„Stockung" und "Frieden" sind ihrer Art nach\nentgegengesetzt.	cerrado	coincide_ninguno
judgment_oraculo		369-373	Der Friede. Das Kleine geht hin, das Große kommt her.\nHeil! Gelingen!	cerrado	na
