campo	contenido_reconciliado	jpg_paginas	contenido_pdf	au_estado	resolucion_disputa
hex	53	532-535		cerrado	na
nombre	DIE ENTWICKLUNG	532-535	DIE ENTWICKLUNG	cerrado	na
chinese	漸	532-535		cerrado	na
chinese_roman	DSIAN	532-535	Dsien	cerrado	na
hex_font	䷴	532-535	䷴	cerrado	na
trigrama_arriba	above SUN das Sanfte, DER WIND, DAS HOLZ	532-535	above SUN das Sanfte, DER WIND, DAS HOLZ	cerrado	na
trigrama_abajo	below GEN das Stillehalten, DER BERG	532-535	below GEN das Stillehalten, DER BERG	cerrado	na
ruler_note	(ALLMÄHLICHER FORTSCHRITT)\nKernzeichen: Li und\nKan\nD\nas Zeichen Entwicklung hat die Verheiratung eines Mädchens als Grund-\ngedanken. Unter allen Strichen ist nur die Sechs auf zweitem Platz\nzu der Neun auf fünftem Platz in der Beziehung des Entsprechens. Sie ist\ndas Bild des Mädchens, das verheiratet wird. Daher ist die Sechs auf zwei-\ntem Platz der Herr des Zeichens. Aber die Entwicklung hat ferner die Be-\ndeutung des Fortschreitens, und die Neun auf fünftem Platz ist fortge-\nschritten, weilt an hoher Stelle und hat einen festen und zentralen Charak-\nter; darum ist die Neun auf fünftem Platz ebenfalls Herr des Zeichens.	532-535	(ALLMÄHLICHER FORTSCHRITT)\nKernzeichen: Li und\nKan\nDas Zeichen Entwicklung hat die Verheiratung eines Mädchens als Grundgedanken. Unter allen Strichen ist nur die Sechs auf zweitem Platz\nzu der Neun auf fünftem Platz in der Beziehung des Entsprechens. Sie ist\ndas Bild des Mädchens, das verheiratet wird. Daher ist die Sechs auf zweitem Platz der Herr des Zeichens. Aber die Entwicklung hat ferner die Bedeutung des Fortschreitens, und die Neun auf fünftem Platz ist fortgeschritten, weilt an hoher Stelle und hat einen festen und zentralen Charakter; darum ist die Neun auf fünftem Platz ebenfalls Herr des Zeichens.	cerrado	coincide_ninguno
sequence	Die Dinge können nicht dauernd innehalten, darum folgt dar-\nauf das Zeichen: die Entwicklung. Entwicklung bedeutet\nFortschreiten.	532-535	Die Dinge können nicht dauernd innehalten, darum folgt darauf das Zeichen: die Entwicklung. Entwicklung bedeutet\nFortschreiten.	cerrado	na
misc_notes	Die Entwicklung zeigt, wie das Mädchen verheiratet wird\nund dabei auf die Handlungen des Mannes warten muß.\nDas Zeichen zeigt ebenso wie das Zeichen Dsin, der Fortschritt (Nr. 35), und\nSchong, das Empordringen (Nr. 46), einen Fortschritt; aber während Nr. 35\nder Fortschritt ist wie die Ausbreitung der über die Erde aufgehenden\nSonne und Nr. 46 einen Baum zeigt, der durch die Erde empordringt, so\nist hier das langsame Wachstum gemeint, das ein Baum auf einem Berg zeigt.\nAuf der andern Seite ist das Zeichen eines von denen, die von der Ver\nbindung zwischen Mann und Frau handeln, und ist so am nächsten mit dem\nZeichen Hiän, die Einwirkung, Nr. 31, verwandt. (Aber während es dort die\njüngste Tochter ist, die von dem jüngsten Sohn beeinflußt wird, eine Ein-\nwirkung, die rasch und allseitig sich zeigt, also mehr die natürliche An-\nziehung der Geschlechter zum Ausdruck bringt, ist es hier die reife ältere\nTochter, die vom jüngsten Sohn beeinflußt wird. Darum kommen hier mehr\ndie Sitten in ihrer hemmenden Wirkung zur Darstellung. So wird hier er-\ninnert an die langsame Entwicklung bei der Heirat, zu der im Lauf der Zeit\ndie Vollendung von sechs Bräuchen nötig war. Im übrigen vgl. das nächste\nZeichen.)	532-535	Die Entwicklung zeigt, wie das Mädchen verheiratet wird\nund dabei auf die Handlungen des Mannes warten muß.\nDas Zeichen zeigt ebenso wie das Zeichen Dsin, der Fortschritt (Nr. 35), und\nSchong, das Empordringen (Nr. 46), einen Fortschritt; aber während Nr. 35\nder Fortschritt ist wie die Ausbreitung der über die Erde aufgehenden\nSonne und Nr. 46 einen Baum zeigt, der durch die Erde empordringt, so\nist hier das langsame Wachstum gemeint, das ein Baum auf einem Berg zeigt.\nAuf der andern Seite ist das Zeichen eines von denen, die von der Verbindung zwischen Mann und Frau handeln, und ist so am nächsten mit dem\nZeichen Hiän, die Einwirkung, Nr. 31, verwandt. (Aber während es dort die\njüngste Tochter ist, die von dem jüngsten Sohn beeinflußt wird, eine Einwirkung, die rasch und allseitig sich zeigt, also mehr die natürliche Anziehung der Geschlechter zum Ausdruck bringt, ist es hier die reife ältere\nTochter, die vom jüngsten Sohn beeinflußt wird. Darum kommen hier mehr\ndie Sitten in ihrer hemmenden Wirkung zur Darstellung. So wird hier erinnert an die langsame Entwicklung bei der Heirat, zu der im Lauf der Zeit\ndie Vollendung von sechs Bräuchen nötig war. Im übrigen vgl. das nächste\nZeichen.)	cerrado	coincide_pass04
