campo	contenido_reconciliado	jpg_paginas	contenido_pdf	au_estado	resolucion_disputa
hex	63	570-573		cerrado	na
nombre	NACH DER VOLLENDUNG	570-573	NACH DER VOLLENDUNG	cerrado	na
chinese	既濟	570-573		cerrado	na
chinese_roman	GI DSI	570-573	GI DSI	cerrado	na
hex_font	䷾	570-573	䷾	cerrado	na
trigrama_arriba	above KAN das Abgründige, DAS WASSER	570-573	above KAN das Abgründige, DAS WASSER	cerrado	na
trigrama_abajo	below LI das Haftende, DAS FEUER	570-573	below LI das Haftende, DAS FEUER	cerrado	na
ruler_note	Li und\nKan\nDer ist,\ner Herr der Zeichens ist die Sechs auf zweitem Platz. Die Bedeutung\n»\nam Ende Wirren. Die Sechs auf zweitem Platz ist im inneren Zeichen ge-\nrade in der Zeit des anfänglichen Heils. Darum heißt es im Kommentar zur\nEntscheidung: "Anfangs Heil. Das Weiche erlangt die Mitte."	570-573	Der Herr der Zeichens ist die Sechs auf zweitem Platz. Die Bedeutung\nist, daß anfangs Heil herrscht und\n"\nam Ende Wirren. Die Sechs auf zweitem Platz ist im inneren Zeichen gerade in der Zeit des anfänglichen Heils. Darum heißt es im Kommentar zur\nEntscheidung: "Anfangs Heil. Das Weiche erlangt die Mitte."	cerrado	coincide_ninguno
sequence	Wer über den Dingen steht, der bringt sie zur Vollendung.\nDarum folgt darauf das Zeichen: Nach der Vollendung.	570-573	Wer über den Dingen steht, der bringt sie zur Vollendung.\nDarum folgt darauf das Zeichen: Nach der Vollendung.	cerrado	na
misc_notes	Nach der Vollendung bedeutet Festigung.\nDas Zeichen ist das einzige, in dem sämtliche Striche auf ihrem korrekten\nPlatz stehen. Es ist das Zeichen des Übergangs von Tai, Frieden, zu Pi,\nStockung. Es enthält die beiden Halbzeichen Kan und Li, wobei dieselben\nZeichen auch in umgekehrter Richtung die Kernzeichen bilden. Kan strebt\nnach unten, Li nach oben. Durch die äußere und innere Organisation des\nZeichens ist ein Gleichgewichtszustand geschaffen, der als solcher freilich\nlabil ist.	570-573	Nach der Vollendung bedeutet Festigung.\n♥.♥~~~~\nDas Zeichen ist das einzige, in dem sämtliche Striche auf ihrem korrekten\nPlatz stehen. Es ist das Zeichen des Übergangs von Tai, Frieden, zu Pi,\nStockung. Es enthält die beiden Halbzeichen Kan und Li, wobei dieselben\nZeichen auch in umgekehrter Richtung die Kernzeichen bilden. Kan strebt\nnach unten, Li nach oben. Durch die äußere und innere Organisation des\nZeichens ist ein Gleichgewichtszustand geschaffen, der als solcher freilich\nlabil ist.	cerrado	coincide_pass04
judgment_oraculo		570-573	Gelingen im Kleinen. Fördernd ist Beharrlichkeit.\nIm Anfang Heil, am Ende Wirren.	cerrado	na
commentary_decision	Nach der Vollendung. Gelingen: Im Kleinen ist Gelingen.\nFördernd ist Beharrlichkeit."\n"\nDie Festen und Weichen sind korrekt, und ihre Plätze sind die\ngebührenden.\n,,Anfangs Heil":\nDas Weiche hat die Mitte erlangt.\nWenn man am Ende stehen bleibt, so kommen Wirren; denn\nder Weg erschöpft sich.\nDer Herr des Zeichens ist die Sechs auf zweitem Platz; obwohl schwach,\nhat sie Gelingen, weil sie in Beziehung des Entsprechens zu der starken\nNeun auf fünftem Platz steht. Die Beharrlichkeit ist deshalb fördernd, weil\nalle Striche auf den ihnen gebührenden Plätzen stehen und jede Abweichung\ndaher vom Übel ist. Anfangs geht alles gut, weil die weiche Sechs auf\nzweitem Platz die Mitte hat in dem Zeichen Li, Klarheit. Es ist eine Zeit\nhöchster Kulturblüte und Feinheit. Wenn aber kein Fortschritt mehr mög-\nlich ist, so kommen schließlich mit Notwendigkeit Wirren, da der Weg nicht\nfortzusetzen ist.	570-573	Nach der Vollendung. Gelingen: Im Kleinen ist Gelingen.\n"Fördernd ist Beharrlichkeit."\nDie Festen und Weichen sind korrekt, und ihre Plätze sind die\ngebührenden.\n„Anfangs Heil":\nDas Weiche hat die Mitte erlangt.\nWenn man am Ende stehen bleibt, so kommen Wirren; denn\nder Weg erschöpft sich.\nDer Herr des Zeichens ist die Sechs auf zweitem Platz; obwohl schwach,\nhat sie Gelingen, weil sie in Beziehung des Entsprechens zu der starken\nNeun auf fünftem Platz steht. Die Beharrlichkeit ist deshalb fördernd, weil\nalle Striche auf den ihnen gebührenden Plätzen stehen und jede Abweichung\ndaher vom Übel ist. Anfangs geht alles gut, weil die weiche Sechs auf\nzweitem Platz die Mitte hat in dem Zeichen Li, Klarheit. Es ist eine Zeit\nhöchster Kulturblüte und Feinheit. Wenn aber kein Fortschritt mehr möglich ist, so kommen schließlich mit Notwendigkeit Wirren, da der Weg nicht\nfortzusetzen ist.	cerrado	coincide_ninguno
image_oraculo	Das Wasser ist oberhalb des Feuers: Das Bild des Zustands\nnach der Vollendung. So bedenkt der Edle das Unglück und\nrüstet sich im voraus dagegen.\nIndem Feuer und Wasser ihre Wirkungen ausgleichen und so ein Gleich-\ngewichtszustand geschaffen ist, wird doch auf der andern Seite auch die\nBefürchtung des Zusammenbruchs nahegelegt. Bricht das Wasser durch,\nso löscht das Feuer aus. Flammt das Feuer hoch, so trocknet das Wasser\naus. Daher sind Vorkehrungen der Sicherheit nötig. Das Zeichen Kan legt\ndie Gefahr und das Unglück nahe, das Zeichen Li, Klarheit, die Voraussicht.	570-573	Das Wasser ist oberhalb des Feuers:\ndas Bild des Zustands nach der Vollendung.\nSo bedenkt der Edle das Unglück\nund rüstet sich im voraus dagegen.	cerrado	coincide_ninguno
commentary_image	Das Bedenken geschieht im Herzen, das sich Rüsten in den äußeren Hand-\nlungen. Die Gefahr lauert noch unsichtbar, darum kann sie nur durch Nach-\ndenken rechtzeitig erkannt und so abgewandt werden.\nAnfangs Neun:	570-573	rüstet sich im voraus dagegen.\nIndem Feuer und Wasser ihre Wirkungen ausgleichen und so ein Gleichgewichtszustand geschaffen ist, wird doch auf der andern Seite auch die\nBefürchtung des Zusammenbruchs nahegelegt. Bricht das Wasser durch,\nso löscht das Feuer aus. Flammt das Feuer hoch, so trocknet das Wasser\naus. Daher sind Vorkehrungen der Sicherheit nötig. Das Zeichen Kan legt\ndie Gefahr und das Unglück nahe, das Zeichen Li, Klarheit, die Voraussicht.\nDas Bedenken geschieht im Herzen, das sich Rüsten in den äußeren Handlungen. Die Gefahr lauert noch unsichtbar, darum kann sie nur durch Nachdenken rechtzeitig erkannt und so abgewandt werden.	cerrado	coincide_ninguno
L1_etiqueta	Anfangs Neun:	570-573	Anfangs Neun:	cerrado	na
L1_a_oraculo	Er hemmt seine Räder. Er kommt mit dem Schwanz ins\nWasser. Kein Makel.	570-573	Er hemmt seine Räder. Er kommt mit dem Schwanz ins\nWasser. Kein Makel.	cerrado	na
L1_b_comentario	Er hemmt seine Räder."\nDas ist seiner Bedeutung nach ohne Makel.\nKan bedeutet Rad, bedeutet einen Fuchs, bedeutet Hemmen. Die Anfangs-\nlinie ist hinten am Fuchs, daher der Schwanz. Da sie mit der unteren Linie\ndes oberen Zeichens Kan in Verbindung steht, wird sie naß. Da das untere\nKernzeichen ebenfalls Kan ist, kommt die Figur des Fuchses und Rades schon\nhier am Anfang vor. Daß die Gefahr überwunden werden kann durch starkes\nZurückhalten, kommt von der starken Natur des Strichs.	570-573	Er hemmt seine Räder."\nDas ist seiner Bedeutung nach ohne Makel.\nKan bedeutet Rad, bedeutet einen Fuchs, bedeutet Hemmen. Die Anfangslinie ist hinten am Fuchs, daher der Schwanz. Da sie mit der unteren Linie\ndes oberen Zeichens Kan in Verbindung steht, wird sie naß. Da das untere\nKernzeichen ebenfalls Kan ist, kommt die Figur des Fuchses und Rades schon\nhier am Anfang vor. Daß die Gefahr überwunden werden kann durch starkes\nZurückhalten, kommt von der starken Natur des Strichs.	cerrado	na
L2_etiqueta	Sechs auf zweitem Platz:	570-573	Sechs auf zweitem Platz:	cerrado	na
L2_a_oraculo	Die Frau verliert ihren Wagenvorhang. Lauf ihm nicht nach.\nAm siebenten Tag bekommst du es.	570-573	Die Frau verliert ihren Wagenvorhang. Lauf ihm nicht nach.\nAm siebenten Tag bekommst du es.	cerrado	na
L2_b_comentario	Am siebenten Tag bekommst du es":\ninfolge des mittleren Wegs.\nDas Zeichen Li, in dessen Mitte die Linie steht, ist die mittlere Tochter, daher\ndas Bild der Frau. Derselbe Gedanke wird dadurch nahegelegt, daß die\nSechs auf zweitem Platz weich ist und in der Beziehung des Entsprechens\nzu dem Gatten, Neun auf fünftem Platz. Kan ist Wagen. Li ist Vorhang.\nKan bedeutet auch Räuber, daher Raub des Vorhangs. "Nach sieben Tagen",\ndas ist die Zahl eines vollständigen Wechsels der sechs Striche des Zeichens,\nmit dem siebenten kommt der Ausgangsplatz wieder. Der Strich ist weich,\nsteht zwischen harten Strichen, gleicht daher einer Frau, die ihren Schleier\nverloren hat und dadurch Angriffen ausgesetzt ist. Aber da sie korrekt ist,\nschaden ihr diese Angriffe nichts. Sie bleibt ihrem Gatten treu und erhält\nauch ihren Schleier wieder.	570-573	Am siebenten Tag bekommst du es":\ninfolge des mittleren Wegs.\nDas Zeichen Li, in dessen Mitte die Linie steht, ist die mittlere Tochter, daher\ndas Bild der Frau. Derselbe Gedanke wird dadurch nahegelegt, daß die\nSechs auf zweitem Platz weich ist und in der Beziehung des Entsprechens\nzu dem Gatten, Neun auf fünftem Platz. Kan ist Wagen. Li ist Vorhang.\nKan bedeutet auch Räuber, daher Raub des Vorhangs. "Nach sieben Tagen",\ndas ist die Zahl eines vollständigen Wechsels der sechs Striche des Zeichens,\nmit dem siebenten kommt der Ausgangsplatz wieder. Der Strich ist weich,\nsteht zwischen harten Strichen, gleicht daher einer Frau, die ihren Schleier\nverloren hat und dadurch Angriffen ausgesetzt ist. Aber da sie korrekt ist,\nschaden ihr diese Angriffe nichts. Sie bleibt ihrem Gatten treu und erhält\nauch ihren Schleier wieder.	cerrado	na
L3_etiqueta	Neun auf drittem Platz:	570-573	Neun auf drittem Platz:	cerrado	na
L3_a_oraculo	Der hohe Ahn züchtigt das Teufelsland. Nach drei Jahren\nüberwindet er es. Gemeine darf man nicht verwenden.	570-573	Der hohe Ahn züchtigt das Teufelsland. Nach drei Jahren\nüberwindet er es. Gemeine darf man nicht verwenden.	cerrado	na
L3_b_comentario	Nach drei Jahren überwindet er es."\nDas ist erschöpfend.\nLi bedeutet Waffen. Das Teufelsland ist das Nordgebiet der Hunnen.\nNorden ist die Richtung von Kan. Der Strich steht im Mittelpunkt des Kern-\n17 Das Buch der Wandlungen II\nzeichens Kan. Der Strich ist stark auf starkem Platz. Der hohe Ahn ist der\ndynastische Titel von Wu Ding. Der Kaiser Wu Ding ist der Herrscher, der\nder Yindynastie einen neuen Aufschwung gab. Die Warnung gegen Ver-\nwendung von Gemeinen wird durch die geheime Beziehung des Strichs zu\nder schwachen oberen Sechs nahegelegt.	570-573	"Nach drei Jahren überwindet er es."\nDas ist erschöpfend.\nLi bedeutet Waffen. Das Teufelsland ist das Nordgebiet der Hunnen.\nNorden ist die Richtung von Kan. Der Strich steht im Mittelpunkt des Kern-\n17 Das Buch der Wandlungen II\n2444 ✔✔\nzeichens Kan. Der Strich ist stark auf starkem Platz. Der hohe Ahn ist der\ndynastische Titel von Wu Ding. Der Kaiser Wu Ding ist der Herrscher, der\nder Yindynastie einen neuen Aufschwung gab. Die Warnung gegen Verwendung von Gemeinen wird durch die geheime Beziehung des Strichs zu\nder schwachen oberen Sechs nahegelegt.	cerrado	coincide_pass04
L4_etiqueta	Sechs auf viertem Platz:	570-573	Sechs auf viertem Platz:	cerrado	na
L4_a_oraculo	Die schönsten Kleider geben Lumpen. Den ganzen Tag sei\nvorsichtig.	570-573	Die schönsten Kleider geben Lumpen. Den ganzen Tag sei\nvorsichtig.	cerrado	na
