campo	contenido_reconciliado	jpg_paginas	contenido_pdf	au_estado	resolucion_disputa
hex	33	452-455		cerrado	na
nombre	DER RÜCKZUG	452-455	DER RÜCKZUG	cerrado	na
chinese	遯	452-455		cerrado	na
chinese_roman	DUN	452-455	Dun	cerrado	na
hex_font	䷠	452-455	䷠	cerrado	na
trigrama_arriba	above KIËN das Schöpferische, DER HIMMEL	452-455	above KIËN das Schöpferische, DER HIMMEL	cerrado	na
trigrama_abajo	below GEN das Stillehalten, DER BERG	452-455	below GEN das Stillehalten, DER BERG	cerrado	na
ruler_note	Kiän und\nSun\nie Herren des Zeichens, die die Lage konstituieren, sind die beiden\nim Vordringen, vor dem das Lichte sich zurückzieht. Der Herr der Handlung\nist der starke, zentrale Strich auf fünftem Platz, der Entsprechung findet bei\ndem schwachen, zentralen Strich auf zweiter Stelle. Auf ihn bezieht es sich,\nwenn es im Kommentar zur Entscheidung heißt:,,Das Feste ist auf dem ge-\nbührenden Platz und findet Entsprechung. Das bedeutet, daß man mit der\nZeit geht."\nDie untere Hälfte des Zeichens ist Gen, dessen Charakter der Stillstand ist;\ndarum zeigen die drei unteren Striche Hemmung beim Rückzug. Die obere\nHälfte ist Kiän, dessen Charakter die starke Bewegung ist; darum ist der\nRückzug dieser drei Striche frei und ungehemmt.	452-455	Die Herren des Zeichens, die die Lage konstituieren, sind die beiden Yinstriche auf dem ersten und zweiten Platz. Sie zeigen das Schattige im Vordringen, vor dem das Lichte sich zurückzieht. Der Herr der Handlung\nist der starke, zentrale Strich auf fünftem Platz, der Entsprechung findet bei\ndem schwachen, zentralen Strich auf zweiter Stelle. Auf ihn bezieht es sich,\nwenn es im Kommentar zur Entscheidung heißt: "Das Feste ist auf dem gebührenden Platz und findet Entsprechung. Das bedeutet, daß man mit der\nZeit geht."\nDie untere Hälfte des Zeichens ist Gen, dessen Charakter der Stillstand ist;\ndarum zeigen die drei unteren Striche Hemmung beim Rückzug. Die obere\nHälfte ist Kiän, dessen Charakter die starke Bewegung ist; darum ist der\nRückzug dieser drei Striche frei und ungehemmt.	cerrado	coincide_ninguno
sequence	Die Dinge können nicht dauernd an ihrem Platz weilen, dar-\num folgt darauf das Zeichen: der Rückzug. Rückzug bedeutet\ndas Weichen.	452-455	Die Dinge können nicht dauernd an ihrem Platz weilen, darum folgt darauf das Zeichen: der Rückzug. Rückzug bedeutet\ndas Weichen.	cerrado	na
misc_notes	Der Rückzug bedeutet das Weichen.	452-455	Der Rückzug bedeutet das Weichen.	cerrado	na
judgment_oraculo		452-455	Der Rückzug. Gelingen.\nIm Kleinen ist fördernd Beharrlichkeit.	cerrado	na
