campo	contenido_reconciliado	jpg_paginas	contenido_pdf	au_estado	resolucion_disputa
hex	32	449-451		cerrado	na
nombre	DIE DAUER	449-451	DIE DAUER	cerrado	na
chinese	恆	449-451		cerrado	na
chinese_roman	HONG	449-451	HONG	cerrado	na
hex_font	䷟	449-451	䷟	cerrado	na
trigrama_arriba	above DSCHEN das Erregende, DER DONNER	449-451	above DSCHEN das Erregende, DER DONNER	cerrado	na
trigrama_abajo	below SUN das Sanfte, DER WIND	449-451	below SUN das Sanfte, DER WIND	cerrado	na
ruler_note	Dui und\nKiän\nauer bedeutet das, was immer ist. Was in der Mitte ist, das bleibt\nDavon ist die Sechs auf fünftem Platz zwar zentral, aber schwach, während\ndie Neun auf zweitem Platz sowohl zentral als auch stark ist. Darum ist\nder zweite Strich der Herr des Zeichens.\nWährend beim vorigen Zeichen das gegenseitige Entsprechen der Linien\neher als Hinderung in Betracht kam, ist hier der Umstand, daß alle Striche\neinander entsprechen, ein Beweis einer inneren, festen Organisation des\nZeichens, welche Dauer garantiert.\nDer starke zweite Strich steht zu der schwachen Sechs auf fünftem Platz\nin der Beziehung des Entsprechens.	449-451	Da\nauer bedeutet das, was immer ist. Was in der Mitte ist, das bleibt\nimmer. In dem Zeichen ist der zweite und der fünfte Platz in der Mitte.\nDavon ist die Sechs auf fünftem Platz zwar zentral, aber schwach, während\ndie Neun auf zweitem Platz sowohl zentral als auch stark ist. Darum ist\nder zweite Strich der Herr des Zeichens.\nWährend beim vorigen Zeichen das gegenseitige Entsprechen der Linien\neher als Hinderung in Betracht kam, ist hier der Umstand, daß alle Striche\neinander entsprechen, ein Beweis einer inneren, festen Organisation des\nZeichens, welche Dauer garantiert.\nDer starke zweite Strich steht zu der schwachen Sechs auf fünftem Platz\nin der Beziehung des Entsprechens.	cerrado	coincide_ninguno
sequence	Der Weg von Gatte und Gattin darf nicht anders als lange-\nwährend sein. Darum folgt darauf das Zeichen: die Dauer.\nDauer bedeutet langewährend.	449-451	Der Weg von Gatte und Gattin darf nicht anders als langewährend sein. Darum folgt darauf das Zeichen: die Dauer.\nDauer bedeutet langewährend.	cerrado	na
misc_notes	Die Dauer bedeutet das Langewährende.\nBeigefügte Urteile\nDauer wirkt die Festigkeit des Charakters. Das Zeichen Dauer\nzeigt mannigfaltige Erfahrungen ohne Überdruß.\nDas Zeichen Dauer bewirkt die Einheit des Charakters.	449-451	Die Dauer bedeutet das Langewährende.\nBeigefügte Urteile\nDauer wirkt die Festigkeit des Charakters. Das Zeichen Dauer\nzeigt mannigfaltige Erfahrungen ohne Überdruß.\nDas Zeichen Dauer bewirkt die Einheit des Charakters.	cerrado	na
judgment_oraculo		449-451	Gelingen. Kein Makel.\nFördernd ist Beharrlichkeit.\nFördernd ist, zu haben, wohin man gehe.	cerrado	na
