campo	contenido_reconciliado	jpg_paginas	contenido_pdf	au_estado	resolucion_disputa
hex	26	425-428		cerrado	na
nombre		425-428	DES GROSSEN ZÄHMUNGSKRAFT	cerrado	na
chinese	大畜	425-428		cerrado	na
chinese_roman	DA TSCHU	425-428	Da Tschu	cerrado	na
hex_font	䷙	425-428	䷙	cerrado	na
trigrama_arriba	above GEN das Stillehalten, DER BERG	425-428	above GEN das Stillehalten, DER BERG	cerrado	na
trigrama_abajo	below KIËN das Schöpferische, DER HIMMEL	425-428	below KIËN das Schöpferische, DER HIMMEL	cerrado	na
ruler_note	Dschen und\nDui\nie Herren des Zeichens sind die Sechs auf fünftem Platz und die obere\nheißt: Das Feste steigt empor und ehrt den Würdigen.	425-428	Dschen und\nDui\nie Herren des Zeichens sind die Sechs auf fünftem Platz und die obere\nes im Kommentar zur Entscheidung\n•\nheißt: Das Feste steigt empor und ehrt den Würdigen.\n=\nI\nB\n$3	cerrado	coincide_ninguno
sequence	Wenn Unschuld da ist, dann kann man zähmen. Darum folgt\ndarauf: des Großen Zähmungskraft.\nDie himmlische Tugend festhalten ist die Vorbedingung dafür, daß man un-\nschuldig ist. Auf der andern Seite ist die Unschuld der notwendige Zustand,\num die ursprüngliche, himmlische Tugend festhalten zu können.	425-428	Wenn Unschuld da ist, dann kann man zähmen. Darum folgt\ndarauf: des Großen Zähmungskraft.\nDie himmlische Tugend festhalten ist die Vorbedingung dafür, daß man unschuldig ist. Auf der andern Seite ist die Unschuld der notwendige Zustand,\num die ursprüngliche, himmlische Tugend festhalten zu können.	cerrado	na
misc_notes	Des Großen Zähmungskraft beruht auf der Zeit.\nDie Bewegungen der beiden Figuren gehen aufeinander zu. Das Schöpfe-\nrische unter dringt stark nach oben, das Stillehalten oben hält es fest. Die\nKernzeichen Dschen und Dui haben ebenfalls steigende Tendenz und zwar\ndas obere mehr als das untere. Das sind die latenten Kräfte, die durch das\nFesthalten gesteigert werden. Die beiden schwachen Linien auf dem Platz\ndes Herrschers und des Ministers zähmen die unteren starken Linien, wäh-\nrend sie der oberen gegenüber sich anerkennend, spendend verhalten. Das\nZeichen ist die Umkehr des vorigen.	425-428	Des Großen Zähmungskraft beruht auf der Zeit.\nDie Bewegungen der beiden Figuren gehen aufeinander zu. Das Schöpferische unten dringt stark nach oben, das Stillehalten oben hält es fest. Die\nKernzeichen Dschen und Dui haben ebenfalls steigende Tendenz und zwar\ndas obere mehr als das untere. Das sind die latenten Kräfte, die durch das\nFesthalten gesteigert werden. Die beiden schwachen Linien auf dem Platz\ndes Herrschers und des Ministers zähmen die unteren starken Linien, während sie der oberen gegenüber sich anerkennend, spendend verhalten. Das\nZeichen ist die Umkehr des vorigen.	cerrado	coincide_pass04
judgment_oraculo		425-428	Des Großen Zähmungskraft. Fördernd ist Beharrlichkeit.\nNicht zu Hause essen bringt Heil.\nFördernd ist es, das große Wasser zu durchqueren.	cerrado	na
commentary_decision	Des Großen Zähmungskraft. Festigkeit und Stärke. Echtheit\nund Wahrheit. Glanz und Licht. Täglich erneuert er seine\nTugend.\nDer Feste steigt empor, und er ehrt den Würdigen. Er vermag\ndie Stärke stillezuhalten, das ist ",große Korrektheit".\n,,Nicht zu Hause essen bringt Heil",\nweil die Würdigen ernährt werden.\n"Fördernd ist es, das große Wasser zu durchqueren",\nweil man Entsprechung findet im Himmel.\nDas obere Zeichen, Gen, ist fest, das untere, Kiän, ist stark, das obere ist echt,\ndas untere ist wahr, das obere glänzend, das untere licht. So ergänzen sich\ndie beiden Zeichen. Durch das stillehaltende Element oben werden die\nKräfte des Charakters so gestärkt, daß eine tägliche Erneuerung stattfindet.\nDies bezieht sich auf die innere, persönliche Wirkung. Hier ist die erste Be-\ndeutung des Zeichens: Stillehalten und Sammeln gegeben.\nDer Feste, der emporsteigt, ist die obere Neun. Sie steigt empor über die\nSechs auf fünftem Platz, die auf dem Platz des Herrschers ist, und dieser\nHerrscher ehrt den Emporsteigenden, weil er würdig ist. Das obere Zeichen,\nGen, Stillehalten, vermag das untere, Kiän, das Starke, festzuhalten, das ist\ndie Erklärung für die Worte des Urteils: Fördernd ist Beharrlichkeit. Hier\nist die zweite Bedeutung: Festhalten und Stillehalten gegeben.\nNicht zu Hause essen, d. h. in öffentliche Dienste treten, bringt Heil: weil in\nSechs auf fünftem Platz ein Herrscher da ist, der die Würdigen ernährt. Hier\nist die dritte Bedeutung: Festhalten und Nähren gegeben.\n,,Fördernd ist es, das große Wasser zu durchqueren." Der Gedanke wird\nnahegelegt durch die beiden Kernzeichen: Dschen, das auch Holz bedeutet,\nüber Dui, See. Diese gefährliche Aktion ist möglich, weil der Herr des\nZeichens, Sechs auf fünftem Platz, im Verhältnis des Entsprechens zum Zen-\ntralstrich des unteren Zeichens Himmel, Neun auf zweitem Platz, steht.	425-428	Des Großen Zähmungskraft. Festigkeit und Stärke. Echtheit\nund Wahrheit. Glanz und Licht. Täglich erneuert er seine\nTugend.\nDer Feste steigt empor, und er ehrt den Würdigen. Er vermag\ndie Stärke stillezuhalten, das ist ",große Korrektheit".\n„Nicht zu Hause essen bringt Heil",\nweil die Würdigen ernährt werden.\n"Fördernd ist es, das große Wasser zu durchqueren",\nweil man Entsprechung findet im Himmel.\nDas obere Zeichen, Gen, ist fest, das untere, Kiän, ist stark, das obere ist echt,\ndas untere ist wahr, das obere glänzend, das untere licht. So ergänzen sich\ndie beiden Zeichen. Durch das stillehaltende Element oben werden die\nKräfte des Charakters so gestärkt, daß eine tägliche Erneuerung stattfindet.\nDies bezieht sich auf die innere, persönliche Wirkung. Hier ist die erste Bedeutung des Zeichens: Stillehalten und Sammeln gegeben.\nDer Feste, der emporsteigt, ist die obere Neun. Sie steigt empor über die\nSechs auf fünftem Platz, die auf dem Platz des Herrschers ist, und dieser\nHerrscher ehrt den Emporsteigenden, weil er würdig ist. Das obere Zeichen,\nGen, Stillehalten, vermag das untere, Kiän, das Starke, festzuhalten, das ist\ndie Erklärung für die Worte des Urteils: Fördernd ist Beharrlichkeit. Hier\nist die zweite Bedeutung: Festhalten und Stillehalten gegeben.\nNicht zu Hause essen, d. h. in öffentliche Dienste treten, bringt Heil: weil in\nSechs auf fünftem Platz ein Herrscher da ist, der die Würdigen ernährt. Hier\nist die dritte Bedeutung: Festhalten und Nähren gegeben.\n"Fördernd ist es, das große Wasser zu durchqueren." Der Gedanke wird\nnahegelegt durch die beiden Kernzeichen: Dschen, das auch Holz bedeutet,\nüber Dui, See. Diese gefährliche Aktion ist möglich, weil der Herr des\nZeichens, Sechs auf fünftem Platz, im Verhältnis des Entsprechens zum Zentralstrich des unteren Zeichens Himmel, Neun auf zweitem Platz, steht.	cerrado	coincide_ninguno
image_oraculo	Der Himmel inmitten des Berges: Das Bild von des Großen\nZähmungskraft. So lernt der Edle viele Worte der Vorzeit\nund Taten der Vergangenheit kennen, um dadurch seinen Cha-\nrakter zu festigen.\nDer Himmel deutet auf den Charakter, die Tugend. Die Festigung wird an-\ngedeutet durch den Berg. Die Mittel hierzu sind in dem Kernzeichen ver-\nborgen: das untere, Dui, Mund, deutet auf Worte; das obere, Dschen, Be-\nwegung, deutet auf Taten.\nAnfangs Neun:	425-428	Der Himmel inmitten des Berges:\ndas Bild von des Großen Zähmungskraft.\nSo lernt der Edle viele Worte der Vorzeit\nund Taten der Vergangenheit kennen,\num dadurch seinen Charakter zu festigen.	cerrado	coincide_ninguno
commentary_image	Der Himmel inmitten des Berges: Das Bild von des Großen\nZähmungskraft. So lernt der Edle viele Worte der Vorzeit\nund Taten der Vergangenheit kennen, um dadurch seinen Cha-\nrakter zu festigen.\nDer Himmel deutet auf den Charakter, die Tugend. Die Festigung wird an-\ngedeutet durch den Berg. Die Mittel hierzu sind in dem Kernzeichen ver-\nborgen: das untere, Dui, Mund, deutet auf Worte; das obere, Dschen, Be-\nwegung, deutet auf Taten.\nAnfangs Neun:	425-428	und Taten der Vergangenheit kennen, um dadurch seinen Charakter zu festigen.\nDer Himmel deutet auf den Charakter, die Tugend. Die Festigung wird angedeutet durch den Berg. Die Mittel hierzu sind in dem Kernzeichen verborgen: das untere, Dui, Mund, deutet auf Worte; das obere, Dschen, Bewegung, deutet auf Taten.	cerrado	coincide_ninguno
L1_etiqueta	Anfangs Neun:	425-428	Anfangs Neun:	cerrado	na
L1_a_oraculo	Es ist Gefahr da. Fördernd ist es, abzustehen.	425-428	Es ist Gefahr da. Fördernd ist es, abzustehen.	cerrado	na
L1_b_comentario	"Es ist Gefahr da. Fördernd ist es, abzustehen."\nSo setzt man sich der Gefahr nicht aus.\nDer starke Strich auf rechtem Platz möchte voran. Doch steht er in der Be-\nziehung des Entsprechens zu der Sechs auf viertem Platz, die eine der beiden\nhemmenden Linien ist. Sie bedeutet für die Anfangsneun, falls sie voran\nwollte, eine hemmende Gefahr. Da der Strich noch ganz im Anfang ist, läßt\ner sich hemmen und entgeht der Gefahr.	425-428	Es ist Gefahr da. Fördernd ist es, abzustehen."\nSo setzt man sich der Gefahr nicht aus.\nDer starke Strich auf rechtem Platz möchte voran. Doch steht er in der Beziehung des Entsprechens zu der Sechs auf viertem Platz, die eine der beiden\nhemmenden Linien ist. Sie bedeutet für die Anfangsneun, falls sie voran\nwollte, eine hemmende Gefahr. Da der Strich noch ganz im Anfang ist, läßt\ner sich hemmen und entgeht der Gefahr.	cerrado	coincide_pass04
