campo	contenido_reconciliado	jpg_paginas	contenido_pdf	au_estado	resolucion_disputa
hex	16	389-392		cerrado	na
nombre	DIE BEGEISTERUNG	389-392	DIE BEGEISTERUNG	cerrado	na
chinese	豫	389-392		cerrado	na
chinese_roman	YU	389-392	Yü	cerrado	na
hex_font	䷏	389-392	䷏	cerrado	na
trigrama_arriba	above DSCHEN das Erregende, DER DONNER	389-392	above DSCHEN das Erregende, DER DONNER	cerrado	na
trigrama_abajo	below KUN das Empfangende, DIE ERDE	389-392	below KUN das Empfangende, DIE ERDE	cerrado	na
ruler_note	Kan und\nGen\ner Herr des Zeichens ist die Neun auf viertem Platz. Im Zeichen gibt\nDer\ndavon hat das Zeichen die Bedeutung der Begeisterung. Darum heißt es im\nKommentar zur Entscheidung: Das Feste findet Entsprechung, und der Wille\ngeschieht.	389-392	Kan und\nder auf dem Platz des Ministers steht;\ner Herr des Zeichens ist die Neun auf viertem Platz. Im Zeichen gibt\ndavon hat das Zeichen die Bedeutung der Begeisterung. Darum heißt es im\nKommentar zur Entscheidung: Das Feste findet Entsprechung, und der Wille\ngeschieht.	cerrado	coincide_pass04
sequence	Wenn man Großes besitzt und bescheiden ist, so kommt sicher\nBerentes Begeisterung. Darum folgt darauf das Zeichen: die Be-\nВодстовет\ngeisterung.	389-392	Wenn man Großes besitzt und bescheiden ist, so kommt sicher\nBegeisterung. Darum folgt darauf das Zeichen: die Begeisterung.\nBegeisterung führt zu Trägheit.\nBeigefügte Urteile\nDie Heroen führten doppelte Tore und Nachtwächter mit\nKlappern ein, um den Räubern zu begegnen. Das entnahmen\nsie wohl dem Zeichen: Die Begeisterung.\nYü heißt außer Begeisterung auch Vorbereitung. Indem in dem Zeichen oben\nBewegung steht, die zugleich tönt (wie der Donner), legt das die Einrichtung\ndes mit der Klapper umgehenden Nachtwächters nahe, der dem Kernzeichen\nKan, Gefahr, begegnet. Das untere Kernzeichen, Gen, bedeutet eine geschlossene Tür.\nDie Bewegung der beiden Halbzeichen geht entgegengesetzt. Der Donner\nsteigt empor, die Erde sinkt nach unten. Doch ist ein gewisser Zusammenhalt der Struktur dadurch gegeben, daß das obere Kernzeichen, Kan, abwärts\nweist, während das untere, Gen, stillesteht. Immerhin sind die Aspekten\nnicht so günstig wie beim letzten Zeichen, dessen direkte Umkehrung dieses\nZeichen ist.	cerrado	coincide_pass04
misc_notes	Begeisterung führt zu Trägheit.\nBeigefügte Urteile\nDie Heroen führten doppelte Tore und Nachtwächter mit\nKlappern ein, um den Räubern zu begegnen. Das entnahmen\nsie wohl dem Zeichen: Die Begeisterung.\nYü heißt außer Begeisterung auch Vorbereitung. Indem in dem Zeichen oben\nBewegung steht, die zugleich tönt (wie der Donner), legt das die Einrichtung\ne\ndes mit der Klapper umgehenden Nachtwächters nahe, der dem Kernzeichen\nKan, Gefahr, begegnet. Das untere Kernzeichen, Gen, bedeutet eine ge-\nschlossene Tür.\nDie Bewegung der beiden Halbzeichen geht entgegengesetzt. Der Donner\nsteigt empor, die Erde sinkt nach unten. Doch ist ein gewisser Zusammen-\nhalt der Struktur dadurch gegeben, daß das obere Kernzeichen, Kan, abwärts\nweist, während das untere, Gen, stillesteht. Immerhin sind die Aspekten\nnicht so günstig wie beim letzten Zeichen, dessen direkte Umkehrung dieses\nZeichen ist.	389-392	Begeisterung führt zu Trägheit.\nBeigefügte Urteile\nDie Heroen führten doppelte Tore und Nachtwächter mit\nKlappern ein, um den Räubern zu begegnen. Das entnahmen\nsie wohl dem Zeichen: Die Begeisterung.\nYü heißt außer Begeisterung auch Vorbereitung. Indem in dem Zeichen oben\nBewegung steht, die zugleich tönt (wie der Donner), legt das die Einrichtung\ne\ndes mit der Klapper umgehenden Nachtwächters nahe, der dem Kernzeichen\nKan, Gefahr, begegnet. Das untere Kernzeichen, Gen, bedeutet eine geschlossene Tür.\nDie Bewegung der beiden Halbzeichen geht entgegengesetzt. Der Donner\nsteigt empor, die Erde sinkt nach unten. Doch ist ein gewisser Zusammenhalt der Struktur dadurch gegeben, daß das obere Kernzeichen, Kan, abwärts\nweist, während das untere, Gen, stillesteht. Immerhin sind die Aspekten\nnicht so günstig wie beim letzten Zeichen, dessen direkte Umkehrung dieses\nZeichen ist.	cerrado	coincide_pass02
judgment_oraculo		389-392	Die Begeisterung. Fördernd ist es,\nGehilfen einzusetzen und Heere marschieren zu lassen.	cerrado	na
commentary_decision	Begeisterung. Das Feste findet Entsprechung, und sein Wille\ngeschieht. Hingebung an die Bewegung: das ist Begeisterung.\nWeil die Begeisterung Hingebung an die Bewegung zeigt,\ndarum sind Himmel und Erde einem zur Verfügung. Wieviel\nmehr erst kann man Gehilfen einsetzen und Heere marschieren\nlassen!\nHimmel und Erde bewegen sich in Hingebung, darum über-\nschreiten Sonne und Mond nicht ihre Bahn, und die vier\nJahreszeiten irren sich nicht.\nDer Berufene bewegt sich in Hingebung, da werden Bußen\nund Strafen gerecht, und das Volk fügt sich. Groß fürwahr\nist der Sinn der Zeit der Begeisterung.\nDas Zeichen Kun bedeutet Masse, daher Heer. Das Zeichen Dschen ist der\nälteste Sohn, der Führer der Massen. Daher der Gedanke der Einsetzung\nvon Gehilfen (Lehnsfürsten) und das Marschieren von Heeren. Der Heer-\nführer, dessen Wille Begeisterung erweckt und die andern, die sich ihm hin-\ngeben, in Bewegung setzt, ist die Neun auf viertem Platz, der Herr des\nZeichens. Bewegung, die Hingebung findet, ist das Geheimnis der Natur-\ngesetze ebenso wie der menschlichen Gesetze.	389-392	Begeisterung. Das Feste findet Entsprechung, und sein Wille\ngeschieht. Hingebung an die Bewegung: das ist Begeisterung.\nWeil die Begeisterung Hingebung an die Bewegung zeigt,\ndarum sind Himmel und Erde einem zur Verfügung. Wieviel\nmehr erst kann man Gehilfen einsetzen und Heere marschieren\nlassen!\nHimmel und Erde bewegen sich in Hingebung, darum überschreiten Sonne und Mond nicht ihre Bahn, und die vier\nJahreszeiten irren sich nicht.\nDer Berufene bewegt sich in Hingebung, da werden Bußen\nund Strafen gerecht, und das Volk fügt sich. Groß fürwahr\nist der Sinn der Zeit der Begeisterung.\nDas Zeichen Kun bedeutet Masse, daher Heer. Das Zeichen Dschen ist der\nälteste Sohn, der Führer der Massen. Daher der Gedanke der Einsetzung\nvon Gehilfen (Lehnsfürsten) und das Marschieren von Heeren. Der Heerführer, dessen Wille Begeisterung erweckt und die andern, die sich ihm hingeben, in Bewegung setzt, ist die Neun auf viertem Platz, der Herr des\nZeichens. Bewegung, die Hingebung findet, ist das Geheimnis der Naturgesetze ebenso wie der menschlichen Gesetze.	cerrado	na
image_oraculo	Der Donner kommt aus der Erde hervorgetönt: das Bild der\nBegeisterung. So machten die alten Könige Musik, um die\nVerdienste zu ehren und brachten sie herrlich dem höchsten\nGott dar, indem sie ihre Ahnen dazu einluden.	389-392	Der Donner kommt aus der Erde hervorgetönt:\ndas Bild der Begeisterung.\nSo machten die alten Könige Musik,\num die Verdienste zu ehren,\nund brachten sie herrlich dem höchsten Gotte dar,\nindem sie ihre Ahnen dazu einluden.	cerrado	na
commentary_image	Dschen ist der Laut des Donners, von dem die Bewegungen des wieder-\nerwachenden Lebens begleitet sind. Dieser Laut ist das Vorbild für die\nMusik. Ferner ist Dschen das Zeichen, in dem Gott hervortritt, daher der\nGedanke des höchsten Gottes. Das Kernzeichen Gen ist eine Tür, das Kern-\nzeichen Kan bedeutet abgründig-Geheimnisvolles, das deutet auf den Ge-\ndanken des Ahnentempels.\nAnfangs Sechs:	389-392	Verdienste zu ehren und brachten sie herrlich dem höchsten\nGott dar, indem sie ihre Ahnen dazu einluden.	cerrado	coincide_ninguno
L1_etiqueta	Anfangs Sechs:	389-392	Anfangs Sechs:	cerrado	na
L1_a_oraculo	´a) Begeisterung, die sich äußert, bringt Unheil.	389-392	´a) Begeisterung, die sich äußert, bringt Unheil.	cerrado	coincide_pass02
L1_b_comentario	Die Anfangssechs äußert ihre Begeisterung; das bringt das\nUnheil, daß der Wille gehemmt wird.\nDer Strich entspricht der oberen Sechs des letzten Zeichens; daher auch hier\ndas Sichäußern, aus denselben Gründen wie dort, nämlich bei Beziehung des\nEntsprechens zu dem starken Herrn des Zeichens, vorhanden ist. Der An-\nfangsstrich ist schwach, inkorrekt, isoliert, und statt vorsichtig zu sein, äußert\ner seine Begeisterung; das führt sicher zu MiBerfolg.	389-392	Die Anfangssechs äußert ihre Begeisterung; das bringt das\nUnheil, daß der Wille gehemmt wird.\nDer Strich entspricht der oberen Sechs des letzten Zeichens; daher auch hier\ndas Sichäußern, aus denselben Gründen wie dort, nämlich bei Beziehung des\nEntsprechens zu dem starken Herrn des Zeichens, vorhanden ist. Der Anfangsstrich ist schwach, inkorrekt, isoliert, und statt vorsichtig zu sein, äußert\ner seine Begeisterung; das führt sicher zu Mißerfolg.	cerrado	na
L2_etiqueta	Sechs auf zweitem Platz:	389-392	Sechs auf zweitem Platz:	cerrado	na
L2_a_oraculo	Fest wie ein Stein. Kein ganzer Tag. Beharrlichkeit bringt Heil.	389-392	Fest wie ein Stein. Kein ganzer Tag. Beharrlichkeit bringt Heil.	cerrado	na
L2_b_comentario	Kein ganzer Tag. Beharrlichkeit bringt Heil",\nweil er zentral und korrekt ist.\nDer Strich ist am untersten Platz des Kernzeichens Gen, Berg, daher der\nVergleich mit dem Stein. Die Bewegungsrichtung dieses Striches ist eher\nnach unten als nach oben gerichtet, daher die Bereitschaft, sich jederzeit\nzurückzuziehen, die aus der durch seine zentrale und korrekte Stellung an-\ngedeuteten Besonnenheit inmitten der Zeit der Begeisterung hervorgeht.	389-392	Kein ganzer Tag. Beharrlichkeit bringt Heil",\nweil er zentral und korrekt ist.\nDer Strich ist am untersten Platz des Kernzeichens Gen, Berg, daher der\nVergleich mit dem Stein. Die Bewegungsrichtung dieses Striches ist eher\nnach unten als nach oben gerichtet, daher die Bereitschaft, sich jederzeit\nzurückzuziehen, die aus der durch seine zentrale und korrekte Stellung angedeuteten Besonnenheit inmitten der Zeit der Begeisterung hervorgeht.	cerrado	na
L3_etiqueta	Sechs auf drittem Platz:	389-392	Sechs auf drittem Platz:	cerrado	na
L3_a_oraculo	Nach oben blickende Begeisterung schafft Reue. Zögern bringt\nReue.	389-392	Nach oben blickende Begeisterung schafft Reue. Zögern bringt\nReue.	cerrado	na
L3_b_comentario	Nach oben blickende Begeisterung schafft Reue",\nweil der Platz nicht der gebührende ist.\nDer Strich ist schwach auf starkem Platz, und zwar auf dem Platz des Über-\ngangs. Er wird angezogen von dem starken Strich auf viertem Platz, zu\ndem er in Begeisterung emporblickt, weil er zu ihm in der Beziehung des\nZusammenhaltens steht. Darüber verliert er aber seine Selbständigkeit, was\nnicht gut ist.\nב	389-392	"Nach oben blickende Begeisterung schafft Reue",\nweil der Platz nicht der gebührende ist.\nDer Strich ist schwach auf starkem Platz, und zwar auf dem Platz des Übergangs. Er wird angezogen von dem starken Strich auf viertem Platz, zu\ndem er in Begeisterung emporblickt, weil er zu ihm in der Beziehung des\nZusammenhaltens steht. Darüber verliert er aber seine Selbständigkeit, was\nnicht gut ist.	cerrado	coincide_pass04
L4_etiqueta	Neun auf viertem Platz:	389-392	Neun auf viertem Platz:	cerrado	na
L4_a_oraculo	Der Ursprung der Begeisterung. Er erreicht Großes. Zweifle\nnicht! Die Freunde scharen sich um dich wie um eine Haar-\nspange.	389-392	Der Ursprung der Begeisterung. Er erreicht Großes. Zweifle\nnicht! Die Freunde scharen sich um dich wie um eine Haarspange.	cerrado	na
L4_b_comentario	Der Ursprung der Begeisterung. Er erreicht Großes."\nSein Wille geschieht im Großen.\nDer Strich ist am Beginn des Zeichens Dschen, Bewegung, das nach oben\nstrebt, gleichzeitig der einzige Yangstrich, nach dem sich alle andern richten,\ndaher der Ursprung der Begeisterung. Die fünf Yin sind das Große, das\nerreicht wird. Es könnte durch das Übermaß der dunklen Striche ein Zweifel\nentstehen, der auch durch das Kernzeichen Kan, in dessen Mitte der Strich\nsteht, nahegelegt werden könnte. Doch die fünf Yin sind dem Yang gegenüber\ngute Freunde, er einigt sie, wie eine Haarspange das Haar zusammenhält.	389-392	Der Ursprung der Begeisterung. Er erreicht Großes."\nSein Wille geschieht im Großen.\nDer Strich ist am Beginn des Zeichens Dschen, Bewegung, das nach oben\nstrebt, gleichzeitig der einzige Yangstrich, nach dem sich alle andern richten,\ndaher der Ursprung der Begeisterung. Die fünf Yin sind das Große, das\nerreicht wird. Es könnte durch das Übermaß der dunklen Striche ein Zweifel\nentstehen, der auch durch das Kernzeichen Kan, in dessen Mitte der Strich\nsteht, nahegelegt werden könnte. Doch die fünf Yin sind dem Yang gegenüber\ngute Freunde, er einigt sie, wie eine Haarspange das Haar zusammenhält.	cerrado	na
L5_etiqueta	Sechs auf fünftem Platz:	389-392	Sechs auf fünftem Platz:	cerrado	na
L5_a_oraculo	Beharrlich krank und stirbt doch immer nicht.	389-392	Beharrlich krank und stirbt doch immer nicht.	cerrado	na
L5_b_comentario	Die beständige Krankheit der Sechs auf fünftem Platz kommt\ndaher, daß sie auf einem Harten beruht. Daß sie doch immer\nnicht stirbt, kommt daher, daß die Mitte noch nicht vor-\nüber ist.\nDer Platz ist eigentlich der Platz des Herrschers. Aber da der feste Strich\nNeun auf viertem Platz als Quelle der Begeisterung alle um sich vereinigt,\nwird dem fünften Platz die Begeisterung entzogen. Auf der Spitze des\nKernzeichens Kan, das Herzkrankheit nahelegt, zeigt er sich chronisch krank.\nDa aber seine zentrale Position ihn davor behütet, daß er dadurch außer\nFassung kommt, stirbt er dauernd nicht.	389-392	Die beständige Krankheit der Sechs auf fünftem Platz kommt\ndaher, daß sie auf einem Harten beruht. Daß sie doch immer\nnicht stirbt, kommt daher, daß die Mitte noch nicht vorüber ist.\nDer Platz ist eigentlich der Platz des Herrschers. Aber da der feste Strich\nNeun auf viertem Platz als Quelle der Begeisterung alle um sich vereinigt,\nwird dem fünften Platz die Begeisterung entzogen. Auf der Spitze des\nKernzeichens Kan, das Herzkrankheit nahelegt, zeigt er sich chronisch krank.\nDa aber seine zentrale Position ihn davor behütet, daß er dadurch außer\nFassung kommt, stirbt er dauernd nicht.	cerrado	na
L6_etiqueta	Obere Sechs:	389-392	Obere Sechs:	cerrado	na
L6_a_oraculo	Verblendete Begeisterung. Aber wenn man nach der Voll-\nendung zur Änderung kommt, so ist das kein Makel.	389-392	Verblendete Begeisterung. Aber wenn man nach der Vollendung zur Änderung kommt, so ist das kein Makel.	cerrado	na
L6_b_comentario	Verblendete Begeisterung an oberer Stelle: wie könnte die\ndauern?\nEine schwache Linie auf der Höhe der Begeisterung: das führt zur Ver-\nblendung. Allein der Strich steht gleichzeitig an der Spitze des oberen\nZeichens Dschen, dessen Charakter die Bewegung ist. Darum ist damit zu\nrechnen, daß kein dauerndes Verharren in dieser Situation stattfindet.	389-392	Verblendete Begeisterung an oberer Stelle: wie könnte die\ndauern?\nEine schwache Linie auf der Höhe der Begeisterung: das führt zur Verblendung. Allein der Strich steht gleichzeitig an der Spitze des oberen\nZeichens Dschen, dessen Charakter die Bewegung ist. Darum ist damit zu\nrechnen, daß kein dauerndes Verharren in dieser Situation stattfindet.	cerrado	na
yong_etiqueta		389-392		vacio_en_libro	na
yong_a_oraculo		389-392		vacio_en_libro	na
yong_b_comentario		389-392		vacio_en_libro	na
wen_yen		389-392		vacio_en_libro	na
wen_yen_note		389-392		vacio_en_libro	na
hex_fin	16				

