campo	contenido_reconciliado	jpg_paginas	contenido_pdf	au_estado	resolucion_disputa
hex	9	362-364		cerrado	na
nombre		362-364	DES KLEINEN ZÄHMUNGSKRAFT	cerrado	na
chinese	小畜	362-364		cerrado	na
chinese_roman	SIAU TSCHU	362-364	Siau Tschu	cerrado	na
hex_font	䷈	362-364	䷈	cerrado	na
trigrama_arriba	above SUN das Sanfte, DER WIND	362-364	above SUN das Sanfte, DER WIND	cerrado	na
trigrama_abajo	below KIËN das Schöpferische, DER HIMMEL	362-364	below KIËN das Schöpferische, DER HIMMEL	cerrado	na
ruler_note	Li und Dui\nie Sechs auf viertem Platz ist der konstituierende Herr des Zeichens,\nDie Sechs auf viertem Platz bezähmt als einzelne Yinlinie die Yangstriche;\ndarauf bezieht sich der Satz des Kommentars zur Entscheidung: "Das Weiche\nerhält den Platz, und Obere und Untere entsprechen ihm." Die Neun auf\nfünftem Platz stimmt in der Gesinnung mit ihm überein, um seine Zähmung\nzu vollenden; darum heißt es im Kommentar zur Entscheidung: "Das Feste\nist zentral, und sein Wille geschieht."	362-364	ie Sechs auf viertem Platz ist der konstituierende Herr des Zeichens,\nDie Sechs auf viertem Platz bezähmt als einzelne Yinlinie die Yangstriche;\ndarauf bezieht sich der Satz des Kommentars zur Entscheidung: "Das Weiche\nerhält den Platz, und Obere und Untere entsprechen ihm." Die Neun auf\nfünftem Platz stimmt in der Gesinnung mit ihm überein, um seine Zähmung\nzu vollenden; darum heißt es im Kommentar zur Entscheidung: "Das Feste\nist zentral, und sein Wille geschieht."	cerrado	coincide_ninguno
sequence	Durch Zusammenhalten kommt es sicher zur Zähmung. Darum\nfolgt darauf: des Kleinen Zähmungskraft.	362-364	Durch Zusammenhalten kommt es sicher zur Zähmung. Darum\nfolgt darauf: des Kleinen Zähmungskraft.	cerrado	na
misc_notes	Des Kleinen Zähmungskraft ist gering.\nDas ist mit Rücksicht darauf gesagt, daß das Kleine hier auf dem Platze des\nBeamten ist; vgl. das Zeichen Da Yu, der Besitz von Großem, Nr. 14, wo das\n,,Kleine", Weiche auf dem Platz des Herrschers ist.	362-364	Des Kleinen Zähmungskraft ist gering.\nDas ist mit Rücksicht darauf gesagt, daß das Kleine hier auf dem Platze des\nBeamten ist; vgl. das Zeichen Da Yu, der Besitz von Großem, Nr. 14, wo das\n„Kleine", Weiche auf dem Platz des Herrschers ist.	cerrado	na
judgment_oraculo		362-364	Des Kleinen Zähmungskraft hat Gelingen.\nDichte Wolken, kein Regen von unserm westlichen Gebiet.	cerrado	na
commentary_decision	Des Kleinen Zähmungskraft: Das Weiche erhält den ent-\nscheidenden Platz, und Obere und Untere entsprechen ihm:\ndas heißt des Kleinen Zähmungskraft.\nStark und sanft: das Starke ist zentral, und sein Wille ge-\nschieht, darum "Gelingen".\n"Dichte Wolken, kein Regen": die Bewegung geht noch weiter.\n"Von unserm westlichen Gebiet": die Wirkung ist noch nicht\neingetreten.\nDer kleine weiche Strich auf dem Platz des Ministers hat den entscheiden-\nden Platz. Die festen Striche oben und unten entsprechen ihm alle: Das ist\ndie Gestalt des Zeichens, aus der sich der Name erklärt.\nWietsen\nЖачест\n""\nDas Gelingen hängt von dem Charakter der beiden Halbzeichen, innerer\nStärke bei äußerer Sanftheit, ab. Das ist der Weg, etwas zu erreichen. Zu-\ndem ist der Herrscher zentral, und sein Wille geschieht. Das obere Zeichen\nWind" ist zwar stark genug, um die vom Zeichen Kiän aufsteigenden\nDünste zu konzentrieren, so daß Wolken entstehen, aber seine Kraft reicht\nnicht aus, daß Regen entsteht. Das westliche Gebiet wird angedeutet durch\ndie ursprüngliche Stellung von Sun, die im Westen war (in der Stellung der\nZeichen des,,früheren Himmels". Im ,,späteren Himmel" hat Dui, der See,\ndie Stellung im Westen). Wenn der See,,,Dui", über dem Schöpferischen\nsteht, so entsteht das Zeichen: der Durchbruch. Da ist das Wasser bereits\nniedergeschlagen und wird mit Leichtigkeit herunterkommen. Hier ist Dui\nnur als Kernzeichen über Kiän, noch nicht getrennt. In China kommen die\nRegenwolken stets von Osten, vom Meer her, nicht von Westen.	362-364	Des Kleinen Zähmungskraft: Das Weiche erhält den entscheidenden Platz, und Obere und Untere entsprechen ihm:\ndas heißt des Kleinen Zähmungskraft.\nStark und sanft: das Starke ist zentral, und sein Wille geschieht, darum "Gelingen".\n"Dichte Wolken, kein Regen": die Bewegung geht noch weiter.\n"Von unserm westlichen Gebiet": die Wirkung ist noch nicht\neingetreten.\nDer kleine weiche Strich auf dem Platz des Ministers hat den entscheidenden Platz. Die festen Striche oben und unten entsprechen ihm alle: Das ist\ndie Gestalt des Zeichens, aus der sich der Name erklärt.\nM\nDas Gelingen hängt von dem Charakter der beiden Halbzeichen, innerer\nStärke bei äußerer Sanftheit, ab. Das ist der Weg, etwas zu erreichen. Zudem ist der Herrscher zentral, und sein Wille geschieht. Das obere Zeichen\n„Wind" ist zwar stark genug, um die vom Zeichen Kiän aufsteigenden\nDünste zu konzentrieren, so daß Wolken entstehen, aber seine Kraft reicht\nnicht aus, daß Regen entsteht. Das westliche Gebiet wird angedeutet durch\ndie ursprüngliche Stellung von Sun, die im Westen war (in der Stellung der\nZeichen des "früheren Himmels". Im "späteren Himmel" hat Dui, der See,\ndie Stellung im Westen). Wenn der See, "Dui", über dem Schöpferischen\nsteht, so entsteht das Zeichen: der Durchbruch. Da ist das Wasser bereits\nniedergeschlagen und wird mit Leichtigkeit herunterkommen. Hier ist Dui\nnur als Kernzeichen über Kiän, noch nicht getrennt. In China kommen die\nRegenwolken stets von Osten, vom Meer her, nicht von Westen.	cerrado	coincide_ninguno
image_oraculo	Der Wind fährt über den Himmel hin: Das Bild der Zäh-\nmungskraft des Kleinen. So verfeinert der Edle die äußere\nForm seines Wesens.\nDer Wind dringt überall ein, das bedeutet die Verfeinerung. Das untere\nZeichen ist der Himmel, das bedeutet das Wesen des Charakters. Das obere\nKernzeichen ist Li, das bedeutet die Form. Diese Verfeinerung der äußeren\nForm ist gegenüber der Durchführung der Grundsätze das Kleine.\nAnfangs Neun:	362-364	Der Wind fährt über den Himmel hin:\ndas Bild der Zähmungskraft des Kleinen.\nSo verfeinert der Edle die äußere Form seines Wesens.	cerrado	coincide_ninguno
commentary_image	Der Wind fährt über den Himmel hin: Das Bild der Zäh-\nmungskraft des Kleinen. So verfeinert der Edle die äußere\nForm seines Wesens.\nDer Wind dringt überall ein, das bedeutet die Verfeinerung. Das untere\nZeichen ist der Himmel, das bedeutet das Wesen des Charakters. Das obere\nKernzeichen ist Li, das bedeutet die Form. Diese Verfeinerung der äußeren\nForm ist gegenüber der Durchführung der Grundsätze das Kleine.\nAnfangs Neun:	362-364	Der Wind dringt überall ein, das bedeutet die Verfeinerung. Das untere\nZeichen ist der Himmel, das bedeutet das Wesen des Charakters. Das obere\nKernzeichen ist Li, das bedeutet die Form. Diese Verfeinerung der äußeren\nForm ist gegenüber der Durchführung der Grundsätze das Kleine.	cerrado	coincide_ninguno
L1_etiqueta	Anfangs Neun:	362-364	Anfangs Neun:	cerrado	na
L1_a_oraculo	Wiederkehr auf den Weg. Wie wäre das ein Makel! Heil!	362-364	Wiederkehr auf den Weg. Wie wäre das ein Makel! Heil!	cerrado	na
