campo	contenido_reconciliado	jpg_paginas	contenido_pdf	au_estado	resolucion_disputa
hex	10	365-368		cerrado	na
nombre	DAS AUFTRETEN	365-368	DAS AUFTRETEN	cerrado	na
chinese	履	365-368		cerrado	na
chinese_roman	LU	365-368	Lü	cerrado	na
hex_font	䷉	365-368	䷉	cerrado	na
trigrama_arriba	above KIËN das Schöpferische, DER HIMMEL	365-368	above KIËN das Schöpferische, DER HIMMEL	cerrado	na
trigrama_abajo	below DUI das Heitere, DER SEE	365-368	below DUI das Heitere, DER SEE	cerrado	na
ruler_note	Kernzeichen: Sun und\nLi\ner Herr, der das Zeichen konstituiert, ist die Sechs auf drittem Platz;\nDer\nDie Sechs auf drittem Platz tritt als einzig Weiches inmitten der Menge der\nFesten auf unter Furcht und Zittern. Daher hat das Zeichen den Namen\n"das Auftreten". Wer auf geehrtem Platz weilt, muß besonders fortwährend\nGefahr und Furcht im Herzen tragen. Darum heißt das Urteil zur Neun auf\nfünftem Platz: "Beharrlichkeit bringt Gefahr." Im Kommentar zur Ent-\nscheidung heißt es von diesem Strich:,,Fest, zentral und korrekt tritt er auf\nden Platz des Herrn und bleibt ohne Makel."	365-368	Der Herr, der das Zeichen konstituiert, ist die Sechs auf drittem Platz; die Neun auf fünftem Platz ist der beherrschende Herr des Zeichens. Die Sechs auf drittem Platz tritt als einzig Weiches inmitten der Menge der Festen auf unter Furcht und Zittern. Daher hat das Zeichen den Namen „das Auftreten". Wer auf geehrtem Platz weilt, muß besonders fortwährend Gefahr und Furcht im Herzen tragen. Darum heißt das Urteil zur Neun auf fünftem Platz: „Beharrlichkeit bringt Gefahr." Im Kommentar zur Entscheidung heißt es von diesem Strich: „Fest, zentral und korrekt tritt er auf den Platz des Herrn und bleibt ohne Makel."	cerrado	coincide_ninguno
sequence	Wenn die Wesen gezähmt werden, dann gibt es die Sitte,\ndarum folgt darauf das Zeichen: das Auftreten.	365-368	Wenn die Wesen gezähmt werden, dann gibt es die Sitte,\ndarum folgt darauf das Zeichen: das Auftreten.	cerrado	na
misc_notes	Das Auftretende verweilt nicht.\nBeigefügte Urteile\nheitsbilis\nDas Zeichen "das Auftreten" zeigt das Fundament des Cha-\nrakters. Es ist harmonisch und erreicht das Ziel. Es bewirkt\nharmonischen Wandel.\nDas Zeichen ist die Umkehrung des vorigen. Die Bewegungsrichtung beider\nHalbzeichen ist nach oben gerichtet, daher der Gedanke des hintereinander\nHerschreitens. Die jüngste Tochter schreitet hinter dem Vater her.	365-368	Das Auftretende verweilt nicht.\nBeigefügte Urteile\nDas Zeichen,,das Auftreten" zeigt das Fundament des Charakters. Es ist harmonisch und erreicht das Ziel. Es bewirkt\nharmonischen Wandel.\nDas Zeichen ist die Umkehrung des vorigen. Die Bewegungsrichtung beider\nHalbzeichen ist nach oben gerichtet, daher der Gedanke des hintereinander\nHerschreitens. Die jüngste Tochter schreitet hinter dem Vater her.	cerrado	coincide_pass04
judgment_oraculo		365-368	Auftreten auf des Tigers Schwanz.\nEr beißt den Menschen nicht. Gelingen.	cerrado	na
commentary_decision	Das Auftreten: das Weiche tritt auf das Feste. Heiter und in\nVerbindung des Entsprechens mit dem Schöpferischen; darum:\n"Auftreten auf des Tigers Schwanz. Er beißt den Menschen\nnicht. Gelingen."\nStark, zentral und korrekt tritt er auf den Platz des Herrn\nund bleibt frei von Fehlern: Sein Licht strahlt hell.\nDas Weiche, das auf das Feste tritt, ist das untere Zeichen Dui, das dem\nZeichen Kiän folgt. Dadurch wird aus den Gestalten der beiden Halbzeichen\nder Name erklärt.\nHeiterkeit ist die Eigenschaft von Dui, dem unteren Zeichen, das in gleich-\ngerichteter Bewegung mit dem Schöpferischen, dem Starken, geht, daher\ndas Bild vom Treten auf den Schwanz des Tigers (Dui steht im Westen, der\nWesten hat als Bild den Tiger); der Schwanz des Tigers wird genannt, weil\nder schwache Strich von Dui ganz hinter den drei Strichen von Kiän kommt.\nAußerdem kommt in Betracht, daß im unteren Zeichen der weiche Strich\nüber den beiden festen steht.\nDie Aussagen stark, zentral und korrekt beziehen sich alle auf den Herrn\ndes Zeichens, den zentralen Strich des oberen Zeichens,,das Schöpferische",\nder auf dem Platz des Himmels und damit des Herrschers steht. Licht ist die\nursprüngliche Eigentümlichkeit des Zeichens Kiän, und außerdem ist das Kern-\nzeichen Li, dessen Eigenschaft das Licht ist, in dem Zeichen enthalten.	365-368	Das Auftreten: das Weiche tritt auf das Feste. Heiter und in\nVerbindung des Entsprechens mit dem Schöpferischen; darum:\n„Auftreten auf des Tigers Schwanz. Er beißt den Menschen\nnicht. Gelingen."\nStark, zentral und korrekt tritt er auf den Platz des Herrn\nund bleibt frei von Fehlern: Sein Licht strahlt hell.\nDas Weiche, das auf das Feste tritt, ist das untere Zeichen Dui, das dem\nZeichen Kiän folgt. Dadurch wird aus den Gestalten der beiden Halbzeichen\nder Name erklärt.\nHeiterkeit ist die Eigenschaft von Dui, dem unteren Zeichen, das in gleichgerichteter Bewegung mit dem Schöpferischen, dem Starken, geht, daher\ndas Bild vom Treten auf den Schwanz des Tigers (Dui steht im Westen, der\nWesten hat als Bild den Tiger); der Schwanz des Tigers wird genannt, weil\nder schwache Strich von Dui ganz hinter den drei Strichen von Kiän kommt.\nAußerdem kommt in Betracht, daß im unteren Zeichen der weiche Strich\nüber den beiden festen steht.\nDie Aussagen stark, zentral und korrekt beziehen sich alle auf den Herrn\ndes Zeichens, den zentralen Strich des oberen Zeichens "das Schöpferische",\nder auf dem Platz des Himmels und damit des Herrschers steht. Licht ist die\nursprüngliche Eigentümlichkeit des Zeichens Kiän, und außerdem ist das Kernzeichen Li, dessen Eigenschaft das Licht ist, in dem Zeichen enthalten.	cerrado	coincide_ninguno
