campo	contenido_reconciliado	jpg_paginas	contenido_pdf	au_estado	resolucion_disputa
hex	8	358-361		cerrado	na
nombre	DAS ZUSAMMENHALTEN	358-361	DAS ZUSAMMENHALTEN	cerrado	na
chinese	比	358-361	比	cerrado	na
chinese_roman	BI	358-361	Bi	cerrado	na
hex_font	䷇	358-361	䷇	cerrado	na
trigrama_arriba	above KAN das Abgründige, DAS WASSER	358-361	above KAN das Abgründige, DAS WASSER	cerrado	na
trigrama_abajo	below KUN das Empfangende, DIE ERDE	358-361	below KUN das Empfangende, DIE ERDE	cerrado	na
ruler_note	Gen und\nKun\nDer Herr des Ziert, dab nur ein Yangstrich darin ist und zwar auf ge-\ner Herr des Zeichens ist die Neun auf fünftem Platz; denn das Zeichen\nehrtem Platz, mit dem die Yinstriche oben und unten alle zusammenhalten.	358-361	Der Herr des Zeichens ist die Neun auf fünftem Platz; denn das Zeichen ist so organisiert, daß nur ein Yangstrich darin ist und zwar auf geehrtem Platz, mit dem die Yinstriche oben und unten alle zusammenhalten.	cerrado	coincide_ninguno
sequence	Unter den Massen gibt es sicher einen Grund, sich zusammen-\nzutun. Darum folgt darauf das Zeichen,,das Zusammenhalten".\nZusammenhalten bedeutet sich zusammentun.	358-361	Unter den Massen gibt es sicher einen Grund, sich zusammenzutun. Darum folgt darauf das Zeichen,,das Zusammenhalten".\nZusammenhalten bedeutet sich zusammentun.	cerrado	coincide_ninguno
misc_notes	Das Zusammenhalten ist etwas Fröhliches.	358-361	Das Zusammenhalten ist etwas Fröhliches.	cerrado	na
judgment_oraculo		358-361	Das Zusammenhalten bringt Heil.\nErgründe das Orakel nochmals,\nob du Erhabenheit, Dauer und Beharrlichkeit hast;\ndann ist kein Makel da.\nDie Unsicheren kommen allmählich herbei.\nWer zu spät kommt, hat Unheil.	cerrado	na
