campo	contenido_reconciliado	jpg_paginas	contenido_pdf	au_estado	resolucion_disputa
hex	52	528-531		cerrado	na
nombre	DAS STILLEHALTEN, DER BERG	528-531	DAS STILLEHALTEN, DER BERG	cerrado	na
chinese	艮	528-531		cerrado	na
chinese_roman	GEN	528-531	Gen	cerrado	na
hex_font	䷳	528-531	䷳	cerrado	na
trigrama_arriba	above GEN das Stillehalten, DER BERG	528-531	above GEN das Stillehalten, DER BERG	cerrado	na
trigrama_abajo	below GEN das Stillehalten, DER BERG	528-531	below GEN das Stillehalten, DER BERG	cerrado	na
ruler_note	Dschen und\nKan\nigentlich sind auch beim Zeichen Gen die beiden lichten Striche die Her-\nzendens, Bedeutung Zeichens der Stillstand-\nberuht eben darauf, daß das Lichte stillesteht. Darum gilt der dritte Strich\nnicht als Herr, sondern nur der oberste.	528-531	Dschen und\nKan\nEigentlich sind auch beim Zeichen Gen die beiden lichten Striche die Herren des Zeichens. Aber die Bedeutung des Zeichens der Stillstand\nberuht eben darauf, daß das Lichte stillsteht. Darum gilt der dritte Strich\nnicht als Herr, sondern nur der oberste.	cerrado	coincide_pass04
sequence	Die Dinge können sich nicht dauernd bewegen, man muß sie\ninnehalten machen. Darum folgt darauf das Zeichen: Das\nStillehalten. Stillehalten bedeutet innehalten.	528-531	Die Dinge können sich nicht dauernd bewegen, man muß sie\ninnehalten machen. Darum folgt darauf das Zeichen: Das\nStillehalten. Stillehalten bedeutet innehalten.	cerrado	coincide_pass04
misc_notes	Stillehalten bedeutet innehalten.\nDas Zeichen ist die Umkehrung des vorigen. Es ist das Doppelzeichen von\nGen, das den jüngsten Sohn, den Berg, bedeutet. Der Platz von Gen ist der\nNordosten zwischen Kan im Norden und Dschen im Osten. Es ist der ge-\nheimnisvolle Ort, wo aller Dinge Anfang und Ende ist, wo Tod und Geburt\nineinander übergehen. Die Eigenschaft des Zeichens ist das Stillehalten,\nweil die starken Striche, deren Tendenz nach oben geht, am Ziele angelangt\nsind.	528-531	Stillehalten bedeutet innehalten.\nDas Zeichen ist die Umkehrung des vorigen. Es ist das Doppelzeichen von\nGen, das den jüngsten Sohn, den Berg, bedeutet. Der Platz von Gen ist der\nNordosten zwischen Kan im Norden und Dschen im Osten. Es ist der geheimnisvolle Ort, wo aller Dinge Anfang und Ende ist, wo Tod und Geburt\nineinander übergehen. Die Eigenschaft des Zeichens ist das Stillehalten,\nweil die starken Striche, deren Tendenz nach oben geht, am Ziele angelangt\nsind.	cerrado	coincide_pass02
judgment_oraculo		528-531	Stillehalten seines Rückens,\nso daß er seinen Leib nicht mehr empfindet.\nEr geht in seinen Hof und sieht nicht seine Menschen.\nKein Makel.	cerrado	na
commentary_decision	Stillehalten bedeutet innehalten.\nWenn es Zeit ist, innezuhalten, dann innehalten,\nWenn es Zeit ist, voranzuschreiten, dann voranschreiten:\nSo verfehlen Bewegung und Ruhe nicht die rechte Zeit,\nUnd ihr Lauf wird hell und klar.\nSein Innehalten stillhalten, das ist soviel wie an seinem Platz\ninnehalten. Die Oberen und Unteren stehen in gegensätz-\nlicher Beziehung und haben nichts miteinander gemein.\nDarum heißt es:,,Er empfindet nicht seinen Leib.\nEr geht in seinen Hof und sieht nicht seine Menschen.\nKein Makel."\nDas Zeichen bedingt seiner Natur nach eine Trennung des oberen und des\nunteren Halbzeichens. Das wird auch durch die divergierende Bewegung\nder Kernzeichen, von denen das obere aufwärts, das untere abwärts sich\nbewegt, angedeutet. Stillehalten ist der Sinn des Zeichens selbst, Bewe-\ngung ist der Sinn der Kernzeichen, darum ist die Erklärung gegeben, daß\nBewegung und Innehalten zur rechten Zeit beides zur Ruhe gehört: das\neine ist die Beharrung im Ruhezustand, das andere Beharrung im Bewe-\ngungszustand. Das Zeichen Gen hat einen inneren Glanz, da der lichte\nStrich oben über den beiden dunklen ist, so daß er nicht verdunkelt wird;\ndaher der Ausdruck: Ihr Lauf wird hell und klar." Der Rücken ist der hin-\ntere Teil des Körpers, der für das Ich unsichtbar ist, daher das Stillehalten\ndes Rückens, das Symbol für das Stillemachen des Ichs ist. Das untere Halb-\nzeichen deutet auf dieses Stillehalten des Rückens, so daß man seinen Kör-\nper, d. h. seine Persönlichkeit, nicht mehr gewahr wird. Das obere Zeichen\nbedeutet den Hof. Die einzelnen Linien stehen in keiner Beziehung, zu den\n"\nentsprechenden Linien des unteren Zeichens, daher drehen das obere Zei-\nchhen und das untere einander gleichsam den Rücken zu. So sieht man im\nHof die andern Menschen nicht ¹.	528-531	Stillehalten bedeutet innehalten.\nWenn es Zeit ist, innezuhalten, dann innehalten,\nWenn es Zeit ist, voranzuschreiten, dann voranschreiten:\nSo verfehlen Bewegung und Ruhe nicht die rechte Zeit,\nUnd ihr Lauf wird hell und klar.\nSein Innehalten stillhalten, das ist soviel wie an seinem Platz\ninnehalten. Die Oberen und Unteren stehen in gegensätzlicher Beziehung und haben nichts miteinander gemein.\nDarum heißt es: "Er empfindet nicht seinen Leib.\nEr geht in seinen Hof und sieht nicht seine Menschen.\nKein Makel."\nDas Zeichen bedingt seiner Natur nach eine Trennung des oberen und des\nunteren Halbzeichens. Das wird auch durch die divergierende Bewegung\nder Kernzeichen, von denen das obere aufwärts, das untere abwärts sich\nbewegt, angedeutet. Stillehalten ist der Sinn des Zeichens selbst, Bewegung ist der Sinn der Kernzeichen, darum ist die Erklärung gegeben, daß\nBewegung und Innehalten zur rechten Zeit beides zur Ruhe gehört: das\neine ist die Beharrung im Ruhezustand, das andere Beharrung im Bewegungszustand. Das Zeichen Gen hat einen inneren Glanz, da der lichte\nStrich oben über den beiden dunklen ist, so daß er nicht verdunkelt wird;\ndaher der Ausdruck: "Ihr Lauf wird hell und klar." Der Rücken ist der hintere Teil des Körpers, der für das Ich unsichtbar ist, daher das Stillehalten\ndes Rückens, das Symbol für das Stillemachen des Ichs ist. Das untere Halbzeichen deutet auf dieses Stillehalten des Rückens, so daß man seinen Körper, d. h. seine Persönlichkeit, nicht mehr gewahr wird. Das obere Zeichen\nbedeutet den Hof. Die einzelnen Linien stehen in keiner Beziehung zu den\n老\n​t\n"\nentsprechenden Linien des unteren Zeichens, daher drehen das obere Zeichen und das untere einander gleichsam den Rücken zu. So sieht man im\nHof die andern Menschen nicht¹.	cerrado	coincide_pass04
