campo	contenido_reconciliado	jpg_paginas	contenido_pdf	au_estado	resolucion_disputa
hex	49	516-519		cerrado	na
nombre	DIE UMWALZUNG (DIE MAUSERUNG)	516-519	DIE UMWALZUNG (DIE MAUSERUNG)	cerrado	na
chinese	革	516-519		cerrado	na
chinese_roman	GO	516-519		cerrado	na
hex_font	䷰	516-519	䷰	cerrado	na
trigrama_arriba	above DUI das Heitere, DER SEE.	516-519	above DUI das Heitere, DER SEE.	cerrado	na
trigrama_abajo	below LI das Haftende, DAS FEUER	516-519	below LI das Haftende, DAS FEUER	cerrado	na
ruler_note	Kiän und\nSun\n&\ner Herr des Zeichens ist die Neun auf fünftem Platz, denn man muß\nDer um die Autorität für eine Umwälzung zu\nhaben. Wer zentral und korrekt ist, der vermag das ganze Gute einer sol-\nchen Umwälzung herauszubringen. Darum heißt es von diesem Strich: "Der\ngroße Mann ändert wie ein Tiger."	516-519	Kiän und Sun\nDer Herr des Zeichens ist die Neun auf fünftem Platz, denn man muß\nhaben. Wer zentral und korrekt ist, der vermag das ganze Gute einer solchen Umwälzung herauszubringen. Darum heißt es von diesem Strich: "Der\ngroße Mann ändert wie ein Tiger."	cerrado	coincide_ninguno
sequence	Die Einrichtung eines Brunnens muß notwendig mit der Zeit\numgewälzt werden; darum folgt darauf das Zeichen: die\nUmwälzung.\nEin Brunnen muß von Zeit zu Zeit ausgeräumt werden, damit er nicht ver-\nschlammt. Darum folgt auf das Zeichen "Brunnen", das eine ständige Ein-\nrichtung bedeutet, das Zeichen "Umwälzung", das die notwendigen Ande-\nrungen festgewordener Einrichtungen zeigt, damit sie nicht erstarren.	516-519	Die Einrichtung eines Brunnens muß notwendig mit der Zeit\numgewälzt werden; darum folgt darauf das Zeichen: die\nUmwälzung.\nEin Brunnen muß von Zeit zu Zeit ausgeräumt werden, damit er nicht verschlammt. Darum folgt auf das Zeichen "Brunnen", das eine ständige Einrichtung bedeutet, das Zeichen "Umwälzung", das die notwendigen Anderungen festgewordener Einrichtungen zeigt, damit sie nicht erstarren.	cerrado	na
misc_notes	Die Umwälzung bedeutet die Entfernung des Veralteten.\nDas Zeichen ist so organisiert, daß die Wirkungen der beiden Halbzeichen\neinander entgegenstehen; daher entsteht mit Notwendigkeit eine Umwäl-\nzung. Das Feuer unten wird noch angefacht durch das Kernzeichen Sun, das\nWind oder Holz bedeutet. Das obere Kernzeichen, Kiän, gibt die nötige\nFestigkeit. Die ganze Bewegung des Zeichens ist nach oben gerichtet.	516-519	Die Umwälzung bedeutet die Entfernung des Veralteten.\nDas Zeichen ist so organisiert, daß die Wirkungen der beiden Halbzeichen\neinander entgegenstehen; daher entsteht mit Notwendigkeit eine Umwälzung. Das Feuer unten wird noch angefacht durch das Kernzeichen Sun, das\nWind oder Holz bedeutet. Das obere Kernzeichen, Kiän, gibt die nötige\nFestigkeit. Die ganze Bewegung des Zeichens ist nach oben gerichtet.	cerrado	na
judgment_oraculo		516-519	Die Umwälzung.\nAm eigenen Tag, da findest du Glauben.\nErhabenes Gelingen, fördernd durch Beharrlichkeit.\nDie Reue schwindet.	cerrado	na
