campo	contenido_reconciliado	jpg_paginas	contenido_pdf	au_estado	resolucion_disputa
hex	31	445-448		cerrado	na
nombre	DIE EINWIRKUNG (DIE WERBUNG)	445-448	DIE EINWIRKUNG (DIE WERBUNG)	cerrado	na
chinese	咸	445-448		cerrado	na
chinese_roman	HIAN	445-448	Hiën	cerrado	na
hex_font	䷞	445-448	䷞	cerrado	na
trigrama_arriba	above DUI das Heitere, DER SEE	445-448	above DUI das Heitere, DER SEE	cerrado	na
trigrama_abajo	below GEN das Stillehalten, DER BERG	445-448	below GEN das Stillehalten, DER BERG	cerrado	na
ruler_note	Kiän und\nSun\nie Neun auf viertem Platz ist an der Stelle des Herzens. Das Herz ist\nder Herr der Einwirkung, darum ist der vierte Strich der Herr des\nZeichens. Aber die Neun auf fünftem Platz ist an der Stelle des Rückens\nund bedeutet daher inmitten der Einwirkung das Stillehalten. Sie zeigt in-\nmitten der Bewegung die Fähigkeit, ruhig zu bleiben, und ist daher in noch\nhöherem Maße Herr des Zeichens.\nPestalopp!	445-448	Die Neun auf viertem Platz ist an der Stelle des Herzens. Das Herz ist\nder Herr der Einwirkung, darum ist der vierte Strich der Herr des\nZeichens. Aber die Neun auf fünftem Platz ist an der Stelle des Rückens\nund bedeutet daher inmitten der Einwirkung das Stillehalten. Sie zeigt inmitten der Bewegung die Fähigkeit, ruhig zu bleiben, und ist daher in noch\nhöherem Maße Herr des Zeichens.	cerrado	coincide_pass04
sequence	Nachdem es Himmel und Erde gibt, gibt es die einzelnen\nDinge. Nachdem die Einzeldinge ins Dasein getreten sind,\ngibt es die beiden Geschlechter. Nachdem es das männliche\nund das weibliche Geschlecht gibt, gibt es die Beziehung\nzwischen Gatte und Gattin. Nachdem die Beziehung zwischen\nGatte und Gattin vorhanden ist, gibt es die Beziehung\nzwischen Vater und Sohn. Nachdem die Beziehung zwischen\nVater und Sohn vorhanden ist, gibt es die Beziehung zwischen\nFürst und Diener. Nachdem die Beziehung zwischen Fürst\nund Diener vorhanden ist, gibt es den Unterschied von hoch\nund niedrig. Nachdem der Unterschied von hoch und niedrig\nvorhanden ist, können die Regeln der Ordnung und des\nRechts eingreifen.	445-448	Nachdem es Himmel und Erde gibt, gibt es die einzelnen\nDinge. Nachdem die Einzeldinge ins Dasein getreten sind,\ngibt es die beiden Geschlechter. Nachdem es das männliche\nund das weibliche Geschlecht gibt, gibt es die Beziehung\nzwischen Gatte und Gattin. Nachdem die Beziehung zwischen\nGatte und Gattin vorhanden ist, gibt es die Beziehung\nzwischen Vater und Sohn. Nachdem die Beziehung zwischen\nVater und Sohn vorhanden ist, gibt es die Beziehung zwischen\nFürst und Diener. Nachdem die Beziehung zwischen Fürst\nund Diener vorhanden ist, gibt es den Unterschied von hoch\nund niedrig. Nachdem der Unterschied von hoch und niedrig\nvorhanden ist, können die Regeln der Ordnung und des\nRechts eingreifen.	cerrado	na
misc_notes	Die Einwirkung vollzieht sich rasch.	445-448	Die Einwirkung vollzieht sich rasch.	cerrado	na
judgment_oraculo		445-448	Die Einwirkung. Gelingen.\nFördernd ist Beharrlichkeit.\nEin Mädchen nehmen bringt Heil.	cerrado	na
