campo	contenido_reconciliado	jpg_paginas	contenido_pdf	au_estado	resolucion_disputa
hex	37	467-469		cerrado	na
nombre	DIE SIPPE	467-469	DIE SIPPE	cerrado	na
chinese	家人	467-469		cerrado	na
chinese_roman	GIA JEN	467-469	GIA JEN	cerrado	na
hex_font	䷤	467-469	䷤	cerrado	na
trigrama_arriba	above SUN das Sanfte, DER WIND	467-469	above SUN das Sanfte, DER WIND	cerrado	na
trigrama_abajo	below LI das Haftende, DAS FEUER	467-469	below LI das Haftende, DAS FEUER	cerrado	na
ruler_note	Li und\nKan\nie Herren des Zeichens sind die Neun auf fünftem und die Sechs auf\nes in Kommentar zur Entscheidung:\n"\nkorrekte Platz der Frau ist im Innern; der korrekte Platz des Mannes ist im\nAußern."	467-469	Li und\nie Herren des Zeichens sind die Neun auf fünftem und die Sechs auf\nes im Kommentar zur Entscheidung: "Der\nkorrekte Platz der Frau ist im Innern; der korrekte Platz des Mannes ist im\nAußern."	cerrado	coincide_ninguno
sequence	Wer draußen verletzt wird, der zieht sich sicher in seine Sippe\nzurück. Darum folgt darauf das Zeichen: die Sippe.	467-469	Wer draußen verletzt wird, der zieht sich sicher in seine Sippe\nzurück. Darum folgt darauf das Zeichen: die Sippe.	cerrado	na
misc_notes	Die Sippe ist das Innere.\nDas obere Zeichen Sun bedeutet Einfluß; das untere Zeichen Li bedeutet\nKlarheit: das Ganze deutet dementsprechend den Einfluß nach außen an,\nder von innerer Klarheit ausgeht¹.	467-469	Die Sippe ist das Innere.\nDas obere Zeichen Sun bedeutet Einfluß; das untere Zeichen Li bedeutet\nKlarheit: das Ganze deutet dementsprechend den Einfluß nach außen an,\nder von innerer Klarheit ausgeht'.	cerrado	coincide_pass04
judgment_oraculo		467-469	Die Sippe. Fördernd ist die Beharrlichkeit der Frau.	cerrado	na
commentary_decision	Die Sippe. Der rechte Platz der Frau ist im Innern; der\nrechte Platz des Mannes ist im Außern. Daß Mann und Frau\nihre rechte Stellung haben, ist der größte Begriff in der Natur.\nUnter den Angehörigen der Sippe gibt es gestrenge Herren:\nes sind das die Eltern. Wenn der Vater in Wahrheit ein Vater\nist und der Sohn Sohn, wenn der ältere Bruder ein älterer\nBruder ist und der jüngere Bruder ein jüngerer, der Gatte\nGatte und die Gattin Gattin, so ist das Haus auf dem rechten\nWeg. Dadurch daß man das Haus recht macht, kommt\ndie Welt in feste Geleise.\n-\n-\nWährend das Urteil nur von der Beharrlichkeit der Frau redet, mit Rück-\nsicht darauf, daß das Zeichen aus den beiden älteren Töchtern Sun und Li\nbesteht, die an ihrem rechten Platz sind die ältere oben, die jüngere\ngeht der Kommentar von den beiden Herren des Zeichens, Neun\n¹ Die chinesische Sippe ist, wie sich aus diesen Verhältnissen ergibt, die patriarchalische\nGroßfamilie, die die Keimzelle des patriarchalischen Staates bildet. Der Gedankengang\nist in der Schrift über die höhere Bildung noch weiter ausgeführt.\nunten\nGD\nauf fünftem und Sechs auf zweitem Platz, aus und spricht dementsprechend\nvon Mann und Frau, deren rechter Platz außen bzw. innen ist. Mann und\nFrau in dieser Stellung entsprechen der Stellung von Himmel und Erde,\ndaher wird das als der größte Begriff der Natur (wörtlich Himmel und Erde)\nbezeichnet. Die rechte Stellung der einzelnen Linien wurde oben schon aus-\ngeführt. Die Wirkung von der Familie auf die Welt entspricht der Wirkung\ndes Feuers, das den Wind erzeugt.	467-469	Die Sippe. Der rechte Platz der Frau ist im Innern; der\nrechte Platz des Mannes ist im Außern. Daß Mann und Frau\nihre rechte Stellung haben, ist der größte Begriff in der Natur.\nUnter den Angehörigen der Sippe gibt es gestrenge Herren:\nes sind das die Eltern. Wenn der Vater in Wahrheit ein Vater\nist und der Sohn Sohn, wenn der ältere Bruder ein älterer\nBruder ist und der jüngere Bruder ein jüngerer, der Gatte\nGatte und die Gattin Gattin, so ist das Haus auf dem rechten\nWeg. Dadurch daß man das Haus recht macht, kommt\ndie Welt in feste Geleise.\nWährend das Urteil nur von der Beharrlichkeit der Frau redet, mit Rücksicht darauf, daß das Zeichen aus den beiden älteren Töchtern Sun und Li\nbesteht, die an ihrem rechten Platz sind die ältere oben, die jüngere\nunten geht der Kommentar von den beiden Herren des Zeichens, Neun\n¹ Die chinesische Sippe ist, wie sich aus diesen Verhältnissen ergibt, die patriarchalische\nGroßfamilie, die die Keimzelle des patriarchalischen Staates bildet. Der Gedankengang\nist in der Schrift über die höhere Bildung noch weiter ausgeführt.\nd\nauf fünftem und Sechs auf zweitem Platz, aus und spricht dementsprechend\nvon Mann und Frau, deren rechter Platz außen bzw. innen ist. Mann und\nFrau in dieser Stellung entsprechen der Stellung von Himmel und Erde,\ndaher wird das als der größte Begriff der Natur (wörtlich Himmel und Erde)\nbezeichnet. Die rechte Stellung der einzelnen Linien wurde oben schon ausgeführt. Die Wirkung von der Familie auf die Welt entspricht der Wirkung\ndes Feuers, das den Wind erzeugt.	cerrado	coincide_pass04
image_oraculo	Der Wind kommt aus dem Feuer hervor: das Bild der Sippe.\nSo hat der Edle in seinen Worten die Sache und in seinem\nWandel die Dauer.\nDer Wind ist die Wirkung des Feuers. So ist der ordnende Einfluß auf die\nWelt die Wirkung der Ordnung innerhalb der Sippe. Er wird erzielt da-\ndurch, daß das Haupt der Sippe in seinen Worten die Sache hat wie die\nFlamme auf dem Brennstoff unfehlbar beruht und in seinem Wandel die\nDauer wie der Wind unaufhörlich weht.\n-\nAnfangs Neun:	467-469	Der Wind kommt aus dem Feuer hervor:\ndas Bild der Sippe.\nSo hat der Edle in seinen Worten die Sache\nund in seinem Wandel die Dauer.	cerrado	coincide_ninguno
commentary_image	Der Wind kommt aus dem Feuer hervor: das Bild der Sippe.\nSo hat der Edle in seinen Worten die Sache und in seinem\nWandel die Dauer.\nDer Wind ist die Wirkung des Feuers. So ist der ordnende Einfluß auf die\nWelt die Wirkung der Ordnung innerhalb der Sippe. Er wird erzielt da-\ndurch, daß das Haupt der Sippe in seinen Worten die Sache hat wie die\nFlamme auf dem Brennstoff unfehlbar beruht und in seinem Wandel die\nDauer wie der Wind unaufhörlich weht.\n-\nAnfangs Neun:	467-469	Wandel die Dauer.\nDer Wind ist die Wirkung des Feuers. So ist der ordnende Einfluß auf die\nWelt die Wirkung der Ordnung innerhalb der Sippe. Er wird erzielt dadurch, daß das Haupt der Sippe in seinen Worten die Sache hat wie die\nFlamme auf dem Brennstoff unfehlbar beruht · und in seinem Wandel die\nDauer - wie der Wind unaufhörlich weht.	cerrado	coincide_ninguno
L1_etiqueta	Anfangs Neun:	467-469	Anfangs Neun:	cerrado	na
L1_a_oraculo	Fester Abschluß innerhalb der Sippe. Reue schwindet.	467-469	Fester Abschluß innerhalb der Sippe. Reue schwindet.	cerrado	na
L1_b_comentario	Fester Abschluß innerhalb der Sippe":\nnoch hat der Wille sich nicht verändert.\nDer Strich ist ganz unten am Anfang und repräsentiert daher die Zeit, da der\nWille des Menschen sich noch nicht zum Schlechten verändert hat. Hier\nmuß man eingreifen und die Änderung verhindern.	467-469	Fester Abschluß innerhalb der Sippe":\nnoch hat der Wille sich nicht verändert.\nDer Strich ist ganz unten am Anfang und repräsentiert daher die Zeit, da der\nWille des Menschen sich noch nicht zum Schlechten verändert hat. Hier\nmuß man eingreifen und die Änderung verhindern.	cerrado	na
L2_etiqueta	Sechs auf zweitem Platz:	467-469	Sechs auf zweitem Platz:	cerrado	na
L2_a_oraculo	Sie soll nicht ihrer Laune folgen. Sie soll im Innern für Speise\nsorgen. Beharrlichkeit bringt Heil.	467-469	Sie soll nicht ihrer Laune folgen. Sie soll im Innern für Speise\nsorgen. Beharrlichkeit bringt Heil.	cerrado	na
L2_b_comentario	Das Heil der Sechs auf zweitem Platz beruht auf Hingebung\nund Sanftheit.\nHingebung und Sanftheit werden dreimal genannt: im Zeichen Jugendtor-\nheit als Eigenschaften im Dienst des Lehrers, im Zeichen Entwicklung als\nEigenschaften im Dienst des Herrn und hier als die Eigenschaften im Dienst\ndes Gatten.\nDer mittlere Strich im Zeichen Li ist die Hingebung und Korrektheit, die\nnichts für sich selbst sucht.\nDie Kernzeichen sind Kan, das Wein und Speise bedeutet, und Li, das\nKochen und Backen bedeutet, daher wird die Zubereitung der Speisen als\nPflicht der Frau genannt.	467-469	Das Heil der Sechs auf zweitem Platz beruht auf Hingebung\nund Sanftheit.\nHingebung und Sanftheit werden dreimal genannt: im Zeichen Jugendtorheit als Eigenschaften im Dienst des Lehrers, im Zeichen Entwicklung als\nEigenschaften im Dienst des Herrn und hier als die Eigenschaften im Dienst\ndes Gatten.\nDer mittlere Strich im Zeichen Li ist die Hingebung und Korrektheit, die\nnichts für sich selbst sudit.\nDie Kernzeichen sind Kan, das Wein und Speise bedeutet, und Li, das\nKochen und Backen bedeutet, daher wird die Zubereitung der Speisen als\nPflicht der Frau genannt.	cerrado	coincide_pass04
L3_etiqueta	Neun auf drittem Platz:	467-469	Neun auf drittem Platz:	cerrado	na
L3_a_oraculo	Wenn es in der Sippe hitzig zugeht, so entsteht Reue über\nzu große Strenge. Doch Heil! Wenn Weib und Kind tändeln\nund lachen, so führt das schließlich zu Beschämung.	467-469	Wenn es in der Sippe hitzig zugeht, so entsteht Reue über\nzu große Strenge. Doch Heil! Wenn Weib und Kind tändeln\nund lachen, so führt das schließlich zu Beschämung.	cerrado	na
L3_b_comentario	Wenn es in der Sippe hitzig zugeht",\nso ist doch noch nichts verloren.\n,,Wenn Weib und Kind tändeln",\n""\nso geht die Zucht des Hauses verloren.\nDer Strich ist an der Spitze des unteren Zeichens Li, Flamme, und gleich-\nzeitig am Beginn des oberen Kernzeichens, das ebenfalls Li ist, daher legt\ner die Bedeutung übergroßer Hitze nahe. Wenn das auch ein Fehler ist,\nso ist doch immerhin bei der Stellung des starken zwischen den zwei\nschwachen Strichen diese Haltung vorzuziehen. Wenn der Strich sich ver-\nwandelt und weich wird, so geht die Zucht des Hauses verloren.	467-469	Wenn es in der Sippe hitzig zugeht",\nso ist doch noch nichts verloren.\n"Wenn Weib und Kind tändeln",\nso geht die Zucht des Hauses verloren.\nDer Strich ist an der Spitze des unteren Zeichens Li, Flamme, und gleichzeitig am Beginn des oberen Kernzeichens, das ebenfalls Li ist, daher legt\ner die Bedeutung übergroßer Hitze nahe. Wenn das auch ein Fehler ist,\nso ist doch immerhin bei der Stellung des starken zwischen den zwei\nschwachen Strichen diese Haltung vorzuziehen. Wenn der Strich sich verwandelt und weich wird, so geht die Zucht des Hauses verloren.	cerrado	coincide_pass04
L4_etiqueta	Sechs auf viertem Platz:	467-469	Sechs auf viertem Platz:	cerrado	na
