campo	contenido_reconciliado	jpg_paginas	contenido_pdf	au_estado	resolucion_disputa
hex	50	520-523		cerrado	na
nombre	DER TIEGEL	520-523	DER TIEGEL	cerrado	na
chinese	鼎	520-523		cerrado	na
chinese_roman	DING	520-523	Ding	cerrado	na
hex_font	䷱	520-523	䷱	cerrado	na
trigrama_arriba	above LI das Haßende, DAS FEUER	520-523	above LI das Haßende, DAS FEUER	cerrado	na
trigrama_abajo	below SUN das Sanfte, DER WIND, DAS HOLZ	520-523	below SUN das Sanfte, DER WIND, DAS HOLZ	cerrado	na
ruler_note	Dui und\nKiän\nie Herren des Zeichens sind die Sechs auf fünftem Platz und die obere\n"\nnährung der Würdigen. Die Sechs auf fünftem Platz ehrt den Ehrwürdigen,\nder durch die obere Neun dargestellt wird. Das Bild ist davon genommen,\nwie die Ringe und Ohren des Tiegels ineinander passen.	520-523	Dui und\nKiän\nDie Herren des Zeichens sind die Sechs auf fünftem Platz und die obere\nNeun. Die dem Zeichen „Tiegel" zugrunde liegende Idee ist die Ernährung der Würdigen. Die Sechs auf fünftem Platz ehrt den Ehrwürdigen,\nder durch die obere Neun dargestellt wird. Das Bild ist davon genommen,\nwie die Ringe und Ohren des Tiegels ineinander passen.	cerrado	coincide_ninguno
sequence	Nichts gestaltet die Dinge so sehr um wie der Tiegel. Darum\nfolgt darauf das Zeichen: der Tiegel.\nDie Umgestaltungen des Tiegels sind einerseits die Veränderungen, die mit\nden Speisen durch das Kochen vor sich gehen, andererseits in übertragenem\nSinn die umwälzenden Wirkungen, die von der Zusammenarbeit eines Für-\nsten und eines Weisen ausgehen.	520-523	Nichts gestaltet die Dinge so sehr um wie der Tiegel. Darum\nfolgt darauf das Zeichen: der Tiegel.\nDie Umgestaltungen des Tiegels sind einerseits die Veränderungen, die mit\nden Speisen durch das Kochen vor sich gehen, andererseits in übertragenem\nSinn die umwälzenden Wirkungen, die von der Zusammenarbeit eines Fürsten und eines Weisen ausgehen.	cerrado	na
misc_notes	Der Tiegel bedeutet das Aufnehmen des Neuen.\nDas Zeichen ist die Umkehrung des vorigen und zeigt auch sonst der Be-\ndeutung nach eine Umschaltung. Während sich das Zeichen "Umwälzung"\nsozusagen mit der Revolution als solcher in ihrer negativen Seite beschäf-\ntigt, zeigt das Zeichen "Tiegel" die richtige Art der Neueinrichtung des ge-\nsellschaftlichen Lebens. Die beiden Zeichen sind in solcher Bewegung, daß\nihre Wirkungen einander verstärken. Die Kernzeichen Kiän und Dui, die\nMetall bedeuten, vollenden die Idee des Tiegels als sakralen und feierlichen\nGefäßes. Diese alten Bronzegefäße, wie sie noch jetzt gelegentlich ausge-\ngraben werden, hingen von jeher mit den höchsten Außerungen der Kultur\nzusammen.	520-523	Der Tiegel bedeutet das Aufnehmen des Neuen.\nDas Zeichen ist die Umkehrung des vorigen und zeigt auch sonst der Bedeutung nach eine Umschaltung. Während sich das Zeichen "Umwälzung"\nsozusagen mit der Revolution als solcher in ihrer negativen Seite beschäftigt, zeigt das Zeichen "Tiegel" die richtige Art der Neueinrichtung des gesellschaftlichen Lebens. Die beiden Zeichen sind in solcher Bewegung, daß\nihre Wirkungen einander verstärken. Die Kernzeichen Kiän und Dui, die\nMetall bedeuten, vollenden die Idee des Tiegels als sakralen und feierlichen\nGefäßes. Diese alten Bronzegefäße, wie sie noch jetzt gelegentlich ausgegraben werden, hingen von jeher mit den höchsten Außerungen der Kultur\nzusammen.	cerrado	na
judgment_oraculo		520-523	Der Tiegel. Erhabenes Heil. Gelingen.	cerrado	na
