campo	contenido_reconciliado	jpg_paginas	contenido_pdf	au_estado	resolucion_disputa
hex	36	463-466		cerrado	na
nombre		463-466	DIE VERFINSTERUNG DES LICHTS	cerrado	na
chinese	明夷	463-466		cerrado	na
chinese_roman	MING I	463-466	Ming I	cerrado	na
hex_font	䷣	463-466	䷣	cerrado	na
trigrama_arriba	above KUN das Empfangende, DIE ERDE	463-466	above KUN das Empfangende, DIE ERDE	cerrado	na
trigrama_abajo	below LI das Haftende, DAS FEUER	463-466	below LI das Haftende, DAS FEUER	cerrado	na
ruler_note	Dschen und\nKan\nas Zeichen hat als Charakteristikum die Sonne, die unter die Erde ge-\nDas\nsomit der Strich, der das Licht der andern verletzt und verfinstert. Er ist\nder Herr, der das Zeichen bestimmt. Die Sechs auf zweitem Platz und die\nSechs auf fünftem Platz haben beide die Eigenschaften des zentralen und\nhingebenden Wesens, sie sind diejenigen, die verletzt werden. Sie sind die\nHerren, die das Zeichen beherrschen. Darum heißt es im Kommentar zur\nEntscheidung: "Der König Wen hat das erlebt, der Prinz Gi hat das erlebt."\n-	463-466	Dschen und\nKan\nDas Zeichen hat als Charakteristikum die Sonne, die unter die Erde gesomit der Strich, der das Licht der andern verletzt und verfinstert. Er ist\nder Herr, der das Zeichen bestimmt. Die Sechs auf zweitem Platz und die\nSechs auf fünftem Platz haben beide die Eigenschaften des zentralen und\nhingebenden Wesens, sie sind diejenigen, die verletzt werden. Sie sind die\nHerren, die das Zeichen beherrschen. Darum heißt es im Kommentar zur\nEntscheidung: "Der König Wen hat das erlebt, der Prinz Gi hat das erlebt."	cerrado	coincide_ninguno
sequence	Expansion wird sicher auf Widerstand und Beschädigung\nstoßen. Darum folgt darauf das Zeichen,,Verfinsterung des\nLichts". Verfinsterung bedeutet Beschädigung, Verletzung.	463-466	Expansion wird sicher auf Widerstand und Beschädigung\nstoßen. Darum folgt darauf das Zeichen„Verfinsterung des\nLichts". Verfinsterung bedeutet Beschädigung, Verletzung.	cerrado	na
misc_notes	Verfinsterung des Lichts bedeutet Verletzung.\n-\nDas ganze Zeichen hat einen historischen Hintergrund. Zu der Zeit nämlich,\nals König Wen die Urteile zu den einzelnen Zeichen schrieb, waren die Ver-\nhältnisse in China so, wie sie das Zeichen schildert. In den Urteilen zu den\neinzelnen Strichen erwähnt der Herzog von Dschou als Beispiel für die\nSituation den Prinzen Gi. Kungtse führt das im Kommentar zur Entscheidung\nweiter aus, indem er das Beispiel des Königs Wen hinzufügt. Später hat\nman vollkommen sinngemäß - für sämtliche Striche historische Persön-\nlichkeiten genannt. Der finstere Herrscher war Dschou Sin, der letzte König\naus dem Hause Yin. Er ist symbolisiert durch die obere Sechs. Unter ihm\nhatten sämtliche tüchtigen Fürsten des Reichs schwer zu leiden. Ihre Schick-\nsale spiegeln sich in den einzelnen Strichen wieder. Der hochgesinnte Bo I\nzog sich mit seinem Bruder Schu Tsi in die Verborgenheit zurück. Er wird\nbezeichnet durch die Anfangsneun. Die Sechs auf zweitem Platz zeichnet\nden König Wen, der damals als der erste unter den Lehnsfürsten von dem\nTyrannen lange gefangengehalten wurde und in Lebensgefahr schwebte.\nDie Neun auf drittem Platz zeichnet seinen Sohn, den nachmaligen König\nWu von Dschou, der den Tyrannen stürzte. Die Sechs auf viertem Platz\nzeichnet die Lage des Prinzen We Dsï, der sich noch rechtzeitig ins Ausland\nflüchten konnte. Die Sechs auf fünftem Platz endlich zeichnet die Lage des\nPrinzen Gi, der sich nur durch äußerliche Verstellung das Leben retten\nkonnte.\nDas Zeichen ist die Umkehrung des vorigen.	463-466	Verfinsterung des Lichts bedeutet Verletzung.\nDas ganze Zeichen hat einen historischen Hintergrund. Zu der Zeit nämlich,\nals König Wen die Urteile zu den einzelnen Zeichen schrieb, waren die Verhältnisse in China so, wie sie das Zeichen schildert. In den Urteilen zu den\neinzelnen Strichen erwähnt der Herzog von Dschou als Beispiel für die\nSituation den Prinzen Gi. Kungtse führt das im Kommentar zur Entscheidung\nweiter aus, indem er das Beispiel des Königs Wen hinzufügt. Später hat\nman - vollkommen sinngemäß — für sämtliche Striche historische Persönlichkeiten genannt. Der finstere Herrscher war Dschou Sin, der letzte König\naus dem Hause Yin. Er ist symbolisiert durch die obere Sechs. Unter ihm\nhatten sämtliche tüchtigen Fürsten des Reichs schwer zu leiden. Ihre Schicksale spiegeln sich in den einzelnen Strichen wieder. Der hochgesinnte Bo I\nzog sich mit seinem Bruder Schu Tsi in die Verborgenheit zurück. Er wird\nbezeichnet durch die Anfangsneun. Die Sechs auf zweitem Platz zeichnet\nden König Wen, der damals als der erste unter den Lehnsfürsten von dem\nTyrannen lange gefangengehalten wurde und in Lebensgefahr schwebte.\nDie Neun auf drittem Platz zeichnet seinen Sohn, den nachmaligen König\nWu von Dschou, der den Tyrannen stürzte. Die Sechs auf viertem Platz\nzeichnet die Lage des Prinzen We Dsï, der sich noch rechtzeitig ins Ausland\nflüchten konnte. Die Sechs auf fünftem Platz endlich zeichnet die Lage des\nPrinzen Gi, der sich nur durch äußerliche Verstellung das Leben retten\nkonnte.\nDas Zeichen ist die Umkehrung des vorigen.	cerrado	coincide_pass04
judgment_oraculo		463-466	Die Verfinsterung des Lichts.\nFördernd ist es, in der Not beharrlich zu sein.	cerrado	na
commentary_decision	Das Licht ist in die Erde hineingesunken: Verfinsterung des\nLichts. Innen schön und klar, außen weich und hingebend\nund so der großen Not ausgesetzt—so war der König Wen.\n,,Fördernd ist es, in der Not beharrlich zu sein": das bedeutet,\ndaß man sein Licht verhüllt. In der nächsten Verwandtschaft\nvon Schwierigkeiten umgeben, aber dennoch seinen Willen\nauf das Rechte gerichtet haltend - so war der Prinz Gi.\nDas innere Zeichen ist Li, das Licht, dessen Eigenschaften die Schönheit und\nKlarheit sind, das äußere Zeichen ist Kun, das Empfangende, dessen Eigen-\nschaften Weichheit und Hingebung sind. König Wen, der diese Eigen-\nschaften vereint zeigt, ist durch einen "Herrn" des Zeichens, die Sechs auf\nzweitem Platz, gezeichnet.\nPrinz Gi wird durch die Sechs auf fünftem Platz gezeichnet. Auch er befindet\nsich in Schwierigkeiten. Diese Schwierigkeiten werden dargestellt durch\ndas Kernzeichen Kan, das Abgründige, dessen Eigenschaft die Gefahr ist.\nKönig Wen wird von diesem Kernzeichen sozusagen zugedeckt. Für die\nSechs auf fünftem Platz liegen die Schwierigkeiten "innen", d. h. unten. Sie\nwird nicht davon überwältigt, denn sie befindet sich auf der Höhe des oberen\nKernzeichens Dschen, Bewegung; durch Bewegung kommt sie aus den\nSchwierigkeiten heraus, und das gefährdete Licht kann doch nicht zum Auf-\nhören gebracht werden.	463-466	Das Licht ist in die Erde hineingesunken: Verfinsterung des\nLichts. Innen schön und klar, außen weich und hingebend\nund so der großen Not ausgesetzt-so war der König Wen.\n„Fördernd ist es, in der Not beharrlich zu sein": das bedeutet,\ndaß man sein Licht verhüllt. In der nächsten Verwandtschaft\nvon Schwierigkeiten umgeben, aber dennoch seinen Willen\nauf das Rechte gerichtet haltend so war der Prinz Gi.\nDas innere Zeichen ist Li, das Licht, dessen Eigenschaften die Schönheit und\nKlarheit sind, das äußere Zeichen ist Kun, das Empfangende, dessen Eigenschaften Weichheit und Hingebung sind. König Wen, der diese Eigenschaften vereint zeigt, ist durch einen "Herrn" des Zeichens, die Sechs auf\nzweitem Platz, gezeichnet.\nPrinz Gi wird durch die Sechs auf fünftem Platz gezeichnet. Auch er befindet\nsich in Schwierigkeiten. Diese Schwierigkeiten werden dargestellt durch\ndas Kernzeichen Kan, das Abgründige, dessen Eigenschaft die Gefahr ist.\nKönig Wen wird von diesem Kernzeichen sozusagen zugedeckt. Für die\nSechs auf fünftem Platz liegen die Schwierigkeiten "innen", d. h. unten. Sie\nwird nicht davon überwältigt, denn sie befindet sich auf der Höhe des oberen\nKernzeichens Dschen, Bewegung; durch Bewegung kommt sie aus den\nSchwierigkeiten heraus, und das gefährdete Licht kann doch nicht zum Aufhören gebracht werden.	cerrado	coincide_ninguno
