campo	contenido_reconciliado	jpg_paginas	contenido_pdf	au_estado	resolucion_disputa
hex	51	524-527		cerrado	na
nombre	DAS ERREGENDE	524-527	DAS ERREGENDE	cerrado	na
chinese	震	524-527		cerrado	na
chinese_roman	DSCHEN	524-527	Dschen	cerrado	na
hex_font	䷲	524-527	䷲	cerrado	na
trigrama_arriba	above DSCHEN das Erregende, DER DONNER	524-527	above DSCHEN das Erregende, DER DONNER	cerrado	na
trigrama_abajo	below DSCHEN das Erregende, DER DONNER	524-527	below DSCHEN das Erregende, DER DONNER	cerrado	na
ruler_note	Kan und\nGen\nie Herren des Zeichens Dschen sind die beiden lichten Striche. Da es aber\nDie\nท\nunten her in Bewegung ist, wird der vierte Strich nicht als Herr betrachtet,\nsondern nur der Anfangsstrich.	524-527	(DAS ERSCHUTTERN, DER DONNER)\nKernzeichen: Kan und\nGen\nDie Herren des Zeichens Dschen sind die beiden lichten Striche. Da es aber\nunten her in Bewegung ist, wird der vierte Strich nicht als Herr betrachtet,\nsondern nur der Anfangsstrich.	cerrado	coincide_ninguno
sequence	Unter den Verwaltern der heiligen Geräte steht der älteste\nSohn in erster Linie. Darum folgt darauf das Zeichen: die Er-\nregung. Erregung bedeutet Bewegung.\n14 Das Buch der Wandlungen II	524-527	Unter den Verwaltern der heiligen Geräte steht der älteste\nSohn in erster Linie. Darum folgt darauf das Zeichen: die Erregung. Erregung bedeutet Bewegung.	cerrado	na
misc_notes	Erregung bedeutet Anfangen, Aufstehen.\nDas Zeichen gehört zu den acht Doppelzeichen. Es ist die Verdoppelung\nvon Dschen, das den ältesten Sohn, den Anfang der Dinge im Osten bzw.\nFrühling bedeutet. Das wird auch durch das Bild nahegelegt, das das Auf-\nsteigen der Elektrizität, den Donner, zeigt, der im Frühling wieder sich\nhören läßt.	524-527	Erregung bedeutet Anfangen, Aufstehen.\nDas Zeichen gehört zu den acht Doppelzeichen. Es ist die Verdoppelung\nvon Dschen, das den ältesten Sohn, den Anfang der Dinge im Osten bzw.\nFrühling bedeutet. Das wird auch durch das Bild nahegelegt, das das Aufsteigen der Elektrizität, den Donner, zeigt, der im Frühling wieder sich\nhören läßt.	cerrado	na
judgment_oraculo		524-527	Das Erschüttern bringt Gelingen.\nDas Erschüttern kommt: Hu, Hu!\nLachende Worte: Ha, Ha!\nDas Erschüttern erschreckt hundert Meilen,\nund er läßt nicht Opferlöffel und Kelch fallen.	cerrado	na
commentary_decision	,,Das Erschüttern bringt Gelingen.\nDas Erschüttern kommt: Hu, Hu!"\nFurcht bringt Glück.\n,,Lachende Worte: Ha, Ha!"\nNachher hat man eine Regel.\n"Das Erschüttern erschreckt hundert Meilen."\n"}\nWenn man in der Ferne Schrecken wirkt und in der Nähe\nbesorgt ist, dann mag man hervortreten und Ahnentempel\nund Erdaltar bewahren und der Leiter der Opfer sein.\nDas Erschüttern kommt Hu, Hu; die Worte Hu, Hu bedeuten ursprünglich\neinen erschreckten Tiger, dann einen Gekko, der erschreckt an der Wand\nhin und her läuft. So kommt dann die Bedeutung der Furcht den beiden\nonomatopoetischen Zeichen (chinesisch hi, hi) zu, die ganz der Bedeutung\ndes deutschen hu, hu entspricht. Durch die so erregte Furcht wird man vor-\nsichtig, und Vorsicht bringt das Glück. Lachende Worte: ha, ha ... sie sind\nnahegelegt durch den Laut des Donners, der wie ha, ha klingt. Sie sind ein\nSymbol der inneren Ruhe inmitten des Sturmes äußerer Bewegung.\nDas Erschüttern schreckt hundert Meilen: das ist der Laut des Donners, der\nzugleich das Symbol ist eines machtvollen Herrschers durch den Ge-\ndanken des ältesten Sohnes nahegelegt -, der alles im Umkreis in Respekt\nzu setzen weiß, aber dabei auch im Kleinsten sorgfältig und genau ist. Dar-\nauf bezieht sich dann auch der Schluß. Der Herr der Opfer ist zugleich der\nHerr des Hauses bzw. des Reiches. Auch hier hatte der älteste Sohn seine\nbesondere Aufgabe. Das Zeichen Dschen bedeutet Hervortreten Gottes im\nFrühling und zugleich das Wiedererwachen der Lebenskraft, die von unten\nher sich wieder regt.\n-	524-527	„Das Erschüttern bringt Gelingen.\nDas Erschüttern kommt: Hu, Hu!"\nFurcht bringt Glück.\n„Lachende Worte: Ha, Ha!"\nNachher hat man eine Regel.\n„Das Erschüttern erschreckt hundert Meilen."\nWenn man in der Ferne Schrecken wirkt und in der Nähe\nbesorgt ist, dann mag man hervortreten und Ahnentempel\nund Erdaltar bewahren und der Leiter der Opfer sein.\nDas Erschüttern kommt Hu, Hu; die Worte Hu, Hu bedeuten ursprünglich\neinen erschreckten Tiger, dann einen Gekko, der erschreckt an der Wand\nhin und her läuft. So kommt dann die Bedeutung der Furcht den beiden\nonomatopoetischen Zeichen (chinesisch hi, hi) zu, die ganz der Bedeutung\ndes deutschen hu, hu entspricht. Durch die so erregte Furcht wird man vorsichtig, und Vorsicht bringt das Glück. Lachende Worte: ha, ha... sie sind\nnahegelegt durch den Laut des Donners, der wie ha, ha klingt. Sie sind ein\nSymbol der inneren Ruhe inmitten des Sturmes äußerer Bewegung.\nDas Erschüttern schreckt hundert Meilen: das ist der Laut des Donners, der\nzugleich das Symbol ist eines machtvollen Herrschers durch den Gedanken des ältesten Sohnes nahegelegt —, der alles im Umkreis in Respekt\nzu setzen weiß, aber dabei auch im Kleinsten sorgfältig und genau ist. Darauf bezieht sich dann auch der Schluß. Der Herr der Opfer ist zugleich der\nHerr des Hauses bzw. des Reiches. Auch hier hatte der älteste Sohn seine\nbesondere Aufgabe. Das Zeichen Dschen bedeutet Hervortreten Gottes im\nFrühling und zugleich das Wiedererwachen der Lebenskraft, die von unten\nher sich wieder regt.\n~1\nπ	cerrado	coincide_ninguno
image_oraculo	Fortgesetzter Donner: das Bild des Erschütterns. So macht\nder Edle unter Furcht und Zittern sein Leben recht und er-\nforscht sich selbst.\nFortgesetzter Donner heißt es, weil das Zeichen Dschen verdoppelt über-\neinander steht. Furcht und Zittern ist der erste Donner, Bilden und Forschen\nist der zweite Donner.\nO Anfangs Neun:	524-527	Fortgesetzter Donner: das Bild des Erschütterns.\nSo macht der Edle unter Furcht und Zittern sein Leben recht\nund erforscht sich selbst.	cerrado	coincide_ninguno
commentary_image	Fortgesetzter Donner: das Bild des Erschütterns. So macht\nder Edle unter Furcht und Zittern sein Leben recht und er-\nforscht sich selbst.\nFortgesetzter Donner heißt es, weil das Zeichen Dschen verdoppelt über-\neinander steht. Furcht und Zittern ist der erste Donner, Bilden und Forschen\nist der zweite Donner.\nO Anfangs Neun:	524-527	Fortgesetzter Donner heißt es, weil das Zeichen Dschen verdoppelt übereinander steht. Furcht und Zittern ist der erste Donner, Bilden und Forschen\nist der zweite Donner.	cerrado	coincide_ninguno
L1_etiqueta	Anfangs Neun:	524-527	Anfangs Neun:	cerrado	na
L1_a_oraculo	Das Erschüttern kommt: Hu, Hu! Darauf folgen lachende\nWorte: Ha, Ha! Heil!	524-527	Das Erschüttern kommt: Hu, Hu! Darauf folgen lachende\nWorte: Ha, Ha! Heil!	cerrado	na
