campo	contenido_reconciliado	contenido_pass03	jpg_paginas	contenido_pdf	au_estado	resolucion_disputa
hex	2	2	28-31	2	pendiente	coincide_zeno
nombre	DAS EMPFANGENDE	DAS EMPFANGENDE	28-31	DAS EMPFANGENDE	pendiente	coincide_zeno
chinese	坤	坤	28-31	坤	pendiente	coincide_zeno
chinese_roman	Kun	KUN	28-31	KUN	pendiente	diff_zeno
hex_font	䷁	䷁	28-31	䷁	pendiente	coincide_zeno
trigrama_arriba	oben Kun, das Empfangende, die Erde	oben Kun, das Empfangende, die Erde	28-31	oben Kun, das Empfangende, die Erde	pendiente	coincide_zeno
trigrama_abajo	unten Kun, das Empfangende, die Erde	unten Kun, das Empfangende, die Erde	28-31	unten Kun, das Empfangende, die Erde	pendiente	coincide_zeno
intro	2. Kun / DAS EMPFANGENDE\noben Kun, das Empfangende, die Erde\nunten Kun, das Empfangende, die Erde\nDas Zeichen besteht aus lauter geteilten Linien. Die geteilte Linie entspricht der schattigen, weichen, rezeptiven Urkraft des Yin. Die Eigenschaft des Zeichens ist die Hingebung, sein Bild ist die Erde. Es ist das vollkommene Gegenstück zu dem Schöpferischen, das Gegenstück, nicht der Gegensatz; eine Ergänzung keine Bekämpfung. Es ist die Natur gegenüber dem Geist, die Erde gegenüber dem Himmel, das Räumliche gegenüber dem Zeitlichen, das Weiblich-Mütterliche gegenüber dem Männlich-Väterlichen. Der Grundsatz dieses Gegenstückes findet sich  aber, auf menschliche Verhältnisse übertragen, nicht nur in den Beziehungen zwischen Mann und Weib, sondern auch von Fürst und Minister oder Vater und Sohn; ja selbst in den einzelnen Menschen ist diese Zweiheit in dem Zusammensein von Geistigem und Sinnlichem.\n\nDennoch kann von einem eigentlichen Dualismus nicht geredet werden, denn es besteht zwischen den beiden Zeichen das Verhältnis einer klaren Rangordnung. An sich ist natürlich das Empfangende ebenso wichtig wie das Schöpferische. Aber durch die Eigenschaft der Hingebung ist die Stellung dieser Urkraft dem Schöpferi schen gegenüber bezeichnet. Sie muß unter der Leitung und Anregung des Schöpferischen sein, dann wirkt sie heilvoll. Nur wenn sie aus dieser Stellung heraustritt und dem Schöpferischen ebenbürtig zur Seite treten will, wird sie böse. Daraus ergibt sich dann Gegensatz und Kampf gegen das Schöpferische, der für beide Teile unheilvoll wirkt.	​2. KUN / DAS EMPFANGENDE\noben Kun, das Empfangende, die Erde\nunten Kun, das Empfangende, die Erde\nDa\nas Zeichen besteht aus lauter geteilten Linien. Die geteilte Linie ent-\nspricht der schattigen, weichen, rezeptiven Urkraft des Yin. Die Eigen-\nschaft des Zeichens ist die Hingebung, sein Bild ist die Erde. Es ist das voll-\nkommene Gegenstück zu dem Schöpferischen, das Gegenstück, nicht der\nGegensatz; eine Ergänzung, keine Bekämpfung. Es ist die Natur gegenüber\ndem Geist, die Erde gegenüber dem Himmel, das Räumliche gegenüber dem\nZeitlichen, das Weiblich-Mütterliche gegenüber dem Männlich-Väterlichen.\nDer Grundsatz dieses Gegenstückes findet sich aber, auf menschliche Verhält-\nnisse übertragen, nicht nur in den Beziehungen zwischen Mann und Weib,\nsondern auch von Fürst und Minister oder Vater und Sohn; ja selbst in den\neinzelnen Menschen ist diese Zweiheit in dem Zusammensein von Geistigem\nund Sinnlichem.\nDennoch kann von einem eigentlichen Dualismus nicht geredet werden, denn\nes besteht zwischen den beiden Zeichen das Verhältnis einer klaren Rang-\nordnung. An sich ist natürlich das Empfangende ebenso wichtig wie das\nSchöpferische. Aber durch die Eigenschaft der Hingebung ist die Stellung\ndieser Urkraft dem Schöpferischen gegenüber bezeichnet. Sie muß unter\nder Leitung und Anregung des Schöpferischen sein, dann wirkt sie heilvoll.\nNur wenn sie aus dieser Stellung heraustritt und dem Schöpferischen eben-\nbürtig zur Seite treten will, wird sie böse. Daraus ergibt sich dann Gegen-\nsatz und Kampf gegen das Schöpferische, der für beide Teile unheilvoll wirkt.	28-31	​2. KUN / DAS EMPFANGENDE\noben Kun, das Empfangende, die Erde\nunten Kun, das Empfangende, die Erde\nDa\nas Zeichen besteht aus lauter geteilten Linien. Die geteilte Linie ent-\nspricht der schattigen, weichen, rezeptiven Urkraft des Yin. Die Eigen-\nschaft des Zeichens ist die Hingebung, sein Bild ist die Erde. Es ist das voll-\nkommene Gegenstück zu dem Schöpferischen, das Gegenstück, nicht der\nGegensatz; eine Ergänzung, keine Bekämpfung. Es ist die Natur gegenüber\ndem Geist, die Erde gegenüber dem Himmel, das Räumliche gegenüber dem\nZeitlichen, das Weiblich-Mütterliche gegenüber dem Männlich-Väterlichen.\nDer Grundsatz dieses Gegenstückes findet sich aber, auf menschliche Verhält-\nnisse übertragen, nicht nur in den Beziehungen zwischen Mann und Weib,\nsondern auch von Fürst und Minister oder Vater und Sohn; ja selbst in den\neinzelnen Menschen ist diese Zweiheit in dem Zusammensein von Geistigem\nund Sinnlichem.\nDennoch kann von einem eigentlichen Dualismus nicht geredet werden, denn\nes besteht zwischen den beiden Zeichen das Verhältnis einer klaren Rang-\nordnung. An sich ist natürlich das Empfangende ebenso wichtig wie das\nSchöpferische. Aber durch die Eigenschaft der Hingebung ist die Stellung\ndieser Urkraft dem Schöpferischen gegenüber bezeichnet. Sie muß unter\nder Leitung und Anregung des Schöpferischen sein, dann wirkt sie heilvoll.\nNur wenn sie aus dieser Stellung heraustritt und dem Schöpferischen eben-\nbürtig zur Seite treten will, wird sie böse. Daraus ergibt sich dann Gegen-\nsatz und Kampf gegen das Schöpferische, der für beide Teile unheilvoll wirkt.	pendiente	diff_zeno
judgment_oraculo	Das Empfangende wirkt erhabenes Gelingen,\nfördernd durch die Beharrlichkeit einer Stute.\nHat der Edle etwas zu unternehmen und will voraus,\nso geht er irre; doch folgt er nach, so findet er Leitung.\nFördernd ist es, im Westen und Süden Freunde zu finden,\nim Osten und Norden der Freunde zu entraten.\nRuhige Beharrlichkeit bringt Heil.	Das Empfangende wirkt erhabenes Gelingen,\nFördernd durch die Beharrlichkeit einer Stute.\nHat der Edle etwas zu unternehmen und will voraus,\nSo geht er irre; doch folgt er nach, so findet er Leitung.\nFördernd ist es, im Westen und Süden Freunde zu finden,\nIm Osten und Norden der Freunde zu entraten.\nRuhige Beharrlichkeit bringt Heil!	28-31	Das Empfangende wirkt erhabenes Gelingen,\nFördernd durch die Beharrlichkeit einer Stute.\nHat der Edle etwas zu unternehmen und will voraus,\nSo geht er irre; doch folgt er nach, so findet er Leitung.\nFördernd ist es, im Westen und Süden Freunde zu finden,\nIm Osten und Norden der Freunde zu entraten.\nRuhige Beharrlichkeit bringt Heil!	pendiente	diff_zeno
judgment_comentario	Die vier Grundrichtungen des Schöpferischen: »erhabenes Gelingen, fördernd durch Beharrlichkeit« finden sich auch als Bezeichnung des Empfangenden. Nur ist die Beharrlichkeit näher definiert als die Beharrlichkeit einer Stute. Das Empfangende bezeichnet die räumliche Wirklichkeit gegenüber der geistigen Möglichkeit des Schöpferischen. Wenn das Mögliche wirklich wird, das Geistige räumlich, so geschieht das immer durch eine einschränkende, individuelle Bestimmung. Das ist bezeichnet dadurch, daß hier dem Ausdruck »Beharrlichkeit« die nähere Bestimmung »einer Stute« beigefügt ist. Das Pferd gehört zur Erde wie der Drache zum Himmel, es symbolisiert durch seine unermüdliche Bewegung über die Ebene hin die Weiträumigkeit der Erde. Der Ausdruck »Stute« ist gewählt, weil die Stute die Kraft und Schnelligkeit des Pferdes mit der Sanftheit und Hingebung der Kuh vereinigt.\n\nDie Natur kann nur darum, weil sie dem Wesen des Schöpferischen gewachsen ist, dessen Anregungen verwirklichen. Ihr  Reichtum besteht darin, daß sie alle Wesen ernährt, und ihre Größe, daß sie alles verschönt und herrlich macht. So schafft sie Gedeihen für alles Lebendige. Während das Schöpferische die Dinge zeugt, werden sie vom Empfangenden geboren. Auf menschliche Verhältnisse übertragen, handelt es sich darum, der Lage entsprechend sich zu verhalten. Man ist nicht in selbständiger Stellung, sondern als Gehilfe tätig. Da gilt es, etwas zu leisten. Nicht führen zu wollen – dadurch verirrte man sich nur –, sondern sich führen zu lassen, ist die Aufgabe. Wenn man es versteht, dem Schicksal gegenüber sich hingebend zu verhalten, so findet man sicher eine entsprechende Leitung. Der Edle läßt sich leiten. Er geht nicht blindlings voran, sondern er entnimmt den Verhältnissen, was von ihm verlangt wird, und folgt dieser Weisung des Schicksals.\n\nDa man etwas leisten soll, bedarf man der Gehilfen und Freunde zur Zeit der Arbeit und Anstrengung, wenn die Gedanken, die ausgeführt werden sollen, schon festliegen. Die Zeit der Arbeit und Anstrengung wird durch den Westen und Süden ausgedrückt. Denn der Süden und Westen ist das Symbol für den Ort, da das Empfangende für das Schöpferische arbeitet – wie die Natur im Sommer und Herbst; wenn man da nicht alle Kräfte zusammenfaßt, wird man nicht fertig mit der Arbeit, die man zu leisten hat. Darum bedeutet hier, Freunde zu bekommen, eben daß man Leistung findet. Aber außer der Arbeit und Anstrengung gibt es auch eine Zeit des Planens und Ordnens; da bedarf's der Einsamkeit. Der Osten symbolisiert den Ort, da man die Aufträge von seinem Herrn erhält, und der Norden den Ort, da man über das Geleistete berichtet. Da gilt es allein und sachlich zu sein. In dieser heiligen Stunde muß man der Genossen entraten, damit nicht durch der Parteien Haß und Gunst die Reinheit getrübt wird.	Die vier Grundrichtungen des Schöpferischen: "erhabenes Gelingen, fördernd\ndurch Beharrlichkeit" finden sich auch als Bezeichnung des Empfangenden.\nNur ist die Beharrlichkeit näher definiert als die Beharrlichkeit einer Stute.\nDas Empfangende bezeichnet die räumliche Wirklichkeit gegenüber der\ngeistigen Möglichkeit des Schöpferischen. Wenn das Mögliche wirklich wird,\ndas Geistige räumlich, so geschieht das immer durch eine einschränkende,\nindividuelle Bestimmung. Das ist bezeichnet dadurch, daß hier dem Aus-\ndruck,Beharrlichkeit" die nähere Bestimmung "einer Stute" beigefügt ist.\nDas Pferd gehört zur Erde wie der Drache zum Himmel, es symbolisiert\ndurch seine unermüdliche Bewegung über die Ebene hin die Weiträumigkeit\nder Erde. Der Ausdruck "Stute" ist gewählt, weil die Stute die Kraft und\nSchnelligkeit des Pferdes mit der Sanftheit und Hingebung der Kuh ver-\neinigt.\nDie Natur kann nur darum, weil sie dem Wesen des Schöpferischen ge-\nwachsen ist, dessen Anregungen verwirklichen. Ihr Reichtum besteht darin,\ndaß sie alle Wesen ernährt, und ihre Größe, daß sie alles verschönt und\nherrlich macht. So schafft sie Gedeihen für alles Lebendige. Während das\nSchöpferische die Dinge zeugt, werden sie vom Empfangenden geboren¹.\nAuf menschliche Verhältnisse übertragen, handelt es sich darum, der Lage\nentsprechend sich zu verhalten. Man ist nicht in selbständiger Stellung,\nsondern als Gehilfe tätig. Da gilt es, etwas zu leisten. Nicht führen zu\nwollen, dadurch verirrte man sich nur sondern sich führen zu lassen,\nist die Aufgabe. Wenn man es versteht, dem Schicksal gegenüber sich hin-\ngebend zu verhalten, so findet man sicher eine entsprechende Leitung. Der\nEdle läßt sich leiten. Er geht nicht blindlings voran, sondern er entnimmt\nden Verhältnissen, was von ihm verlangt wird, und folgt dieser Weisung\ndes Schicksals.\n-\n-\nDa man etwas leisten soll, bedarf man der Gehilfen und Freunde zur Zeit\nder Arbeit und Anstrengung, wenn die Gedanken, die ausgeführt werden\nsollen, schon festliegen. Die Zeit der Arbeit und Anstrengung wird durch\nden Westen und Süden ausgedrückt. Denn der Süden und Westen ist das\nSymbol für den Ort, da das Empfangende für das Schöpferische arbeitet -\nwie die Natur im Sommer und Herbst; wenn man da nicht alle Kräfte\nzusammenfaßt, wird man nicht fertig mit der Arbeit, die man zu leisten hat.\n'Es findet sich hier eine ähnliche Auffassung, wie Goethe sie in den Versen ausdrückt:\nSo schauet mit bescheidenem Blick\nDer ewigen Weberin Meisterstück,\nWie ein Tritt tausend Fäden regt,\nDie Schifflein hinüber herüber schießen,\nDie Fäden sich begegnend fließen,\nEin Schlag tausend Verbindungen schlägt;\nDas hat sie nicht zusammengebettelt,\nSie hat's von Ewigkeit angezettelt,\nDamit der ewige Meistermann\nGetrost den Einschlag werfen kann.\nDarum bedeutet hier, Freunde zu bekommen, eben, daß man Leitung findet.\nAber außer der Arbeit und Anstrengung gibt es auch eine Zeit des Planens\nund Ordnens; da bedarf's der Einsamkeit. Der Osten symbolisiert den Ort,\nda man die Aufträge von seinem Herrn erhält, und der Norden den Ort, da\nman über das Geleistete berichtet. Da gilt es allein und sachlich zu sein. In\ndieser heiligen Stunde muß man der Genossen entraten, damit nicht durch\nder Parteien Haß und Gunst die Reinheit getrübt wird.	28-31	Die vier Grundrichtungen des Schöpferischen: "erhabenes Gelingen, fördernd\ndurch Beharrlichkeit" finden sich auch als Bezeichnung des Empfangenden.\nNur ist die Beharrlichkeit näher definiert als die Beharrlichkeit einer Stute.\nDas Empfangende bezeichnet die räumliche Wirklichkeit gegenüber der\ngeistigen Möglichkeit des Schöpferischen. Wenn das Mögliche wirklich wird,\ndas Geistige räumlich, so geschieht das immer durch eine einschränkende,\nindividuelle Bestimmung. Das ist bezeichnet dadurch, daß hier dem Aus-\ndruck,Beharrlichkeit" die nähere Bestimmung "einer Stute" beigefügt ist.\nDas Pferd gehört zur Erde wie der Drache zum Himmel, es symbolisiert\ndurch seine unermüdliche Bewegung über die Ebene hin die Weiträumigkeit\nder Erde. Der Ausdruck "Stute" ist gewählt, weil die Stute die Kraft und\nSchnelligkeit des Pferdes mit der Sanftheit und Hingebung der Kuh ver-\neinigt.\nDie Natur kann nur darum, weil sie dem Wesen des Schöpferischen ge-\nwachsen ist, dessen Anregungen verwirklichen. Ihr Reichtum besteht darin,\ndaß sie alle Wesen ernährt, und ihre Größe, daß sie alles verschönt und\nherrlich macht. So schafft sie Gedeihen für alles Lebendige. Während das\nSchöpferische die Dinge zeugt, werden sie vom Empfangenden geboren¹.\nAuf menschliche Verhältnisse übertragen, handelt es sich darum, der Lage\nentsprechend sich zu verhalten. Man ist nicht in selbständiger Stellung,\nsondern als Gehilfe tätig. Da gilt es, etwas zu leisten. Nicht führen zu\nwollen, dadurch verirrte man sich nur sondern sich führen zu lassen,\nist die Aufgabe. Wenn man es versteht, dem Schicksal gegenüber sich hin-\ngebend zu verhalten, so findet man sicher eine entsprechende Leitung. Der\nEdle läßt sich leiten. Er geht nicht blindlings voran, sondern er entnimmt\nden Verhältnissen, was von ihm verlangt wird, und folgt dieser Weisung\ndes Schicksals.\n-\n-\nDa man etwas leisten soll, bedarf man der Gehilfen und Freunde zur Zeit\nder Arbeit und Anstrengung, wenn die Gedanken, die ausgeführt werden\nsollen, schon festliegen. Die Zeit der Arbeit und Anstrengung wird durch\nden Westen und Süden ausgedrückt. Denn der Süden und Westen ist das\nSymbol für den Ort, da das Empfangende für das Schöpferische arbeitet -\nwie die Natur im Sommer und Herbst; wenn man da nicht alle Kräfte\nzusammenfaßt, wird man nicht fertig mit der Arbeit, die man zu leisten hat.\n'Es findet sich hier eine ähnliche Auffassung, wie Goethe sie in den Versen ausdrückt:\nSo schauet mit bescheidenem Blick\nDer ewigen Weberin Meisterstück,\nWie ein Tritt tausend Fäden regt,\nDie Schifflein hinüber herüber schießen,\nDie Fäden sich begegnend fließen,\nEin Schlag tausend Verbindungen schlägt;\nDas hat sie nicht zusammengebettelt,\nSie hat's von Ewigkeit angezettelt,\nDamit der ewige Meistermann\nGetrost den Einschlag werfen kann.\nDarum bedeutet hier, Freunde zu bekommen, eben, daß man Leitung findet.\nAber außer der Arbeit und Anstrengung gibt es auch eine Zeit des Planens\nund Ordnens; da bedarf's der Einsamkeit. Der Osten symbolisiert den Ort,\nda man die Aufträge von seinem Herrn erhält, und der Norden den Ort, da\nman über das Geleistete berichtet. Da gilt es allein und sachlich zu sein. In\ndieser heiligen Stunde muß man der Genossen entraten, damit nicht durch\nder Parteien Haß und Gunst die Reinheit getrübt wird.	pendiente	diff_zeno
